"","ITS2.type.profile.UID","Clade","Majority.ITS2.sequence","Associated.species","ITS2.profile.abundance.local","ITS2.profile.abundance.DB","ITS2.type.profile","Sequence.accession...SymPortal.UID","Average.defining.sequence.proportions.and..stdev."
"1",1661676,"A","A3/A4/A13","Symbiodinium natans,Symbiodinium tridacnidorum,Symbiodinium necroappetens",21,26,"A3/A4/A13-A4a","22385/29206/8181-40166","0.634[0.211]/0.150[0.114]-0.111[0.095]/0.105[0.186]"
"2",1661811,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",11,230,"A3","22385","1.000[0.000]"
"3",1661272,"A","A3/A4","Symbiodinium natans,Symbiodinium tridacnidorum",10,22,"A3/A4/A4a","22385/29206-40166","0.657[0.295]/0.198[0.147]-0.144[0.151]"
"4",1661422,"A","A3bb/A3bt","None",9,322,"A3bb/A3bt","","0.515[0.062]/0.485[0.062]"
"5",1661525,"A","A3/A13","Symbiodinium natans,Symbiodinium tridacnidorum,Symbiodinium necroappetens",8,28,"A3/A13","","0.627[0.220]/0.373[0.220]"
"6",1661677,"A","A4/A3/A4a","Symbiodinium natans,Symbiodinium tridacnidorum",8,8,"A4/A3/A4a-A4d","29206/22385/40166-29900","0.330[0.130]/0.292[0.241]/0.288[0.136]-0.089[0.061]"
"7",1661737,"A","A4","None",7,10,"A4-A4fe-A4bk-A4au","29206-318716-29353-37992","0.696[0.145]-0.134[0.081]-0.088[0.042]-0.082[0.052]"
"8",1669273,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",6,15,"A3-A4","22385-29206","0.859[0.065]-0.141[0.065]"
"9",1661179,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",4,5,"A3-A3ah-A3m","22385-36733-363106","0.934[0.015]-0.044[0.003]-0.022[0.013]"
"10",1661509,"A","A13","Symbiodinium necroappetens",3,13,"A13-A13o","8181-30487","0.978[0.006]-0.022[0.006]"
