Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
012024-BEL-CBC-T2-597-PAST_S54_R1_16S	(1, 0.0)	(2, 0.004224281168154553)	(3, 0.0005415745087377631)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004332596069902105)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00010831490174755263)	(35, 0.0)	(40, 0.0006715523908348263)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00010831490174755263)	(65, 0.7734767133792733)	(70, 0.36558445637833964)	(75, 0.7289159628003301)	(80, 1.0971649657616596)	(85, 0.06600710112495857)	(90, 0.02554065383207291)	(95, 0.05240274946546596)	(100, 0.41484607369312654)	(105, 0.02478244951984004)	(110, 4.332596069902105e-05)	(115, 0.7275728580186605)	(120, 0.0034877398362711943)	(125, 0.023569322620267452)	(130, 0.001451419683417205)	(135, 0.027122051397587176)	(140, 0.3880273040204325)	(145, 2.1662980349510525e-05)	(150, 0.0001516408624465737)	(155, 2.1662980349510525e-05)	(160, 0.026168880262208715)	(165, 0.3643063405377185)	(170, 0.0002599557641941263)	(175, 4.332596069902105e-05)	(180, 0.00012997788209706315)	(185, 0.025302361048228295)	(190, 0.001451419683417205)	(195, 2.166300381377182e-05)	(200, 2.166300381377182e-05)	(205, 0.63305946898652)	(210, 0.00012997945891284315)	(215, 0.0)	(220, 0.0016031237516215381)	(225, 0.008427368540091634)	(230, 0.0)	(235, 0.0)	(240, 0.005018316856526321)	(245, 0.0)	(250, 0.0)
012024-BEL-CBC-T3-640-MCAV_S56_R1_16S	(1, 0.0)	(2, 0.00548858787954103)	(3, 0.0010355826187813263)	(4, 0.0)	(5, 0.00020711652375626527)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00039352139513690397)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00016569321900501222)	(35, 0.0)	(40, 0.0005385029617662897)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00016569321900501222)	(65, 0.7590613479143365)	(70, 0.3571310219129282)	(75, 0.7122115902406694)	(80, 1.0705853112961352)	(85, 0.07404415724286482)	(90, 0.032351601010728634)	(95, 0.06544882150697982)	(100, 0.41992875191582785)	(105, 0.032662275796363036)	(110, 0.0)	(115, 0.7105960813553704)	(120, 0.0032517294229733647)	(125, 0.031046766911064165)	(130, 0.0012012758377863387)	(135, 0.03328362536763183)	(140, 0.3872664761194648)	(145, 6.213495712687958e-05)	(150, 0.00016569321900501222)	(155, 0.0)	(160, 0.03309722049625119)	(165, 0.3559297460751419)	(170, 0.00035209809038565097)	(175, 0.0)	(180, 0.00016569321900501222)	(185, 0.032165196139348)	(190, 0.0011184292282838326)	(195, 0.0)	(200, 0.0)	(205, 0.634134177050544)	(210, 0.00020711986979616504)	(215, 0.0)	(220, 0.0013048854496987372)	(225, 0.007705152800222373)	(230, 0.0)	(235, 0.0)	(240, 0.008487363259147491)	(245, 0.0)	(250, 0.0)
022024-BEL-CBC-T1-773-SSID_S63_R1_16S	(1, 0.0)	(2, 0.0034058785463710363)	(3, 0.0005676464243951728)	(4, 0.0)	(5, 0.00011352928487903455)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004768229964919451)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 9.082342790322764e-05)	(35, 0.0)	(40, 0.0009082342790322764)	(45, 0.0)	(50, 0.0)	(55, 2.270585697580691e-05)	(60, 0.00018164685580645529)	(65, 0.7447975205204183)	(70, 0.3548244269609346)	(75, 0.7022240386907802)	(80, 0.712850379755458)	(85, 0.42480387816037146)	(90, 0.032719139902137755)	(95, 0.06577886765891261)	(100, 0.06950262820294495)	(105, 0.38243474904351576)	(110, 0.00011352928487903455)	(115, 0.35148666598549094)	(120, 0.35611866080855553)	(125, 0.031810905623105484)	(130, 0.0018391744150403598)	(135, 0.033513844896291)	(140, 0.3850232167387578)	(145, 9.082342790322764e-05)	(150, 0.00011352928487903455)	(155, 0.00031788199766129673)	(160, 0.03376360932302488)	(165, 0.3487392572914183)	(170, 0.004563877252137189)	(175, 0.0)	(180, 9.082342790322764e-05)	(185, 0.032628316474234524)	(190, 0.0019072919859677805)	(195, 0.0)	(200, 0.0)	(205, 0.6141740722222752)	(210, 0.00011353062534030804)	(215, 2.2706496283173623e-05)	(220, 0.0020890237469774436)	(225, 0.020073094219789027)	(230, 0.0)	(235, 0.0)	(240, 0.0024218645935505747)	(245, 0.0)	(250, 0.0)
022024-BEL-CBC-T3-845-SSID_S70_R1_16S	(1, 0.0)	(2, 0.00438034188034188)	(3, 0.0007478632478632479)	(4, 0.0)	(5, 0.00010683760683760685)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002777777777777778)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0001282051282051282)	(35, 0.0)	(40, 0.0006623931623931623)	(45, 0.0)	(50, 0.0)	(55, 2.1367521367521368e-05)	(60, 0.00014957264957264957)	(65, 0.7432905982905983)	(70, 0.345)	(75, 0.6853846153846154)	(80, 0.6933547008547009)	(85, 0.42489316239316244)	(90, 0.03641025641025641)	(95, 0.07290598290598291)	(100, 0.07491452991452992)	(105, 0.3778418803418803)	(110, 0.0)	(115, 0.34294871794871795)	(120, 0.34594017094017093)	(125, 0.03540598290598291)	(130, 0.001388888888888889)	(135, 0.03707264957264957)	(140, 0.37933760683760687)	(145, 2.1367521367521368e-05)	(150, 0.0001923076923076923)	(155, 0.000405982905982906)	(160, 0.036730769230769234)	(165, 0.3414316239316239)	(170, 0.0025213675213675217)	(175, 0.0)	(180, 0.00014957264957264957)	(185, 0.03623931623931624)	(190, 0.001346153846153846)	(195, 2.136753049894466e-05)	(200, 0.0)	(205, 0.604766895620392)	(210, 0.00017094214334951728)	(215, 2.1368219943942612e-05)	(220, 0.0016026480018718928)	(225, 0.029916415671500662)	(230, 0.0)	(235, 0.0)	(240, 0.003287621693371744)	(245, 0.0)	(250, 0.0)
022024-BEL-CBC-T3-846-OFAV_S94_R1_16S	(1, 0.0)	(2, 0.002940266171463943)	(3, 0.0005416279789538842)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004797276385020118)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 1.5475085112968123e-05)	(35, 0.0)	(40, 0.0007892293407613742)	(45, 0.0)	(50, 1.5475085112968123e-05)	(55, 3.0950170225936245e-05)	(60, 0.0007118539151965335)	(65, 0.6996595481275147)	(70, 0.3397090683998762)	(75, 0.677236149798824)	(80, 1.0205509130300217)	(85, 0.10605075827917053)	(90, 0.040374497059733824)	(95, 0.08308573197152584)	(100, 0.41774992262457444)	(105, 0.03891983905911482)	(110, 0.00010832559579077685)	(115, 0.674760136180749)	(120, 0.00560198081089446)	(125, 0.037016403590219744)	(130, 0.0014391829155060354)	(135, 0.04336118848653668)	(140, 0.37537913958526775)	(145, 3.0950170225936245e-05)	(150, 0.00010832559579077685)	(155, 0.0004023522129371712)	(160, 0.040699473847106156)	(165, 0.33822346022903127)	(170, 0.00030950170225936243)	(175, 6.190034045187249e-05)	(180, 6.190034045187249e-05)	(185, 0.040095945527700405)	(190, 0.0013308573197152584)	(195, 0.0)	(200, 0.00046425276891957706)	(205, 0.6073834014677543)	(210, 9.28517464020722e-05)	(215, 3.0951094639626345e-05)	(220, 0.004348688019395458)	(225, 0.023761378178510026)	(230, 0.0)	(235, 0.0)	(240, 0.0012287653979663933)	(245, 0.0)	(250, 0.0)
022024-BEL-CBC-T3-849-PSTR_S23_R1_16S	(1, 0.0)	(2, 0.006156295141583795)	(3, 0.00021986768362799268)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00043973536725598535)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.000571655977432781)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.748869330436943)	(70, 0.3655959843366262)	(75, 0.36673929629149177)	(80, 0.731235942209978)	(85, 0.8006261831629726)	(90, 0.021898821289348072)	(95, 0.04348982782161695)	(100, 0.04520479575391529)	(105, 0.38577983769367596)	(110, 8.794707345119707e-05)	(115, 0.002638412203535912)	(120, 0.7273662709781253)	(125, 0.02185484775262247)	(130, 0.0011872854915911605)	(135, 0.021766900679171277)	(140, 0.3863514936711087)	(145, 0.0003078147570791897)	(150, 8.794707345119707e-05)	(155, 0.0)	(160, 0.02251445080350645)	(165, 0.0017589414690239414)	(170, 0.36322141335344393)	(175, 8.794707345119707e-05)	(180, 0.0)	(185, 0.021722927142445676)	(190, 0.0010113913446887664)	(195, 0.0)	(200, 0.0)	(205, 0.6304051769210846)	(210, 0.0)	(215, 8.794784692677242e-05)	(220, 0.0011433290487810133)	(225, 0.00743171724998318)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
022024-BEL-CBC-T3-850-MCAV_S43_R1_16S	(1, 0.0)	(2, 0.004271490603388093)	(3, 0.0006674204067793895)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004538458766099849)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 5.339363254235116e-05)	(35, 0.0)	(40, 0.0007475108555929162)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 5.339363254235116e-05)	(65, 0.7704701175861273)	(70, 0.36096765280256504)	(75, 0.7193190176105548)	(80, 1.0817282984917633)	(85, 0.07376330335725813)	(90, 0.03435880254100297)	(95, 0.07026602042573413)	(100, 0.4282436298059275)	(105, 0.033824866215579466)	(110, 0.0)	(115, 0.7180108736132672)	(120, 0.003283708401354596)	(125, 0.03254341903456304)	(130, 0.0016552026088128859)	(135, 0.03598730833354468)	(140, 0.39225632147238276)	(145, 0.0)	(150, 8.009044881352675e-05)	(155, 0.0)	(160, 0.03548006882439234)	(165, 0.3595527215401927)	(170, 0.00018687771389822906)	(175, 2.669681627117558e-05)	(180, 5.339363254235116e-05)	(185, 0.03425201527591827)	(190, 0.0017352930576264127)	(195, 0.0)	(200, 0.0)	(205, 0.6380319814231485)	(210, 8.009164620102629e-05)	(215, 0.0)	(220, 0.002029026830676109)	(225, 0.008783651195604435)	(230, 0.0)	(235, 0.0)	(240, 0.00246405558909409)	(245, 0.0)	(250, 0.0)
022024-BEL-CBC-T3-853-SSID_S75_R1_16S	(1, 0.0)	(2, 0.003086011550500375)	(3, 0.00022042939646431248)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00022042939646431248)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.00052903055151435)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.672970947405546)	(70, 0.2849711237490632)	(75, 0.5633734514834898)	(80, 0.5736454613587268)	(85, 0.3492924216373496)	(90, 0.028214962747431998)	(95, 0.05709121368425693)	(100, 0.057664330115064145)	(105, 0.3107172772560949)	(110, 0.0)	(115, 0.27985716175109115)	(120, 0.2890711105232994)	(125, 0.02720098752369616)	(130, 0.0010580611030287)	(135, 0.029228937971167834)	(140, 0.3111140501697306)	(145, 4.40858792928625e-05)	(150, 0.0)	(155, 0.0003526870343429)	(160, 0.02861173566106776)	(165, 0.2794163029581625)	(170, 0.004540845567164838)	(175, 0.0)	(180, 0.0)	(185, 0.028214962747431998)	(190, 0.0011903187409072875)	(195, 0.0)	(200, 0.0)	(205, 0.6308731045701929)	(210, 0.0)	(215, 0.0)	(220, 0.0012785361554594153)	(225, 0.01728241897433252)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
022024-BEL-CBC-T4-871-PSTR_S91_R1_16S	(1, 0.0)	(2, 0.0043345532004483165)	(3, 0.0004816170222720352)	(4, 0.0)	(5, 0.00013760486350629576)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0003302516724151098)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 6.880243175314788e-05)	(35, 0.0)	(40, 0.0005917009130770718)	(45, 0.0)	(50, 0.0)	(55, 4.1281459051888726e-05)	(60, 0.00011008389080503661)	(65, 0.7293332975560688)	(70, 0.33671910099990576)	(75, 0.6707686676477894)	(80, 0.6733693995680583)	(85, 0.40784705494630996)	(90, 0.036534091260921525)	(95, 0.07294433814468738)	(100, 0.07482952477472364)	(105, 0.370624939367857)	(110, 4.1281459051888726e-05)	(115, 0.33620996300493244)	(120, 0.33531553139214154)	(125, 0.036121276670402644)	(130, 0.0012934862509291773)	(135, 0.03671300284291844)	(140, 0.3716021895700946)	(145, 6.88024790909266e-05)	(150, 8.256297490911192e-05)	(155, 0.00017888644563640918)	(160, 0.03715333870910037)	(165, 0.3351368756519035)	(170, 0.00044033586618193025)	(175, 1.376049581818532e-05)	(180, 6.88024790909266e-05)	(185, 0.03641027193491836)	(190, 0.0013622890860003466)	(195, 4.1281521537808234e-05)	(200, 1.3760514753335894e-05)	(205, 0.6372650402516861)	(210, 9.632470341967835e-05)	(215, 2.752186267966616e-05)	(220, 0.0014586814043028623)	(225, 0.010128385543601187)	(230, 0.0)	(235, 0.0)	(240, 0.004307904389139158)	(245, 0.0)	(250, 0.0)
042024-BEL-CBC-T1-932-SSID_S18_R1_16S	(1, 0.0)	(2, 0.006968688110743694)	(3, 0.00022479639066915144)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004495927813383029)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0007643077282751148)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.7912832951554131)	(70, 0.37810752910551265)	(75, 0.3800857373434012)	(80, 0.7587327777865199)	(85, 0.7905639467052716)	(90, 0.007238443779546675)	(95, 0.014701683949762503)	(100, 0.016904688578320188)	(105, 0.3839072759847768)	(110, 0.0)	(115, 0.00319210874750195)	(120, 0.7531578272979249)	(125, 0.007013647388877524)	(130, 0.0015735761496210156)	(135, 0.007463256947348071)	(140, 0.3837732608588141)	(145, 0.0013038219968258679)	(150, 0.0)	(155, 0.0)	(160, 0.008407403910566803)	(165, 0.0020231720640401397)	(170, 0.37604024763626065)	(175, 0.0)	(180, 0.0)	(185, 0.007238460051343611)	(190, 0.0014836595136294359)	(195, 0.0)	(200, 0.0)	(205, 0.6412613916851376)	(210, 0.00013488098776044956)	(215, 4.496047075411298e-05)	(220, 0.0015736207214376598)	(225, 0.0036418390657828536)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
042024-BEL-CBC-T1-938-SSID_S17_R1_16S	(1, 0.0)	(2, 0.004880492994865721)	(3, 0.00032536619965771473)	(4, 0.0)	(5, 0.00032536619965771473)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00039043943958925776)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0010411718389046873)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.7813343918580361)	(70, 0.3776850845626753)	(75, 0.38087367331932087)	(80, 0.7615521269188472)	(85, 0.8005309976378414)	(90, 0.01034664514911533)	(95, 0.021018656497888373)	(100, 0.02297085369583466)	(105, 0.38835709591144835)	(110, 0.0)	(115, 0.0025378563573301752)	(120, 0.7556304620850768)	(125, 0.010021278949457615)	(130, 0.0018220507180832027)	(135, 0.010672011348773044)	(140, 0.38620967899370745)	(145, 0.002733076077124804)	(150, 0.0)	(155, 0.0)	(160, 0.012038549387335446)	(165, 0.0019521971979462886)	(170, 0.3769692789234283)	(175, 0.0)	(180, 0.0)	(185, 0.01034664514911533)	(190, 0.0020823436778093746)	(195, 0.0)	(200, 0.0)	(205, 0.6283537470212415)	(210, 0.0)	(215, 6.507463735531468e-05)	(220, 0.002342729631430061)	(225, 0.006377521968285495)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
