Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
012024-BEL-CBC-T2-597-PAST_S54_R1_16S	(1, 39.51662525426923)	(2, 39.48425426273296)	(3, 39.468877879280875)	(4, 39.63332372941205)	(5, 39.69980308350862)	(6, 39.3405788781609)	(7, 39.586462370319985)	(8, 39.63236189308453)	(9, 39.6375480105802)	(10, 39.27304410366169)	(15, 39.42178472629907)	(20, 39.45919582684347)	(25, 39.318475706050684)	(30, 39.500325594594656)	(35, 39.48722945645416)	(40, 39.29904617897522)	(45, 39.158205178752084)	(50, 38.837093087992855)	(55, 38.45566606082532)	(60, 37.98135987192846)	(65, 37.435982210360535)	(70, 37.500263638470855)	(75, 37.940411206692986)	(80, 38.24843582450386)	(85, 38.89427339114461)	(90, 39.052331694889915)	(95, 39.102380111651)	(100, 39.01517145165798)	(105, 39.13945456948076)	(110, 39.162419061689675)	(115, 38.969835166382516)	(120, 39.024852637576174)	(125, 39.12253924790465)	(130, 39.057400832291705)	(135, 39.04305257388701)	(140, 38.71528474904521)	(145, 39.04523490252742)	(150, 39.18522801369967)	(155, 39.29692493993939)	(160, 39.16925676480719)	(165, 38.89271019048258)	(170, 39.10746094706218)	(175, 39.27784635314557)	(180, 39.13911229439124)	(185, 39.092300326894375)	(190, 39.16209801632088)	(195, 39.095385455242614)	(200, 38.753593513230136)	(205, 38.65437204716872)	(210, 38.67272501672515)	(215, 38.08940205985222)	(220, 38.869186989391245)	(225, 38.913411790624366)	(230, 37.00667875032398)	(235, 36.517445553095044)	(240, 36.81547648918552)	(245, 36.28638773015912)	(250, 34.99099283520982)
012024-BEL-CBC-T3-640-MCAV_S56_R1_16S	(1, 39.511171865291416)	(2, 39.34665713930657)	(3, 39.55385029617663)	(4, 39.598575038316554)	(5, 39.6758709249824)	(6, 39.28392361542604)	(7, 39.486135619899756)	(8, 39.58892755063999)	(9, 39.5983182138271)	(10, 39.44820057164161)	(15, 39.61335984424837)	(20, 39.44278861687586)	(25, 39.567274760780414)	(30, 39.55169545586347)	(35, 39.55665548237438)	(40, 39.332128743631166)	(45, 39.245441365312125)	(50, 39.36308437927177)	(55, 39.078193943912844)	(60, 39.05408309514933)	(65, 38.632917857586676)	(70, 38.939120583240125)	(75, 38.55724245060271)	(80, 38.72601466384988)	(85, 39.26387349322729)	(90, 39.31316184085166)	(95, 39.38986288886127)	(100, 39.2727645913591)	(105, 39.185008491777474)	(110, 39.52685969926681)	(115, 38.87122778675283)	(120, 39.0965274843627)	(125, 39.31018806180357)	(130, 39.160000000000004)	(135, 39.478262292365685)	(140, 38.83622799386935)	(145, 39.12432832111346)	(150, 39.352535520483826)	(155, 39.33554782320533)	(160, 39.22298330640818)	(165, 38.99156911478398)	(170, 39.12968186901951)	(175, 39.230023611283706)	(180, 38.80910401391823)	(185, 39.032205376744955)	(190, 38.71410132140342)	(195, 38.35407988334867)	(200, 38.77535181439817)	(205, 38.50751928747077)	(210, 37.337330729603366)	(215, 38.657037704375824)	(220, 38.70088731308867)	(225, 38.24331930428322)	(230, 35.143644341439526)	(235, 36.343644281311484)	(240, 36.346190116937)	(245, 35.69765068615901)	(250, 35.642980107115534)
022024-BEL-CBC-T1-773-SSID_S63_R1_16S	(1, 39.586816979439845)	(2, 39.38405367664589)	(3, 39.549340962501276)	(4, 39.48288318971879)	(5, 39.57732820180966)	(6, 39.27244530726701)	(7, 39.353596040098545)	(8, 39.648790345469614)	(9, 39.61377337284152)	(10, 39.34892998649002)	(15, 39.38775473133295)	(20, 39.03913172802925)	(25, 39.48639260697297)	(30, 39.35369049646356)	(35, 39.39635298525255)	(40, 39.13914012919633)	(45, 39.15135406378075)	(50, 38.00936298718254)	(55, 37.415148439539976)	(60, 37.12505614023137)	(65, 36.82544418332709)	(70, 36.79578170589103)	(75, 37.5642623434715)	(80, 38.22428073521564)	(85, 38.7100698205102)	(90, 38.822431116106394)	(95, 39.20373238876968)	(100, 39.181201821009736)	(105, 38.9919348796022)	(110, 39.20480682992178)	(115, 39.05932177605213)	(120, 38.988765596085514)	(125, 39.08717414257008)	(130, 39.0687333537686)	(135, 38.633537004870405)	(140, 38.846943451063204)	(145, 39.05731276182691)	(150, 39.1200367834883)	(155, 39.206720025430556)	(160, 39.14740188231555)	(165, 38.93342824381549)	(170, 38.94483929929725)	(175, 39.11920166206873)	(180, 39.046167818988906)	(185, 38.83717448315794)	(190, 38.90053790175176)	(195, 38.9379653281564)	(200, 38.64383193221918)	(205, 38.43603074805469)	(210, 38.50225916165436)	(215, 38.03924760195753)	(220, 38.64449258353427)	(225, 38.798383111331944)	(230, 34.6230565329619)	(235, 36.30316042491059)	(240, 36.72285517091215)	(245, 36.43340109260875)	(250, 34.09157553912884)
022024-BEL-CBC-T3-845-SSID_S70_R1_16S	(1, 39.57366666666667)	(2, 39.408049145299145)	(3, 39.56001923076923)	(4, 39.49178205128205)	(5, 39.590613247863246)	(6, 39.277188034188036)	(7, 39.39299145299145)	(8, 39.648568376068376)	(9, 39.63541452991453)	(10, 39.33079700854701)	(15, 39.422370085470085)	(20, 39.194308547008546)	(25, 39.51035726495727)	(30, 39.42814957264957)	(35, 39.51437008547008)	(40, 39.284003846153844)	(45, 39.09950170940171)	(50, 38.47687008547008)	(55, 38.0344858974359)	(60, 37.57289017094017)	(65, 36.911263247863246)	(70, 37.10310341880342)	(75, 37.99356068376069)	(80, 38.51603547008547)	(85, 38.81412606837607)	(90, 38.892876068376076)	(95, 39.22625128205128)	(100, 39.16778034188034)	(105, 39.031579914529914)	(110, 39.23460769230769)	(115, 39.09673418803418)	(120, 39.04814871794871)	(125, 39.13891923076923)	(130, 39.09980213675213)	(135, 38.69293888888889)	(140, 38.928604700854706)	(145, 39.095549145299145)	(150, 39.213691025641026)	(155, 39.244314957264955)	(160, 39.188188461538466)	(165, 38.99362179487179)	(170, 39.01579401709402)	(175, 39.11566153846154)	(180, 39.05081239316239)	(185, 38.886617948717955)	(190, 38.88911324786325)	(195, 38.950871763341425)	(200, 38.62962271286905)	(205, 38.47074604626398)	(210, 38.61717885952432)	(215, 38.104778957029666)	(220, 38.7059064338812)	(225, 38.79211551165622)	(230, 35.657533853981654)	(235, 36.920186803521034)	(240, 37.316019962106964)	(245, 37.244760706825296)	(250, 35.98283989414489)
022024-BEL-CBC-T3-846-OFAV_S94_R1_16S	(1, 39.43984524914887)	(2, 39.19898483441659)	(3, 39.522663262147944)	(4, 39.54306406685237)	(5, 39.657830393067165)	(6, 39.36246672856701)	(7, 39.400247601361805)	(8, 39.431138966264314)	(9, 39.40203033116682)	(10, 39.41898452491489)	(15, 39.49468276075519)	(20, 39.46435468895079)	(25, 39.59710244506345)	(30, 39.592773444753945)	(35, 39.55002537913958)	(40, 39.43089167440421)	(45, 39.371598266790464)	(50, 39.548651501083256)	(55, 39.30533457134014)	(60, 39.52372392448159)	(65, 39.147843392138654)	(70, 39.456539151965345)	(75, 39.13238471061591)	(80, 38.81694645620551)	(85, 39.4079464562055)	(90, 39.4682732900031)	(95, 39.51141597028784)	(100, 39.30662178891984)	(105, 39.394396471680594)	(110, 39.63534911792014)	(115, 39.00971494893222)	(120, 39.27932776230269)	(125, 39.14903497369236)	(130, 39.2356709996905)	(135, 39.54806499535747)	(140, 38.8013701640359)	(145, 39.134870937790154)	(150, 39.29196069328381)	(155, 39.34418817703498)	(160, 39.19848158464872)	(165, 39.016281646549054)	(170, 39.25056081708449)	(175, 39.23549798823893)	(180, 38.95984277313525)	(185, 39.131205509130304)	(190, 38.62335252243888)	(195, 39.06939151965336)	(200, 37.25031139101668)	(205, 38.497252882230114)	(210, 35.000517024080445)	(215, 38.44881948528267)	(220, 38.635630325037866)	(225, 38.184386086940776)	(230, 37.12997593076456)	(235, 36.105875387274025)	(240, 35.26954253998233)	(245, 34.68315422419124)	(250, 31.752294367822028)
022024-BEL-CBC-T3-849-PSTR_S23_R1_16S	(1, 39.41461548440149)	(2, 39.34840013280008)	(3, 39.6138551819515)	(4, 39.326167112631616)	(5, 39.5974926289359)	(6, 39.12773213080368)	(7, 39.20619850973684)	(8, 39.53005481301353)	(9, 39.593913183046446)	(10, 39.50508136203632)	(15, 39.55868334436336)	(20, 39.05395860770988)	(25, 39.53771852099406)	(30, 39.48210782750941)	(35, 39.58281602131837)	(40, 39.267181889938634)	(45, 39.245528440984216)	(50, 38.31674578238816)	(55, 37.73539451957812)	(60, 37.3904221239658)	(65, 37.08756230500485)	(70, 37.380408470182644)	(75, 37.82975821150832)	(80, 38.04286364465865)	(85, 38.714000074755006)	(90, 39.09341518274302)	(95, 39.29292048045486)	(100, 39.32901835675291)	(105, 39.00775561267229)	(110, 39.44356062521575)	(115, 39.13799027745104)	(120, 38.741260149641946)	(125, 39.1822742673459)	(130, 38.972840624512166)	(135, 39.32745729619914)	(140, 39.02533887106739)	(145, 38.95128831469222)	(150, 39.27662828509803)	(155, 39.26815722298321)	(160, 39.124770073369845)	(165, 39.13291924919584)	(170, 38.88301236315985)	(175, 39.11891455721947)	(180, 38.84867958462597)	(185, 38.925409888329206)	(190, 38.23549763752174)	(195, 38.52836227158495)	(200, 38.84511948709267)	(205, 35.360340108362145)	(210, 38.34680562426481)	(215, 38.54799687785143)	(220, 38.56621251627317)	(225, 38.4630285038247)	(230, 36.3437915345628)	(235, 35.77699980617208)	(240, 35.86966171223205)	(245, 35.10115829747336)	(250, 33.368992248062014)
022024-BEL-CBC-T3-850-MCAV_S43_R1_16S	(1, 39.471093354761976)	(2, 39.30529010762822)	(3, 39.53630566786758)	(4, 39.57829709018051)	(5, 39.65587803826455)	(6, 39.217174595843574)	(7, 39.46272123317934)	(8, 39.56910804601997)	(9, 39.56480451923706)	(10, 39.441113364025775)	(15, 39.583468797428566)	(20, 39.40818924839118)	(25, 39.60411718300534)	(30, 39.53669063595821)	(35, 39.56295282806049)	(40, 39.32578578741592)	(45, 39.25507980345804)	(50, 39.490594845111744)	(55, 39.16128641278884)	(60, 39.34622166633518)	(65, 39.00008890039818)	(70, 39.366416739971676)	(75, 38.91694967516649)	(80, 38.86159596237351)	(85, 39.34102806769779)	(90, 39.359918734891274)	(95, 39.42004477056089)	(100, 39.27418991848127)	(105, 39.200656207743954)	(110, 39.54023276954107)	(115, 38.86541894646354)	(120, 39.111902108114094)	(125, 39.302444760950024)	(130, 39.15860391668991)	(135, 39.45302281376435)	(140, 38.86994565863048)	(145, 39.086574838517635)	(150, 39.34692806409371)	(155, 39.34745505924691)	(160, 39.23965491695288)	(165, 39.004732010684066)	(170, 39.11925761493313)	(175, 39.243517412330995)	(180, 38.81112776695815)	(185, 39.07343199586733)	(190, 38.78588806291906)	(195, 38.4538880575797)	(200, 38.83439281720588)	(205, 38.55572149170068)	(210, 35.410016822018726)	(215, 38.46558307840196)	(220, 38.51831116702416)	(225, 36.4135891271189)	(230, 33.10827524107544)	(235, 35.88165336851985)	(240, 35.958604339642136)	(245, 35.352537501824)	(250, 31.927307086614174)
022024-BEL-CBC-T3-853-SSID_S75_R1_16S	(1, 39.00550191773575)	(2, 38.11000308601155)	(3, 37.999078605122776)	(4, 38.736348807476965)	(5, 38.67489309174272)	(6, 38.468394833134944)	(7, 38.62758894326147)	(8, 39.29510205881056)	(9, 39.206101485694134)	(10, 38.79387999823657)	(15, 38.6670017193493)	(20, 38.49636291495834)	(25, 38.984250760481416)	(30, 38.619951505532775)	(35, 39.028059780452324)	(40, 38.58608825993034)	(45, 38.6132486884451)	(50, 37.97402636335581)	(55, 37.37286954988318)	(60, 37.19377154697351)	(65, 36.609306529118726)	(70, 36.95903540096107)	(75, 37.45990653793591)	(80, 37.7720883481021)	(85, 38.19130361945069)	(90, 38.20302605475466)	(95, 38.82450557686373)	(100, 38.73945950711987)	(105, 38.56821408102984)	(110, 38.71769519023057)	(115, 38.613566106776005)	(120, 38.60848829519905)	(125, 38.62449499625269)	(130, 38.566306044174056)	(135, 38.22032094520126)	(140, 38.53563373451483)	(145, 38.638992196799364)	(150, 38.89116783494247)	(155, 39.01631177533836)	(160, 38.82709429969581)	(165, 38.64834104836221)	(170, 38.660536084292204)	(175, 38.84685094564212)	(180, 38.81025261208835)	(185, 38.554591544328346)	(190, 38.848361327866684)	(195, 38.65879998236565)	(200, 38.27854842513871)	(205, 37.94779618933119)	(210, 38.159599379690604)	(215, 37.69613660738065)	(220, 37.67665290893369)	(225, 38.13254659832553)	(230, 35.571528957821194)	(235, 35.62004424886947)	(240, 35.81040258595357)	(245, 35.94226596977294)	(250, 32.858420934913894)
022024-BEL-CBC-T4-871-PSTR_S91_R1_16S	(1, 39.463998783573004)	(2, 38.789981265097836)	(3, 39.44011470741422)	(4, 39.38276237635343)	(5, 39.52877489701996)	(6, 38.99160403925316)	(7, 39.06749587357415)	(8, 39.53428734785202)	(9, 39.529944538359764)	(10, 39.294942952463714)	(15, 39.42167317881683)	(20, 39.17993005544788)	(25, 39.518712128561475)	(30, 39.41762346768384)	(35, 39.48747472370663)	(40, 39.189442129242614)	(45, 39.23349742713307)	(50, 39.410869545773224)	(55, 39.04120096020673)	(60, 38.80875304536763)	(65, 38.23602564129027)	(70, 38.62430088129035)	(75, 38.52327249134293)	(80, 38.7947418429557)	(85, 39.066480624891206)	(90, 39.1791498358718)	(95, 39.3180547901285)	(100, 39.35539386984094)	(105, 38.989942322921465)	(110, 39.44845411256215)	(115, 39.04353088575563)	(120, 38.98279017253585)	(125, 39.210203400629)	(130, 39.11325965147381)	(135, 39.40040676025639)	(140, 38.95054725491869)	(145, 38.96071901342749)	(150, 39.246569921207396)	(155, 39.2949697131487)	(160, 39.11269130529311)	(165, 39.03682941663754)	(170, 39.03628367537339)	(175, 39.130874149257345)	(180, 38.74346610377065)	(185, 38.8996771787681)	(190, 38.66427610159649)	(195, 38.558952440145376)	(200, 38.50833075323682)	(205, 38.403673325822055)	(210, 36.24224358871309)	(215, 38.539994474867996)	(220, 38.386621502044974)	(225, 38.62276277225529)	(230, 35.880961696251845)	(235, 35.19827634766227)	(240, 34.851182153387235)	(245, 35.312100127266156)	(250, 33.80911760160717)
042024-BEL-CBC-T1-932-SSID_S18_R1_16S	(1, 39.56804923940141)	(2, 39.48891641395806)	(3, 39.20893700530744)	(4, 39.141844274548326)	(5, 39.39534266837811)	(6, 39.26696594559478)	(7, 39.48087319909992)	(8, 39.60084253687223)	(9, 39.593810905772095)	(10, 39.3476462693915)	(15, 39.323995890721974)	(20, 38.74267961793605)	(25, 39.373145373577884)	(30, 39.23187253145464)	(35, 39.53782041915535)	(40, 39.15017882552878)	(45, 39.2356437157045)	(50, 38.0325262393587)	(55, 37.54724658140889)	(60, 37.01128163166212)	(65, 36.82565915921654)	(70, 36.96683129255676)	(75, 37.62444166196467)	(80, 37.832842303083986)	(85, 38.67641503708016)	(90, 38.69877148772498)	(95, 39.216387656879775)	(100, 39.08137764220058)	(105, 38.943930834646515)	(110, 39.17184829840372)	(115, 39.139205164921876)	(120, 38.8791148417321)	(125, 38.99473391975218)	(130, 39.019785332921984)	(135, 39.05105677020812)	(140, 39.09023796999411)	(145, 38.97579566861341)	(150, 39.256094918241374)	(155, 39.31348826335405)	(160, 39.26096941413433)	(165, 39.112290545492144)	(170, 38.97849233217788)	(175, 39.02607554074893)	(180, 39.195477086452385)	(185, 38.9791999928065)	(190, 39.20137665619113)	(195, 39.14018963866147)	(200, 39.01615210657171)	(205, 38.45565819422797)	(210, 38.738282932993386)	(215, 38.94021421769142)	(220, 38.89300834622152)	(225, 38.86660929819217)	(230, 37.76007697896328)	(235, 35.44948703789568)	(240, 36.28594361691842)	(245, 36.09710415868238)	(250, 35.73750790638836)
