Sample	Unique Reads	Duplicate Reads
012024-BEL-CBC-T2-597-PAST_S54_R1_16S	15995.0	907239.0
012024-BEL-CBC-T3-640-MCAV_S56_R1_16S	14059.0	951581.0
022024-BEL-CBC-T1-773-SSID_S63_R1_16S	20683.0	860147.0
022024-BEL-CBC-T3-845-SSID_S70_R1_16S	22302.0	913698.0
022024-BEL-CBC-T3-846-OFAV_S94_R1_16S	27033.0	1265367.0
022024-BEL-CBC-T3-849-PSTR_S23_R1_16S	7718.0	447101.0
022024-BEL-CBC-T3-850-MCAV_S43_R1_16S	11974.0	737179.0
022024-BEL-CBC-T3-853-SSID_S75_R1_16S	22396.0	431264.0
022024-BEL-CBC-T4-871-PSTR_S91_R1_16S	19357.0	1434080.0
042024-BEL-CBC-T1-932-SSID_S18_R1_16S	20744.0	424103.0
042024-BEL-CBC-T1-938-SSID_S17_R1_16S	9800.0	297546.0
042024-BEL-CBC-T1-940-SSID_S35_R1_16S	27600.0	584829.0
042024-BEL-CBC-T2-1030-SSID_S48_R1_16S	15648.0	535945.0
042024-BEL-CBC-T3-1011-SSID_S10_R1_16S	19548.0	572788.0
042024-BEL-CBC-T3-1012-SSID_S27_R1_16S	11799.0	433050.0
042024-BEL-CBC-T3-1057-SSID_S5_R1_16S	10056.0	393789.0
042024-BEL-CBC-T3-942-PAST_S34_R1_16S	33223.0	1006031.0
042024-BEL-CBC-T3-953-MCAV_S41_R1_16S	7109.0	437730.0
052022-BEL-CBC-T1-10-PSTR_S38_R1_16S	14906.0	648417.0
052022-BEL-CBC-T1-17-SSID_S69_R1_16S	17679.0	910385.0
052022-BEL-CBC-T1-34-PAST_S40_R1_16S	16331.0	425074.0
052022-BEL-CBC-T1-4-PSTR_S52_R1_16S	17086.0	1109349.0
052022-BEL-CBC-T1-61-PAST_S89_R1_16S	16970.0	508017.0
052022-BEL-CBC-T2-4-MCAV_S83_R1_16S	13443.0	546594.0
052022-BEL-CBC-T2-60-PAST_S20_R1_16S	13850.0	425741.0
052022-BEL-CBC-T2-62-PAST_S12_R1_16S	16662.0	723158.0
052022-BEL-CBC-T2-72-OFAV_S13_R1_16S	16260.0	612362.0
052022-BEL-CBC-T3-40-MCAV_S1_R1_16S	11873.0	435410.0
052022-BEL-CBC-T3-48-MCAV_S7_R1_16S	12359.0	725860.0
052022-BEL-CBC-T3-49-MCAV_S2_R1_16S	6079.0	411096.0
052022-BEL-CBC-T3-51-MCAV_S33_R1_16S	12618.0	531066.0
052022-BEL-CBC-T3-55-PAST_S88_R1_16S	16035.0	1128654.0
062019-BEL-CBC-T1-16-MCAV_S78_R1_16S	8419.0	586168.0
062019-BEL-CBC-T1-17-MCAV_S65_R1_16S	14175.0	782966.0
062019-BEL-CBC-T2-25-PAST_S79_R1_16S	7174.0	383849.0
062019-BEL-CBC-T2-26-SSID_S44_R1_16S	16627.0	637791.0
062019-BEL-CBC-T3-12-PAST_S36_R1_16S	15421.0	622709.0
062019-BEL-CBC-T3-15-MCAV_S60_R1_16S	16799.0	949349.0
062019-BEL-CBC-T3-23-PAST_S26_R1_16S	9899.0	437874.0
062019-BEL-CBC-T3-28-SSID_S95_R1_16S	28182.0	1204597.0
062019-BEL-CBC-T3-31-PAST_S42_R1_16S	21411.0	889072.0
062019-BEL-CBC-T3-4-PAST_S22_R1_16S	10498.0	624003.0
062019-BEL-CBC-T3-7-PAST_S58_R1_16S	17107.0	721764.0
062019-BEL-CBC-T3-8-MCAV_S77_R1_16S	5091.0	251016.0
062019-BEL-CBC-T3-9-MCAV_S80_R1_16S	9192.0	652168.0
062024-BEL-CBC-T1-1344-SSID_S39_R1_16S	29958.0	835640.0
062024-BEL-CBC-T2-1381-SSID_S30_R1_16S	9743.0	470607.0
062024-BEL-CBC-T3-1430-PSTR_S62_R1_16S	11889.0	617103.0
062024-BEL-CBC-T4-1461-OFAV_S72_R1_16S	18088.0	1251957.0
082024-BEL-CBC-T2-1513-PAST_S53_R1_16S	18540.0	993510.0
082024-BEL-CBC-T2-1514-MCAV_S71_R1_16S	12583.0	916913.0
082024-BEL-CBC-T2-1515-MCAV_S25_R1_16S	11001.0	524706.0
092023-BEL-CBC-T1-177-PSTR_S50_R1_16S	30910.0	593772.0
092023-BEL-CBC-T1-190-OANN_S81_R1_16S	11628.0	579063.0
092023-BEL-CBC-T1-196-SSID_S82_R1_16S	13408.0	598534.0
092023-BEL-CBC-T2-194-OANN_S4_R1_16S	10081.0	609037.0
092023-BEL-CBC-T3-184-PAST_S37_R1_16S	27507.0	1037815.0
092023-BEL-CBC-T3-198-SSID_S76_R1_16S	13185.0	438444.0
092023-BEL-CBC-T3-220-SSID_S19_R1_16S	11777.0	437335.0
092023-BEL-CBC-T3-264-SSID_S59_R1_16S	24177.0	637200.0
092023-BEL-CBC-T3-90-SSID_S67_R1_16S	37910.0	875858.0
102019-BEL-CBC-T2-35-PSTR_S46_R1_16S	12206.0	774243.0
112023-BEL-CBC-T2-309-PAST_S3_R1_16S	8529.0	355380.0
112023-BEL-CBC-T3-349-PAST_S73_R1_16S	13126.0	477660.0
112023-BEL-CBC-T3-351-OFAV_S61_R1_16S	15020.0	951132.0
122022-BEL-CBC-T1-122-PSTR_S45_R1_16S	17932.0	659526.0
122022-BEL-CBC-T1-132-PSTR_S11_R1_16S	6825.0	381988.0
122022-BEL-CBC-T1-133-PSTR_S32_R1_16S	21867.0	756969.0
122022-BEL-CBC-T1-134-PAST_S6_R1_16S	10242.0	717048.0
122022-BEL-CBC-T1-144-MCAV_S84_R1_16S	11956.0	693925.0
122022-BEL-CBC-T1-152-PAST_S15_R1_16S	15243.0	451105.0
122022-BEL-CBC-T1-155-PAST_S28_R1_16S	15595.0	483003.0
122022-BEL-CBC-T2-118-OANN_S24_R1_16S	10274.0	871326.0
122022-BEL-CBC-T2-85-MCAV_S47_R1_16S	6561.0	97983.0
122022-BEL-CBC-T2-86-MCAV_S8_R1_16S	5194.0	265458.0
122022-BEL-CBC-T2-96-SSID_S49_R1_16S	16652.0	423413.0
122022-BEL-CBC-T3-115-PAST_S90_R1_16S	8850.0	513573.0
