.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
012024-BEL-CBC-T2-597-PAST_S54_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
012024-BEL-CBC-T3-640-MCAV_S56_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
022024-BEL-CBC-T1-773-SSID_S63_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
022024-BEL-CBC-T3-845-SSID_S70_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
022024-BEL-CBC-T3-846-OFAV_S94_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
022024-BEL-CBC-T3-849-PSTR_S23_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
022024-BEL-CBC-T3-850-MCAV_S43_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
022024-BEL-CBC-T3-853-SSID_S75_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
022024-BEL-CBC-T4-871-PSTR_S91_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T1-932-SSID_S18_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T1-938-SSID_S17_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T1-940-SSID_S35_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T2-1030-SSID_S48_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T3-1011-SSID_S10_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T3-1012-SSID_S27_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T3-1057-SSID_S5_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T3-942-PAST_S34_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T3-953-MCAV_S41_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T1-10-PSTR_S38_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T1-17-SSID_S69_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T1-34-PAST_S40_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T1-4-PSTR_S52_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T1-61-PAST_S89_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T2-4-MCAV_S83_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T2-60-PAST_S20_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T2-62-PAST_S12_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T2-72-OFAV_S13_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T3-40-MCAV_S1_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T3-48-MCAV_S7_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T3-49-MCAV_S2_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T3-51-MCAV_S33_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T3-55-PAST_S88_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062019-BEL-CBC-T1-16-MCAV_S78_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062019-BEL-CBC-T1-17-MCAV_S65_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062019-BEL-CBC-T2-25-PAST_S79_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062019-BEL-CBC-T2-26-SSID_S44_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062019-BEL-CBC-T3-12-PAST_S36_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
