Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
012024-BEL-CBC-T2-597-PAST_S54_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0006498894104853157)	(6, 0.0006498894104853157)	(7, 0.0006498894104853157)	(8, 0.0006498894104853157)	(9, 0.0006498894104853157)	(10, 0.001278115840621121)	(15, 0.007798672925823788)	(20, 0.04668372265319518)	(25, 3.6356113401369528)	(30, 6.012603521967344)	(35, 6.052008483223105)	(40, 6.118362192033655)	(45, 6.132529781182235)	(50, 6.136234150822002)	(55, 6.139765216618972)	(60, 6.1429280117500005)	(65, 6.145635884293689)	(70, 6.147303933780601)	(75, 6.149730187579747)	(80, 6.150250099108135)	(85, 6.150813336597222)	(90, 6.151094955341766)	(95, 6.151614866870155)	(100, 6.152069789457494)	(105, 6.152308082241339)	(110, 6.153737838944406)	(115, 6.156813982154036)	(120, 6.158547020581997)	(125, 6.16017174410821)	(130, 6.161948108496871)	(135, 6.167190549741452)	(140, 6.168706958365918)	(145, 6.169421836717452)	(150, 6.170071726127937)	(155, 6.17126319004716)	(160, 6.171934742437996)	(165, 6.176202349566848)	(170, 6.180621597558148)	(175, 6.182896210494848)	(180, 6.186882198879158)	(185, 6.190239960833331)	(190, 6.76346408386173)	(195, 6.913501885762439)	(200, 6.9152349241904005)	(205, 7.085137679071612)	(210, 70.81814577885996)	(215, 86.67542573172132)	(220, 86.67640056583704)	(225, 86.67867517877376)	(230, 86.78010125277015)	(235, 86.89760125818589)	(240, 86.89855442932128)
012024-BEL-CBC-T2-597-PAST_S54_R2_16S - polyg	(1, 0.17449530671530727)	(2, 0.17936947729394714)	(3, 0.17980273690093734)	(4, 0.18001936670443247)	(5, 0.18012768160618)	(6, 0.18023599650792757)	(7, 0.18023599650792757)	(8, 0.1803443114096751)	(9, 0.181102515721908)	(10, 0.18257559838567466)	(15, 0.18305218395336392)	(20, 0.18313883587476196)	(25, 0.1831604988551115)	(30, 0.1831604988551115)	(35, 0.1831604988551115)	(40, 0.1831604988551115)	(45, 0.1831604988551115)	(50, 0.18326881375685905)	(55, 0.18326881375685905)	(60, 0.18326881375685905)	(65, 0.18326881375685905)	(70, 0.18333380269790756)	(75, 0.1833771286586066)	(80, 0.18415699595118898)	(85, 0.18478522238132478)	(90, 0.1913491054272265)	(95, 0.22860943162838457)	(100, 3.915951968839969)	(105, 6.653914392234256)	(110, 6.71526395258407)	(115, 6.796196847169841)	(120, 6.817101623207117)	(125, 6.8247919812311935)	(130, 6.830186063338222)	(135, 6.834843604113367)	(140, 6.83863462567453)	(145, 6.8416457799431125)	(150, 6.845588442366724)	(155, 6.846974873109093)	(160, 6.848166337028315)	(165, 6.848512944713908)	(170, 6.849054519222646)	(175, 6.849617756711733)	(180, 6.849986027377675)	(185, 6.8512424802379455)	(190, 6.854773546034916)	(195, 6.856571573403926)	(200, 6.858672882497828)	(205, 6.8605792247685855)	(210, 6.866298251580856)	(215, 6.867706345303574)	(220, 6.868247919812312)	(225, 6.868421223655107)	(230, 6.868681179419302)	(235, 6.8687894943210495)	(240, 6.8687894943210495)
012024-BEL-CBC-T3-640-MCAV_S56_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.00020711652375626527)	(4, 0.00020711652375626527)	(5, 0.0003106747856343979)	(6, 0.0003106747856343979)	(7, 0.0003106747856343979)	(8, 0.0003106747856343979)	(9, 0.0003106747856343979)	(10, 0.0004970796570150368)	(15, 0.0050536431796528725)	(20, 0.056418541071206654)	(25, 1.3336025848142163)	(30, 2.17039476409428)	(35, 2.217099540201317)	(40, 2.2684230147881195)	(45, 2.283231846236693)	(50, 2.2916200654488215)	(55, 2.2924485315438465)	(60, 2.2940847520815213)	(65, 2.296342322190464)	(70, 2.2975643096806264)	(75, 2.298040677685266)	(80, 2.2991383952611737)	(85, 2.301023155627356)	(90, 2.3019966032890102)	(95, 2.302183008160391)	(100, 2.302348701379396)	(105, 2.3030528975601676)	(110, 2.30313574416967)	(115, 2.3041299034837004)	(120, 2.3045855598359637)	(125, 2.3045855598359637)	(130, 2.3045855598359637)	(135, 2.3049997928834762)	(140, 2.3051033511453545)	(145, 2.305248332711984)	(150, 2.3054140259309888)	(155, 2.3056004308023694)	(160, 2.3057868356737496)	(165, 2.306014663849882)	(170, 2.3063253386355163)	(175, 2.306677436725902)	(180, 2.307381632906673)	(185, 2.410277121908786)	(190, 75.7039476409428)	(195, 93.98210513234747)	(200, 93.98473551219917)	(205, 93.9931858663684)	(210, 94.36365519241124)	(215, 94.52839567540698)	(220, 94.53013545420654)	(225, 94.53057039890643)	(230, 94.5322894660536)	(235, 94.53351145354377)	(240, 94.53378070502465)
012024-BEL-CBC-T3-640-MCAV_S56_R2_16S - polyg	(1, 0.17459922952653162)	(2, 0.17936290957292572)	(3, 0.17998425914419452)	(4, 0.17998425914419452)	(5, 0.18029493392982893)	(6, 0.18039849219170706)	(7, 0.18039849219170706)	(8, 0.18060560871546333)	(9, 0.18101984176297586)	(10, 0.18257321569114784)	(15, 0.18290460212915788)	(20, 0.18298744873866038)	(25, 0.18543142371898433)	(30, 0.1890973861894702)	(35, 0.18926307940847523)	(40, 0.18930450271322646)	(45, 0.18930450271322646)	(50, 0.19290833022658546)	(55, 0.1929290418789611)	(60, 0.1929290418789611)	(65, 0.1929290418789611)	(70, 0.1930118884884636)	(75, 0.19313615840271736)	(80, 0.19365394971210803)	(85, 0.19398533615011807)	(90, 0.19874901619651214)	(95, 0.24601300691769187)	(100, 1.5584275713516424)	(105, 2.518495505571434)	(110, 2.57141377739116)	(115, 2.629882772047554)	(120, 2.647715504742968)	(125, 2.6577606561451477)	(130, 2.659396876682822)	(135, 2.6615301768775113)	(140, 2.664098421772089)	(145, 2.665817488919266)	(150, 2.6667080899714177)	(155, 2.6680543473758336)	(160, 2.6701255126133963)	(165, 2.671326788451183)	(170, 2.6716374632368174)	(175, 2.6718860030653246)	(180, 2.672548775941345)	(185, 2.6726316225508473)	(190, 2.6736464935172526)	(195, 2.674081438217141)	(200, 2.674081438217141)	(205, 2.674184996479019)	(210, 2.674599229526532)	(215, 2.67470278778841)	(220, 2.67470278778841)	(225, 2.67470278778841)	(230, 2.67470278778841)	(235, 2.674785634397912)	(240, 2.6748063460502878)
022024-BEL-CBC-T1-773-SSID_S63_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.00011352928487903455)	(3, 0.0002270585697580691)	(4, 0.0023841149824597257)	(5, 0.00249764426733876)	(6, 0.00249764426733876)	(7, 0.0026111735522177945)	(8, 0.0026111735522177945)	(9, 0.0030652906917339327)	(10, 0.00404164254169363)	(15, 0.018323626579476178)	(20, 0.07188674318540467)	(25, 8.11918304326601)	(30, 8.160712055674761)	(35, 8.19835836654065)	(40, 8.33725009366166)	(45, 8.35089631370412)	(50, 8.362839594473394)	(55, 8.379437575922708)	(60, 8.388247448429322)	(65, 8.430480342404323)	(70, 8.44478503229908)	(75, 8.45252772952783)	(80, 8.487926160553114)	(85, 8.549481738814526)	(90, 8.553977498495737)	(95, 8.563105253000012)	(100, 8.604566147837835)	(105, 8.626000476822998)	(110, 8.655359149892716)	(115, 8.873108318290702)	(120, 8.90691733932768)	(125, 8.923220144636309)	(130, 8.931439664861552)	(135, 8.946766118320221)	(140, 8.958300693663933)	(145, 8.97508032196905)	(150, 9.015042630246473)	(155, 9.019629213355582)	(160, 9.032503434260867)	(165, 9.048147769717199)	(170, 9.06390563445841)	(175, 9.07814220678224)	(180, 9.088019254566715)	(185, 9.139561549901797)	(190, 10.30963977157908)	(195, 10.451891965532509)	(200, 10.576842296470375)	(205, 10.790254646185982)	(210, 61.18815208383002)	(215, 61.2761145737543)	(220, 61.332288863912446)	(225, 61.336966270449466)	(230, 61.59470045298184)	(235, 61.85531827935015)	(240, 61.95769898845407)
022024-BEL-CBC-T1-773-SSID_S63_R2_16S - polyg	(1, 0.0910504864729857)	(2, 0.09786224356572779)	(3, 0.09797577285060681)	(4, 0.09797577285060681)	(5, 0.09797577285060681)	(6, 0.09797577285060681)	(7, 0.09797577285060681)	(8, 0.09831636070524392)	(9, 0.09865694855988102)	(10, 0.09929271255520361)	(15, 0.09958788869588911)	(20, 0.09976953555169557)	(25, 0.09983765312262297)	(30, 0.0999057706935504)	(35, 0.0999057706935504)	(40, 0.0999057706935504)	(45, 0.0999057706935504)	(50, 0.0999057706935504)	(55, 0.0999057706935504)	(60, 0.0999057706935504)	(65, 0.0999057706935504)	(70, 0.0999057706935504)	(75, 0.10051882883189718)	(80, 0.1031754140980666)	(85, 0.10460588308754244)	(90, 0.11922845497996208)	(95, 0.2719253431422636)	(100, 8.6514310366359)	(105, 9.204091595427041)	(110, 9.277340690030993)	(115, 9.427698874924788)	(120, 9.452607200027247)	(125, 9.4695457693312)	(130, 9.487710454911845)	(135, 9.499199618541603)	(140, 9.548970857032572)	(145, 9.568611423316645)	(150, 9.57989623423362)	(155, 9.616134781967009)	(160, 9.689156818001203)	(165, 9.694901399816082)	(170, 9.704301624604067)	(175, 9.746125813153503)	(180, 9.771965078391972)	(185, 9.805637864287092)	(190, 10.015439982743548)	(195, 10.063462870247381)	(200, 10.08258120182101)	(205, 10.09313942531476)	(210, 10.109646583336172)	(215, 10.12199856953101)	(220, 10.124768684082058)	(225, 10.125154683650647)	(230, 10.126017506215728)	(235, 10.126312682356414)	(240, 10.126358094070365)
022024-BEL-CBC-T3-845-SSID_S70_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.00010683760683760684)	(3, 0.00010683760683760684)	(4, 0.0016025641025641025)	(5, 0.0016025641025641025)	(6, 0.0016025641025641025)	(7, 0.0018162393162393163)	(8, 0.0018162393162393163)	(9, 0.0018162393162393163)	(10, 0.0020512820512820517)	(15, 0.013525641025641027)	(20, 0.06692307692307693)	(25, 8.093717948717948)	(30, 8.119893162393161)	(35, 8.155106837606839)	(40, 8.225470085470086)	(45, 8.248397435897436)	(50, 8.276153846153846)	(55, 8.28519230769231)	(60, 8.28991452991453)	(65, 8.319209401709402)	(70, 8.335726495726496)	(75, 8.34034188034188)	(80, 8.369188034188035)	(85, 8.397905982905982)	(90, 8.402670940170939)	(95, 8.408354700854701)	(100, 8.489636752136752)	(105, 8.51801282051282)	(110, 8.526260683760684)	(115, 8.914786324786325)	(120, 8.962884615384615)	(125, 8.972606837606836)	(130, 8.975705128205128)	(135, 8.986153846153845)	(140, 8.996004273504273)	(145, 9.013333333333334)	(150, 9.07198717948718)	(155, 9.083205128205128)	(160, 9.088568376068375)	(165, 9.091239316239315)	(170, 9.10732905982906)	(175, 9.130042735042734)	(180, 9.139145299145298)	(185, 9.157905982905984)	(190, 10.35286324786325)	(195, 10.494145299145298)	(200, 10.542222222222222)	(205, 11.405363247863248)	(210, 57.94179487179487)	(215, 58.02029914529915)	(220, 58.12303418803418)	(225, 58.128055555555555)	(230, 58.47561965811966)	(235, 58.670598290598285)	(240, 58.697863247863246)
022024-BEL-CBC-T3-845-SSID_S70_R2_16S - polyg	(1, 0.09914529914529914)	(2, 0.10854700854700855)	(3, 0.10854700854700855)	(4, 0.10865384615384616)	(5, 0.10876068376068376)	(6, 0.10876068376068376)	(7, 0.10886752136752137)	(8, 0.10908119658119658)	(9, 0.1094017094017094)	(10, 0.1107051282051282)	(15, 0.11098290598290599)	(20, 0.11100427350427351)	(25, 0.11102564102564103)	(30, 0.11111111111111112)	(35, 0.11111111111111112)	(40, 0.11111111111111112)	(45, 0.11111111111111112)	(50, 0.11111111111111112)	(55, 0.11111111111111112)	(60, 0.11111111111111112)	(65, 0.11111111111111112)	(70, 0.11111111111111112)	(75, 0.1113888888888889)	(80, 0.11331196581196581)	(85, 0.11363247863247863)	(90, 0.125)	(95, 0.26861111111111113)	(100, 8.542136752136752)	(105, 9.10405982905983)	(110, 9.17991452991453)	(115, 9.263846153846155)	(120, 9.29209401709402)	(125, 9.330491452991453)	(130, 9.34292735042735)	(135, 9.349273504273505)	(140, 9.380854700854702)	(145, 9.402970085470084)	(150, 9.410277777777779)	(155, 9.4408547008547)	(160, 9.47594017094017)	(165, 9.482008547008547)	(170, 9.48826923076923)	(175, 9.56638888888889)	(180, 9.601965811965812)	(185, 9.61576923076923)	(190, 9.982820512820513)	(195, 10.057756410256411)	(200, 10.07051282051282)	(205, 10.074679487179488)	(210, 10.086089743589744)	(215, 10.096538461538461)	(220, 10.098589743589743)	(225, 10.098952991452993)	(230, 10.099102564102562)	(235, 10.099316239316241)	(240, 10.099465811965812)
022024-BEL-CBC-T3-846-OFAV_S94_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 7.737542556484061e-05)	(3, 7.737542556484061e-05)	(4, 7.737542556484061e-05)	(5, 7.737542556484061e-05)	(6, 0.00015475085112968121)	(7, 0.00015475085112968121)	(8, 0.00015475085112968121)	(9, 0.00015475085112968121)	(10, 0.00018570102135561745)	(15, 0.0010677808727948004)	(20, 0.007350665428659859)	(25, 0.04955122253172393)	(30, 0.09948932219127204)	(35, 0.11327762302692665)	(40, 0.13274528009904055)	(45, 0.13964716805942431)	(50, 0.16443825441039925)	(55, 0.17435778396781182)	(60, 0.1792324357783968)	(65, 0.18333333333333335)	(70, 0.20942432683379758)	(75, 0.24481584648715565)	(80, 0.2537294955122253)	(85, 0.27022593624264934)	(90, 0.28207985143918296)	(95, 0.2843082636954503)	(100, 0.286412875270814)	(105, 0.2910863509749303)	(110, 0.3289538842463634)	(115, 0.3390900649953575)	(120, 0.34042092231507276)	(125, 0.34201485608170845)	(130, 0.34504797276385024)	(135, 0.35071185391519655)	(140, 0.35405447229959763)	(145, 0.35660786134323735)	(150, 0.3585577220674714)	(155, 0.3602909316001238)	(160, 0.3629216960693284)	(165, 0.3709687403280718)	(170, 0.6711080160940885)	(175, 1.7841225626740946)	(180, 1.8747446610956362)	(185, 1.8985143918291552)	(190, 34.69467657072114)	(195, 83.08025379139585)	(200, 83.08816155988859)	(205, 83.10948622717424)	(210, 83.33494274218508)	(215, 83.52584339213865)	(220, 83.55595790776849)	(225, 83.5572887650882)	(230, 83.55999690498298)	(235, 83.56750232126277)	(240, 83.56963788300835)
022024-BEL-CBC-T3-846-OFAV_S94_R2_16S - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 7.737542556484061e-05)	(9, 7.737542556484061e-05)	(10, 0.0001392757660167131)	(15, 0.00015475085112968121)	(20, 0.00015475085112968121)	(25, 0.06598576292169607)	(30, 0.16723924481584648)	(35, 0.16891055400804705)	(40, 0.16895697926338593)	(45, 0.16939028164654907)	(50, 0.18758898173939956)	(55, 0.2032188177034974)	(60, 0.2055400804704426)	(65, 0.20566388115134634)	(70, 0.205834107087589)	(75, 0.20622098421541318)	(80, 0.20657691117301144)	(85, 0.2067471371092541)	(90, 0.20682451253481898)	(95, 0.20683998761993191)	(100, 0.20690188796038375)	(105, 0.20690188796038375)	(110, 0.20690188796038375)	(115, 0.20690188796038375)	(120, 0.20690188796038375)	(125, 0.20691736304549674)	(130, 0.20697926338594863)	(135, 0.20697926338594863)	(140, 0.20697926338594863)	(145, 0.20697926338594863)	(150, 0.21261219436706905)	(155, 0.21405137728257503)	(160, 0.21409780253791397)	(165, 0.21409780253791397)	(170, 0.2141751779634788)	(175, 0.21443825441039924)	(180, 0.214562055091303)	(185, 0.214562055091303)	(190, 0.214562055091303)	(195, 0.214562055091303)	(200, 0.214562055091303)	(205, 0.214562055091303)	(210, 0.214562055091303)	(215, 0.214562055091303)	(220, 0.21463943051686787)	(225, 0.21463943051686787)	(230, 0.21463943051686787)	(235, 0.21463943051686787)	(240, 0.21463943051686785)
