Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
012024-BEL-CBC-T2-597-PAST_S54_R2_16S	74.23080172523976	12.109497700474634
012024-BEL-CBC-T3-640-MCAV_S56_R2_16S	86.80636676194027	7.046725487759417
022024-BEL-CBC-T1-773-SSID_S63_R2_16S	48.03389984446488	29.954361227478664
022024-BEL-CBC-T3-845-SSID_S70_R2_16S	44.80032051282051	26.573824786324813
022024-BEL-CBC-T3-846-OFAV_S94_R2_16S	81.6269730733519	10.32652429588363
022024-BEL-CBC-T3-849-PSTR_S23_R2_16S	67.77905056736856	21.288688467280366
022024-BEL-CBC-T3-850-MCAV_S43_R2_16S	83.81118409724048	10.685667680700718
022024-BEL-CBC-T3-853-SSID_S75_R2_16S	32.55874443415774	33.390424547017595
022024-BEL-CBC-T4-871-PSTR_S91_R2_16S	77.29774321143607	13.739639213808388
042024-BEL-CBC-T1-932-SSID_S18_R2_16S	4.6728425728396505	55.79671212799008
042024-BEL-CBC-T1-938-SSID_S17_R2_16S	13.599656413293163	54.51217845685325
042024-BEL-CBC-T1-940-SSID_S35_R2_16S	33.656636116186526	37.58378522245028
042024-BEL-CBC-T2-1030-SSID_S48_R2_16S	37.62429907558653	40.98474781224565
042024-BEL-CBC-T3-1011-SSID_S10_R2_16S	6.948589989465439	58.52674833202776
042024-BEL-CBC-T3-1012-SSID_S27_R2_16S	35.270844713599445	42.950079689962195
042024-BEL-CBC-T3-1057-SSID_S5_R2_16S	19.064492565216852	51.8708910596888
042024-BEL-CBC-T3-942-PAST_S34_R2_16S	36.10233879301884	38.16285527888274
042024-BEL-CBC-T3-953-MCAV_S41_R2_16S	87.99385845215909	7.732010907317047
052022-BEL-CBC-T1-10-PSTR_S38_R2_16S	59.20418860796324	23.5986088225495
052022-BEL-CBC-T1-17-SSID_S69_R2_16S	46.22493707330529	37.67304841045445
052022-BEL-CBC-T1-34-PAST_S40_R2_16S	32.32994642108721	32.8754771694929
052022-BEL-CBC-T1-4-PSTR_S52_R2_16S	81.22341724111911	8.71483929387847
052022-BEL-CBC-T1-61-PAST_S89_R2_16S	49.649038928582996	31.784215609148433
052022-BEL-CBC-T2-4-MCAV_S83_R2_16S	72.17880247197954	19.007672707338955
052022-BEL-CBC-T2-60-PAST_S20_R2_16S	10.967240002638816	72.91664297039746
052022-BEL-CBC-T2-62-PAST_S12_R2_16S	48.4992295423211	35.07664026384796
052022-BEL-CBC-T2-72-OFAV_S13_R2_16S	24.311748554775367	60.35105357432607
052022-BEL-CBC-T3-40-MCAV_S1_R2_16S	25.67367863299075	57.75649868204251
052022-BEL-CBC-T3-48-MCAV_S7_R2_16S	49.64895241114087	35.219765408368005
052022-BEL-CBC-T3-49-MCAV_S2_R2_16S	76.26008269910709	17.42314376460719
052022-BEL-CBC-T3-51-MCAV_S33_R2_16S	78.74776524598848	7.646721257200866
052022-BEL-CBC-T3-55-PAST_S88_R2_16S	72.42526135919888	18.105791179962395
062019-BEL-CBC-T1-16-MCAV_S78_R2_16S	76.4010985776682	15.968058501110875
062019-BEL-CBC-T1-17-MCAV_S65_R2_16S	73.96069202311762	14.500571417101867
062019-BEL-CBC-T2-25-PAST_S79_R2_16S	59.336151581876265	30.801512954480927
062019-BEL-CBC-T2-26-SSID_S44_R2_16S	57.31474378760976	25.053864655312054
062019-BEL-CBC-T3-12-PAST_S36_R2_16S	54.765643364204784	23.27159042828263
062019-BEL-CBC-T3-15-MCAV_S60_R2_16S	76.25995189142864	10.13964734181512
062019-BEL-CBC-T3-23-PAST_S26_R2_16S	50.693096725349676	43.827341085773355
062019-BEL-CBC-T3-28-SSID_S95_R2_16S	61.805157290966186	27.575339943331308
062019-BEL-CBC-T3-31-PAST_S42_R2_16S	53.171448560818824	28.74320552937288
062019-BEL-CBC-T3-4-PAST_S22_R2_16S	60.64687053290696	30.275444798353348
062019-BEL-CBC-T3-7-PAST_S58_R2_16S	68.47555256600948	13.305164230291894
062019-BEL-CBC-T3-8-MCAV_S77_R2_16S	66.54406166172733	24.535448074437625
062019-BEL-CBC-T3-9-MCAV_S80_R2_16S	82.08842385387686	9.981099552437414
062024-BEL-CBC-T1-1344-SSID_S39_R2_16S	27.71910286299183	37.93400631702012
062024-BEL-CBC-T2-1381-SSID_S30_R2_16S	40.355782242115126	42.97137503903407
062024-BEL-CBC-T3-1430-PSTR_S62_R2_16S	73.58090404965405	10.784874847374866
