Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
012024-BEL-CBC-T2-597-PAST_S54_R2_16S	(1.0, 1.9542174573293443)	(2.0, 0.43260971757972516)	(3.0, 0.24695797598441996)	(4.0, 0.17460362161705484)	(5.0, 0.15651503302521355)	(6.0, 0.10853153155104772)	(7.0, 0.08795170021901273)	(8.0, 0.10398230567765052)	(9.0, 0.09163440687842953)	('>10', 2.6624885998565913)	('>50', 2.5092230138838043)	('>100', 4.555616452600316)	('>500', 0.7803005521893691)	('>1k', 4.257642157892798)	('>5k', 2.5702043035676763)	('>10k+', 79.30752117014754)
012024-BEL-CBC-T3-640-MCAV_S56_R2_16S	(1.0, 1.3301023155627356)	(2.0, 0.277950374880908)	(3.0, 0.1668323598856717)	(4.0, 0.11971335073112131)	(5.0, 0.0859533573588501)	(6.0, 0.07269789983844911)	(7.0, 0.07901495381301521)	(8.0, 0.06462035541195477)	(9.0, 0.05219336398657885)	('>10', 1.7291122985791805)	('>50', 0.6237314112919928)	('>100', 1.3233710285406568)	('>500', 0.22161468041920385)	('>1k', 1.9873866037032433)	('>5k', 0.8406859699266807)	('>10k+', 91.02501967606975)
022024-BEL-CBC-T1-773-SSID_S63_R2_16S	(1.0, 2.7049487415278772)	(2.0, 0.6945721648899333)	(3.0, 0.41824188549436325)	(4.0, 0.321969051916942)	(5.0, 0.26792911231452154)	(6.0, 0.21865740267702055)	(7.0, 0.21933857838629475)	(8.0, 0.19527036999193942)	(9.0, 0.18085215081230205)	('>10', 5.169101869827323)	('>50', 2.5936900423464233)	('>100', 5.920552206441652)	('>500', 4.2832328599162155)	('>1k', 11.813403267372818)	('>5k', 3.499880794250877)	('>10k+', 61.4983595018335)
022024-BEL-CBC-T3-845-SSID_S70_R2_16S	(1.0, 2.931303418803419)	(2.0, 0.7510683760683761)	(3.0, 0.4458333333333333)	(4.0, 0.33247863247863246)	(5.0, 0.26335470085470086)	(6.0, 0.19423076923076923)	(7.0, 0.18472222222222223)	(8.0, 0.15897435897435896)	(9.0, 0.125)	('>10', 4.409722222222222)	('>50', 4.563354700854701)	('>100', 9.917094017094017)	('>500', 5.070512820512821)	('>1k', 13.216239316239317)	('>5k', 8.789529914529915)	('>10k+', 48.646581196581195)
022024-BEL-CBC-T3-846-OFAV_S94_R2_16S	(1.0, 1.4038997214484679)	(2.0, 0.3104302073661405)	(3.0, 0.20427112349117918)	(4.0, 0.15413184772516247)	(5.0, 0.12109254100897554)	(6.0, 0.09377901578458682)	(7.0, 0.08070256886412874)	(8.0, 0.07242339832869081)	(9.0, 0.06615598885793872)	('>10', 1.2231507273290003)	('>50', 0.5383782110801609)	('>100', 1.8997988238935313)	('>500', 1.2598266790467347)	('>1k', 3.9921850820179507)	('>5k', 1.9103218817703498)	('>10k+', 86.66945218198701)
022024-BEL-CBC-T3-849-PSTR_S23_R2_16S	(1.0, 1.9088912292582323)	(2.0, 0.38652738781801116)	(3.0, 0.24471273187795586)	(4.0, 0.16885838102629835)	(5.0, 0.1319206101767956)	(6.0, 0.13587822848209946)	(7.0, 0.09234442712375693)	(8.0, 0.11081331254850832)	(9.0, 0.05540665627425416)	('>10', 2.6863433585668144)	('>50', 1.7323374793049542)	('>100', 3.48314384403466)	('>500', 1.5760115562454515)	('>1k', 5.912461880440351)	('>5k', 1.8638183541144941)	('>10k+', 79.51053056270736)
022024-BEL-CBC-T3-850-MCAV_S43_R2_16S	(1.0, 1.2013567322029013)	(2.0, 0.2795156663592083)	(3.0, 0.1970225040812758)	(4.0, 0.15804515232535943)	(5.0, 0.12414019566096646)	(6.0, 0.10491848794572003)	(7.0, 0.08689813696267652)	(8.0, 0.06727597700336246)	(9.0, 0.05766512314573925)	('>10', 0.8222619411522079)	('>50', 0.442766697857447)	('>100', 1.6195623590908665)	('>500', 0.45971917618964353)	('>1k', 1.832469468853492)	('>5k', 2.022684284785618)	('>10k+', 90.52369809638353)
022024-BEL-CBC-T3-853-SSID_S75_R2_16S	(1.0, 3.0555922937882998)	(2.0, 1.1374156857558524)	(3.0, 0.7994974209760614)	(4.0, 0.6921483048979412)	(5.0, 0.715293391526694)	(6.0, 0.6216108980293612)	(7.0, 0.5616541021910681)	(8.0, 0.557245514261782)	(9.0, 0.5197725168628489)	('>10', 8.828858616585107)	('>50', 4.118061984746286)	('>100', 13.291892606798042)	('>500', 5.183838116651237)	('>1k', 10.558347661244104)	('>5k', 3.56059604108804)	('>10k+', 45.79817484459728)
022024-BEL-CBC-T4-871-PSTR_S91_R2_16S	(1.0, 1.015179880517697)	(2.0, 0.21094825575515141)	(3.0, 0.12116108231729342)	(4.0, 0.08036124028767673)	(5.0, 0.06914644391191363)	(6.0, 0.060270930215757544)	(7.0, 0.04912493627174759)	(8.0, 0.042932717413964275)	(9.0, 0.04148786634714817)	('>10', 1.1525783367287334)	('>50', 0.5469105300057725)	('>100', 2.3520111294813604)	('>500', 1.726941037004012)	('>1k', 3.422370560265082)	('>5k', 1.9879774630754548)	('>10k+', 87.12059759040123)
042024-BEL-CBC-T1-932-SSID_S18_R2_16S	(1.0, 4.936079146313227)	(2.0, 1.5223211576114934)	(3.0, 1.0102349796671664)	(4.0, 0.8029727074702089)	(5.0, 0.6316778577803155)	(6.0, 0.5408601159499783)	(7.0, 0.4673516962011658)	(8.0, 0.433407441210124)	(9.0, 0.4167725083006067)	('>10', 8.0005035439151)	('>50', 4.77107859556207)	('>100', 17.377210591506742)	('>500', 8.857652181536574)	('>1k', 22.409053000245027)	('>5k', 12.852284043727394)	('>10k+', 14.970540433002807)
