Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
012024-BEL-CBC-T2-597-PAST_S54_R2_16S	(202, 1.0)	(204, 2.0)	(206, 1.0)	(208, 0.0)	(210, 2.0)	(212, 2.0)	(214, 0.0)	(216, 4.0)	(218, 5.0)	(220, 4.0)	(222, 4.0)	(224, 11.0)	(226, 15.0)	(228, 850115.0)	(230, 6478.0)	(232, 78.0)	(234, 25.0)	(236, 14.0)	(238, 6.0)	(240, 4.0)	(242, 0.0)	(244, 1.0)	(246, 1.0)	(248, 7.0)	(250, 66454.0)																								
012024-BEL-CBC-T3-640-MCAV_S56_R2_16S	(204, 2.0)	(205, 0.0)	(206, 1.0)	(207, 0.0)	(208, 0.0)	(209, 1.0)	(210, 2.0)	(211, 0.0)	(212, 1.0)	(213, 1.0)	(214, 2.0)	(215, 2.0)	(216, 2.0)	(217, 0.0)	(218, 2.0)	(219, 5.0)	(220, 2.0)	(221, 4.0)	(222, 0.0)	(223, 0.0)	(224, 4.0)	(225, 5.0)	(226, 1.0)	(227, 6.0)	(228, 2175.0)	(229, 927005.0)	(230, 7717.0)	(231, 719.0)	(232, 59.0)	(233, 36.0)	(234, 24.0)	(235, 8.0)	(236, 12.0)	(237, 19.0)	(238, 10.0)	(239, 7.0)	(240, 5.0)	(241, 0.0)	(242, 0.0)	(243, 1.0)	(244, 0.0)	(245, 0.0)	(246, 0.0)	(247, 0.0)	(248, 2.0)	(249, 0.0)	(250, 0.0)	(251, 27798.0)	
022024-BEL-CBC-T1-773-SSID_S63_R2_16S	(204, 1.0)	(205, 0.0)	(206, 0.0)	(207, 0.0)	(208, 0.0)	(209, 1.0)	(210, 0.0)	(211, 0.0)	(212, 2.0)	(213, 1.0)	(214, 2.0)	(215, 2.0)	(216, 3.0)	(217, 0.0)	(218, 1.0)	(219, 4.0)	(220, 0.0)	(221, 3.0)	(222, 3.0)	(223, 4.0)	(224, 1.0)	(225, 0.0)	(226, 3.0)	(227, 3.0)	(228, 424.0)	(229, 8936.0)	(230, 768015.0)	(231, 4517.0)	(232, 45.0)	(233, 19.0)	(234, 12.0)	(235, 7.0)	(236, 8.0)	(237, 6.0)	(238, 6.0)	(239, 3.0)	(240, 1.0)	(241, 0.0)	(242, 0.0)	(243, 0.0)	(244, 0.0)	(245, 0.0)	(246, 0.0)	(247, 0.0)	(248, 11.0)	(249, 0.0)	(250, 0.0)	(251, 98786.0)	
022024-BEL-CBC-T3-845-SSID_S70_R2_16S	(208, 1.0)	(209, 1.0)	(210, 0.0)	(211, 1.0)	(212, 3.0)	(213, 0.0)	(214, 0.0)	(215, 1.0)	(216, 0.0)	(217, 2.0)	(218, 2.0)	(219, 2.0)	(220, 2.0)	(221, 0.0)	(222, 5.0)	(223, 3.0)	(224, 4.0)	(225, 3.0)	(226, 9.0)	(227, 2.0)	(228, 617.0)	(229, 3607.0)	(230, 823013.0)	(231, 4240.0)	(232, 56.0)	(233, 14.0)	(234, 11.0)	(235, 15.0)	(236, 5.0)	(237, 2.0)	(238, 0.0)	(239, 0.0)	(240, 3.0)	(241, 0.0)	(242, 0.0)	(243, 1.0)	(244, 0.0)	(245, 0.0)	(246, 0.0)	(247, 0.0)	(248, 13.0)	(249, 0.0)	(250, 0.0)	(251, 104362.0)					
022024-BEL-CBC-T3-846-OFAV_S94_R2_16S	(190, 3.0)	(192, 3.0)	(194, 0.0)	(196, 0.0)	(198, 2.0)	(200, 1.0)	(202, 1.0)	(204, 4.0)	(206, 3.0)	(208, 6.0)	(210, 4.0)	(212, 7.0)	(214, 6.0)	(216, 14.0)	(218, 14.0)	(220, 13.0)	(222, 13.0)	(224, 17.0)	(226, 3604.0)	(228, 1253990.0)	(230, 8297.0)	(232, 158.0)	(234, 50.0)	(236, 51.0)	(238, 23.0)	(240, 12.0)	(242, 4.0)	(244, 0.0)	(246, 2.0)	(248, 8119.0)	(250, 17979.0)																		
022024-BEL-CBC-T3-849-PSTR_S23_R2_16S	(196, 1.0)	(198, 1.0)	(200, 0.0)	(202, 0.0)	(204, 0.0)	(206, 2.0)	(208, 0.0)	(210, 1.0)	(212, 2.0)	(214, 1.0)	(216, 0.0)	(218, 0.0)	(220, 3.0)	(222, 1.0)	(224, 1.0)	(226, 5.0)	(228, 776.0)	(230, 410695.0)	(232, 1666.0)	(234, 18.0)	(236, 7.0)	(238, 6.0)	(240, 1.0)	(242, 0.0)	(244, 0.0)	(246, 0.0)	(248, 2.0)	(250, 41630.0)																					
022024-BEL-CBC-T3-850-MCAV_S43_R2_16S	(196, 1.0)	(198, 0.0)	(200, 0.0)	(202, 0.0)	(204, 4.0)	(206, 0.0)	(208, 1.0)	(210, 5.0)	(212, 2.0)	(214, 2.0)	(216, 3.0)	(218, 3.0)	(220, 4.0)	(222, 6.0)	(224, 8.0)	(226, 11.0)	(228, 736119.0)	(230, 6076.0)	(232, 68.0)	(234, 24.0)	(236, 27.0)	(238, 13.0)	(240, 1.0)	(242, 1.0)	(244, 0.0)	(246, 0.0)	(248, 1.0)	(250, 6773.0)																					
022024-BEL-CBC-T3-853-SSID_S75_R2_16S	(212, 1.0)	(213, 0.0)	(214, 0.0)	(215, 1.0)	(216, 0.0)	(217, 0.0)	(218, 0.0)	(219, 2.0)	(220, 0.0)	(221, 3.0)	(222, 0.0)	(223, 6.0)	(224, 1.0)	(225, 2.0)	(226, 0.0)	(227, 2.0)	(228, 5.0)	(229, 1398.0)	(230, 399567.0)	(231, 1727.0)	(232, 15.0)	(233, 9.0)	(234, 1.0)	(235, 4.0)	(236, 2.0)	(237, 4.0)	(238, 0.0)	(239, 1.0)	(240, 1.0)	(241, 0.0)	(242, 0.0)	(243, 0.0)	(244, 0.0)	(245, 0.0)	(246, 0.0)	(247, 0.0)	(248, 4.0)	(249, 0.0)	(250, 0.0)	(251, 50904.0)									
022024-BEL-CBC-T4-871-PSTR_S91_R2_16S	(196, 1.0)	(198, 1.0)	(200, 0.0)	(202, 0.0)	(204, 4.0)	(206, 1.0)	(208, 3.0)	(210, 6.0)	(212, 4.0)	(214, 3.0)	(216, 2.0)	(218, 7.0)	(220, 2.0)	(222, 6.0)	(224, 9.0)	(226, 20.0)	(228, 7593.0)	(230, 1383035.0)	(232, 91.0)	(234, 25.0)	(236, 24.0)	(238, 7.0)	(240, 6.0)	(242, 0.0)	(244, 0.0)	(246, 0.0)	(248, 25.0)	(250, 62562.0)																					
042024-BEL-CBC-T1-932-SSID_S18_R2_16S	(207, 1.0)	(208, 3.0)	(209, 0.0)	(210, 0.0)	(211, 1.0)	(212, 0.0)	(213, 1.0)	(214, 0.0)	(215, 0.0)	(216, 0.0)	(217, 0.0)	(218, 0.0)	(219, 0.0)	(220, 1.0)	(221, 2.0)	(222, 0.0)	(223, 0.0)	(224, 0.0)	(225, 2.0)	(226, 0.0)	(227, 2.0)	(228, 4.0)	(229, 768.0)	(230, 1676.0)	(231, 396571.0)	(232, 1567.0)	(233, 16.0)	(234, 1.0)	(235, 6.0)	(236, 3.0)	(237, 4.0)	(238, 1.0)	(239, 0.0)	(240, 0.0)	(241, 0.0)	(242, 2.0)	(243, 0.0)	(244, 0.0)	(245, 0.0)	(246, 1.0)	(247, 0.0)	(248, 0.0)	(249, 0.0)	(250, 0.0)	(251, 44214.0)				
