Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
012024-BEL-CBC-T2-597-PAST_S54_R2_16S	012024-BEL-CBC-T2-597-PAST_S54_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	923234.0	212.8 Mbp	0.0	202-251	44.0	2.5602393326069013	230.09808672557554	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T3-640-MCAV_S56_R2_16S	012024-BEL-CBC-T3-640-MCAV_S56_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	965640.0	221.7 Mbp	0.0	204-251	34.0	1.703844082680916	229.6411323060354	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T1-773-SSID_S63_R2_16S	022024-BEL-CBC-T1-773-SSID_S63_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	880830.0	204.6 Mbp	0.0	204-251	48.0	3.7563434487926157	232.34946130354325	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T3-845-SSID_S70_R2_16S	022024-BEL-CBC-T3-845-SSID_S70_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	936000.0	217.4 Mbp	0.0	208-251	48.0	3.9817307692307695	232.3410576923077	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T3-846-OFAV_S94_R2_16S	022024-BEL-CBC-T3-846-OFAV_S94_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1292400.0	295.2 Mbp	0.0	191-251	35.0	1.8148406066233365	228.9392339832869	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T3-849-PSTR_S23_R2_16S	022024-BEL-CBC-T3-849-PSTR_S23_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	454819.0	105.8 Mbp	0.0	197-251	41.0	2.4765895883857096	232.33443963422812	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T3-850-MCAV_S43_R2_16S	022024-BEL-CBC-T3-850-MCAV_S43_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	749153.0	171.7 Mbp	0.0	197-251	34.0	1.578582746114612	228.71555009457347	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T3-853-SSID_S75_R2_16S	022024-BEL-CBC-T3-853-SSID_S75_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	453660.0	105.4 Mbp	0.0	212-251	49.0	5.090596481946832	232.35720363267646	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
022024-BEL-CBC-T4-871-PSTR_S91_R2_16S	022024-BEL-CBC-T4-871-PSTR_S91_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1453437.0	335.5 Mbp	0.0	197-251	38.0	1.297132245842097	231.35055767811056	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T1-932-SSID_S18_R2_16S	042024-BEL-CBC-T1-932-SSID_S18_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	444847.0	103.6 Mbp	0.0	207-251	54.0	7.17617517933132	232.9840147286595	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T1-938-SSID_S17_R2_16S	042024-BEL-CBC-T1-938-SSID_S17_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	307346.0	72.1 Mbp	0.0	207-251	55.0	5.318110533405348	234.84678505658118	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T1-940-SSID_S35_R2_16S	042024-BEL-CBC-T1-940-SSID_S35_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	612429.0	141.4 Mbp	0.0	214-251	47.0	5.831369840422319	230.9437779726303	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
042024-BEL-CBC-T2-1030-SSID_S48_R2_16S	042024-BEL-CBC-T2-1030-SSID_S48_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	551593.0	127.8 Mbp	0.0	206-251	50.0	4.267276778349254	231.83745442744922	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
