Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
012024-BEL-CBC-T2-597-PAST_S54_R2_16S	97.4397606673931	44.0	230.09808672557554	228	45.45454545454545	0.923234
012024-BEL-CBC-T3-640-MCAV_S56_R2_16S	98.29615591731908	34.0	229.6411323060354	229	45.45454545454545	0.9656399999999999
022024-BEL-CBC-T1-773-SSID_S63_R2_16S	96.24365655120738	48.0	232.34946130354325	230	45.45454545454545	0.88083
022024-BEL-CBC-T3-845-SSID_S70_R2_16S	96.01826923076923	48.0	232.3410576923077	230	45.45454545454545	0.9359999999999999
022024-BEL-CBC-T3-846-OFAV_S94_R2_16S	98.18515939337667	35.0	228.9392339832869	228	45.45454545454545	1.2924
022024-BEL-CBC-T3-849-PSTR_S23_R2_16S	97.5234104116143	41.0	232.33443963422812	230	45.45454545454545	0.454819
022024-BEL-CBC-T3-850-MCAV_S43_R2_16S	98.4214172538854	34.0	228.71555009457347	228	45.45454545454545	0.749153
022024-BEL-CBC-T3-853-SSID_S75_R2_16S	94.90940351805317	49.0	232.35720363267646	230	45.45454545454545	0.45365999999999995
022024-BEL-CBC-T4-871-PSTR_S91_R2_16S	98.70286775415791	38.0	231.35055767811056	230	45.45454545454545	1.4534369999999999
042024-BEL-CBC-T1-932-SSID_S18_R2_16S	92.82382482066868	54.0	232.9840147286595	231	45.45454545454545	0.444847
042024-BEL-CBC-T1-938-SSID_S17_R2_16S	94.68188946659465	55.0	234.84678505658118	231	45.45454545454545	0.307346
042024-BEL-CBC-T1-940-SSID_S35_R2_16S	94.16863015957767	47.0	230.9437779726303	229	45.45454545454545	0.612429
042024-BEL-CBC-T2-1030-SSID_S48_R2_16S	95.73272322165074	50.0	231.83745442744922	229	45.45454545454545	0.551593
042024-BEL-CBC-T3-1011-SSID_S10_R2_16S	94.49079576456606	56.0	233.93043644147917	231	45.45454545454545	0.592336
042024-BEL-CBC-T3-1012-SSID_S27_R2_16S	96.52016751751718	50.0	233.37639513632715	231	45.45454545454545	0.444849
042024-BEL-CBC-T3-1057-SSID_S5_R2_16S	94.80419467865147	53.0	236.52084586908344	231	45.45454545454545	0.40384499999999995
042024-BEL-CBC-T3-942-PAST_S34_R2_16S	95.20877475573825	46.0	229.26753132535453	228	45.45454545454545	1.039254
042024-BEL-CBC-T3-953-MCAV_S41_R2_16S	98.38840569284618	34.0	229.25332985641995	229	45.45454545454545	0.444839
052022-BEL-CBC-T1-10-PSTR_S38_R2_16S	96.77894479763252	42.0	230.36400893682264	228	45.45454545454545	0.663323
052022-BEL-CBC-T1-17-SSID_S69_R2_16S	96.73794048686298	44.0	231.9343946107165	230	45.45454545454545	0.928064
052022-BEL-CBC-T1-34-PAST_S40_R2_16S	93.97605373749731	50.0	231.55196814716643	228	45.45454545454545	0.441405
052022-BEL-CBC-T1-4-PSTR_S52_R2_16S	98.11831130957401	37.0	230.39483503264725	229	45.45454545454545	1.1264349999999999
052022-BEL-CBC-T1-61-PAST_S89_R2_16S	96.65248853781141	49.0	231.86338328377656	230	45.45454545454545	0.524987
052022-BEL-CBC-T2-4-MCAV_S83_R2_16S	98.55902377878604	40.0	232.13619278726227	230	45.45454545454545	0.560037
