Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
012024-BEL-CBC-T1-557-SSID_S56_R1_16S	(16.0, 2.0)	(17.0, 20.0)	(18.0, 45.0)	(19.0, 98.0)	(20.0, 95.0)	(21.0, 93.0)	(22.0, 130.0)	(23.0, 141.0)	(24.0, 167.0)	(25.0, 203.0)	(26.0, 186.0)	(27.0, 227.0)	(28.0, 296.0)	(29.0, 392.0)	(30.0, 433.0)	(31.0, 601.0)	(32.0, 631.0)	(33.0, 794.0)	(34.0, 1255.0)	(35.0, 4034.0)	(36.0, 13206.0)	(37.0, 6096.0)	(38.0, 6899.0)	(39.0, 111373.0)	(40.0, 42675.0)													
012024-BEL-CBC-T1-563-PSTR_S68_R1_16S	(16.0, 2.0)	(17.0, 16.0)	(18.0, 33.0)	(19.0, 65.0)	(20.0, 44.0)	(21.0, 67.0)	(22.0, 76.0)	(23.0, 78.0)	(24.0, 116.0)	(25.0, 112.0)	(26.0, 109.0)	(27.0, 145.0)	(28.0, 247.0)	(29.0, 299.0)	(30.0, 321.0)	(31.0, 370.0)	(32.0, 362.0)	(33.0, 496.0)	(34.0, 714.0)	(35.0, 2535.0)	(36.0, 10653.0)	(37.0, 3354.0)	(38.0, 3074.0)	(39.0, 81197.0)	(40.0, 11576.0)													
012024-BEL-CBC-T2-601-OFAV_S58_R1_16S	(16.0, 7.0)	(17.0, 27.0)	(18.0, 118.0)	(19.0, 203.0)	(20.0, 193.0)	(21.0, 186.0)	(22.0, 203.0)	(23.0, 239.0)	(24.0, 279.0)	(25.0, 321.0)	(26.0, 364.0)	(27.0, 378.0)	(28.0, 630.0)	(29.0, 857.0)	(30.0, 786.0)	(31.0, 959.0)	(32.0, 1002.0)	(33.0, 1240.0)	(34.0, 1762.0)	(35.0, 4509.0)	(36.0, 9423.0)	(37.0, 4980.0)	(38.0, 12545.0)	(39.0, 215181.0)	(40.0, 25048.0)													
012024-BEL-CBC-T2-605-SSID_S83_R1_16S	(15.0, 2.0)	(16.0, 20.0)	(17.0, 152.0)	(18.0, 220.0)	(19.0, 220.0)	(20.0, 228.0)	(21.0, 263.0)	(22.0, 309.0)	(23.0, 429.0)	(24.0, 527.0)	(25.0, 567.0)	(26.0, 572.0)	(27.0, 753.0)	(28.0, 1213.0)	(29.0, 1324.0)	(30.0, 1910.0)	(31.0, 2585.0)	(32.0, 2936.0)	(33.0, 3896.0)	(34.0, 6473.0)	(35.0, 11161.0)	(36.0, 15478.0)	(37.0, 26013.0)	(38.0, 77105.0)	(39.0, 463921.0)	(40.0, 18125.0)												
012024-BEL-CBC-T3-627-PAST_S81_R1_16S	(14.0, 1.0)	(15.0, 4.0)	(16.0, 86.0)	(17.0, 344.0)	(18.0, 531.0)	(19.0, 531.0)	(20.0, 616.0)	(21.0, 753.0)	(22.0, 888.0)	(23.0, 1181.0)	(24.0, 1586.0)	(25.0, 1591.0)	(26.0, 1507.0)	(27.0, 1768.0)	(28.0, 2593.0)	(29.0, 2981.0)	(30.0, 3186.0)	(31.0, 4013.0)	(32.0, 4673.0)	(33.0, 5685.0)	(34.0, 7779.0)	(35.0, 13813.0)	(36.0, 18214.0)	(37.0, 25343.0)	(38.0, 70572.0)	(39.0, 1271505.0)	(40.0, 253529.0)											
012024-BEL-CBC-T3-631-MCAV_S61_R1_16S	(16.0, 6.0)	(17.0, 69.0)	(18.0, 191.0)	(19.0, 277.0)	(20.0, 289.0)	(21.0, 269.0)	(22.0, 329.0)	(23.0, 379.0)	(24.0, 543.0)	(25.0, 590.0)	(26.0, 571.0)	(27.0, 628.0)	(28.0, 964.0)	(29.0, 1139.0)	(30.0, 1124.0)	(31.0, 1376.0)	(32.0, 1414.0)	(33.0, 1762.0)	(34.0, 2368.0)	(35.0, 4316.0)	(36.0, 9373.0)	(37.0, 6065.0)	(38.0, 13520.0)	(39.0, 371902.0)	(40.0, 118188.0)													
012024-BEL-CBC-T3-633-MCAV_S69_R1_16S	(16.0, 2.0)	(17.0, 30.0)	(18.0, 63.0)	(19.0, 91.0)	(20.0, 109.0)	(21.0, 92.0)	(22.0, 121.0)	(23.0, 136.0)	(24.0, 158.0)	(25.0, 182.0)	(26.0, 172.0)	(27.0, 211.0)	(28.0, 380.0)	(29.0, 483.0)	(30.0, 463.0)	(31.0, 705.0)	(32.0, 640.0)	(33.0, 774.0)	(34.0, 1167.0)	(35.0, 3060.0)	(36.0, 10809.0)	(37.0, 4192.0)	(38.0, 5071.0)	(39.0, 140907.0)	(40.0, 11364.0)													
012024-BEL-CBC-T3-637-SSID_S70_R1_16S	(15.0, 1.0)	(16.0, 21.0)	(17.0, 86.0)	(18.0, 40.0)	(19.0, 35.0)	(20.0, 24.0)	(21.0, 30.0)	(22.0, 22.0)	(23.0, 36.0)	(24.0, 46.0)	(25.0, 55.0)	(26.0, 61.0)	(27.0, 57.0)	(28.0, 70.0)	(29.0, 100.0)	(30.0, 87.0)	(31.0, 129.0)	(32.0, 178.0)	(33.0, 225.0)	(34.0, 363.0)	(35.0, 1259.0)	(36.0, 4780.0)	(37.0, 1413.0)	(38.0, 1219.0)	(39.0, 21644.0)	(40.0, 5769.0)												
012024-BEL-CBC-T4-661-PSTR_S71_R1_16S	(16.0, 17.0)	(17.0, 127.0)	(18.0, 205.0)	(19.0, 209.0)	(20.0, 213.0)	(21.0, 222.0)	(22.0, 271.0)	(23.0, 353.0)	(24.0, 441.0)	(25.0, 428.0)	(26.0, 455.0)	(27.0, 547.0)	(28.0, 692.0)	(29.0, 989.0)	(30.0, 953.0)	(31.0, 954.0)	(32.0, 1213.0)	(33.0, 1547.0)	(34.0, 2013.0)	(35.0, 3810.0)	(36.0, 10817.0)	(37.0, 7790.0)	(38.0, 14254.0)	(39.0, 317430.0)	(40.0, 111791.0)													
012024-BEL-CBC-T4-663-PSTR_S82_R1_16S	(17.0, 21.0)	(18.0, 33.0)	(19.0, 47.0)	(20.0, 50.0)	(21.0, 43.0)	(22.0, 57.0)	(23.0, 72.0)	(24.0, 65.0)	(25.0, 64.0)	(26.0, 96.0)	(27.0, 112.0)	(28.0, 144.0)	(29.0, 166.0)	(30.0, 187.0)	(31.0, 228.0)	(32.0, 311.0)	(33.0, 445.0)	(34.0, 824.0)	(35.0, 4657.0)	(36.0, 7061.0)	(37.0, 1393.0)	(38.0, 1672.0)	(39.0, 33454.0)	(40.0, 8917.0)														
022024-BEL-CBC-T1-775-OANN_S93_R1_16S	(16.0, 9.0)	(17.0, 41.0)	(18.0, 70.0)	(19.0, 72.0)	(20.0, 93.0)	(21.0, 93.0)	(22.0, 107.0)	(23.0, 147.0)	(24.0, 195.0)	(25.0, 213.0)	(26.0, 228.0)	(27.0, 230.0)	(28.0, 372.0)	(29.0, 451.0)	(30.0, 413.0)	(31.0, 569.0)	(32.0, 625.0)	(33.0, 753.0)	(34.0, 971.0)	(35.0, 1759.0)	(36.0, 3417.0)	(37.0, 3340.0)	(38.0, 6169.0)	(39.0, 145493.0)	(40.0, 63390.0)													
022024-BEL-CBC-T1-776-PSTR_S59_R1_16S	(16.0, 5.0)	(17.0, 23.0)	(18.0, 50.0)	(19.0, 96.0)	(20.0, 90.0)	(21.0, 77.0)	(22.0, 99.0)	(23.0, 102.0)	(24.0, 149.0)	(25.0, 165.0)	(26.0, 165.0)	(27.0, 191.0)	(28.0, 288.0)	(29.0, 326.0)	(30.0, 378.0)	(31.0, 439.0)	(32.0, 501.0)	(33.0, 670.0)	(34.0, 1152.0)	(35.0, 4766.0)	(36.0, 12374.0)	(37.0, 1824.0)	(38.0, 4016.0)	(39.0, 80010.0)	(40.0, 7830.0)													
022024-BEL-CBC-T2-804-OFAV_S87_R1_16S	(15.0, 3.0)	(16.0, 73.0)	(17.0, 331.0)	(18.0, 539.0)	(19.0, 468.0)	(20.0, 578.0)	(21.0, 649.0)	(22.0, 746.0)	(23.0, 978.0)	(24.0, 1232.0)	(25.0, 1316.0)	(26.0, 1399.0)	(27.0, 1594.0)	(28.0, 2350.0)	(29.0, 3066.0)	(30.0, 2808.0)	(31.0, 3350.0)	(32.0, 3657.0)	(33.0, 4378.0)	(34.0, 5760.0)	(35.0, 10795.0)	(36.0, 15840.0)	(37.0, 17951.0)	(38.0, 41457.0)	(39.0, 982659.0)	(40.0, 345964.0)												
022024-BEL-CBC-T2-814-MCAV_S1_R1_16S	(16.0, 2.0)	(17.0, 31.0)	(18.0, 94.0)	(19.0, 141.0)	(20.0, 191.0)	(21.0, 168.0)	(22.0, 197.0)	(23.0, 257.0)	(24.0, 334.0)	(25.0, 359.0)	(26.0, 384.0)	(27.0, 470.0)	(28.0, 861.0)	(29.0, 1014.0)	(30.0, 978.0)	(31.0, 1325.0)	(32.0, 1313.0)	(33.0, 1655.0)	(34.0, 2714.0)	(35.0, 13110.0)	(36.0, 18582.0)	(37.0, 5635.0)	(38.0, 11517.0)	(39.0, 280764.0)	(40.0, 9001.0)													
022024-BEL-CBC-T3-851-PSTR_S13_R1_16S	(16.0, 16.0)	(17.0, 100.0)	(18.0, 202.0)	(19.0, 220.0)	(20.0, 244.0)	(21.0, 265.0)	(22.0, 302.0)	(23.0, 379.0)	(24.0, 493.0)	(25.0, 621.0)	(26.0, 609.0)	(27.0, 641.0)	(28.0, 913.0)	(29.0, 1137.0)	(30.0, 1048.0)	(31.0, 1155.0)	(32.0, 1390.0)	(33.0, 1704.0)	(34.0, 2292.0)	(35.0, 3825.0)	(36.0, 7523.0)	(37.0, 7635.0)	(38.0, 14514.0)	(39.0, 362590.0)	(40.0, 238287.0)													
022024-BEL-CBC-T4-874-OFAV_S89_R1_16S	(16.0, 31.0)	(17.0, 90.0)	(18.0, 161.0)	(19.0, 190.0)	(20.0, 231.0)	(21.0, 230.0)	(22.0, 274.0)	(23.0, 358.0)	(24.0, 472.0)	(25.0, 496.0)	(26.0, 505.0)	(27.0, 708.0)	(28.0, 1112.0)	(29.0, 1175.0)	(30.0, 1224.0)	(31.0, 1434.0)	(32.0, 1631.0)	(33.0, 1969.0)	(34.0, 2688.0)	(35.0, 4491.0)	(36.0, 7016.0)	(37.0, 11003.0)	(38.0, 30375.0)	(39.0, 448811.0)	(40.0, 48616.0)													
022024-BEL-CBC-T4-875-MCAV_S76_R1_16S	(16.0, 6.0)	(17.0, 31.0)	(18.0, 78.0)	(19.0, 88.0)	(20.0, 135.0)	(21.0, 125.0)	(22.0, 161.0)	(23.0, 150.0)	(24.0, 175.0)	(25.0, 214.0)	(26.0, 228.0)	(27.0, 263.0)	(28.0, 487.0)	(29.0, 581.0)	(30.0, 562.0)	(31.0, 728.0)	(32.0, 724.0)	(33.0, 905.0)	(34.0, 1321.0)	(35.0, 3672.0)	(36.0, 10489.0)	(37.0, 3865.0)	(38.0, 6438.0)	(39.0, 167903.0)	(40.0, 16870.0)													
042024-BEL-CBC-T1-927-PSTR_S67_R1_16S	(16.0, 1.0)	(17.0, 9.0)	(18.0, 34.0)	(19.0, 26.0)	(20.0, 39.0)	(21.0, 37.0)	(22.0, 44.0)	(23.0, 40.0)	(24.0, 64.0)	(25.0, 75.0)	(26.0, 85.0)	(27.0, 104.0)	(28.0, 170.0)	(29.0, 240.0)	(30.0, 249.0)	(31.0, 360.0)	(32.0, 421.0)	(33.0, 599.0)	(34.0, 1438.0)	(35.0, 3992.0)	(36.0, 7046.0)	(37.0, 3100.0)	(38.0, 8651.0)	(39.0, 47014.0)	(40.0, 774.0)													
042024-BEL-CBC-T2-1014-OFAV_S95_R1_16S	(16.0, 19.0)	(17.0, 74.0)	(18.0, 150.0)	(19.0, 171.0)	(20.0, 197.0)	(21.0, 216.0)	(22.0, 253.0)	(23.0, 340.0)	(24.0, 438.0)	(25.0, 445.0)	(26.0, 501.0)	(27.0, 824.0)	(28.0, 1571.0)	(29.0, 1543.0)	(30.0, 1383.0)	(31.0, 1622.0)	(32.0, 1683.0)	(33.0, 1833.0)	(34.0, 2304.0)	(35.0, 3385.0)	(36.0, 5456.0)	(37.0, 8929.0)	(38.0, 22493.0)	(39.0, 345692.0)	(40.0, 76200.0)													
