Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
012024-BEL-CBC-T1-557-SSID_S56_R1_16S	96.86783241798707	54.0	232.89921722113502	232	54.54545454545454	0.19009199999999998
012024-BEL-CBC-T1-563-PSTR_S68_R1_16S	97.57282808178458	43.0	231.5105763348584	231	54.54545454545454	0.116061
012024-BEL-CBC-T2-601-OFAV_S58_R1_16S	98.15946560545764	42.0	232.85542211483798	232	54.54545454545454	0.28143999999999997
012024-BEL-CBC-T2-605-SSID_S83_R1_16S	96.50331080040603	48.0	229.52213223717084	229	54.54545454545454	0.636402
012024-BEL-CBC-T3-627-PAST_S81_R1_16S	97.93602564306752	49.0	228.7459167343549	228	54.54545454545454	1.695273
012024-BEL-CBC-T3-631-MCAV_S61_R1_16S	98.83493412095557	42.0	232.18260324522183	232	54.54545454545454	0.537652
012024-BEL-CBC-T3-633-MCAV_S69_R1_16S	97.93033487336119	38.0	231.49633370455723	231	54.54545454545454	0.181382
012024-BEL-CBC-T3-637-SSID_S70_R1_16S	92.75496688741723	55.0	234.8685298013245	231	54.54545454545454	0.03775
012024-BEL-CBC-T4-661-PSTR_S71_R1_16S	97.96040113785503	54.0	231.20926192225494	231	45.45454545454545	0.47774099999999997
012024-BEL-CBC-T4-663-PSTR_S82_R1_16S	93.57108401670021	54.0	229.94853540478053	229	54.54545454545454	0.060119
022024-BEL-CBC-T1-775-OANN_S93_R1_16S	97.8457377192217	48.0	229.28770177122416	229	54.54545454545454	0.22921999999999998
022024-BEL-CBC-T1-776-PSTR_S59_R1_16S	97.78643359300779	44.0	232.43538942531913	232	54.54545454545454	0.115786
022024-BEL-CBC-T2-804-OFAV_S87_R1_16S	98.624426787021	45.0	229.23528543575222	229	54.54545454545454	1.449941
022024-BEL-CBC-T2-814-MCAV_S1_R1_16S	96.19364449140836	37.0	230.31964528321234	228	54.54545454545454	0.351097
022024-BEL-CBC-T3-851-PSTR_S13_R1_16S	99.0123513936785	49.0	232.0629789926015	232	54.54545454545454	0.6481049999999999
022024-BEL-CBC-T4-874-OFAV_S89_R1_16S	98.24373641186574	45.0	229.3143602144736	229	54.54545454545454	0.565291
022024-BEL-CBC-T4-875-MCAV_S76_R1_16S	98.41211106434349	37.0	231.3429479322291	231	54.54545454545454	0.216199
042024-BEL-CBC-T1-927-PSTR_S67_R1_16S	96.20302364230955	44.0	231.79609178148286	231	54.54545454545454	0.074612
042024-BEL-CBC-T2-1014-OFAV_S95_R1_16S	98.22930490954991	42.0	228.76801361461267	228	54.54545454545454	0.477722
042024-BEL-CBC-T2-1018-PAST_S15_R1_16S	99.5363999462979	52.0	232.04686765791772	232	45.45454545454545	2.38352
