.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
012024-BEL-CBC-T1-557-SSID_S56_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
012024-BEL-CBC-T1-563-PSTR_S68_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
012024-BEL-CBC-T2-601-OFAV_S58_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
012024-BEL-CBC-T2-605-SSID_S83_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
012024-BEL-CBC-T3-627-PAST_S81_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
012024-BEL-CBC-T3-631-MCAV_S61_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
012024-BEL-CBC-T3-633-MCAV_S69_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
012024-BEL-CBC-T3-637-SSID_S70_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
012024-BEL-CBC-T4-661-PSTR_S71_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.5
012024-BEL-CBC-T4-663-PSTR_S82_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
022024-BEL-CBC-T1-775-OANN_S93_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
022024-BEL-CBC-T1-776-PSTR_S59_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
022024-BEL-CBC-T2-804-OFAV_S87_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
022024-BEL-CBC-T2-814-MCAV_S1_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
022024-BEL-CBC-T3-851-PSTR_S13_R2_16S	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.5
022024-BEL-CBC-T4-874-OFAV_S89_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
022024-BEL-CBC-T4-875-MCAV_S76_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T1-927-PSTR_S67_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T2-1014-OFAV_S95_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T2-1018-PAST_S15_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
042024-BEL-CBC-T2-1026-OFAV_S91_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T2-1144-MCAV_S3_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T3-960-OFAV_S4_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T4-1046-PSTR_S60_R2_16S	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.25
042024-BEL-CBC-T4-1047-MCAV_S92_R2_16S	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T1-2-SSID_S8_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T2-1-SSID_S57_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
052022-BEL-CBC-T2-71-OFAV_S21_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T2-9-PAST_S23_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T3-11-PAST_S19_R2_16S	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T3-13-MCAV_S5_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T3-19-MCAV_S6_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T3-66-OFAV_S40_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
052022-BEL-CBC-T3-8-PAST_S17_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062019-BEL-CBC-T1-21-PAST_S16_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062019-BEL-CBC-T1-22-MCAV_S18_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062019-BEL-CBC-T2-18-MCAV_S79_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062019-BEL-CBC-T3-1-MCAV_S48_R2_16S	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062024-BEL-CBC-T1-1347-OANN_S65_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062024-BEL-CBC-T1-1353-MCAV_S86_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062024-BEL-CBC-T2-1375-SSID_S33_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062024-BEL-CBC-T2-1396-MCAV_S49_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062024-BEL-CBC-T3-1415-MCAV_S50_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062024-BEL-CBC-T3-1433-PSTR_S2_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
062024-BEL-CBC-T3-1439-OFAV_S41_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
062024-BEL-CBC-T3-1442-OFAV_S35_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T1-1479-PAST_S47_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T1-1482-OANN_S36_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T2-1510-PAST_S94_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T3-1554-OANN_S14_R2_16S	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T3-1558-MCAV_S34_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T3-1560-PSTR_S54_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T3-1561-MCAV_S38_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T3-1562-OFAV_S31_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T4-1606-PSTR_S25_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T4-1607-PSTR_S90_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
082024-BEL-CBC-T4-1609-OFAV_S12_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
092023-BEL-CBC-T1-171-PAST_S42_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
092023-BEL-CBC-T1-175-PAST_S7_R2_16S	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
092023-BEL-CBC-T2-174-SSID_S46_R2_16S	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
