Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
012024-BEL-CBC-T1-557-SSID_S56_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.07417461018875071)	(4, 0.07470067125391916)	(5, 0.07470067125391916)	(6, 0.07470067125391916)	(7, 0.07470067125391916)	(8, 0.07470067125391916)	(9, 0.0752267323190876)	(10, 0.07543715674515497)	(15, 0.09269195968267997)	(20, 3.7815373608568477)	(25, 9.304231635208215)	(30, 9.322538560276076)	(35, 9.342423668539443)	(40, 9.37282999810618)	(45, 9.380615701870672)	(50, 9.387244071291796)	(55, 9.398291353660333)	(60, 9.419123371841003)	(65, 9.487826946952001)	(70, 9.507817267428404)	(75, 9.529175346674242)	(80, 9.577257328030639)	(85, 9.61039917513625)	(90, 9.627022704795573)	(95, 9.649538118384783)	(100, 9.680575721229719)	(105, 9.749174084127684)	(110, 9.810512804326327)	(115, 9.940449887422933)	(120, 9.991162174105169)	(125, 10.009153462533932)	(130, 10.028091660879996)	(135, 10.050712286682238)	(140, 10.070913031584706)	(145, 10.105212213033688)	(150, 10.15287334553795)	(155, 10.164762325610758)	(160, 10.183595311743787)	(165, 10.20789933295457)	(170, 10.235570144982429)	(175, 10.258506407423774)	(180, 10.281337457652084)	(185, 10.390337310354985)	(190, 10.901458241272646)	(195, 11.017402100035772)	(200, 11.120720493234854)	(205, 12.712370852008501)	(210, 18.895271763146262)	(215, 18.92757191254761)	(220, 18.950823811628055)	(225, 18.966290006944007)	(230, 20.20284914672895)	(235, 24.75443469477937)	(240, 28.02169475832755)
012024-BEL-CBC-T1-557-SSID_S56_R2_16S - polyg	(1, 0.17938682322243965)	(2, 0.17938682322243965)	(3, 0.17938682322243965)	(4, 0.17938682322243965)	(5, 0.17938682322243965)	(6, 0.17938682322243965)	(7, 0.1799128842876081)	(8, 0.1799128842876081)	(9, 0.18149106748311344)	(10, 0.1820171285482819)	(15, 0.1820171285482819)	(20, 0.1820171285482819)	(25, 0.1820171285482819)	(30, 0.1820171285482819)	(35, 0.18254318961345034)	(40, 0.18254318961345034)	(45, 0.18254318961345034)	(50, 0.1829640384655851)	(55, 0.18306925067861876)	(60, 0.18306925067861876)	(65, 0.18306925067861876)	(70, 0.18349009953075351)	(75, 0.2096879405761421)	(80, 0.25840119521074006)	(85, 0.25924289291500957)	(90, 0.27639248363950086)	(95, 3.562906382172842)	(100, 9.559792100667046)	(105, 9.591566189003219)	(110, 9.619868274309281)	(115, 9.654693516823432)	(120, 9.66342613050523)	(125, 9.670790985417588)	(130, 9.683521663194664)	(135, 9.703301559244997)	(140, 9.774425015255769)	(145, 9.794730972371273)	(150, 9.817351598173516)	(155, 9.864276245186542)	(160, 9.900890095322264)	(165, 9.918881383751025)	(170, 9.941922858405402)	(175, 9.970119731498432)	(180, 10.038507669970329)	(185, 10.107316457294363)	(190, 10.237148328177934)	(195, 10.290701344612083)	(200, 10.311954211644888)	(205, 10.330997622203984)	(210, 10.354670370136565)	(215, 10.376659722660607)	(220, 10.391389432485322)	(225, 10.393493676745997)	(230, 10.396650043137008)	(235, 10.403067988132062)	(240, 10.404961807966668)
012024-BEL-CBC-T1-563-PSTR_S68_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0008616158744108701)	(3, 0.0008616158744108701)	(4, 0.04738887309259786)	(5, 0.04738887309259786)	(6, 0.04738887309259786)	(7, 0.04738887309259786)	(8, 0.04738887309259786)	(9, 0.04738887309259786)	(10, 0.047733519442362204)	(15, 0.05721129406088178)	(20, 0.09598400840937094)	(25, 12.005927917215946)	(30, 12.13068989583064)	(35, 12.167567055255425)	(40, 12.192898561963107)	(45, 12.207718355002973)	(50, 12.214094312473614)	(55, 12.233566831235297)	(60, 12.255279551270451)	(65, 12.269582374785674)	(70, 12.280611057978131)	(75, 12.290605802121297)	(80, 12.313352461205744)	(85, 12.33282497996743)	(90, 12.37159769431592)	(95, 12.38572819465626)	(100, 12.3921041521269)	(105, 12.413299902637407)	(110, 12.479644324967044)	(115, 12.489639069110208)	(120, 12.490845331334384)	(125, 12.4936025021325)	(130, 12.500323105952903)	(135, 12.506699063423543)	(140, 12.50876694152213)	(145, 12.509283911046776)	(150, 12.513764313593715)	(155, 12.514453606293241)	(160, 12.520657240589)	(165, 12.575972979726178)	(170, 12.639904877607465)	(175, 12.684191933552185)	(180, 12.697460818018111)	(185, 13.019877478222659)	(190, 68.91083137315721)	(195, 69.11882544523999)	(200, 69.13209432970594)	(205, 69.1526007875169)	(210, 69.2618536803922)	(215, 69.3121720474578)	(220, 69.31544618778057)	(225, 69.31785871222891)	(230, 69.31785871222891)	(235, 69.32509628557395)	(240, 69.32733648684743)
012024-BEL-CBC-T1-563-PSTR_S68_R2_16S - polyg	(1, 0.08529997156667614)	(2, 0.08960805093873049)	(3, 0.08960805093873049)	(4, 0.09046966681314136)	(5, 0.09046966681314136)	(6, 0.09046966681314136)	(7, 0.09046966681314136)	(8, 0.09046966681314136)	(9, 0.09133128268755224)	(10, 0.09133128268755224)	(15, 0.09202057538708094)	(20, 0.09219289856196311)	(25, 0.09219289856196311)	(30, 0.09219289856196311)	(35, 0.09219289856196311)	(40, 0.09219289856196311)	(45, 0.09219289856196311)	(50, 0.09219289856196311)	(55, 0.09219289856196311)	(60, 0.09219289856196311)	(65, 0.09219289856196311)	(70, 0.09253754491172746)	(75, 0.09977511825677875)	(80, 0.14044338752897184)	(85, 0.14044338752897184)	(90, 0.1506104548470201)	(95, 0.3315497884733028)	(100, 11.31336107736449)	(105, 12.43673585442138)	(110, 12.485503312913037)	(115, 12.517383100266239)	(120, 12.532202893306106)	(125, 12.54047440570045)	(130, 12.56115318668631)	(135, 12.587690955618166)	(140, 12.601304486433857)	(145, 12.61353943185049)	(150, 12.622672560119247)	(155, 12.647659420477162)	(160, 12.67040607956161)	(165, 12.709523440259863)	(170, 12.724343233299729)	(175, 12.73227009934431)	(180, 12.753810496204583)	(185, 12.819810272184455)	(190, 12.833596126175028)	(195, 12.83463006522432)	(200, 12.837559559197317)	(205, 12.845831071591665)	(210, 12.852896321761833)	(215, 12.856859754784121)	(220, 12.860478541456647)	(225, 12.860478541456647)	(230, 12.860823187806412)	(235, 12.862374096380353)	(240, 12.865648236703112)
012024-BEL-CBC-T2-601-OFAV_S58_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.008527572484366117)	(4, 0.008527572484366117)	(5, 0.008527572484366117)	(6, 0.008527572484366117)	(7, 0.008527572484366117)	(8, 0.008527572484366117)	(9, 0.008527572484366117)	(10, 0.008527572484366117)	(15, 0.012791358726549174)	(20, 1.350767481523593)	(25, 3.374147242751563)	(30, 3.399872086412735)	(35, 3.4189169982944856)	(40, 3.4361142694712905)	(45, 3.4699403069926094)	(50, 3.509664582148949)	(55, 3.5419272313814667)	(60, 3.5512364980102333)	(65, 3.574758385446276)	(70, 3.6785815804434336)	(75, 3.694712905059693)	(80, 3.6981239340534393)	(85, 3.7001847640704946)	(90, 3.7075042637862423)	(95, 3.7116969869243888)	(100, 3.7161028993746443)	(105, 3.7223564525298465)	(110, 3.7249857873791923)	(115, 3.7261938601478106)	(120, 3.7290363843092664)	(125, 3.73308698123934)	(130, 3.7431068789084705)	(135, 3.75824332006822)	(140, 3.760517339397384)	(145, 3.7620096645821492)	(150, 3.764638999431495)	(155, 3.766202387720296)	(160, 3.7699687322342235)	(165, 3.7730955088118243)	(170, 3.8855884025014213)	(175, 3.9382461625923826)	(180, 3.949758385446276)	(185, 4.198266060261512)	(190, 57.31587549744172)	(195, 57.42971859010801)	(200, 57.43433769187038)	(205, 57.4535247299602)	(210, 57.574332006822054)	(215, 57.58577316657191)	(220, 57.59664582148948)	(225, 57.59806708357021)	(230, 57.59906196702673)	(235, 57.61604604889142)	(240, 57.62045196134167)
012024-BEL-CBC-T2-601-OFAV_S58_R2_16S - polyg	(1, 0.16060261512222854)	(2, 0.16095793064241046)	(3, 0.16095793064241046)	(4, 0.1616685616827743)	(5, 0.1616685616827743)	(6, 0.1616685616827743)	(7, 0.16273450824332006)	(8, 0.1634451392836839)	(9, 0.16522171688459353)	(10, 0.1666429789653212)	(15, 0.1666429789653212)	(20, 0.1666429789653212)	(25, 0.16678510517339395)	(30, 0.16699829448550313)	(35, 0.16699829448550313)	(40, 0.16699829448550313)	(45, 0.1671404206935759)	(50, 0.16735361000568505)	(55, 0.16735361000568505)	(60, 0.16735361000568505)	(65, 0.16735361000568505)	(70, 0.16735361000568505)	(75, 0.17062251279135873)	(80, 0.17588118249005116)	(85, 0.17588118249005116)	(90, 0.18000284252416146)	(95, 1.3933342808413873)	(100, 3.5673678226264927)	(105, 3.5994883456509377)	(110, 3.621304718590108)	(115, 3.638786242183059)	(120, 3.6718305855599773)	(125, 3.715534394542354)	(130, 3.7458072768618527)	(135, 3.7573905628197837)	(140, 3.783683911313246)	(145, 3.88523308698124)	(150, 3.9055571347356457)	(155, 3.9091813530415003)	(160, 3.911526435474701)	(165, 3.919130187606595)	(170, 3.9233229107447416)	(175, 3.928013075611143)	(180, 3.934693007390563)	(185, 3.9373223422399093)	(190, 3.9386725412166)	(195, 3.941301876065946)	(200, 3.9452814098919844)	(205, 3.95558555997726)	(210, 3.97072200113701)	(215, 3.9732802728823193)	(220, 3.97484366117112)	(225, 3.9749147242751564)	(230, 3.9749147242751564)	(235, 3.9749147242751564)	(240, 3.9749147242751564)
012024-BEL-CBC-T2-605-SSID_S83_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00031426676848909967)	(7, 0.00031426676848909967)	(8, 0.00031426676848909967)	(9, 0.00031426676848909967)	(10, 0.00031426676848909967)	(15, 0.0016027605192944082)	(20, 0.015430498332814794)	(25, 0.37438600130106436)	(30, 1.2004047755978138)	(35, 1.2130382996910758)	(40, 1.226206077290769)	(45, 1.23770824101747)	(50, 1.2541129663326012)	(55, 1.2588898212136352)	(60, 1.2634781160335762)	(65, 1.2792228811348803)	(70, 1.2879280706220282)	(75, 1.2910078849532216)	(80, 1.2942134059918105)	(85, 1.2970103802313633)	(90, 1.2995559410561248)	(95, 1.3027300354178646)	(100, 1.3053698762731734)	(105, 1.3104924245995455)	(110, 1.3219945883262465)	(115, 1.3328367918391204)	(120, 1.3419191014484555)	(125, 1.3467902363600364)	(130, 1.355401145816638)	(135, 1.3597694538986365)	(140, 1.3641691886574838)	(145, 1.3694802970449493)	(150, 1.3845022485787286)	(155, 1.418160219483911)	(160, 1.4354763184276604)	(165, 1.45769497895984)	(170, 1.4883674155643758)	(175, 1.4959412446849631)	(180, 1.5098004091753325)	(185, 1.516368584636755)	(190, 1.674821889308959)	(195, 1.7948403681949459)	(200, 1.8229986706515695)	(205, 1.8601135760101322)	(210, 9.054025600170961)	(215, 13.784211866084647)	(220, 13.785626066542847)	(225, 13.786568866848313)	(230, 13.793765575846715)	(235, 13.865449825739077)	(240, 13.982357063617021)
012024-BEL-CBC-T2-605-SSID_S83_R2_16S - polyg	(1, 0.2955678957639982)	(2, 0.30122469759680204)	(3, 0.3021674979022693)	(4, 0.3023246312865139)	(5, 0.3023246312865139)	(6, 0.3023246312865139)	(7, 0.30248176467075844)	(8, 0.302638898055003)	(9, 0.30295316482349205)	(10, 0.30477591208072885)	(15, 0.30603297915468525)	(20, 0.30656723266111674)	(25, 0.30656723266111674)	(30, 0.30656723266111674)	(35, 0.30656723266111674)	(40, 0.30656723266111674)	(45, 0.30656723266111674)	(50, 0.30656723266111674)	(55, 0.30656723266111674)	(60, 0.30656723266111674)	(65, 0.30656723266111674)	(70, 0.30656723266111674)	(75, 0.30656723266111674)	(80, 0.3067557927222102)	(85, 0.3069443527833036)	(90, 0.30835855324150463)	(95, 0.321809170932838)	(100, 0.6447497022322368)	(105, 1.514545837379518)	(110, 1.5281850151319447)	(115, 1.5426412864824435)	(120, 1.5537663300869577)	(125, 1.571522402506592)	(130, 1.5772106310162446)	(135, 1.5821760459583722)	(140, 1.5973551308763958)	(145, 1.6073173874375002)	(150, 1.610931455275125)	(155, 1.6143569630516559)	(160, 1.6172167906449069)	(165, 1.6198566315002154)	(170, 1.624193512905365)	(175, 1.6272104738828603)	(180, 1.6326158623008726)	(185, 1.6442437327349695)	(190, 1.654865949509901)	(195, 1.664576792656214)	(200, 1.6701393144584713)	(205, 1.6794101841288995)	(210, 1.6843127457173295)	(215, 1.6878639602012566)	(220, 1.6894038673668532)	(225, 1.691163761270392)	(230, 1.6927665217896866)	(235, 1.6938036021257006)	(240, 1.6942121489247361)
012024-BEL-CBC-T3-627-PAST_S81_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0004129128464854923)	(4, 0.0004129128464854923)	(5, 0.0004129128464854923)	(6, 0.0006488630444772022)	(7, 0.0006488630444772022)	(8, 0.0006488630444772022)	(9, 0.0006488630444772022)	(10, 0.0006488630444772022)	(15, 0.0009909908315651815)	(20, 0.01724795947319399)	(25, 0.17358856066250097)	(30, 0.5567480871812387)	(35, 0.5577980655623017)	(40, 0.5595794895571391)	(45, 0.5607946330767964)	(50, 0.5621159541855502)	(55, 0.5635788454130987)	(60, 0.5650535341505469)	(65, 0.5664928303582963)	(70, 0.5676961763680539)	(75, 0.5683096468828326)	(80, 0.5686399771600208)	(85, 0.5691000800461048)	(90, 0.5696309679915861)	(95, 0.5699966907984731)	(100, 0.571341606927026)	(105, 0.5725685479565827)	(110, 0.5740078441643323)	(115, 0.578396517846978)	(120, 0.5789627983221581)	(125, 0.5800245742131208)	(130, 0.581499262950569)	(135, 0.5829385591583185)	(140, 0.5856519864352231)	(145, 0.5868081424053825)	(150, 0.5883890087319269)	(155, 0.5896631398010822)	(160, 0.5914209687761204)	(165, 0.5924827446670832)	(170, 0.5979567892604908)	(175, 0.7706369416607236)	(180, 0.7744239423384907)	(185, 0.7801221396199903)	(190, 0.9074526639662167)	(195, 1.0021040858905912)	(200, 1.0037203447468344)	(205, 1.0328012066493124)	(210, 6.474355457793524)	(215, 10.049638022902506)	(220, 10.05036946851628)	(225, 10.050782381362765)	(230, 10.055713740500792)	(235, 10.06886796403883)	(240, 10.072713952266096)
012024-BEL-CBC-T3-627-PAST_S81_R2_16S - polyg	(1, 0.2961174984795959)	(2, 0.3034319546173389)	(3, 0.30455271805779954)	(4, 0.3050836060032809)	(5, 0.3050836060032809)	(6, 0.3050836060032809)	(7, 0.30549651884976636)	(8, 0.3057324690477581)	(9, 0.3062043694437415)	(10, 0.3080447809880768)	(15, 0.3087998216216503)	(20, 0.3089295942305458)	(25, 0.30901217679984283)	(30, 0.30904756932954164)	(35, 0.30909475936913994)	(40, 0.30909475936913994)	(45, 0.3091537469186379)	(50, 0.3091655444285375)	(55, 0.3092127344681358)	(60, 0.3093896971166296)	(65, 0.3093896971166296)	(70, 0.3093896971166296)	(75, 0.30961384980472173)	(80, 0.31010934522050426)	(85, 0.3101565352601027)	(90, 0.31060484063628685)	(95, 0.3259298059958485)	(100, 0.4699066168103898)	(105, 0.8713640811833846)	(110, 0.8736527981039043)	(115, 0.8759533125343234)	(120, 0.8779352941974536)	(125, 0.8794217804448016)	(130, 0.8809554567317477)	(135, 0.8825245255483924)	(140, 0.8840935943650374)	(145, 0.8854149154737909)	(150, 0.886063778518268)	(155, 0.8864530963449546)	(160, 0.886948591760737)	(165, 0.8875620622755156)	(170, 0.8879749751220011)	(175, 0.8894024738198508)	(180, 0.8907237949286044)	(185, 0.8923282562749482)	(190, 0.8967051324476942)	(195, 0.8974247805515689)	(200, 0.8986635190910255)	(205, 0.9005393231650596)	(210, 0.9021791770411018)	(215, 0.9049869843972033)	(220, 0.9053763022238897)	(225, 0.9058246076000739)	(230, 0.905989772738668)	(235, 0.9062965079960573)	(240, 0.9066386357831453)
