Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
012024-BEL-CBC-T1-557-SSID_S56_R2_16S	7.824106222250279	62.4092544662584
012024-BEL-CBC-T1-563-PSTR_S68_R2_16S	58.53732089160011	29.373346774540984
012024-BEL-CBC-T2-601-OFAV_S58_R2_16S	53.97527003979534	33.58371233655486
012024-BEL-CBC-T2-605-SSID_S83_R2_16S	12.312657722634436	57.88291048739632
012024-BEL-CBC-T3-627-PAST_S81_R2_16S	9.625116426675822	63.57229779510441
012024-BEL-CBC-T3-631-MCAV_S61_R2_16S	35.464575599086395	55.01513990462234
012024-BEL-CBC-T3-633-MCAV_S69_R2_16S	77.4690983669824	10.201673815483346
012024-BEL-CBC-T3-637-SSID_S70_R2_16S	4.929801324503312	66.24370860927156
012024-BEL-CBC-T4-661-PSTR_S71_R2_16S	5.035155031701278	82.53802792726603
012024-BEL-CBC-T4-663-PSTR_S82_R2_16S	19.902193981935827	48.207721352650566
022024-BEL-CBC-T1-775-OANN_S93_R2_16S	18.332169967716606	69.92234534508329
022024-BEL-CBC-T1-776-PSTR_S59_R2_16S	58.40516124574646	31.506399737446678
022024-BEL-CBC-T2-804-OFAV_S87_R2_16S	21.118928287426865	63.50451501130047
022024-BEL-CBC-T2-814-MCAV_S1_R2_16S	78.48400869275443	6.913189232605234
022024-BEL-CBC-T3-851-PSTR_S13_R2_16S	23.071570193101426	61.667631016579165
022024-BEL-CBC-T4-874-OFAV_S89_R2_16S	24.78228027688394	65.23100491605209
022024-BEL-CBC-T4-875-MCAV_S76_R2_16S	74.44576524405755	16.09859435057514
042024-BEL-CBC-T1-927-PSTR_S67_R2_16S	63.59968905806036	25.033506674529548
042024-BEL-CBC-T2-1014-OFAV_S95_R2_16S	37.31542612649197	44.96066750118271
042024-BEL-CBC-T2-1018-PAST_S15_R2_16S	79.38788011008928	13.692815667584085
042024-BEL-CBC-T2-1026-OFAV_S91_R2_16S	19.3035950654701	61.34480204056276
042024-BEL-CBC-T2-1144-MCAV_S3_R2_16S	70.15633656275759	17.442674341616353
042024-BEL-CBC-T3-960-OFAV_S4_R2_16S	45.822050290135394	5.520862116606814
042024-BEL-CBC-T4-1046-PSTR_S60_R2_16S	21.349080831676847	62.454597776197886
042024-BEL-CBC-T4-1047-MCAV_S92_R2_16S	50.04182923308137	41.84737142137955
052022-BEL-CBC-T1-2-SSID_S8_R2_16S	21.061271970732076	59.912857029773875
052022-BEL-CBC-T2-1-SSID_S57_R2_16S	39.1754030906049	39.266191973781275
052022-BEL-CBC-T2-71-OFAV_S21_R2_16S	29.37693443111668	53.10902617374673
052022-BEL-CBC-T2-9-PAST_S23_R2_16S	11.474768532086944	59.66341902254662
052022-BEL-CBC-T3-11-PAST_S19_R2_16S	79.88715906348057	5.108013516775301
052022-BEL-CBC-T3-13-MCAV_S5_R2_16S	53.910322854552895	24.037575205871924
052022-BEL-CBC-T3-19-MCAV_S6_R2_16S	52.81260958988503	26.889211142388646
052022-BEL-CBC-T3-66-OFAV_S40_R2_16S	55.42964716203497	30.245734599321864
052022-BEL-CBC-T3-8-PAST_S17_R2_16S	64.2150734115535	16.901487465538224
062019-BEL-CBC-T1-21-PAST_S16_R2_16S	20.654392380304447	61.7378178416532
062019-BEL-CBC-T1-22-MCAV_S18_R2_16S	50.16613371128265	41.75676150539396
062019-BEL-CBC-T2-18-MCAV_S79_R2_16S	49.452037458871175	39.0635282207036
062019-BEL-CBC-T3-1-MCAV_S48_R2_16S	70.06806528894163	24.41394442827395
062024-BEL-CBC-T1-1347-OANN_S65_R2_16S	18.668174244227565	52.814805998571764
062024-BEL-CBC-T1-1353-MCAV_S86_R2_16S	20.041779712975575	60.67658904255435
062024-BEL-CBC-T2-1375-SSID_S33_R2_16S	35.489584160350795	37.775562219195756
062024-BEL-CBC-T2-1396-MCAV_S49_R2_16S	12.110049474234389	63.89836972998344
062024-BEL-CBC-T3-1415-MCAV_S50_R2_16S	76.47544072267316	15.59460643032456
062024-BEL-CBC-T3-1433-PSTR_S2_R2_16S	5.5657231730732875	82.69931340480304
062024-BEL-CBC-T3-1439-OFAV_S41_R2_16S	70.47075894571337	11.970461866787417
062024-BEL-CBC-T3-1442-OFAV_S35_R2_16S	39.04551221059309	54.283380907072626
082024-BEL-CBC-T1-1479-PAST_S47_R2_16S	39.57553967012468	41.007047391535444
082024-BEL-CBC-T1-1482-OANN_S36_R2_16S	39.68752954523967	35.80252749676973
082024-BEL-CBC-T2-1510-PAST_S94_R2_16S	17.887507220434305	56.548918045690286
082024-BEL-CBC-T3-1554-OANN_S14_R2_16S	20.958509005117655	53.82318103723723
082024-BEL-CBC-T3-1558-MCAV_S34_R2_16S	55.163068759885114	25.247071604997522
082024-BEL-CBC-T3-1560-PSTR_S54_R2_16S	36.7425287022657	51.058585037568164
082024-BEL-CBC-T3-1561-MCAV_S38_R2_16S	51.647912439279345	27.14230982078245
082024-BEL-CBC-T3-1562-OFAV_S31_R2_16S	33.45109224137625	55.387763077878326
082024-BEL-CBC-T4-1606-PSTR_S25_R2_16S	69.51245828733342	22.155641804301524
082024-BEL-CBC-T4-1607-PSTR_S90_R2_16S	38.45108898475869	47.754108883548064
082024-BEL-CBC-T4-1609-OFAV_S12_R2_16S	43.29980815659624	45.80789646959363
092023-BEL-CBC-T1-171-PAST_S42_R2_16S	7.249277071452803	69.96474208817308
092023-BEL-CBC-T1-175-PAST_S7_R2_16S	27.83296256057392	50.3045941331678
092023-BEL-CBC-T2-174-SSID_S46_R2_16S	55.49042046725232	23.499119273877724
092023-BEL-CBC-T2-181-PAST_S63_R2_16S	10.642106478808175	66.78531008199565
092023-BEL-CBC-T2-184-MCAV_S37_R2_16S	14.084025666635302	71.87322142501846
092023-BEL-CBC-T3-171-OFAV_S78_R2_16S	35.317279921034114	37.24971502386401
092023-BEL-CBC-T3-173-OFAV_S84_R2_16S	16.656244078074664	56.91894068599579
092023-BEL-CBC-T3-178-PAST_S74_R2_16S	59.359712057467185	29.890214326607
092023-BEL-CBC-T3-195-PSTR_S66_R2_16S	29.742282946577024	55.63326827152454
092023-BEL-CBC-T4-92-PSTR_S43_R2_16S	42.02108978919215	37.61582724743133
092023-BEL-CBC-T4-94-MCAV_S85_R2_16S	17.821466909167764	59.15608505336692
102019-BEL-CBC-T1-29-PSTR_S22_R2_16S	91.45797376432084	3.6035006305554447
112023-BEL-CBC-T1-276-MCAV_S26_R2_16S	68.21412270978679	20.036513007758998
112023-BEL-CBC-T2-304-OFAV_S72_R2_16S	22.554408822524767	66.32569657931977
112023-BEL-CBC-T2-307-SSID_S62_R2_16S	44.85893188428629	41.92235434091013
112023-BEL-CBC-T2-310-MCAV_S55_R2_16S	23.614414499275334	66.95167978626156
112023-BEL-CBC-T3-352-PAST_S30_R2_16S	33.16918283269296	39.88028951671479
112023-BEL-CBC-T3-355-PSTR_S10_R2_16S	26.757719714964374	58.24920823436258
112023-BEL-CBC-T4-399-MCAV_S9_R2_16S	49.55021222777238	37.59565261447352
