Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
012024-BEL-CBC-T1-557-SSID_S56_R2_16S	(1, 39.34741072743724)	(2, 39.19468467899754)	(3, 38.80283231277487)	(4, 39.05879258464323)	(5, 39.45798876333565)	(6, 39.43115964901206)	(7, 39.0006312732782)	(8, 39.29204806093892)	(9, 39.12322454390505)	(10, 39.22117711423942)	(15, 39.254828188456116)	(20, 39.22871872566968)	(25, 38.563327231024985)	(30, 39.27748037792227)	(35, 39.05768996065063)	(40, 39.085154556740946)	(45, 39.18816993876649)	(50, 39.117791385223995)	(55, 39.20632114975906)	(60, 39.139071607432186)	(65, 39.13452433558488)	(70, 39.076485070386966)	(75, 38.958672642720366)	(80, 38.52104875533952)	(85, 38.98486206678871)	(90, 39.25174757485849)	(95, 38.173006754624076)	(100, 38.99805567830314)	(105, 38.99486985249247)	(110, 38.90264924352419)	(115, 38.13768911895293)	(120, 38.95509332323296)	(125, 38.075496075584454)	(130, 38.81379332112871)	(135, 38.634724238789644)	(140, 38.45256191738737)	(145, 38.869033941459925)	(150, 38.573457062895855)	(155, 38.765902826000044)	(160, 38.326355659364935)	(165, 38.73658228647181)	(170, 38.40994044988742)	(175, 38.701405635166125)	(180, 38.30862950571302)	(185, 38.207941417839784)	(190, 38.224524966858155)	(195, 38.29804305283757)	(200, 38.22216190055342)	(205, 38.16971150811186)	(210, 38.01576920648949)	(215, 37.885234992634864)	(220, 37.69942396010332)	(225, 37.77479499541181)	(230, 37.76800918464754)	(235, 37.89265239343341)	(240, 37.90644608139114)	(245, 37.09097935032001)	(250, 36.999830938292476)
012024-BEL-CBC-T1-563-PSTR_S68_R2_16S	(1, 38.41676359845254)	(2, 39.09182240373597)	(3, 39.28344577420494)	(4, 38.89802776126347)	(5, 39.48282368754362)	(6, 39.21355149447273)	(7, 39.4979191976633)	(8, 39.485546393706755)	(9, 39.302297929537055)	(10, 39.39271934586123)	(15, 39.30120195414481)	(20, 39.29290976296947)	(25, 38.82815416031225)	(30, 39.11700915897675)	(35, 39.30396601786991)	(40, 39.17562661014466)	(45, 39.145490733321274)	(50, 38.93603536071548)	(55, 39.02753896657792)	(60, 38.70470183782667)	(65, 39.089244449039725)	(70, 39.25789369383341)	(75, 38.9597056720173)	(80, 39.094083283790425)	(85, 38.48439699813029)	(90, 39.056158399462355)	(95, 37.758116852344884)	(100, 38.072489466745935)	(105, 38.48544472303358)	(110, 38.69632003860039)	(115, 37.94460499220237)	(120, 38.762361172142235)	(125, 37.74299377051723)	(130, 37.95272486020282)	(135, 38.24167635984526)	(140, 38.05258269358355)	(145, 38.568166739904015)	(150, 38.122025486597565)	(155, 38.315113604053046)	(160, 37.47622715640913)	(165, 38.0912589069541)	(170, 37.68791239089789)	(175, 38.20134584399583)	(180, 37.90799665693041)	(185, 37.79441500590207)	(190, 37.22592085196578)	(195, 36.66702854533391)	(200, 37.154406734389674)	(205, 37.74095691059013)	(210, 36.81678856954456)	(215, 36.983828575623434)	(220, 36.376081131148815)	(225, 34.97659984026557)	(230, 38.226350820236505)	(235, 38.721092290848205)	(240, 38.71276277635694)	(245, 38.59774854550598)	(250, 38.5951030927835)
012024-BEL-CBC-T2-601-OFAV_S58_R2_16S	(1, 39.57290363843093)	(2, 39.59158612848209)	(3, 39.34422967595224)	(4, 39.6117111995452)	(5, 39.69344798180784)	(6, 39.73017339397385)	(7, 39.62052302444571)	(8, 39.636782262649234)	(9, 39.66222285389426)	(10, 39.51279420125071)	(15, 39.55004832291075)	(20, 39.56477259806709)	(25, 39.18133598635588)	(30, 39.54786242183059)	(35, 39.524593519044906)	(40, 39.34665861284821)	(45, 39.428453666856164)	(50, 39.176824900511654)	(55, 39.316795054007954)	(60, 39.36586839113132)	(65, 39.40229391699829)	(70, 39.530385162023876)	(75, 39.176111426947124)	(80, 39.200373791927234)	(85, 39.27511370096646)	(90, 39.274503979533826)	(95, 38.88405486071632)	(100, 39.05413587265492)	(105, 39.192094940306994)	(110, 39.251996873223426)	(115, 38.88822200113701)	(120, 39.30592239909039)	(125, 38.966030415008525)	(130, 39.03695707788516)	(135, 39.23737350767481)	(140, 39.074481239340535)	(145, 39.37099346219443)	(150, 39.094317794201245)	(155, 39.183975270039795)	(160, 38.74857447413303)	(165, 39.2230386583286)	(170, 38.77082291074474)	(175, 39.22021461057419)	(180, 38.89787094940307)	(185, 38.845571347356454)	(190, 39.05265207504264)	(195, 38.18723848777715)	(200, 38.79232660602615)	(205, 38.78992325184764)	(210, 38.74390562819784)	(215, 38.59281836270609)	(220, 38.74073829380719)	(225, 38.438688524355044)	(230, 37.83932519475915)	(235, 37.36406976628565)	(240, 37.20627523498912)	(245, 37.08699410609038)	(250, 36.92809430255403)
012024-BEL-CBC-T2-605-SSID_S83_R2_16S	(1, 39.43570887583634)	(2, 39.505444671764074)	(3, 38.626339954934146)	(4, 39.74210011910711)	(5, 39.70514863246816)	(6, 39.77767511730007)	(7, 39.455400831549866)	(8, 39.70414926414436)	(9, 38.91375577072353)	(10, 39.47951640629665)	(15, 39.54250175203724)	(20, 39.64132859419046)	(25, 38.4143305646431)	(30, 39.61651409015057)	(35, 39.42322494272488)	(40, 39.47122164920914)	(45, 39.555277324709856)	(50, 39.18252048233664)	(55, 39.39661031863508)	(60, 39.38980078629545)	(65, 39.39295602465109)	(70, 39.35687442842732)	(75, 39.16060980323757)	(80, 39.388175398568826)	(85, 39.24020477622635)	(90, 39.386309911031084)	(95, 39.43674092790407)	(100, 38.81156753121455)	(105, 39.25633420385229)	(110, 38.88543153541315)	(115, 38.367950446415946)	(120, 39.087225998661225)	(125, 38.027793124471636)	(130, 38.83934117114654)	(135, 38.863947002052164)	(140, 38.49874513279342)	(145, 39.21727461573031)	(150, 38.90638810060308)	(155, 39.10920707351643)	(160, 38.36018742870073)	(165, 39.044326070628316)	(170, 37.94914158032188)	(175, 38.8721795343195)	(180, 38.275390712159925)	(185, 38.682022998042115)	(190, 38.25954098195795)	(195, 38.660419043309105)	(200, 38.14928095701346)	(205, 38.55007039597738)	(210, 38.01426377130688)	(215, 37.930393399705224)	(220, 37.452299408107805)	(225, 37.511661544005236)	(230, 37.48181367074945)	(235, 37.21511621134388)	(240, 37.24538622997996)	(245, 36.88139228561906)	(250, 36.55968154677282)
012024-BEL-CBC-T3-627-PAST_S81_R2_16S	(1, 39.22520207659769)	(2, 39.294832159776035)	(3, 38.94114281298646)	(4, 39.55326841163635)	(5, 39.50433234057287)	(6, 39.652353337780994)	(7, 39.274379996614115)	(8, 39.479512739246125)	(9, 38.01479761666705)	(10, 39.12576818011022)	(15, 39.25652611703248)	(20, 39.47692200607218)	(25, 38.22949955552882)	(30, 39.42396793908709)	(35, 39.232948085647564)	(40, 39.14931294251723)	(45, 39.09504132962656)	(50, 38.88444398040906)	(55, 39.10593184696506)	(60, 39.181753263338706)	(65, 38.873410949150966)	(70, 39.088700639955924)	(75, 38.90794226062705)	(80, 39.38785552533427)	(85, 39.13985204742835)	(90, 39.19532134352402)	(95, 39.14276414477196)	(100, 38.635868559223205)	(105, 39.02759732503261)	(110, 38.97534992889051)	(115, 38.38535480716085)	(120, 38.9434173728951)	(125, 37.42370013561238)	(130, 38.37802289070846)	(135, 38.47251787765156)	(140, 38.24570390727629)	(145, 38.9470134898627)	(150, 38.67952052560266)	(155, 38.82658875591129)	(160, 37.900323546709)	(165, 38.6307588217355)	(170, 37.27647499842209)	(175, 38.21121459493545)	(180, 37.52090147132645)	(185, 37.61452037518441)	(190, 37.62167796280239)	(195, 37.932932689188156)	(200, 37.48404254189598)	(205, 37.87688871000209)	(210, 37.10531784557578)	(215, 37.077249377055566)	(220, 36.33375988353508)	(225, 36.15091359362871)	(230, 33.39557947284435)	(235, 32.785735169689445)	(240, 32.73861545824431)	(245, 32.335427381751)	(250, 32.12634576029896)
012024-BEL-CBC-T3-631-MCAV_S61_R2_16S	(1, 39.2849724357019)	(2, 39.2287799543199)	(3, 38.225826370961144)	(4, 39.09874788896907)	(5, 39.27410295135143)	(6, 39.3168369130962)	(7, 39.28550809817503)	(8, 39.24374130478451)	(9, 39.09200002975903)	(10, 39.07772908870422)	(15, 39.16137427183382)	(20, 39.20371839033427)	(25, 37.76128648270629)	(30, 39.25569327371609)	(35, 39.22818179789157)	(40, 38.92048164984042)	(45, 39.135183352800695)	(50, 38.912856643330635)	(55, 39.09691622090126)	(60, 39.127464605358114)	(65, 39.016993891959864)	(70, 39.26234292813939)	(75, 38.588954193418786)	(80, 38.87147448535484)	(85, 38.93375491953903)	(90, 39.14139554953762)	(95, 39.022632483465145)	(100, 38.57239180734006)	(105, 38.886803359794065)	(110, 39.027687798055254)	(115, 37.997280024997586)	(120, 39.103063691756006)	(125, 38.468549917046715)	(130, 38.523760350561325)	(135, 38.807480675232306)	(140, 38.48752650413279)	(145, 38.7981854433723)	(150, 38.375239746155515)	(155, 38.57608043864805)	(160, 38.31412288989904)	(165, 38.58984845215865)	(170, 38.112965263776566)	(175, 38.66633212561285)	(180, 38.213564164180546)	(185, 38.16393801194825)	(190, 38.27960093145752)	(195, 37.55848913423553)	(200, 37.6647266261448)	(205, 37.801420894058985)	(210, 37.81700766535682)	(215, 37.75269062494025)	(220, 37.31815710171711)	(225, 37.622453220430494)	(230, 32.555963784285964)	(235, 29.667085103598964)	(240, 28.926001111789628)	(245, 28.873276325746765)	(250, 27.931325113157484)
012024-BEL-CBC-T3-633-MCAV_S69_R2_16S	(1, 39.36769911016528)	(2, 39.615617867263566)	(3, 39.40252064703223)	(4, 39.655996736170074)	(5, 39.547452338159246)	(6, 39.5968728980825)	(7, 39.47593476750725)	(8, 39.6337453551069)	(9, 39.670551653416545)	(10, 39.54542788148769)	(15, 39.56023420185024)	(20, 39.51649447023409)	(25, 39.44809518033763)	(30, 39.48878720049398)	(35, 39.578943886383435)	(40, 39.42259761167039)	(45, 39.46597567564587)	(50, 39.163939089876614)	(55, 39.272046840370045)	(60, 39.454062696408684)	(65, 39.34253674565282)	(70, 39.54120254490523)	(75, 39.26903000297714)	(80, 39.223294483465835)	(85, 38.79644286643658)	(90, 39.18329712981442)	(95, 38.60413050909131)	(100, 38.591933047380664)	(105, 39.25645984717337)	(110, 39.22524616555116)	(115, 38.90274668930765)	(120, 39.299701183138346)	(125, 39.25627901335303)	(130, 38.94494271757948)	(135, 39.29466209436438)	(140, 39.3550782326802)	(145, 39.40975620513612)	(150, 39.098737471193395)	(155, 39.28704061042441)	(160, 38.99120530151835)	(165, 39.19924358536129)	(170, 38.822011004399556)	(175, 39.1951571820798)	(180, 39.05733755278914)	(185, 38.7518430715286)	(190, 38.685675535609924)	(195, 37.724023331973406)	(200, 38.61445347388384)	(205, 38.93290299930158)	(210, 38.67991686009009)	(215, 38.74194528019836)	(220, 37.232686625062875)	(225, 38.6087976223968)	(230, 38.70742115190963)	(235, 38.68529911955727)	(240, 38.69504924831519)	(245, 38.584597533722935)	(250, 38.546998573836376)
012024-BEL-CBC-T3-637-SSID_S70_R2_16S	(1, 39.020344370860926)	(2, 38.88233112582781)	(3, 37.677456953642384)	(4, 39.18537748344371)	(5, 39.12445033112583)	(6, 39.09584105960265)	(7, 39.0081059602649)	(8, 39.225536423841056)	(9, 39.12254304635761)	(10, 38.990484768211914)	(15, 39.20625165562914)	(20, 39.08388874172185)	(25, 38.70429668874172)	(30, 38.89236556291391)	(35, 39.15803973509934)	(40, 39.04731125827814)	(45, 38.933467549668876)	(50, 38.89265165562914)	(55, 39.117859602649006)	(60, 38.890659602648995)	(65, 39.007364238410595)	(70, 39.02278145695364)	(75, 38.688)	(80, 38.89727152317881)	(85, 38.10621456953642)	(90, 38.82883178807947)	(95, 37.35207417218543)	(100, 37.86195496688741)	(105, 38.90977483443709)	(110, 38.893033112582785)	(115, 38.40985430463577)	(120, 38.74198675496689)	(125, 38.33747284768212)	(130, 38.81118940397351)	(135, 38.86736953642384)	(140, 38.71877086092716)	(145, 38.99311258278145)	(150, 38.66338543046358)	(155, 38.85769536423841)	(160, 38.69200529801324)	(165, 38.95394966887418)	(170, 38.38689271523178)	(175, 38.76361324503311)	(180, 38.56612450331126)	(185, 38.46109668874172)	(190, 38.52733245033112)	(195, 38.56766092715232)	(200, 38.53175099337748)	(205, 38.3880476821192)	(210, 38.52004238410596)	(215, 38.43894776620546)	(220, 38.23978383533339)	(225, 38.30301908648034)	(230, 38.56180859975788)	(235, 38.63915667990294)	(240, 38.57385654441309)	(245, 38.38013782399214)	(250, 38.094073377234245)
012024-BEL-CBC-T4-661-PSTR_S71_R2_16S	(1, 38.709325764378605)	(2, 38.93440169464208)	(3, 38.259693013578485)	(4, 38.938068953679924)	(5, 39.54265595793537)	(6, 39.150686250499746)	(7, 39.26566905499005)	(8, 39.40405366087482)	(9, 39.448914788556976)	(10, 39.18218365181134)	(15, 39.27390280507639)	(20, 39.35486382789001)	(25, 38.62294758038352)	(30, 39.20920498763975)	(35, 39.15451259155064)	(40, 39.00192279917361)	(45, 38.74907784762036)	(50, 38.80338509778311)	(55, 38.99127435158381)	(60, 38.90261375933822)	(65, 38.81020552977451)	(70, 39.0817618751583)	(75, 38.7061843132576)	(80, 39.06054368371147)	(85, 38.843532374236254)	(90, 39.1766626686845)	(95, 38.285807581932474)	(100, 38.661874111704876)	(105, 38.665447596082394)	(110, 39.07918642109427)	(115, 37.83669394085917)	(120, 38.57662457272873)	(125, 37.27031676159258)	(130, 38.019243062663655)	(135, 38.338174031535914)	(140, 38.08361518061041)	(145, 38.683271479734834)	(150, 37.91276109858689)	(155, 38.46212403792013)	(160, 37.32585647871964)	(165, 38.470580502824745)	(170, 37.391121130487015)	(175, 38.30512683650765)	(180, 37.79659103991493)	(185, 37.768163084181595)	(190, 37.84913080518523)	(195, 37.74132762312634)	(200, 37.812928762655915)	(205, 37.757453515607835)	(210, 37.299795495885846)	(215, 37.527875873986446)	(220, 36.730103607706376)	(225, 36.98523652957398)	(230, 35.70290344542008)	(235, 35.146736716473676)	(240, 35.194156593868385)	(245, 34.893877893432624)	(250, 34.98301348547718)
012024-BEL-CBC-T4-663-PSTR_S82_R2_16S	(1, 39.106638500307724)	(2, 38.96398809028759)	(3, 38.943894609025435)	(4, 39.34356858896522)	(5, 39.32846521066551)	(6, 39.41948468870074)	(7, 38.76265406942897)	(8, 39.34955671252017)	(9, 38.774098038889534)	(10, 39.28835143631797)	(15, 39.17646002095843)	(20, 39.265589913338545)	(25, 38.45490443952827)	(30, 39.26590927992814)	(35, 39.14935378166636)	(40, 39.03693674212811)	(45, 39.17586120860294)	(50, 38.795522214275024)	(55, 39.10022455463331)	(60, 39.06122190987874)	(65, 38.97070809561037)	(70, 39.13163558941433)	(75, 38.74838902842695)	(80, 39.11868128212379)	(85, 38.5147191403716)	(90, 38.59656348242652)	(95, 38.48026746951878)	(100, 36.29062359653354)	(105, 38.714589397694574)	(110, 38.7823350355129)	(115, 38.238866248606925)	(120, 38.67715697200552)	(125, 37.57535554483607)	(130, 38.27961210266305)	(135, 38.45623513365159)	(140, 38.33305277865567)	(145, 38.81079858281076)	(150, 38.60289758645354)	(155, 38.630263311099654)	(160, 38.10212412049435)	(165, 38.53454648280909)	(170, 37.93663899931802)	(175, 38.39077828972538)	(180, 38.05095893145262)	(185, 37.8211081355312)	(190, 37.88408988838803)	(195, 37.87811507177431)	(200, 37.83863337713535)	(205, 38.210668840133735)	(210, 37.743890698044616)	(215, 37.75751688346253)	(220, 37.2481320070528)	(225, 37.677353660509844)	(230, 39.108522328404085)	(235, 39.079471276039285)	(240, 39.112556277436305)	(245, 38.99899594993478)	(250, 38.88087774294671)
022024-BEL-CBC-T1-775-OANN_S93_R2_16S	(1, 39.381930023558155)	(2, 39.29042840938836)	(3, 38.366198412005936)	(4, 39.377331820958034)	(5, 39.40165779600384)	(6, 39.48056888578658)	(7, 39.2958206090219)	(8, 39.444812843556406)	(9, 39.022807782915976)	(10, 39.2636087601431)	(15, 39.3060710234709)	(20, 39.43681005147893)	(25, 38.181827065701064)	(30, 39.25364802373266)	(35, 39.222915975918326)	(40, 39.11565657446994)	(45, 39.189351714510074)	(50, 38.83849925835442)	(55, 39.200495593752734)	(60, 39.11474914928889)	(65, 39.0241724107844)	(70, 39.18697146845825)	(75, 38.81628130180612)	(80, 39.214962045196756)	(85, 39.086774277986216)	(90, 38.901294825931416)	(95, 38.863378413750986)	(100, 38.54312014658407)	(105, 38.89428322135939)	(110, 38.97823575604223)	(115, 38.334611290463315)	(120, 38.808704301544374)	(125, 37.77929151033941)	(130, 38.56248320390891)	(135, 38.65534595585028)	(140, 38.036864147980104)	(145, 38.95605444551087)	(150, 38.36350929238286)	(155, 38.71002704825059)	(160, 38.353552046069275)	(165, 38.72945118227031)	(170, 38.25206875490795)	(175, 38.573335660064565)	(180, 37.9557926882471)	(185, 37.90240293168135)	(190, 37.83755344210802)	(195, 37.99298490533113)	(200, 37.428756652997116)	(205, 37.84067882383736)	(210, 37.85488473574263)	(215, 37.68792133115778)	(220, 37.30005096553471)	(225, 36.72115610590795)	(230, 35.30565270591025)	(235, 35.04186750672214)	(240, 35.032692805329276)	(245, 34.835354982030346)	(250, 34.50756163248394)
