Sample	Unique Reads	Duplicate Reads
012024-BEL-CBC-T1-557-SSID_S56_R2_16S	10178.0	179914.0
012024-BEL-CBC-T1-563-PSTR_S68_R2_16S	3762.0	112299.0
012024-BEL-CBC-T2-601-OFAV_S58_R2_16S	6899.0	274541.0
012024-BEL-CBC-T2-605-SSID_S83_R2_16S	22497.0	613905.0
012024-BEL-CBC-T3-627-PAST_S81_R2_16S	48109.0	1647164.0
012024-BEL-CBC-T3-631-MCAV_S61_R2_16S	12895.0	524757.0
012024-BEL-CBC-T3-633-MCAV_S69_R2_16S	4599.0	176783.0
012024-BEL-CBC-T3-637-SSID_S70_R2_16S	3601.0	34149.0
012024-BEL-CBC-T4-661-PSTR_S71_R2_16S	15466.0	462275.0
012024-BEL-CBC-T4-663-PSTR_S82_R2_16S	9869.0	50250.0
022024-BEL-CBC-T1-775-OANN_S93_R2_16S	8444.0	220776.0
022024-BEL-CBC-T1-776-PSTR_S59_R2_16S	3767.0	112019.0
022024-BEL-CBC-T2-804-OFAV_S87_R2_16S	34730.0	1415211.0
022024-BEL-CBC-T2-814-MCAV_S1_R2_16S	19747.0	331350.0
022024-BEL-CBC-T3-851-PSTR_S13_R2_16S	19984.0	628121.0
022024-BEL-CBC-T4-874-OFAV_S89_R2_16S	10335.0	554956.0
022024-BEL-CBC-T4-875-MCAV_S76_R2_16S	4037.0	212162.0
042024-BEL-CBC-T1-927-PSTR_S67_R2_16S	2093.0	72519.0
042024-BEL-CBC-T2-1014-OFAV_S95_R2_16S	12166.0	465556.0
042024-BEL-CBC-T2-1018-PAST_S15_R2_16S	29822.0	2353698.0
042024-BEL-CBC-T2-1026-OFAV_S91_R2_16S	15026.0	636951.0
042024-BEL-CBC-T2-1144-MCAV_S3_R2_16S	16793.0	353242.0
042024-BEL-CBC-T3-960-OFAV_S4_R2_16S	9413.0	26777.0
042024-BEL-CBC-T4-1046-PSTR_S60_R2_16S	9853.0	196910.0
042024-BEL-CBC-T4-1047-MCAV_S92_R2_16S	5404.0	264742.0
052022-BEL-CBC-T1-2-SSID_S8_R2_16S	13190.0	277367.0
052022-BEL-CBC-T2-1-SSID_S57_R2_16S	17726.0	563843.0
052022-BEL-CBC-T2-71-OFAV_S21_R2_16S	22782.0	389807.0
052022-BEL-CBC-T2-9-PAST_S23_R2_16S	33192.0	751582.0
052022-BEL-CBC-T3-11-PAST_S19_R2_16S	11598.0	154122.0
052022-BEL-CBC-T3-13-MCAV_S5_R2_16S	12618.0	248831.0
052022-BEL-CBC-T3-19-MCAV_S6_R2_16S	8985.0	96522.0
052022-BEL-CBC-T3-66-OFAV_S40_R2_16S	6569.0	102858.0
052022-BEL-CBC-T3-8-PAST_S17_R2_16S	11983.0	112793.0
062019-BEL-CBC-T1-21-PAST_S16_R2_16S	3414.0	43622.0
062019-BEL-CBC-T1-22-MCAV_S18_R2_16S	8852.0	247267.0
062019-BEL-CBC-T2-18-MCAV_S79_R2_16S	3877.0	75143.0
062019-BEL-CBC-T3-1-MCAV_S48_R2_16S	2080.0	87246.0
062024-BEL-CBC-T1-1347-OANN_S65_R2_16S	5805.0	128627.0
062024-BEL-CBC-T1-1353-MCAV_S86_R2_16S	25854.0	1063670.0
062024-BEL-CBC-T2-1375-SSID_S33_R2_16S	178698.0	9645762.0
062024-BEL-CBC-T2-1396-MCAV_S49_R2_16S	24202.0	896075.0
062024-BEL-CBC-T3-1415-MCAV_S50_R2_16S	3563.0	192819.0
062024-BEL-CBC-T3-1433-PSTR_S2_R2_16S	31687.0	946910.0
062024-BEL-CBC-T3-1439-OFAV_S41_R2_16S	9839.0	237570.0
062024-BEL-CBC-T3-1442-OFAV_S35_R2_16S	11006.0	619594.0
082024-BEL-CBC-T1-1479-PAST_S47_R2_16S	16215.0	478578.0
082024-BEL-CBC-T1-1482-OANN_S36_R2_16S	7814.0	119110.0
082024-BEL-CBC-T2-1510-PAST_S94_R2_16S	26125.0	761570.0
082024-BEL-CBC-T3-1554-OANN_S14_R2_16S	30935.0	898592.0
082024-BEL-CBC-T3-1558-MCAV_S34_R2_16S	11716.0	321487.0
082024-BEL-CBC-T3-1560-PSTR_S54_R2_16S	10648.0	402734.0
082024-BEL-CBC-T3-1561-MCAV_S38_R2_16S	16012.0	406826.0
082024-BEL-CBC-T3-1562-OFAV_S31_R2_16S	80986.0	6402883.0
082024-BEL-CBC-T4-1606-PSTR_S25_R2_16S	7711.0	312036.0
082024-BEL-CBC-T4-1607-PSTR_S90_R2_16S	5015.0	61974.0
082024-BEL-CBC-T4-1609-OFAV_S12_R2_16S	15485.0	968651.0
092023-BEL-CBC-T1-171-PAST_S42_R2_16S	18807.0	476401.0
092023-BEL-CBC-T1-175-PAST_S7_R2_16S	22813.0	441083.0
092023-BEL-CBC-T2-174-SSID_S46_R2_16S	18687.0	516099.0
092023-BEL-CBC-T2-181-PAST_S63_R2_16S	31972.0	833928.0
092023-BEL-CBC-T2-184-MCAV_S37_R2_16S	224506.0	11487820.0
092023-BEL-CBC-T3-171-OFAV_S78_R2_16S	52482.0	2002076.0
092023-BEL-CBC-T3-173-OFAV_S84_R2_16S	58124.0	2052676.0
092023-BEL-CBC-T3-178-PAST_S74_R2_16S	13747.0	777522.0
092023-BEL-CBC-T3-195-PSTR_S66_R2_16S	2215.0	53117.0
092023-BEL-CBC-T4-92-PSTR_S43_R2_16S	5264.0	105785.0
092023-BEL-CBC-T4-94-MCAV_S85_R2_16S	24723.0	694449.0
102019-BEL-CBC-T1-29-PSTR_S22_R2_16S	9976.0	514958.0
112023-BEL-CBC-T1-276-MCAV_S26_R2_16S	3658.0	165049.0
112023-BEL-CBC-T2-304-OFAV_S72_R2_16S	17328.0	802392.0
112023-BEL-CBC-T2-307-SSID_S62_R2_16S	19774.0	830808.0
112023-BEL-CBC-T2-310-MCAV_S55_R2_16S	12612.0	454501.0
112023-BEL-CBC-T3-352-PAST_S30_R2_16S	32826.0	860663.0
112023-BEL-CBC-T3-355-PSTR_S10_R2_16S	3346.0	97694.0
112023-BEL-CBC-T4-399-MCAV_S9_R2_16S	8447.0	258012.0
112023-BEL-CBC-T4-401-MCAV_S53_R2_16S	5457.0	262654.0
122022-BEL-CBC-T3-123-PAST_S20_R2_16S	13113.0	155902.0
122022-BEL-CBC-T3-124-PAST_S64_R2_16S	25596.0	506705.0
122022-BEL-CBC-T3-126-SSID_S77_R2_16S	22351.0	444208.0
122022-BEL-CBC-T3-127-OFAV_S32_R2_16S	35424.0	848985.0
122022-BEL-CBC-T3-141-PSTR_S80_R2_16S	17188.0	626076.0
122022-BEL-CBC-T3-142-MCAV_S24_R2_16S	1642.0	37387.0
122023-BEL-CBC-T1-507-PAST_S51_R2_16S	15677.0	520686.0
122023-BEL-CBC-T1-508-SSID_S75_R2_16S	18578.0	405903.0
122023-BEL-CBC-T2-513-SSID_S45_R2_16S	13848.0	117520.0
122023-BEL-CBC-T2-515-PAST_S73_R2_16S	10840.0	347991.0
122023-BEL-CBC-T2-518-MCAV_S27_R2_16S	4834.0	191510.0
122023-BEL-CBC-T2-522-MCAV_S88_R2_16S	27886.0	735457.0
122023-BEL-CBC-T3-524-OFAV_S39_R2_16S	22621.0	458817.0
122023-BEL-CBC-T3-525-PAST_S29_R2_16S	17898.0	621568.0
122023-BEL-CBC-T3-526-SSID_S11_R2_16S	7840.0	169321.0
122023-BEL-CBC-T3-531-PSTR_S28_R2_16S	6546.0	196705.0
122023-BEL-CBC-T3-532-MCAV_S52_R2_16S	14964.0	537759.0
122023-BEL-CBC-T4-539-MCAV_S44_R2_16S	9699.0	255419.0
Negative_S96_R2_16S	571.0	1492.0
Undetermined_S0_R2_16S	447755.0	2813757.0
