Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
012024-BEL-CBC-T1-557-SSID_S56_R2_16S	(1.0, 3.191086421311786)	(2.0, 1.1247185573301348)	(3.0, 0.8758916735054606)	(4.0, 0.742798224017844)	(5.0, 0.5918186983145004)	(6.0, 0.6407423773751657)	(7.0, 0.5634114007954044)	(8.0, 0.5260610651684448)	(9.0, 0.6012877974875324)	('>10', 11.538623403404667)	('>50', 5.207478484102435)	('>100', 10.8379100646003)	('>500', 4.849230898722723)	('>1k', 14.780211686972624)	('>5k', 16.105885571197103)	('>10k+', 27.822843675693875)
012024-BEL-CBC-T1-563-PSTR_S68_R2_16S	(1.0, 2.264326517951767)	(2.0, 0.537648305632383)	(3.0, 0.3592938196293328)	(4.0, 0.2515918353279741)	(5.0, 0.22402012734682622)	(6.0, 0.25848476232326106)	(7.0, 0.22315851147241536)	(8.0, 0.24125244483504363)	(9.0, 0.2791635433091219)	('>10', 4.57518029312172)	('>50', 2.4116628324760256)	('>100', 12.406406975642119)	('>500', 5.111966982879693)	('>1k', 3.739412894943176)	('>5k', 8.579109261509034)	('>10k+', 58.53732089160011)
012024-BEL-CBC-T2-601-OFAV_S58_R2_16S	(1.0, 1.67531267765776)	(2.0, 0.4384593519044912)	(3.0, 0.2952671972711768)	(4.0, 0.2586696986924389)	(5.0, 0.2114127345082433)	(6.0, 0.19400227401932918)	(7.0, 0.17907902217168847)	(8.0, 0.1534963047185901)	(9.0, 0.17907902217168847)	('>10', 4.178155201819216)	('>50', 1.5317652075042638)	('>100', 5.899658897100625)	('>500', 2.48152359295054)	('>1k', 9.690520181921547)	('>5k', 10.138217737350768)	('>10k+', 62.49538089823764)
012024-BEL-CBC-T2-605-SSID_S83_R2_16S	(1.0, 2.2829909396890646)	(2.0, 0.9723413817052743)	(3.0, 0.5652087831276458)	(4.0, 0.356378515466639)	(5.0, 0.231771741760711)	(6.0, 0.1800748583442541)	(7.0, 0.16059031869792995)	(8.0, 0.15084804887476783)	(9.0, 0.12869224169628632)	('>10', 5.1016495862678)	('>50', 5.3426921976989385)	('>100', 12.511431453703793)	('>500', 5.458185235118683)	('>1k', 15.090618822693832)	('>5k', 3.0059616405982386)	('>10k+', 48.460564234556145)
012024-BEL-CBC-T3-627-PAST_S81_R2_16S	(1.0, 1.8622959251990683)	(2.0, 0.6496888701701732)	(3.0, 0.44665372479830684)	(4.0, 0.33221787877232756)	(5.0, 0.24863252113376427)	(6.0, 0.21801798294433994)	(7.0, 0.1990239920060073)	(8.0, 0.1864006564134508)	(9.0, 0.165106151044699)	('>10', 3.7178672697553727)	('>50', 2.392063107239955)	('>100', 8.159806709597806)	('>500', 4.6928134878571175)	('>1k', 10.897831794643105)	('>5k', 5.363855850945541)	('>10k+', 60.46772407747897)
012024-BEL-CBC-T3-631-MCAV_S61_R2_16S	(1.0, 1.8303661104208673)	(2.0, 0.4050947452999338)	(3.0, 0.2549976564766801)	(4.0, 0.17557825507949382)	(5.0, 0.16181470542283855)	(6.0, 0.13614754525231934)	(7.0, 0.10025071979644826)	(8.0, 0.0848132249112809)	(9.0, 0.09876276848221525)	('>10', 2.606704708621934)	('>50', 0.8795652206259811)	('>100', 2.691703927447494)	('>500', 1.5164083831177044)	('>1k', 9.577570621889251)	('>5k', 4.778555645659274)	('>10k+', 74.70166576149629)
012024-BEL-CBC-T3-633-MCAV_S69_R2_16S	(1.0, 1.6909064846566915)	(2.0, 0.40246551476993303)	(3.0, 0.29275231279840336)	(4.0, 0.28227718296192567)	(5.0, 0.26739147214166786)	(6.0, 0.24809518033762998)	(7.0, 0.21611846820522432)	(8.0, 0.23376079214034468)	(9.0, 0.23817137312412479)	('>10', 4.193911192951892)	('>50', 1.5183425036662954)	('>100', 8.613864661322513)	('>500', 2.1722111345116932)	('>1k', 2.1606333594292706)	('>5k', 0.0)	('>10k+', 77.4690983669824)
012024-BEL-CBC-T3-637-SSID_S70_R2_16S	(1.0, 5.9629139072847686)	(2.0, 1.928476821192053)	(3.0, 1.3986754966887418)	(4.0, 1.1443708609271523)	(5.0, 0.9403973509933775)	(6.0, 1.0649006622516557)	(7.0, 1.0754966887417219)	(8.0, 0.9536423841059603)	(9.0, 0.9298013245033112)	('>10', 15.814569536423843)	('>50', 8.651655629139073)	('>100', 31.43576158940397)	('>500', 14.047682119205298)	('>1k', 14.651655629139073)	('>5k', 0.0)	('>10k+', 0.0)
012024-BEL-CBC-T4-661-PSTR_S71_R2_16S	(1.0, 2.401929078726758)	(2.0, 0.6237689459351407)	(3.0, 0.3931000270020786)	(4.0, 0.3332349536673637)	(5.0, 0.25432190245342146)	(6.0, 0.1996897900745383)	(7.0, 0.1890145497246416)	(8.0, 0.16578020308074878)	(9.0, 0.1337544820310587)	('>10', 1.877167754075953)	('>50', 1.1539725499800102)	('>100', 4.804695431206449)	('>500', 5.341597225274783)	('>1k', 30.179951061349144)	('>5k', 18.584128220102524)	('>10k+', 33.36389382531539)
012024-BEL-CBC-T4-663-PSTR_S82_R2_16S	(1.0, 10.359453750062377)	(2.0, 6.413945674412415)	(3.0, 4.002062575891149)	(4.0, 2.3952494219797402)	(5.0, 1.3805951529466558)	(6.0, 0.8483175036178247)	(7.0, 0.4424557960045909)	(8.0, 0.3326735308305195)	(9.0, 0.14970308887373376)	('>10', 4.536003592874133)	('>50', 6.57030223390276)	('>100', 15.547497463364326)	('>500', 3.7176267070310547)	('>1k', 13.7693574410752)	('>5k', 9.63256208519769)	('>10k+', 19.902193981935827)
022024-BEL-CBC-T1-775-OANN_S93_R2_16S	(1.0, 2.8130180612511997)	(2.0, 0.814065090306256)	(3.0, 0.4214291946601518)	(4.0, 0.26350231218916326)	(5.0, 0.16577960038391065)	(6.0, 0.1492016403455196)	(7.0, 0.1190995550126516)	(8.0, 0.07678213070412704)	(9.0, 0.094232614955065)	('>10', 1.5051042666433994)	('>50', 1.5242997993194312)	('>100', 13.961696187069192)	('>500', 7.176511648198238)	('>1k', 15.267864933251898)	('>5k', 2.313934211674374)	('>10k+', 53.333478754035426)
022024-BEL-CBC-T1-776-PSTR_S59_R2_16S	(1.0, 2.376798576684573)	(2.0, 0.6080182405472164)	(3.0, 0.39901197035911073)	(4.0, 0.32819166393173616)	(5.0, 0.19000570017100513)	(6.0, 0.12954934102568533)	(7.0, 0.1934603492650234)	(8.0, 0.1105487710085848)	(9.0, 0.1632321696923635)	('>10', 4.324357003437376)	('>50', 1.2652652306841932)	('>100', 3.030590917727532)	('>500', 3.729293696992728)	('>1k', 10.388993487986458)	('>5k', 14.35752163473995)	('>10k+', 58.40516124574646)
022024-BEL-CBC-T2-804-OFAV_S87_R2_16S	(1.0, 1.7953833983589678)	(2.0, 0.46939841000426913)	(3.0, 0.28366671471459876)	(4.0, 0.19062844626091682)	(5.0, 0.13207433957657588)	(6.0, 0.1022110554843266)	(7.0, 0.07579618756901144)	(8.0, 0.0766927757750143)	(9.0, 0.06889935521514323)	('>10', 2.1774679107632653)	('>50', 1.904836127814856)	('>100', 4.887026437627462)	('>500', 2.1088444288422767)	('>1k', 5.335941255540743)	('>5k', 2.0444969829806867)	('>10k+', 78.34663617347188)
022024-BEL-CBC-T2-814-MCAV_S1_R2_16S	(1.0, 3.1125301554840967)	(2.0, 2.1504028801157515)	(3.0, 1.7260187355631067)	(4.0, 1.2680256453344803)	(5.0, 0.9228218982218589)	(6.0, 0.651102117078756)	(7.0, 0.4226752151114934)	(8.0, 0.3281144527011054)	(9.0, 0.24352244536410164)	('>10', 1.8886518540460326)	('>50', 0.8248432769291677)	('>100', 1.168907737747688)	('>500', 0.9550067360302139)	('>1k', 3.289973995790337)	('>5k', 2.563394161727386)	('>10k+', 78.48400869275443)
022024-BEL-CBC-T3-851-PSTR_S13_R2_16S	(1.0, 2.4139607008123685)	(2.0, 0.5017705464392344)	(3.0, 0.2869905339412595)	(4.0, 0.2302096110969673)	(5.0, 0.16123930535947106)	(6.0, 0.1305344041474761)	(7.0, 0.11772783731031236)	(8.0, 0.12096805301610078)	(9.0, 0.11942509315620155)	('>10', 2.323543253022273)	('>50', 1.3295685112751792)	('>100', 6.831917667661876)	('>500', 1.4491479004173706)	('>1k', 7.300514577113276)	('>5k', 5.591377940302883)	('>10k+', 71.09110406492775)
022024-BEL-CBC-T4-874-OFAV_S89_R2_16S	(1.0, 1.285532584102701)	(2.0, 0.38245788452319246)	(3.0, 0.21811774820402235)	(4.0, 0.14859603283972325)	(5.0, 0.11763852599811424)	(6.0, 0.07854361735813944)	(7.0, 0.09534912107215576)	(8.0, 0.09481842095487103)	(9.0, 0.07960501759270888)	('>10', 2.8679034338066587)	('>50', 1.3801741050184773)	('>100', 3.0511718743089844)	('>500', 2.315798411791449)	('>1k', 5.584734234226266)	('>5k', 1.487021728631802)	('>10k+', 80.81253725957073)
022024-BEL-CBC-T4-875-MCAV_S76_R2_16S	(1.0, 1.4093497194714129)	(2.0, 0.323775780646534)	(3.0, 0.1887150264339798)	(4.0, 0.11840942835073243)	(5.0, 0.11563420737376214)	(6.0, 0.08603185028607903)	(7.0, 0.0647551561293068)	(8.0, 0.08140648199112854)	(9.0, 0.06244247198183156)	('>10', 1.6322924712880265)	('>50', 1.9861331458517384)	('>100', 7.439904902427856)	('>500', 1.123501958843473)	('>1k', 1.9889083668287086)	('>5k', 2.716016262794925)	('>10k+', 80.66272276930052)
042024-BEL-CBC-T1-927-PSTR_S67_R2_16S	(1.0, 1.7664718811987348)	(2.0, 0.48517664718811987)	(3.0, 0.3658928858628639)	(4.0, 0.3484694151074894)	(5.0, 0.2278453868010508)	(6.0, 0.2734144641612609)	(7.0, 0.25331045944352115)	(8.0, 0.2680533962365303)	(9.0, 0.32568487642738436)	('>10', 5.725620543612288)	('>50', 2.5357851283975767)	('>100', 16.49198520345253)	('>500', 1.6552297217605747)	('>1k', 5.677370932289713)	('>5k', 0.0)	('>10k+', 63.59968905806036)
042024-BEL-CBC-T2-1014-OFAV_S95_R2_16S	(1.0, 1.801884778176429)	(2.0, 0.43498101406257195)	(3.0, 0.27128748519013146)	(4.0, 0.17834640230091978)	(5.0, 0.15280853718271295)	(6.0, 0.13564374259506573)	(7.0, 0.13187586085631392)	(8.0, 0.08707993351782)	(9.0, 0.1262240382481862)	('>10', 4.913945767622174)	('>50', 3.318457178024039)	('>100', 6.375883882257883)	('>500', 2.5912560024449367)	('>1k', 6.261172815989216)	('>5k', 5.3317619870970985)	('>10k+', 67.8873905744345)
042024-BEL-CBC-T2-1018-PAST_S15_R2_16S	(1.0, 0.9766647647177283)	(2.0, 0.16815466201248574)	(3.0, 0.11201919849634155)	(4.0, 0.08844062562932134)	(5.0, 0.06859602604551253)	(6.0, 0.07249781835268845)	(7.0, 0.06549137410216822)	(8.0, 0.06444250520238974)	(9.0, 0.05965966301939988)	('>10', 1.307897563267772)	('>50', 0.5325736725515204)	('>100', 1.9598744713700746)	('>500', 0.48474525072162183)	('>1k', 1.6087131637242398)	('>5k', 0.23691850708196283)	('>10k+', 92.19331073370476)
042024-BEL-CBC-T2-1026-OFAV_S91_R2_16S	(1.0, 1.5064948610150357)	(2.0, 0.40277494451491386)	(3.0, 0.2636596076241953)	(4.0, 0.20184761118873826)	(5.0, 0.18558936895013167)	(6.0, 0.1895772396879031)	(7.0, 0.1771534885433075)	(8.0, 0.1521526066103559)	(9.0, 0.16979126564280642)	('>10', 5.4123074893746255)	('>50', 2.6266263993975247)	('>100', 6.89763595955072)	('>500', 3.2745020146416204)	('>1k', 7.295195996177779)	('>5k', 2.383519664037228)	('>10k+', 68.86117148304311)
042024-BEL-CBC-T2-1144-MCAV_S3_R2_16S	(1.0, 2.4676044157985055)	(2.0, 1.7825340846136177)	(3.0, 1.4358101260691556)	(4.0, 1.1036793816801114)	(5.0, 0.7269582607050684)	(6.0, 0.4977907495236937)	(7.0, 0.38023430216060644)	(8.0, 0.21403380761279336)	(9.0, 0.16052535570959503)	('>10', 1.3531152458551219)	('>50', 0.6839893523585607)	('>100', 1.8400962071155431)	('>500', 1.7601037739673273)	('>1k', 5.5356925696217925)	('>5k', 7.070142013593308)	('>10k+', 72.98769035361519)
042024-BEL-CBC-T3-960-OFAV_S4_R2_16S	(1.0, 15.084277424702957)	(2.0, 11.55015197568389)	(3.0, 7.535230726720088)	(4.0, 4.874274661508704)	(5.0, 2.970433821497651)	(6.0, 1.8071290411715943)	(7.0, 1.1798839458413928)	(8.0, 0.5305332964907433)	(9.0, 0.5222437137330754)	('>10', 3.6308372478585245)	('>50', 0.7709311964631114)	('>100', 2.196739430781984)	('>500', 1.525283227410887)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 45.822050290135394)
042024-BEL-CBC-T4-1046-PSTR_S60_R2_16S	(1.0, 3.644269042333493)	(2.0, 0.7999497008652419)	(3.0, 0.486063754153306)	(4.0, 0.36563601804965107)	(5.0, 0.292605543545025)	(6.0, 0.2785798232759246)	(7.0, 0.27761253222288323)	(8.0, 0.20119653903261223)	(9.0, 0.23069891615037508)	('>10', 4.093575736471226)	('>50', 1.7662734628536052)	('>100', 6.307704956883001)	('>500', 1.7793318920696644)	('>1k', 12.15207749935917)	('>5k', 8.370453127493798)	('>10k+', 58.953971455241025)
042024-BEL-CBC-T4-1047-MCAV_S92_R2_16S	(1.0, 1.479940476631155)	(2.0, 0.34870033241284343)	(3.0, 0.2054444633642549)	(4.0, 0.12733855026541202)	(5.0, 0.09254255106497968)	(6.0, 0.11549310372909465)	(7.0, 0.08032693432440235)	(8.0, 0.09772493392461853)	(9.0, 0.08661982779682098)	('>10', 2.992826101441443)	('>50', 1.4455146476349827)	('>100', 1.9915156989183627)	('>500', 2.4893946236479536)	('>1k', 6.082266626194724)	('>5k', 0.0)	('>10k+', 82.36435112864895)
052022-BEL-CBC-T1-2-SSID_S8_R2_16S	(1.0, 3.0706539508599002)	(2.0, 1.11028128732056)	(3.0, 0.7217172534132718)	(4.0, 0.5052364940441979)	(5.0, 0.41644152438247917)	(6.0, 0.3097498941687862)	(7.0, 0.21200659423108031)	(8.0, 0.21751325901630314)	(9.0, 0.23850741850996535)	('>10', 5.486703125376432)	('>50', 3.0493156248171616)	('>100', 6.288267018175435)	('>500', 3.2213988993553757)	('>1k', 10.513255574637679)	('>5k', 17.258919936535687)	('>10k+', 47.38003214515568)
052022-BEL-CBC-T2-1-SSID_S57_R2_16S	(1.0, 1.9598706258414738)	(2.0, 0.5354480723697446)	(3.0, 0.39307459647952353)	(4.0, 0.29231269204513993)	(5.0, 0.31896473161396155)	(6.0, 0.26101803913207205)	(7.0, 0.27443003323767257)	(8.0, 0.3301413933686287)	(9.0, 0.28938956512468855)	('>10', 6.396317547874801)	('>50', 3.190335110709133)	('>100', 6.949820227694392)	('>500', 2.0970856424603097)	('>1k', 9.1089793300537)	('>5k', 5.812551906996418)	('>10k+', 61.79026048499834)
052022-BEL-CBC-T2-71-OFAV_S21_R2_16S	(1.0, 3.419868198134221)	(2.0, 1.7979151164960774)	(3.0, 1.382247224235256)	(4.0, 0.8977456985038379)	(5.0, 0.6725821580313581)	(6.0, 0.4391779712983138)	(7.0, 0.33932072837618066)	(8.0, 0.2540058023844552)	(9.0, 0.2552176621286559)	('>10', 2.8173315333176596)	('>50', 1.1328464888787633)	('>100', 4.889369323951923)	('>500', 4.296527537088968)	('>1k', 25.20377421598734)	('>5k', 15.263131106258285)	('>10k+', 36.93893923492871)
052022-BEL-CBC-T2-9-PAST_S23_R2_16S	(1.0, 2.8708902180755222)	(2.0, 0.9722544324862954)	(3.0, 0.6387826304133419)	(4.0, 0.418464424152686)	(5.0, 0.3739930221949249)	(6.0, 0.3096432858377061)	(7.0, 0.27383679887458046)	(8.0, 0.26198625336721143)	(9.0, 0.2167503000863943)	('>10', 4.60807824927941)	('>50', 2.5538562694482745)	('>100', 11.256871405015968)	('>500', 5.793387650457329)	('>1k', 12.075705872009012)	('>5k', 7.033872172115793)	('>10k+', 50.341627016185555)
052022-BEL-CBC-T3-11-PAST_S19_R2_16S	(1.0, 4.217958001448226)	(2.0, 2.865073618151098)	(3.0, 1.9279507603186097)	(4.0, 1.2092686459087616)	(5.0, 0.7090272749215545)	(6.0, 0.4127443881245474)	(7.0, 0.30412744388124546)	(8.0, 0.22688872797489743)	(9.0, 0.17921795800144824)	('>10', 1.7185614289162443)	('>50', 0.5243784697079411)	('>100', 2.1463915037412504)	('>500', 1.2400434467776973)	('>1k', 2.4312092686459086)	('>5k', 0.0)	('>10k+', 79.88715906348057)
052022-BEL-CBC-T3-13-MCAV_S5_R2_16S	(1.0, 3.1352194883132083)	(2.0, 1.1535710597477902)	(3.0, 0.7550229681505762)	(4.0, 0.4834594892311693)	(5.0, 0.4111700561103695)	(6.0, 0.3419404931745771)	(7.0, 0.32664114224954005)	(8.0, 0.34576533090583633)	(9.0, 0.4027554131015991)	('>10', 8.181327907163539)	('>50', 2.8319098562243497)	('>100', 6.452501252634358)	('>500', 3.210568791619015)	('>1k', 12.655623085190612)	('>5k', 5.402200811630566)	('>10k+', 53.910322854552895)
052022-BEL-CBC-T3-19-MCAV_S6_R2_16S	(1.0, 5.5152738680845825)	(2.0, 2.9590453713971585)	(3.0, 1.8140976428104294)	(4.0, 1.1904423403186517)	(5.0, 0.6445069995355758)	(6.0, 0.4833802496516819)	(7.0, 0.2653852351028842)	(8.0, 0.23505549394826883)	(9.0, 0.2473769512923313)	('>10', 5.07549262134266)	('>50', 1.6719269811481703)	('>100', 5.687774270901456)	('>500', 3.43105196811586)	('>1k', 17.96658041646526)	('>5k', 0.0)	('>10k+', 52.81260958988503)
052022-BEL-CBC-T3-66-OFAV_S40_R2_16S	(1.0, 4.582050133879207)	(2.0, 1.1185539217926106)	(3.0, 0.6442651265227046)	(4.0, 0.5629323658694838)	(5.0, 0.39295603461668505)	(6.0, 0.36736819980443586)	(7.0, 0.3006570590439288)	(8.0, 0.27781077796156345)	(9.0, 0.20561652974128872)	('>10', 4.111416743582479)	('>50', 1.3716907161852194)	('>100', 5.444725707549325)	('>500', 0.0)	('>1k', 16.33509097389127)	('>5k', 8.855218547524833)	('>10k+', 55.42964716203497)
052022-BEL-CBC-T3-8-PAST_S17_R2_16S	(1.0, 5.985926780791178)	(2.0, 3.6401231005962686)	(3.0, 2.5918445854972108)	(4.0, 1.612489581329743)	(5.0, 0.9737449509521061)	(6.0, 0.5385651086747452)	(7.0, 0.4039238315060588)	(8.0, 0.28851702250432776)	(9.0, 0.18753606462781303)	('>10', 1.8441046355068282)	('>50', 0.5297493107648906)	('>100', 3.810829005577996)	('>500', 1.7952170289158174)	('>1k', 1.746329422324806)	('>5k', 0.0)	('>10k+', 74.05109957043021)
062019-BEL-CBC-T1-21-PAST_S16_R2_16S	(1.0, 5.0599540777276975)	(2.0, 1.4839697253167785)	(3.0, 1.0396292201717834)	(4.0, 0.7568670805340589)	(5.0, 0.6165490262777448)	(6.0, 0.8163959520367378)	(7.0, 0.5208776256484394)	(8.0, 0.3571732290160728)	(9.0, 0.4974912832723871)	('>10', 6.769283102304617)	('>50', 4.266944468067012)	('>100', 8.978229441279021)	('>500', 2.6107662216174847)	('>1k', 29.12024832043541)	('>5k', 37.10562122629476)	('>10k+', 0.0)
