Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
012024-BEL-CBC-T1-557-SSID_S56_R2_16S	012024-BEL-CBC-T1-557-SSID_S56_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	190092.0	44.7 Mbp	0.0	218-251	54.0	5.354249521284431	235.35224522862615	231	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T1-563-PSTR_S68_R2_16S	012024-BEL-CBC-T1-563-PSTR_S68_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116061.0	27 Mbp	0.0	211-251	44.0	3.241398919533694	232.80588655965397	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T2-601-OFAV_S58_R2_16S	012024-BEL-CBC-T2-601-OFAV_S58_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	281440.0	65.2 Mbp	0.0	219-251	43.0	2.451321773735077	231.90229889141557	231	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T2-605-SSID_S83_R2_16S	012024-BEL-CBC-T2-605-SSID_S83_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	636402.0	145.5 Mbp	0.0	201-251	49.0	3.5350297453496373	229.1386215002467	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T3-627-PAST_S81_R2_16S	012024-BEL-CBC-T3-627-PAST_S81_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1695273.0	387 Mbp	0.0	189-251	50.0	2.837832018795793	228.79826110602835	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T3-631-MCAV_S61_R2_16S	012024-BEL-CBC-T3-631-MCAV_S61_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	537652.0	124.5 Mbp	0.0	208-251	43.0	2.398391524629314	231.71455141987755	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T3-633-MCAV_S69_R2_16S	012024-BEL-CBC-T3-633-MCAV_S69_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	181382.0	42 Mbp	0.0	208-251	39.0	2.5355327430505783	231.79402586805747	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T3-637-SSID_S70_R2_16S	012024-BEL-CBC-T3-637-SSID_S70_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37750.0	8.9 Mbp	0.0	217-251	55.0	9.53907284768212	236.49944370860928	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
012024-BEL-CBC-T4-661-PSTR_S71_R2_16S	012024-BEL-CBC-T4-661-PSTR_S71_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	477741.0	110.2 Mbp	0.0	214-251	54.0	3.2373189657157333	230.67726445919442	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	warn
012024-BEL-CBC-T4-663-PSTR_S82_R2_16S	012024-BEL-CBC-T4-663-PSTR_S82_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60119.0	14 Mbp	0.0	211-251	54.0	16.41411201117783	232.97501621783462	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
