Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
012024_BEL_CBC_T1_565_PAST_S53_R1_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0009054243147584163)	(4, 2.158202321178698)	(5, 2.160013169808215)	(6, 2.1623178862457815)	(7, 2.168244299942382)	(8, 2.1683266112437236)	(9, 2.1683266112437236)	(10, 2.1692649600790186)	(15, 2.1795209482261915)	(20, 2.1888715120586055)	(25, 2.1937278788377643)	(30, 2.2032430652728623)	(35, 2.2103053749279775)	(40, 2.443756687793234)	(45, 2.4658984278541447)	(50, 2.5394518067330645)	(55, 2.613811836365133)	(60, 2.634455510741625)	(65, 2.6407934809449336)	(70, 2.6447279611490657)	(75, 2.6515433369001564)	(80, 2.655494279364557)	(85, 2.659033665322249)	(90, 2.6610749855955222)	(95, 2.6619639476500128)	(100, 2.6676269651823197)	(105, 2.67078771915384)	(110, 2.6729278129887235)	(115, 2.676302576343732)	(120, 2.6770763025763435)	(125, 2.6808790846983293)	(130, 2.683183801135896)	(135, 2.6850769610667546)	(140, 2.685636677915878)	(145, 2.6869536587373446)	(150, 2.688748045106593)	(155, 2.6924685159272372)	(160, 2.710577002222405)	(165, 2.7158449255082724)	(170, 2.7226273767388265)	(175, 2.7250967157790766)	(180, 2.72822454523006)	(185, 2.734792987077126)	(190, 3.4081488188328257)	(195, 3.5391390237879663)	(200, 3.551930200016462)	(205, 3.6801876697670592)	(210, 63.249436167585806)	(215, 63.3276319038604)	(220, 63.333377232694055)	(225, 63.529903695777435)	(230, 63.95782368919254)	(235, 63.96625236644991)	(240, 63.96855708288748)
012024_BEL_CBC_T1_565_PAST_S53_R1_16S - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 8.231130134167421e-05)	(6, 8.231130134167421e-05)	(7, 8.231130134167421e-05)	(8, 8.231130134167421e-05)	(9, 8.231130134167421e-05)	(10, 0.00014816034241501357)	(15, 0.00016462260268334841)	(20, 0.00016462260268334841)	(25, 0.00016462260268334841)	(30, 0.00016462260268334841)	(35, 0.00016462260268334841)	(40, 0.00016462260268334841)	(45, 0.0011523582187834389)	(50, 0.37487859083052105)	(55, 0.6705078607292781)	(60, 0.6840398386698494)	(65, 0.8781463494937854)	(70, 1.8521195160095485)	(75, 2.161955716519878)	(80, 2.1896617005514853)	(85, 2.2049551403407692)	(90, 2.2180261749938266)	(95, 2.2288912667709275)	(100, 2.2408593299860073)	(105, 2.3492468515927234)	(110, 2.49164540291382)	(115, 2.5510577002222403)	(120, 2.608889620544901)	(125, 2.653173100666721)	(130, 2.6710675775784014)	(135, 2.677817104288419)	(140, 2.6844184706560212)	(145, 2.6922545065437484)	(150, 2.699004033253766)	(155, 2.702148324965018)	(160, 2.703399456745411)	(165, 2.707547946333032)	(170, 2.7119762943452135)	(175, 2.7143797843443904)	(180, 2.7175240760556423)	(185, 2.719285537904354)	(190, 2.7218207259856775)	(195, 2.7243559140670017)	(200, 2.7263149230389336)	(205, 2.7278953000246937)	(210, 2.72940982796938)	(215, 2.7315169972837277)	(220, 2.735352703926249)	(225, 2.749790106181579)	(230, 2.7541526051526874)	(235, 2.7557988311795207)	(240, 2.7563585480286443)
012024_BEL_CBC_T2_585_OFAV_S43_R1_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.000318978757609637)	(4, 0.23221653553981572)	(5, 0.23221653553981572)	(6, 0.23397091870666872)	(7, 0.23779866379798437)	(8, 0.23779866379798437)	(9, 0.23779866379798437)	(10, 0.2379581531767892)	(15, 0.24035049385886148)	(20, 0.24315750692582627)	(25, 0.24634729450192264)	(30, 0.2524078908965058)	(35, 0.25598045298173366)	(40, 0.2606056449670734)	(45, 0.2807332045722415)	(50, 0.38369954752863233)	(55, 0.49301356776145494)	(60, 0.5225828985918681)	(65, 0.5368412490570191)	(70, 0.5530134720678277)	(75, 0.5612112261383952)	(80, 0.5627104262991606)	(85, 0.5656450308691692)	(90, 0.6137151296409414)	(95, 0.6155014106835555)	(100, 0.6164583469563845)	(105, 0.6173514874776914)	(110, 0.6232206966177087)	(115, 0.6303977186639256)	(120, 0.6325667742156711)	(125, 0.6330133444763246)	(130, 0.6336194041157829)	(135, 0.6345763403886119)	(140, 0.6358841532948113)	(145, 0.6362031320524208)	(150, 0.6380851067223178)	(155, 0.6405731410316731)	(160, 0.6421999326954821)	(165, 0.6445603755017935)	(170, 0.6488665887295235)	(175, 0.6497916271265916)	(180, 0.6512908272873568)	(185, 0.6697915952287158)	(190, 69.56693848973127)	(195, 86.73970216953403)	(200, 86.74888875775318)	(205, 86.85577853942816)	(210, 88.08837625458332)	(215, 88.12617523736006)	(220, 88.12955641219074)	(225, 88.13185305924551)	(230, 88.13813694077044)	(235, 88.1389662855402)	(240, 88.13909387704325)
012024_BEL_CBC_T2_585_OFAV_S43_R1_16S - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0013397107819604751)	(25, 0.0020733619244626402)	(30, 0.002200953427506495)	(35, 0.0023923406820722773)	(40, 0.0025199321851161324)	(45, 0.002551830060877096)	(50, 0.002551830060877096)	(55, 0.002551830060877096)	(60, 0.002551830060877096)	(65, 0.002551830060877096)	(70, 0.002551830060877096)	(75, 0.002551830060877096)	(80, 0.002551830060877096)	(85, 0.002551830060877096)	(90, 0.1744175846609495)	(95, 0.7878456334200423)	(100, 0.7944165958268009)	(105, 0.7944484937025619)	(110, 0.8010194561093205)	(115, 0.8108758997194581)	(120, 0.8110034912225019)	(125, 0.8110034912225019)	(130, 0.8110034912225019)	(135, 0.8110034912225019)	(140, 0.8110034912225019)	(145, 0.8110034912225019)	(150, 0.8110034912225019)	(155, 0.8110034912225019)	(160, 0.8110034912225019)	(165, 0.8110034912225019)	(170, 0.8110034912225019)	(175, 0.8110034912225019)	(180, 0.8110034912225019)	(185, 0.8110034912225019)	(190, 0.8110034912225019)	(195, 0.8110034912225019)	(200, 0.8110034912225019)	(205, 0.8110034912225019)	(210, 0.8110034912225019)	(215, 0.8110034912225019)	(220, 0.8110034912225019)	(225, 0.8110034912225019)	(230, 0.8110034912225019)	(235, 0.8110034912225019)	(240, 0.811003491222502)
012024_BEL_CBC_T2_585_OFAV_S43_R1_16S - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00025518300608770963)	(15, 0.000318978757609637)	(20, 0.000318978757609637)	(25, 0.000318978757609637)	(30, 0.000318978757609637)	(35, 0.000318978757609637)	(40, 0.000318978757609637)	(45, 0.0005741617636973466)	(50, 0.18095664919194704)	(55, 0.1947365315206834)	(60, 0.19747974883612626)	(65, 0.2060602774158255)	(70, 0.2324398206701425)	(75, 0.24309371117430434)	(80, 0.2481016776687756)	(85, 0.25125956736911104)	(90, 0.2558209636029289)	(95, 0.2742579357927658)	(100, 0.3026151473442626)	(105, 0.3229021963282355)	(110, 0.34542209661547585)	(115, 0.3963949020814959)	(120, 0.47556542972020777)	(125, 0.52462436264057)	(130, 0.550142663249341)	(135, 0.5769687767643114)	(140, 0.5882606247836926)	(145, 0.5910676378506573)	(150, 0.6015301411002534)	(155, 0.626506177821088)	(160, 0.6375428428343815)	(165, 0.6405731410316731)	(170, 0.6418809539378725)	(175, 0.644879354259403)	(180, 0.6510356442812691)	(185, 0.6531409040814926)	(190, 0.6540978403543216)	(195, 0.6556289383908479)	(200, 0.6582126663274859)	(205, 0.6597437643640122)	(210, 0.6610834751459727)	(215, 0.6646879351069617)	(220, 0.6675268460496874)	(225, 0.6690260462104527)	(230, 0.6699829824832816)	(235, 0.6917054358764978)	(240, 0.7058999905901266)
012024_BEL_CBC_T2_593_MCAV_S6_R1_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.02150326969161922)	(5, 0.02150326969161922)	(6, 0.02150326969161922)	(7, 0.11946260939788456)	(8, 0.11946260939788456)	(9, 0.11946260939788456)	(10, 0.11965374957292116)	(15, 0.12658258091799848)	(20, 0.1638071300063793)	(25, 0.20007597821957707)	(30, 0.2242552103617089)	(35, 0.2373960973954762)	(40, 0.25440757297373495)	(45, 0.3173404756045405)	(50, 0.4070330027404723)	(55, 0.4625114385448498)	(60, 0.49806351110166036)	(65, 0.5109654729166317)	(70, 0.5208569769747766)	(75, 0.5361481909777059)	(80, 0.5409744803973803)	(85, 0.5609964137324659)	(90, 0.5622388248702038)	(95, 0.5637201612267376)	(100, 0.5643891518393658)	(105, 0.5648192172331982)	(110, 0.5652970676707897)	(115, 0.5655359928895854)	(120, 0.5657271330646221)	(125, 0.5680208151650615)	(130, 0.574424011028788)	(135, 0.5751885717289345)	(140, 0.5755708520790078)	(145, 0.5765265529541909)	(150, 0.5786768799233528)	(155, 0.5793458705359809)	(160, 0.5796325807985359)	(165, 0.5796325807985359)	(170, 0.5807794218487555)	(175, 0.5835987394305456)	(180, 0.5857490663997076)	(185, 0.6015659158839874)	(190, 34.108964235284)	(195, 84.21225160736941)	(200, 84.22075734515853)	(205, 84.2289763726851)	(210, 85.19810484516452)	(215, 87.04308538470545)	(220, 87.07242540157357)	(225, 87.07548364437415)	(230, 87.08317703641936)	(235, 87.10138313809162)	(240, 87.1078341189991)
012024_BEL_CBC_T2_593_MCAV_S6_R1_16S - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0001911401750366153)	(25, 0.00047785043759153824)	(30, 0.00047785043759153824)	(35, 0.00047785043759153824)	(40, 0.00047785043759153824)	(45, 0.00047785043759153824)	(50, 0.00047785043759153824)	(55, 0.00047785043759153824)	(60, 0.00047785043759153824)	(65, 0.00047785043759153824)	(70, 0.00047785043759153824)	(75, 0.00047785043759153824)	(80, 0.00047785043759153824)	(85, 0.00047785043759153824)	(90, 0.030916923312172523)	(95, 0.13073987972504483)	(100, 0.13919783247041512)	(105, 0.1392934025579334)	(110, 0.1406313837831897)	(115, 0.14947161687863314)	(120, 0.14980611218494724)	(125, 0.14980611218494724)	(130, 0.14980611218494724)	(135, 0.14980611218494724)	(140, 0.14980611218494724)	(145, 0.14980611218494724)	(150, 0.14980611218494724)	(155, 0.14980611218494724)	(160, 0.14980611218494724)	(165, 0.14980611218494724)	(170, 0.14980611218494724)	(175, 0.14980611218494724)	(180, 0.14980611218494724)	(185, 0.14980611218494724)	(190, 0.14980611218494724)	(195, 0.14980611218494724)	(200, 0.14980611218494724)	(205, 0.14980611218494724)	(210, 0.14980611218494724)	(215, 0.14980611218494724)	(220, 0.14980611218494724)	(225, 0.14980611218494724)	(230, 0.14980611218494724)	(235, 0.14980611218494724)	(240, 0.14980611218494724)
012024_BEL_CBC_T2_593_MCAV_S6_R1_16S - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0007167756563873074)	(4, 0.0007167756563873074)	(5, 0.0007167756563873074)	(6, 0.0007167756563873074)	(7, 0.0007167756563873074)	(8, 0.0009557008751830765)	(9, 0.0009557008751830765)	(10, 0.0009557008751830765)	(15, 0.0009557008751830765)	(20, 0.0009557008751830765)	(25, 0.0009557008751830765)	(30, 0.0009557008751830765)	(35, 0.0009557008751830765)	(40, 0.0009557008751830765)	(45, 0.0010034859189422302)	(50, 0.04649484757765667)	(55, 0.0882589758231571)	(60, 0.0893102467858585)	(65, 0.11014452586484955)	(70, 0.13948454273297)	(75, 0.15558810247980484)	(80, 0.18143981115350707)	(85, 0.20346871632647695)	(90, 0.24556733987829152)	(95, 0.28288745905419066)	(100, 0.3080701771152647)	(105, 0.33344403535137535)	(110, 0.3841439667798376)	(115, 0.423423272749862)	(120, 0.47904506368551714)	(125, 0.5196623508807978)	(130, 0.5544976477812209)	(135, 0.5669217591586009)	(140, 0.5730860298035318)	(145, 0.5798715060173316)	(150, 0.5884728138939792)	(155, 0.5911009913007328)	(160, 0.592725682788544)	(165, 0.593968093926282)	(170, 0.5953538601952975)	(175, 0.6004668598775269)	(180, 0.6006580000525635)	(185, 0.6006580000525635)	(190, 0.6011836355339142)	(195, 0.604528588597055)	(200, 0.6063444202599029)	(205, 0.6074434762663634)	(210, 0.608542532272824)	(215, 0.6094026630604887)	(220, 0.6117441302046872)	(225, 0.6118874853359647)	(230, 0.6118874853359647)	(235, 0.6123653357735562)	(240, 0.6130821114299435)
012024_BEL_CBC_T3_625_SSID_S54_R1_16S - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.3520049862505707e-05)	(15, 3.920008310417618e-05)	(20, 3.920008310417618e-05)	(25, 3.920008310417618e-05)	(30, 3.920008310417618e-05)	(35, 3.920008310417618e-05)	(40, 3.920008310417618e-05)	(45, 3.920008310417618e-05)	(50, 3.920008310417618e-05)	(55, 3.920008310417618e-05)	(60, 3.920008310417618e-05)	(65, 3.920008310417618e-05)	(70, 3.920008310417618e-05)	(75, 3.920008310417618e-05)	(80, 3.920008310417618e-05)	(85, 3.920008310417618e-05)	(90, 3.920008310417618e-05)	(95, 3.920008310417618e-05)	(100, 3.920008310417618e-05)	(105, 3.920008310417618e-05)	(110, 3.920008310417618e-05)	(115, 3.920008310417618e-05)	(120, 3.920008310417618e-05)	(125, 3.920008310417618e-05)	(130, 3.920008310417618e-05)	(135, 0.022681168084076338)	(140, 0.12708666942373917)	(145, 0.12708666942373917)	(150, 0.12708666942373917)	(155, 0.12765899063706015)	(160, 0.12775307083651016)	(165, 0.12775307083651016)	(170, 0.12775307083651016)	(175, 0.12775307083651016)	(180, 0.12775307083651016)	(185, 0.12775307083651016)	(190, 0.12775307083651016)	(195, 0.12775307083651016)	(200, 0.12775307083651016)	(205, 0.12775307083651016)	(210, 0.12775307083651016)	(215, 0.12775307083651016)	(220, 0.12775307083651016)	(225, 0.12775307083651016)	(230, 0.12775307083651016)	(235, 0.12775307083651016)	(240, 0.12775307083651016)
012024_BEL_CBC_T3_625_SSID_S54_R1_16S - nextera_transposase_sequence	(1, 0.0)	(2, 3.920008310417618e-05)	(3, 0.0030184063990215657)	(4, 5.947162207983881)	(5, 5.953316621031236)	(6, 5.953669421779174)	(7, 5.956099826931633)	(8, 5.956099826931633)	(9, 5.956099826931633)	(10, 5.959133913363897)	(15, 5.991489661958083)	(20, 6.031042545810196)	(25, 6.043382731971391)	(30, 6.055738598165829)	(35, 6.079266488044954)	(40, 6.109379991885582)	(45, 6.120544175553652)	(50, 6.161586662563725)	(55, 6.22180583022836)	(60, 6.238591305813569)	(65, 6.247740605210083)	(70, 6.26130383396413)	(75, 6.26282479718857)	(80, 6.276003865128194)	(85, 6.314514026769737)	(90, 6.320574359617642)	(95, 6.324165087229984)	(100, 6.374349033619952)	(105, 6.406830222480072)	(110, 6.410177909577169)	(115, 6.411479352336227)	(120, 6.433321638641874)	(125, 6.440409013667109)	(130, 6.495869291242897)	(135, 6.715758237407464)	(140, 6.727824022986928)	(145, 6.732394752676875)	(150, 6.734848677879197)	(155, 6.737145802749102)	(160, 6.739278287269968)	(165, 6.750975592068255)	(170, 6.765816743531497)	(175, 6.768450989116097)	(180, 6.771994676628715)	(185, 6.776251805653828)	(190, 7.340803562503552)	(195, 7.416169642279641)	(200, 7.44694170751642)	(205, 7.491065321058481)	(210, 32.84808595794223)	(215, 33.23477909773169)	(220, 33.656391671550345)	(225, 33.82663763247178)	(230, 34.03417855245853)	(235, 34.0599408470746)	(240, 34.08537386099258)
