Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
012024_BEL_CBC_T1_565_PAST_S53_R1_16S	59.63017532307185	25.220923532801095
012024_BEL_CBC_T2_585_OFAV_S43_R1_16S	87.54244411093444	5.448954626866637
012024_BEL_CBC_T2_593_MCAV_S6_R1_16S	89.68488152893026	4.215118709994954
012024_BEL_CBC_T3_625_SSID_S54_R1_16S	27.24382255690382	57.130710717106695
012024_BEL_CBC_T3_642_PSTR_S40_R1_16S	79.51873332532713	13.65551214940507
012024_BEL_CBC_T3_644_PSTR_S16_R1_16S	80.69622531724889	12.965608100087366
022024_BEL_CBC_T1_771_PAST_S10_R1_16S	78.02616782171144	15.15132478653129
022024_BEL_CBC_T2_808_PAST_S15_R1_16S	72.51142994378425	18.78602433644062
022024_BEL_CBC_T4_872_PSTR_S89_R1_16S	85.18678209643585	5.389575471012577
042024_BEL_CBC_T1_1146_OANN_S52_R1_16S	85.7386512327083	7.403400826471426
042024_BEL_CBC_T1_929_PAST_S8_R1_16S	50.84076235368548	39.87663156127074
042024_BEL_CBC_T1_933_SSID_S82_R1_16S	13.70667420414797	57.994134897360624
042024_BEL_CBC_T2_1017_MCAV_S94_R1_16S	90.71165797773317	2.459486417399944
042024_BEL_CBC_T2_1028_PAST_S61_R1_16S	66.71717911013819	26.218619629656743
042024_BEL_CBC_T2_1040_SSID_S34_R1_16S	52.931261204467994	31.683034219183988
042024_BEL_CBC_T3_947_MCAV_S70_R1_16S	80.81330730261543	11.977737908412408
042024_BEL_CBC_T3_949_PSTR_S26_R1_16S	64.8108248648605	20.764117592521657
042024_BEL_CBC_T3_962_SSID_S51_R1_16S	27.597989312498463	62.01709859343463
052022_BEL_CBC_T1_11_PSTR_S85_R1_16S	75.87662033105079	15.177301548267025
052022_BEL_CBC_T1_12_MCAV_S24_R1_16S	82.57060647061846	3.4005857468271756
052022_BEL_CBC_T1_13_MCAV_S75_R1_16S	81.30629036270561	8.4288150025383
052022_BEL_CBC_T1_39_MCAV_S77_R1_16S	83.40116070788851	10.264652145876653
052022_BEL_CBC_T1_40_MCAV_S46_R1_16S	83.12872601424627	8.397710167944737
052022_BEL_CBC_T1_41_OANN_S4_R1_16S	86.75351203795694	4.3306933083258485
052022_BEL_CBC_T1_52_PAST_S30_R1_16S	47.02405890104272	37.35799445926055
052022_BEL_CBC_T1_60_MCAV_S92_R1_16S	91.74973789231602	2.414984104437238
052022_BEL_CBC_T1_70_MCAV_S36_R1_16S	83.71475830200981	8.198740641231538
052022_BEL_CBC_T2_45_PSTR_S31_R1_16S	70.64872197101231	18.234593525137186
052022_BEL_CBC_T2_46_PSTR_S68_R1_16S	67.58582150369054	24.580303159659437
052022_BEL_CBC_T3_50_MCAV_S47_R1_16S	27.44197476170369	58.97876965036032
052022_BEL_CBC_T3_54_PAST_S93_R1_16S	79.43825372782199	10.400802836598132
052022_BEL_CBC_T3_60_MCAV_S80_R1_16S	84.90513090810106	6.477247288140745
062019_BEL_CBC_T1_18_PAST_S42_R1_16S	58.05650400543434	31.1945082008912
062019_BEL_CBC_T1_1_PAST_S7_R1_16S	70.30013602348195	18.994436934376054
062019_BEL_CBC_T1_24_MCAV_S69_R1_16S	88.91900095395022	3.910695583143749
062019_BEL_CBC_T1_3_MCAV_S23_R1_16S	82.2894715017533	8.917464280170194
062019_BEL_CBC_T1_6_MCAV_S9_R1_16S	87.84416997172487	6.016769225232963
062019_BEL_CBC_T1_8_PAST_S29_R1_16S	66.95397194878363	21.0720662609492
