Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
012024_BEL_CBC_T1_565_PAST_S53_R1_16S	97.59280599226274	44.0	232.75798008066508	232	45.45454545454545	1.2148999999999999
012024_BEL_CBC_T2_585_OFAV_S43_R1_16S	98.43062451256058	33.0	232.9395399688358	232	45.45454545454545	0.6270009999999999
012024_BEL_CBC_T2_593_MCAV_S6_R1_16S	97.78874710004516	33.0	228.8905184916173	228	45.45454545454545	0.418541
012024_BEL_CBC_T3_625_SSID_S54_R1_16S	98.57382257650386	47.0	232.96530185043991	232	45.45454545454545	2.551015
012024_BEL_CBC_T3_642_PSTR_S40_R1_16S	98.17788358517535	39.0	232.82247080681282	232	45.45454545454545	0.8493419999999999
012024_BEL_CBC_T3_644_PSTR_S16_R1_16S	97.75128388253083	35.0	228.9671016655931	228	45.45454545454545	1.027742
022024_BEL_CBC_T1_771_PAST_S10_R1_16S	97.86652105209748	41.0	227.49964896487785	227	45.45454545454545	1.4485729999999999
022024_BEL_CBC_T2_808_PAST_S15_R1_16S	96.6021490073294	41.0	229.0773455845727	228	45.45454545454545	0.449696
022024_BEL_CBC_T4_872_PSTR_S89_R1_16S	97.17077566285722	35.0	230.97861852463703	230	45.45454545454545	0.412834
042024_BEL_CBC_T1_1146_OANN_S52_R1_16S	98.08992593404052	36.0	233.0737616621935	232	45.45454545454545	0.657252
042024_BEL_CBC_T1_929_PAST_S8_R1_16S	97.31559415728012	45.0	228.82009208698275	228	45.45454545454545	1.024249
042024_BEL_CBC_T1_933_SSID_S82_R1_16S	95.60908737589655	50.0	230.91788926968871	230	45.45454545454545	0.707575
042024_BEL_CBC_T2_1017_MCAV_S94_R1_16S	97.80804658506742	32.0	230.45218730944583	230	45.45454545454545	0.495266
042024_BEL_CBC_T2_1028_PAST_S61_R1_16S	97.99674635545234	43.0	232.39386731251622	232	45.45454545454545	0.6011719999999999
042024_BEL_CBC_T2_1040_SSID_S34_R1_16S	97.93320659561475	44.0	233.12410610508067	232	45.45454545454545	0.812176
042024_BEL_CBC_T3_947_MCAV_S70_R1_16S	97.53832107419726	34.0	230.48217048455155	230	45.45454545454545	0.720687
042024_BEL_CBC_T3_949_PSTR_S26_R1_16S	97.07741951087768	39.0	228.9606392370111	228	45.45454545454545	0.992308
042024_BEL_CBC_T3_962_SSID_S51_R1_16S	96.137845520866	57.0	233.0696853985621	232	45.45454545454545	0.283883
