Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
012024_BEL_CBC_T1_565_PAST_S53_R2_16S	(1, 0.003950942464400362)	(2, 0.0)	(3, 0.0029632068483002715)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00018108486295168326)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0005432545888550499)	(35, 0.0)	(40, 3.292452053666969e-05)	(45, 6.584904107333938e-05)	(50, 0.00018108486295168326)	(55, 0.0005432545888550499)	(60, 0.0010700469174417648)	(65, 0.0)	(70, 0.0009054243147584162)	(75, 0.0002304716437566878)	(80, 0.00031278294509836204)	(85, 0.00105358465717343)	(90, 0.001959008971931846)	(95, 0.0007408017120750679)	(100, 0.0011029714379784345)	(105, 0.0017614618487118282)	(110, 0.001382829862540127)	(115, 0.0021565560951518643)	(120, 0.00210716931434686)	(125, 0.0012511317803934482)	(130, 0.002436414519713557)	(135, 0.0009712733558317557)	(140, 0.0010041978763684254)	(145, 0.00210716931434686)	(150, 0.003572310478228661)	(155, 0.0017285373281751583)	(160, 0.0028644332866902627)	(165, 0.0027491974648119187)	(170, 0.0030949049304469503)	(175, 0.004411885751913738)	(180, 0.004560046094328751)	(185, 0.002930282327763602)	(190, 0.003061980409910281)	(195, 0.004889291299695448)	(200, 0.0043954263859915296)	(205, 0.006502600299317161)	(210, 0.005959348027571039)	(215, 0.0035887875083854986)	(220, 0.005893578435956229)	(225, 1.2129646567989727)	(230, 0.0127655980879098)	(235, 0.16007730562564362)	(240, 0.31064395123476085)	(245, 1.295210166177908)	(250, 0.10346329775648008)
012024_BEL_CBC_T2_585_OFAV_S43_R2_16S	(1, 0.0041467238489252805)	(2, 0.0)	(3, 0.003668255712510825)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00019138725456578217)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0006379575152192739)	(35, 0.0)	(40, 0.0002551830060877096)	(45, 0.0002232851303267459)	(50, 0.0006379575152192739)	(55, 0.00047846813641445543)	(60, 0.0011802214031556568)	(65, 0.0002232851303267459)	(70, 0.0015310980365262573)	(75, 0.0008293447697850561)	(80, 0.0007017532667412014)	(85, 0.0014992001607652939)	(90, 0.0021052598002236043)	(95, 0.0009888341485898746)	(100, 0.00146730228500433)	(105, 0.0017862810426139673)	(110, 0.00146730228500433)	(115, 0.001881974669896858)	(120, 0.0022647491790284227)	(125, 0.0016586895395701122)	(130, 0.0028389109427257695)	(135, 0.0016586895395701122)	(140, 0.0012121192789166205)	(145, 0.002743217315442878)	(150, 0.0028389109427257695)	(155, 0.0026156258123990234)	(160, 0.0033173790791402244)	(165, 0.003285481203379261)	(170, 0.002647523688159987)	(175, 0.004274315351969136)	(180, 0.005550230382407683)	(185, 0.0035406642094669705)	(190, 0.0030302981972915514)	(195, 0.004816579239905518)	(200, 0.004210519600447209)	(205, 0.005805413388495393)	(210, 0.005709743437941787)	(215, 0.004976135284531269)	(220, 0.006411614144594977)	(225, 1.2275153343696636)	(230, 0.01536882860030334)	(235, 0.1770409345114001)	(240, 0.6763252992076385)	(245, 1.0485869213918915)	(250, 0.24200053777897285)
012024_BEL_CBC_T2_593_MCAV_S6_R2_16S	(1, 0.0019114017503661527)	(2, 0.0)	(3, 0.0016724765315703836)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00043006539383238444)	(15, 0.0)	(20, 9.557008751830766e-05)	(25, 0.0002389252187957691)	(30, 0.0006212055688689996)	(35, 0.00019114017503661532)	(40, 0.00038228035007323064)	(45, 0.0002389252187957691)	(50, 0.0005734205251098458)	(55, 0.0003344953063140767)	(60, 0.0008123457439056151)	(65, 9.557008751830766e-05)	(70, 0.0017202615753295378)	(75, 0.0010034859189422302)	(80, 0.0011468410502196917)	(85, 0.0008601307876647689)	(90, 0.001576906444052076)	(95, 0.0008601307876647689)	(100, 0.0020547568816436145)	(105, 0.0018636167066069993)	(110, 0.001576906444052076)	(115, 0.0019591867941253067)	(120, 0.002675962450512614)	(125, 0.0011946260939788456)	(130, 0.003153812888104152)	(135, 0.0018158316628478451)	(140, 0.0012901961814971532)	(145, 0.002675962450512614)	(150, 0.0032971680193816136)	(155, 0.002150326969161922)	(160, 0.004109513763287229)	(165, 0.0025803923629943064)	(170, 0.0024848222754759986)	(175, 0.004061728719528075)	(180, 0.005017429594711151)	(185, 0.002914887669308383)	(190, 0.003058242800585845)	(195, 0.004348438982082998)	(200, 0.004252879055765279)	(205, 0.0061165148289645645)	(210, 0.004778529493561888)	(215, 0.006212138805940907)	(220, 1.2457368790011933)	(225, 0.02593402645389662)	(230, 0.2559341596828424)	(235, 0.30377380535109244)	(240, 0.3353532976407601)	(245, 1.605951467201984)	(250, 0.35917390002993116)
012024_BEL_CBC_T3_625_SSID_S54_R2_16S	(1, 0.004900010388022022)	(2, 0.0)	(3, 0.004233608975251027)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00015680033241670472)	(15, 0.0)	(20, 7.840016620835236e-05)	(25, 0.0001724803656583752)	(30, 0.0008388817784293703)	(35, 0.00014896031579586947)	(40, 0.00020384043214171613)	(45, 0.00023520049862505707)	(50, 0.0005174410969751256)	(55, 0.0007683216288418531)	(60, 0.00182672387265461)	(65, 4.7040099725011415e-05)	(70, 0.0010976023269169332)	(75, 0.0010819222936752624)	(80, 0.0009408019945002283)	(85, 0.0015758433407878825)	(90, 0.0028616060666048614)	(95, 0.0013014427590586491)	(100, 0.0019286440887254681)	(105, 0.0024774452521839348)	(110, 0.002391205069354747)	(115, 0.0029792063159173898)	(120, 0.0030340864322632366)	(125, 0.0017640037396879282)	(130, 0.0031281666317132593)	(135, 0.00215600457072969)	(140, 0.0020697643879005025)	(145, 0.0024774452521839348)	(150, 0.004617769789671954)	(155, 0.0025166453352881107)	(160, 0.0037161678782759015)	(165, 0.0035436875126175268)	(170, 0.003512327446134186)	(175, 0.0049548905043678695)	(180, 0.005566411800793018)	(185, 0.003433927279925833)	(190, 0.0037161678782759015)	(195, 0.005582092709308681)	(200, 0.005135213704858335)	(205, 0.007244188988346657)	(210, 0.007816538242589753)	(215, 0.004751124942512172)	(220, 0.0070091347685699735)	(225, 1.152808527972756)	(230, 0.014119424566458944)	(235, 0.06953276804383637)	(240, 0.09165552480058899)	(245, 1.3034009772798683)	(250, 0.04806780089810891)
012024_BEL_CBC_T3_642_PSTR_S40_R2_16S	(1, 0.00306119325313007)	(2, 0.0)	(3, 0.002943455051086606)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00018838112326954276)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00032966696572169987)	(35, 0.0)	(40, 4.709528081738569e-05)	(45, 0.0)	(50, 7.064292122607854e-05)	(55, 0.00014128584245215708)	(60, 0.0005886910102173211)	(65, 0.00011773820204346424)	(70, 0.0009890008971650997)	(75, 0.00042385752735647124)	(80, 0.000612238650626014)	(85, 0.0011302867396172566)	(90, 0.001954454153921506)	(95, 0.0011538343800259496)	(100, 0.001648334828608499)	(105, 0.0011538343800259496)	(110, 0.0012009296608433352)	(115, 0.0015070489861563421)	(120, 0.0013422155032954924)	(125, 0.0012715725820694136)	(130, 0.001836715951878042)	(135, 0.001083191458799871)	(140, 0.0008241674143042495)	(145, 0.0016247871881998066)	(150, 0.0018602635922867349)	(155, 0.0019780017943301993)	(160, 0.0024018593216866705)	(165, 0.001389310784112878)	(170, 0.0011067390992085637)	(175, 0.002519597523730135)	(180, 0.003414407859260463)	(185, 0.0019780017943301993)	(190, 0.0018131683114693494)	(195, 0.002331216400460592)	(200, 0.0016012410560090576)	(205, 0.003296682854164405)	(210, 0.003178955409381168)	(215, 0.002708008617589858)	(220, 0.010667284568536597)	(225, 1.1187781274360606)	(230, 0.005248576709492308)	(235, 0.011849961259742036)	(240, 0.06838043225550576)	(245, 1.2232162960716468)	(250, 0.013052506674577276)
012024_BEL_CBC_T3_644_PSTR_S16_R2_16S	(1, 0.000583804106478085)	(2, 0.0)	(3, 0.0004865034220650708)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004475831482998651)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00011676082129561699)	(35, 9.730068441301416e-05)	(40, 0.0002724419163564397)	(45, 0.0)	(50, 0.00011676082129561699)	(55, 7.784054753041134e-05)	(60, 0.00035028246388685096)	(65, 7.784054753041134e-05)	(70, 0.0015762710874908294)	(75, 0.00038920273765205663)	(80, 0.0008367858859519218)	(85, 0.0005643439695954821)	(90, 0.00116760821295617)	(95, 0.0009146264334823331)	(100, 0.0015373508137256238)	(105, 0.00116760821295617)	(110, 0.0009535467072475388)	(115, 0.0013816697186648011)	(120, 0.0014205899924300068)	(125, 0.0008367858859519218)	(130, 0.0025103576578557655)	(135, 0.0011286879391909641)	(140, 0.0007589453384215105)	(145, 0.001517890676843021)	(150, 0.0019070934144950777)	(155, 0.0011092278023083614)	(160, 0.0031330820380990557)	(165, 0.0014205899924300068)	(170, 0.0017124920456690492)	(175, 0.0026076583422687794)	(180, 0.0026271184791513825)	(185, 0.0019070934144950777)	(190, 0.002237916177000877)	(195, 0.0024714397888183893)	(200, 0.002451985358922979)	(205, 0.0038336947125760367)	(210, 0.0025687900570699525)	(215, 0.003366715714330474)	(220, 1.2231067912795868)	(225, 0.02860176073696317)	(230, 0.05953589067045532)	(235, 0.09865639387390773)	(240, 0.13680535899613172)	(245, 1.3779433917386823)	(250, 0.09009746908018675)
022024_BEL_CBC_T1_771_PAST_S10_R2_16S	(1, 0.0011045352909380473)	(2, 0.0)	(3, 0.0006213011011526517)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0003313605872814142)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00027613382273451183)	(35, 6.903345568362796e-05)	(40, 0.0003451672784181398)	(45, 0.00013806691136725592)	(50, 0.0005798810277424748)	(55, 0.0005108475720588468)	(60, 0.0009388549972973401)	(65, 0.00011045352909380473)	(70, 0.0016015761718601684)	(75, 0.000911241615023889)	(80, 0.0014220891870827359)	(85, 0.0012978289668522055)	(90, 0.0020019702148252106)	(95, 0.0013806691136725592)	(100, 0.0019743568325517593)	(105, 0.002029583597098662)	(110, 0.0016291895541336197)	(115, 0.002291910728696448)	(120, 0.0025404311691575084)	(125, 0.0014358958782194613)	(130, 0.0030236653589429045)	(135, 0.0018915166857314059)	(140, 0.001684416318680522)	(145, 0.0031479255791734347)	(150, 0.002927018520985825)	(155, 0.00222287727301282)	(160, 0.004128200649880951)	(165, 0.0028855984475756485)	(170, 0.003313605872814142)	(175, 0.00444575454602564)	(180, 0.0046804682953499755)	(185, 0.0035207062398650256)	(190, 0.0028441783741654718)	(195, 0.004763309099825704)	(200, 0.0049013807672856164)	(205, 0.006061160840703719)	(210, 0.004100626898869842)	(215, 0.006088882776994461)	(220, 1.2353095736768107)	(225, 0.02646903577991847)	(230, 0.21426641699971122)	(235, 0.23266635644485809)	(240, 0.26285876669508385)	(245, 1.4345059037796468)	(250, 0.17436330973264294)
022024_BEL_CBC_T2_808_PAST_S15_R2_16S	(1, 0.0011118622358215328)	(2, 0.0)	(3, 0.0006671173414929197)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00031132142603002916)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0002668469365971679)	(35, 8.894897886572263e-05)	(40, 0.0002668469365971679)	(45, 8.894897886572263e-05)	(50, 0.00044474489432861313)	(55, 0.00022237244716430656)	(60, 0.000578168362627197)	(65, 8.894897886572263e-05)	(70, 0.0013342346829858394)	(75, 0.000578168362627197)	(80, 0.000578168362627197)	(85, 0.0008005408097915037)	(90, 0.0012452857041201167)	(95, 0.0006226428520600583)	(100, 0.0013342346829858394)	(105, 0.0013342346829858394)	(110, 0.000978438767522949)	(115, 0.0015121326407172846)	(120, 0.0020903010033444815)	(125, 0.0008450152992243649)	(130, 0.0022237244716430656)	(135, 0.0012008112146872554)	(140, 0.000711591830925781)	(145, 0.0022681989610759267)	(150, 0.002179249982210204)	(155, 0.0012008112146872554)	(160, 0.002846367323703124)	(165, 0.0016455561090158684)	(170, 0.0020903010033444815)	(175, 0.002935316302568846)	(180, 0.0031132142603002917)	(185, 0.002312673450508788)	(190, 0.0020458265139116204)	(195, 0.0032021632391660147)	(200, 0.0039137602919665174)	(205, 0.0050256575383528825)	(210, 0.0029798424775210916)	(215, 0.004403091949013085)	(220, 1.228347255165592)	(225, 0.02575368205808395)	(230, 0.2103587469441128)	(235, 0.1834862385321101)	(240, 0.23013900395839085)	(245, 1.3648180242634316)	(250, 0.17616912235746315)
022024_BEL_CBC_T4_872_PSTR_S89_R2_16S	(1, 0.0004844562221134887)	(2, 0.0)	(3, 0.0004844562221134887)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00024222811105674435)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 4.844562221134887e-05)	(35, 0.0)	(40, 4.844562221134887e-05)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.844562221134887e-05)	(65, 4.844562221134887e-05)	(70, 0.0013080317997064197)	(75, 0.0)	(80, 0.0001937824888453955)	(85, 0.0008235755775929308)	(90, 0.000775129955381582)	(95, 0.0008235755775929308)	(100, 0.0010173580664383263)	(105, 0.00043601059990213987)	(110, 0.0006782387109588843)	(115, 0.0009689124442269774)	(120, 0.0009689124442269774)	(125, 0.00029067373326809324)	(130, 0.001986270510665304)	(135, 0.00033911935547944214)	(140, 0.000387564977690791)	(145, 0.0010173580664383263)	(150, 0.001162694933072373)	(155, 0.0010658036886496752)	(160, 0.002325389866144746)	(165, 0.0004844562221134887)	(170, 0.0012111405552837219)	(175, 0.001986270510665304)	(180, 0.002228498621722048)	(185, 0.0012595861774950708)	(190, 0.0013080317997064197)	(195, 0.001840933644031257)	(200, 0.0014049230441291174)	(205, 0.00300362857710363)	(210, 0.0018409398870147366)	(215, 0.002422308101118767)	(220, 0.007363884410269131)	(225, 1.2038910456785257)	(230, 0.006381926384479155)	(235, 0.031513156742940175)	(240, 0.03332222592469177)	(245, 1.4566258928414735)	(250, 0.013186813186813185)
042024_BEL_CBC_T1_1146_OANN_S52_R2_16S	(1, 0.003803716078460012)	(2, 0.0)	(3, 0.003499418792183211)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0001825783717660806)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0002738675576491209)	(35, 0.0)	(40, 0.00015214864313840048)	(45, 0.0)	(50, 9.12891858830403e-05)	(55, 0.00015214864313840048)	(60, 0.0004260162007875214)	(65, 3.04297286276801e-05)	(70, 0.0008824621302027228)	(75, 0.0003347270149044811)	(80, 0.00045644592941520147)	(85, 0.0008216026729473626)	(90, 0.0016432053458947252)	(95, 0.0008216026729473626)	(100, 0.0010650405019688035)	(105, 0.0012171891451072038)	(110, 0.0009433215874580832)	(115, 0.0013997675168732845)	(120, 0.0011258999592241635)	(125, 0.0010041810447134433)	(130, 0.0018257837176608059)	(135, 0.0008824621302027228)	(140, 0.0010346107733411232)	(145, 0.001582345888639365)	(150, 0.002099651275309927)	(155, 0.001521486431384005)	(160, 0.0020083620894268866)	(165, 0.0014301972455009646)	(170, 0.001247618873734884)	(175, 0.0020083620894268866)	(180, 0.00307340259139569)	(185, 0.0016432053458947252)	(190, 0.0019170729035438462)	(195, 0.0026169566619804884)	(200, 0.0019170729035438462)	(205, 0.003468989063555531)	(210, 0.003255997806613814)	(215, 0.0021909651292684644)	(220, 0.0048384019397427255)	(225, 1.1462836730152226)	(230, 0.006066414285655862)	(235, 0.02252295241549121)	(240, 0.23253593997594454)	(245, 1.125450180072029)	(250, 0.022867073700578534)
