Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
012024_BEL_CBC_T1_565_PAST_S53_R2_16S	(1, 39.1412330232941)	(2, 39.426579965429255)	(3, 39.20211375421845)	(4, 39.31272697341345)	(5, 39.60104370730101)	(6, 39.71706642522018)	(7, 39.44718083792905)	(8, 39.61298543089966)	(9, 37.54258622108816)	(10, 38.1506319861717)	(15, 39.0804477734793)	(20, 39.287054407770185)	(25, 38.959170960572884)	(30, 39.132948884681866)	(35, 39.19863758334019)	(40, 39.108972261091445)	(45, 39.202747221993576)	(50, 38.817968557082885)	(55, 39.13864087579225)	(60, 39.21284023376409)	(65, 38.935008313441436)	(70, 39.17250176969298)	(75, 38.95538134825912)	(80, 39.14348275578237)	(85, 39.015667462342584)	(90, 39.197661371306275)	(95, 38.85230356407935)	(100, 39.08444118857519)	(105, 38.78238505226768)	(110, 38.71912289077291)	(115, 38.56834537822043)	(120, 38.94322495678657)	(125, 38.475355008642694)	(130, 38.47478409745658)	(135, 38.777899415589765)	(140, 38.26241402584575)	(145, 39.01060828051691)	(150, 38.25840316075398)	(155, 38.57371075808708)	(160, 38.39940604164951)	(165, 38.78136373364063)	(170, 38.14865355173266)	(175, 38.73079660877439)	(180, 38.22354136142893)	(185, 38.3963499876533)	(190, 38.10012544242324)	(195, 38.570869371964775)	(200, 38.158233703332016)	(205, 38.250742286367235)	(210, 37.96089614107522)	(215, 37.73598141870634)	(220, 37.581349274141225)	(225, 37.10129913184857)	(230, 37.206263558906315)	(235, 37.458794667724746)	(240, 37.30192762060621)	(245, 36.78193858624085)	(250, 37.04890002178175)
012024_BEL_CBC_T2_585_OFAV_S43_R2_16S	(1, 39.5049641069153)	(2, 39.772198130465505)	(3, 39.63719037130722)	(4, 39.62015371586329)	(5, 39.79270208500465)	(6, 39.868351087159354)	(7, 39.75817582428098)	(8, 39.778290624735845)	(9, 39.79261915052767)	(10, 39.646789718038725)	(15, 39.546488761580925)	(20, 39.677486957756045)	(25, 39.530548755105656)	(30, 39.537025299800156)	(35, 39.58916556751903)	(40, 39.38584850741865)	(45, 39.46517405873355)	(50, 39.384184714218954)	(55, 39.397028712872874)	(60, 39.42044302959644)	(65, 39.371214399977035)	(70, 39.54498063001495)	(75, 39.18084851539312)	(80, 39.16103993454556)	(85, 39.24824681300349)	(90, 39.15830947638042)	(95, 39.23711190253285)	(100, 39.2997140355438)	(105, 39.17376208331406)	(110, 39.1173092227923)	(115, 38.97798121534096)	(120, 39.36011904287234)	(125, 39.00630589105918)	(130, 38.752274398286445)	(135, 39.176954422720215)	(140, 39.25001586919319)	(145, 39.43538846030549)	(150, 39.09888564771029)	(155, 39.226458649986206)	(160, 38.75969065440087)	(165, 39.03777442141241)	(170, 38.22635115414489)	(175, 38.931354814426136)	(180, 38.888892362213134)	(185, 38.8349090352328)	(190, 38.84863788096031)	(195, 38.1492897140515)	(200, 38.50685533196917)	(205, 38.90207001264751)	(210, 38.637858324291486)	(215, 38.69584161492871)	(220, 38.42443182213472)	(225, 38.03283632177444)	(230, 37.18737606702464)	(235, 36.62884502483696)	(240, 36.398799572745276)	(245, 35.78368316010051)	(250, 34.68593707986018)
012024_BEL_CBC_T2_593_MCAV_S6_R2_16S	(1, 39.6408284970887)	(2, 39.662962529357934)	(3, 39.75834625520558)	(4, 39.56961922487881)	(5, 39.77105229834114)	(6, 39.434100840777845)	(7, 39.62127485718245)	(8, 39.57272525272315)	(9, 39.37719841066944)	(10, 39.57345254108917)	(15, 39.514503955406994)	(20, 39.61490797795198)	(25, 39.36739196398919)	(30, 39.52833007996827)	(35, 39.51468936137678)	(40, 39.374776664651726)	(45, 39.461406170482704)	(50, 39.2788223853816)	(55, 39.42616374500945)	(60, 39.4391784795277)	(65, 39.51719903187501)	(70, 39.50142614463099)	(75, 39.18573425303614)	(80, 39.25305477838491)	(85, 39.15810971923898)	(90, 39.20003153812888)	(95, 39.22431685306816)	(100, 39.20944519174943)	(105, 39.244056854645066)	(110, 39.29249942060635)	(115, 39.06791544914358)	(120, 39.29012832673501)	(125, 39.25888550942441)	(130, 39.08056223882487)	(135, 39.3738075839643)	(140, 39.383648435876054)	(145, 39.43157970186911)	(150, 39.13316879349932)	(155, 39.260687961274996)	(160, 39.16030018564489)	(165, 39.20059826874787)	(170, 38.839383477365416)	(175, 39.02923250051966)	(180, 39.158959337317015)	(185, 38.977530994573996)	(190, 38.706846879995034)	(195, 38.37918196783588)	(200, 38.86615503610243)	(205, 39.01705504146567)	(210, 38.88940297774208)	(215, 38.88134083263336)	(220, 38.17884440021092)	(225, 37.52909668531415)	(230, 32.000681550838934)	(235, 31.76603054058768)	(240, 31.552036258826668)	(245, 30.57323622570119)	(250, 31.024842861418737)
012024_BEL_CBC_T3_625_SSID_S54_R2_16S	(1, 38.01368553301333)	(2, 38.73853818970096)	(3, 38.65534306932731)	(4, 38.9326350491863)	(5, 39.446115369764584)	(6, 39.608226529440245)	(7, 39.256316407390784)	(8, 39.36332949825854)	(9, 39.221487917554384)	(10, 39.35414350758423)	(15, 39.117239530147806)	(20, 39.02712198869862)	(25, 37.88538130900837)	(30, 39.15705944496602)	(35, 38.823288612571865)	(40, 38.91329216017938)	(45, 39.08502803785944)	(50, 38.52928689168821)	(55, 38.8390879708665)	(60, 38.85123074540918)	(65, 38.44267038806122)	(70, 38.7681414652599)	(75, 38.74154687447937)	(80, 38.54888442443497)	(85, 38.51326142731423)	(90, 38.63339525639795)	(95, 38.13990901660711)	(100, 38.58927085885422)	(105, 38.19686548295483)	(110, 37.887549073604035)	(115, 37.27637540351586)	(120, 38.371900282828605)	(125, 37.649810291197824)	(130, 37.174400464128986)	(135, 37.719561351070055)	(140, 37.12286003806328)	(145, 38.231895304418046)	(150, 37.05019703921772)	(155, 37.43228714844875)	(160, 36.772863820871294)	(165, 37.92404262617037)	(170, 36.79229671326904)	(175, 37.403002334364956)	(180, 37.38365881815669)	(185, 37.55086316622992)	(190, 36.8708822174703)	(195, 37.560764713365785)	(200, 35.938395448579826)	(205, 36.963729010962254)	(210, 35.18069464009513)	(215, 35.95422223543476)	(220, 34.57513825739007)	(225, 34.36869820095523)	(230, 36.39343818843329)	(235, 38.17501259757827)	(240, 38.19461092869533)	(245, 37.451461313217905)	(250, 37.862812809647295)
012024_BEL_CBC_T3_642_PSTR_S40_R2_16S	(1, 39.55484598665791)	(2, 39.72212371459318)	(3, 39.55577140892597)	(4, 39.60740902957819)	(5, 39.76032269686416)	(6, 39.82153243334252)	(7, 39.69314598830624)	(8, 39.706921357945326)	(9, 39.79653896781273)	(10, 39.63167157634969)	(15, 39.53402893063101)	(20, 39.62381608350936)	(25, 39.33405860065792)	(30, 39.5091673318875)	(35, 39.539688841479645)	(40, 39.401182562501326)	(45, 39.451318314648276)	(50, 39.34504263300296)	(55, 39.37147203364487)	(60, 39.43482696016446)	(65, 39.235838095843604)	(70, 39.472716526440465)	(75, 39.146343404659135)	(80, 38.81963402257277)	(85, 39.1135340063249)	(90, 39.042050434336225)	(95, 38.36418827751365)	(100, 39.112227583235025)	(105, 39.14376493803439)	(110, 39.12187505151046)	(115, 38.8835215967184)	(120, 39.20211599096713)	(125, 39.140357594467254)	(130, 38.998934233795104)	(135, 39.251317843695475)	(140, 39.271816064671235)	(145, 39.455692053377796)	(150, 39.076454478878944)	(155, 39.14597135194068)	(160, 39.19341984736419)	(165, 39.003927746420175)	(170, 38.72498522385564)	(175, 39.11077375191619)	(180, 39.03762630365624)	(185, 38.94291722297967)	(190, 39.063288522173636)	(195, 38.68716959717052)	(200, 38.723909881263566)	(205, 38.94753752774345)	(210, 38.87370370233569)	(215, 38.8189374497179)	(220, 38.74087470612081)	(225, 37.82544786760987)	(230, 39.072567720456746)	(235, 39.19598918707334)	(240, 39.176033414596596)	(245, 38.584791085717285)	(250, 39.1021536636013)
012024_BEL_CBC_T3_644_PSTR_S16_R2_16S	(1, 39.464515413401415)	(2, 39.64180504445668)	(3, 39.67840761591917)	(4, 39.51350825401706)	(5, 39.74947408980075)	(6, 39.361497340772296)	(7, 39.581669329462066)	(8, 39.52825125371932)	(9, 39.522245855477344)	(10, 39.504678411507946)	(15, 39.4307489622882)	(20, 39.5668508244287)	(25, 39.258242632878684)	(30, 39.44550986531639)	(35, 39.450034347141596)	(40, 39.270246423713346)	(45, 39.34799745461409)	(50, 39.23394626277801)	(55, 39.35292709648919)	(60, 39.318853175213235)	(65, 39.37505872096305)	(70, 39.41078792148224)	(75, 39.021367619499834)	(80, 39.23388671475915)	(85, 39.18243411284154)	(90, 39.15109122717569)	(95, 39.127381385600664)	(100, 39.05733501209447)	(105, 39.15022486188168)	(110, 39.208091914118526)	(115, 38.885884978914945)	(120, 39.204760338684224)	(125, 38.995199573433794)	(130, 38.94253810781305)	(135, 39.219100513553016)	(140, 39.22208764456449)	(145, 39.336943318459305)	(150, 38.978193359812096)	(155, 39.09621480877497)	(160, 39.19421761492671)	(165, 39.05724705227577)	(170, 38.594829441630296)	(175, 38.88451459607567)	(180, 38.89396638455955)	(185, 38.70281607640828)	(190, 38.58668284411302)	(195, 38.10213390338616)	(200, 38.72206121124508)	(205, 38.88413774638303)	(210, 38.68957757670465)	(215, 38.76637960250784)	(220, 38.03697997904303)	(225, 37.85686666257609)	(230, 33.18910131942734)	(235, 32.74579581326293)	(240, 32.595511652187156)	(245, 31.714245897119838)	(250, 31.88041608649357)
022024_BEL_CBC_T1_771_PAST_S10_R2_16S	(1, 39.489450652469706)	(2, 39.57833260733149)	(3, 39.59405152519065)	(4, 39.5148163054261)	(5, 39.684992057700924)	(6, 39.26149665912591)	(7, 39.53107230357048)	(8, 39.50182420906644)	(9, 34.384385184592006)	(10, 38.107929389820185)	(15, 38.88291663588925)	(20, 39.45598212861899)	(25, 39.1382570295042)	(30, 39.04080608985532)	(35, 39.199415976964914)	(40, 39.185275716170324)	(45, 39.12648157876752)	(50, 38.85707106234894)	(55, 39.20421739187462)	(60, 39.0621887885526)	(65, 38.94730607294213)	(70, 39.00241299540996)	(75, 39.06820905815586)	(80, 39.340351918750386)	(85, 38.98725766668301)	(90, 39.17514602301714)	(95, 39.28338302591585)	(100, 39.04928809248826)	(105, 38.99986786996582)	(110, 39.01115263089951)	(115, 39.08178269234619)	(120, 39.050283002651575)	(125, 38.967284907284615)	(130, 39.12954307446017)	(135, 39.13012185095263)	(140, 38.844223660112405)	(145, 39.22327642445358)	(150, 38.79270592507247)	(155, 39.03075399030632)	(160, 39.06113644255416)	(165, 39.19266781860493)	(170, 38.550427213540495)	(175, 38.97116182615581)	(180, 38.14550043387527)	(185, 38.909442327034945)	(190, 38.660159481089316)	(195, 38.97075326500362)	(200, 38.9587432431607)	(205, 38.82113794408135)	(210, 38.72152379933506)	(215, 37.428777850566135)	(220, 38.099630308014014)	(225, 37.70019153599636)	(230, 34.02776571943019)	(235, 33.89375895763484)	(240, 33.87373866228038)	(245, 33.185739442100285)	(250, 33.49899609003487)
022024_BEL_CBC_T2_808_PAST_S15_R2_16S	(1, 39.647908809506866)	(2, 39.65678147014872)	(3, 39.7595041983918)	(4, 39.69805379634242)	(5, 39.82903116772219)	(6, 39.48980644702199)	(7, 39.63249839891838)	(8, 39.691827367821816)	(9, 36.22931936241372)	(10, 38.80307496619939)	(15, 39.104374510780616)	(20, 39.64979897530777)	(25, 39.351695367537175)	(30, 39.30214544937024)	(35, 39.436607841741974)	(40, 39.42022343983491)	(45, 39.351748736924506)	(50, 39.12076424962642)	(55, 39.33434409022984)	(60, 39.29112556037857)	(65, 39.17533266918096)	(70, 39.238326336013664)	(75, 39.28032893332385)	(80, 39.51468102896179)	(85, 39.20849640646126)	(90, 39.37092079982922)	(95, 39.42856863303209)	(100, 39.21678645129153)	(105, 39.210236248487874)	(110, 39.22326549491212)	(115, 39.253248416708175)	(120, 39.248956628477906)	(125, 39.162425282857754)	(130, 39.309250693802035)	(135, 39.31204991816694)	(140, 39.05212588059489)	(145, 39.40495534761261)	(150, 39.03211858677862)	(155, 39.22472692663488)	(160, 39.26011171991745)	(165, 39.37207268910553)	(170, 38.848241478687825)	(175, 39.18743150928627)	(180, 38.516544510069025)	(185, 39.09657190635451)	(190, 38.84159254251761)	(195, 39.17870205650039)	(200, 39.13783405053024)	(205, 39.109102277886706)	(210, 38.8828628736318)	(215, 37.82804243945735)	(220, 38.35483539160168)	(225, 38.19057379626157)	(230, 35.95051792143185)	(235, 35.90404600363269)	(240, 35.98936724951138)	(245, 35.34096536756919)	(250, 35.50128122998078)
022024_BEL_CBC_T4_872_PSTR_S89_R2_16S	(1, 39.749187324687405)	(2, 39.62367440666224)	(3, 39.66270219991571)	(4, 39.73125275534476)	(5, 39.598201698503516)	(6, 39.81651705043674)	(7, 39.62226948361811)	(8, 39.64494203481303)	(9, 39.703038024968876)	(10, 39.62247973761851)	(15, 39.58920050189664)	(20, 39.65942340020444)	(25, 39.47649854420905)	(30, 39.57129790666467)	(35, 39.60335437488192)	(40, 39.47154449488172)	(45, 39.50495356487111)	(50, 39.44202463944346)	(55, 39.44646807191268)	(60, 39.52515829607058)	(65, 39.5094444740501)	(70, 39.57560375356681)	(75, 39.26045044739532)	(80, 39.369697263306804)	(85, 39.24601849653856)	(90, 39.240000581347466)	(95, 39.318152090186366)	(100, 39.03520834039832)	(105, 39.321477397694956)	(110, 39.28719436868088)	(115, 39.122392051042304)	(120, 39.39346274773881)	(125, 39.303795714500254)	(130, 39.11257599906984)	(135, 39.429309601437865)	(140, 39.43742618098316)	(145, 39.5556325302664)	(150, 39.25562332559819)	(155, 39.39212952421555)	(160, 39.25978771128347)	(165, 39.31133385331634)	(170, 39.12346851276784)	(175, 39.144602431001324)	(180, 39.23645629962648)	(185, 38.98452549935325)	(190, 39.024158862884356)	(195, 38.749699879370404)	(200, 38.8794769810626)	(205, 39.197250226483284)	(210, 38.97889494209028)	(215, 39.10554797615269)	(220, 38.82919084217204)	(225, 37.88289184186486)	(230, 37.3825162277621)	(235, 37.334510889313876)	(240, 37.28835499202965)	(245, 36.55589565407321)	(250, 37.23120879120879)
042024_BEL_CBC_T1_1146_OANN_S52_R2_16S	(1, 39.50874550400759)	(2, 39.742266284469274)	(3, 39.702856742923565)	(4, 39.613664165342975)	(5, 39.758010626061235)	(6, 39.83967184580648)	(7, 39.71626712432978)	(8, 39.74652644647715)	(9, 39.79396030746198)	(10, 39.635543140226275)	(15, 39.513396992325625)	(20, 39.62686579881081)	(25, 39.452595960149225)	(30, 39.5032571981523)	(35, 39.5606945281262)	(40, 39.391749283379895)	(45, 39.4407490581999)	(50, 39.353149781210256)	(55, 39.3299525904828)	(60, 39.346554441827486)	(65, 39.32098677523994)	(70, 39.48152793753385)	(75, 39.12532605454224)	(80, 38.988275425559756)	(85, 39.17391137645834)	(90, 39.06633193965176)	(95, 38.694959619750115)	(100, 39.16051742710558)	(105, 39.11691345176583)	(110, 39.064215856322996)	(115, 38.98908789931411)	(120, 39.32058753720034)	(125, 38.97535617997359)	(130, 38.7828972753221)	(135, 39.17197604571762)	(140, 39.28619038055418)	(145, 39.41949206696975)	(150, 39.133926713041575)	(155, 39.22208346265968)	(160, 38.70600621983653)	(165, 39.05430915387096)	(170, 38.259526026546894)	(175, 38.91152130385301)	(180, 38.939041341829316)	(185, 38.848026632098495)	(190, 38.91764924260406)	(195, 38.42679398465124)	(200, 38.541938251994665)	(205, 38.937257551137165)	(210, 38.73790992888066)	(215, 38.75615866419327)	(220, 38.81067522700261)	(225, 37.235662960187625)	(230, 38.5352618774105)	(235, 38.99301083842318)	(240, 38.92225800364714)	(245, 38.44796316654949)	(250, 38.76151928837666)
