Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
012024_BEL_CBC_T1_565_PAST_S53_R2_16S	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 5.0)	(15.0, 52.0)	(16.0, 531.0)	(17.0, 1153.0)	(18.0, 1697.0)	(19.0, 2721.0)	(20.0, 2599.0)	(21.0, 2294.0)	(22.0, 2293.0)	(23.0, 2203.0)	(24.0, 2381.0)	(25.0, 2567.0)	(26.0, 2972.0)	(27.0, 3353.0)	(28.0, 4121.0)	(29.0, 5013.0)	(30.0, 6165.0)	(31.0, 7920.0)	(32.0, 11033.0)	(33.0, 14557.0)	(34.0, 18069.0)	(35.0, 21176.0)	(36.0, 25657.0)	(37.0, 34474.0)	(38.0, 75316.0)	(39.0, 910906.0)	(40.0, 53671.0)									
012024_BEL_CBC_T2_585_OFAV_S43_R2_16S	(8.0, 1.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 11.0)	(16.0, 133.0)	(17.0, 447.0)	(18.0, 509.0)	(19.0, 771.0)	(20.0, 799.0)	(21.0, 869.0)	(22.0, 1087.0)	(23.0, 865.0)	(24.0, 1499.0)	(25.0, 1818.0)	(26.0, 1427.0)	(27.0, 1515.0)	(28.0, 1641.0)	(29.0, 1608.0)	(30.0, 1786.0)	(31.0, 2162.0)	(32.0, 2749.0)	(33.0, 3380.0)	(34.0, 4297.0)	(35.0, 5298.0)	(36.0, 7083.0)	(37.0, 10998.0)	(38.0, 26580.0)	(39.0, 461557.0)	(40.0, 86109.0)						
012024_BEL_CBC_T2_593_MCAV_S6_R2_16S	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 12.0)	(16.0, 116.0)	(17.0, 346.0)	(18.0, 426.0)	(19.0, 538.0)	(20.0, 429.0)	(21.0, 568.0)	(22.0, 630.0)	(23.0, 590.0)	(24.0, 1088.0)	(25.0, 878.0)	(26.0, 770.0)	(27.0, 831.0)	(28.0, 964.0)	(29.0, 985.0)	(30.0, 1109.0)	(31.0, 1274.0)	(32.0, 1597.0)	(33.0, 1959.0)	(34.0, 2433.0)	(35.0, 3057.0)	(36.0, 4308.0)	(37.0, 6913.0)	(38.0, 16598.0)	(39.0, 275938.0)	(40.0, 94181.0)								
012024_BEL_CBC_T3_625_SSID_S54_R2_16S	(8.0, 1.0)	(9.0, 1.0)	(10.0, 8.0)	(11.0, 1.0)	(12.0, 1.0)	(13.0, 3.0)	(14.0, 17.0)	(15.0, 166.0)	(16.0, 1231.0)	(17.0, 2616.0)	(18.0, 4116.0)	(19.0, 6124.0)	(20.0, 6100.0)	(21.0, 5934.0)	(22.0, 5964.0)	(23.0, 6396.0)	(24.0, 7445.0)	(25.0, 8744.0)	(26.0, 10240.0)	(27.0, 12486.0)	(28.0, 15330.0)	(29.0, 19509.0)	(30.0, 26586.0)	(31.0, 37354.0)	(32.0, 57204.0)	(33.0, 78641.0)	(34.0, 94347.0)	(35.0, 93363.0)	(36.0, 91913.0)	(37.0, 127112.0)	(38.0, 286143.0)	(39.0, 1444197.0)	(40.0, 101722.0)						
012024_BEL_CBC_T3_642_PSTR_S40_R2_16S	(14.0, 5.0)	(15.0, 24.0)	(16.0, 231.0)	(17.0, 883.0)	(18.0, 1080.0)	(19.0, 1249.0)	(20.0, 1155.0)	(21.0, 1284.0)	(22.0, 1414.0)	(23.0, 1222.0)	(24.0, 1874.0)	(25.0, 2118.0)	(26.0, 1662.0)	(27.0, 1780.0)	(28.0, 1857.0)	(29.0, 1999.0)	(30.0, 2280.0)	(31.0, 2603.0)	(32.0, 3212.0)	(33.0, 3885.0)	(34.0, 4959.0)	(35.0, 6292.0)	(36.0, 9048.0)	(37.0, 14959.0)	(38.0, 36655.0)	(39.0, 588181.0)	(40.0, 157431.0)												
012024_BEL_CBC_T3_644_PSTR_S16_R2_16S	(13.0, 1.0)	(14.0, 2.0)	(15.0, 29.0)	(16.0, 312.0)	(17.0, 1252.0)	(18.0, 1391.0)	(19.0, 1483.0)	(20.0, 1243.0)	(21.0, 1450.0)	(22.0, 1737.0)	(23.0, 1540.0)	(24.0, 2277.0)	(25.0, 2608.0)	(26.0, 2194.0)	(27.0, 2288.0)	(28.0, 2443.0)	(29.0, 2749.0)	(30.0, 3294.0)	(31.0, 4036.0)	(32.0, 4886.0)	(33.0, 6002.0)	(34.0, 7448.0)	(35.0, 9252.0)	(36.0, 12157.0)	(37.0, 18942.0)	(38.0, 44637.0)	(39.0, 700342.0)	(40.0, 191747.0)											
022024_BEL_CBC_T1_771_PAST_S10_R2_16S	(9.0, 2.0)	(10.0, 2.0)	(11.0, 0.0)	(12.0, 6.0)	(13.0, 0.0)	(14.0, 4.0)	(15.0, 57.0)	(16.0, 584.0)	(17.0, 1577.0)	(18.0, 1919.0)	(19.0, 3029.0)	(20.0, 2757.0)	(21.0, 2349.0)	(22.0, 2233.0)	(23.0, 2223.0)	(24.0, 2406.0)	(25.0, 2466.0)	(26.0, 2823.0)	(27.0, 3084.0)	(28.0, 3629.0)	(29.0, 4147.0)	(30.0, 5025.0)	(31.0, 5927.0)	(32.0, 7272.0)	(33.0, 8876.0)	(34.0, 11632.0)	(35.0, 15018.0)	(36.0, 20103.0)	(37.0, 31233.0)	(38.0, 78683.0)	(39.0, 1195402.0)	(40.0, 34105.0)							
022024_BEL_CBC_T2_808_PAST_S15_R2_16S	(14.0, 1.0)	(15.0, 16.0)	(16.0, 125.0)	(17.0, 326.0)	(18.0, 424.0)	(19.0, 665.0)	(20.0, 558.0)	(21.0, 464.0)	(22.0, 531.0)	(23.0, 511.0)	(24.0, 525.0)	(25.0, 563.0)	(26.0, 584.0)	(27.0, 615.0)	(28.0, 744.0)	(29.0, 843.0)	(30.0, 1071.0)	(31.0, 1266.0)	(32.0, 1560.0)	(33.0, 2065.0)	(34.0, 2453.0)	(35.0, 3067.0)	(36.0, 4709.0)	(37.0, 7960.0)	(38.0, 22257.0)	(39.0, 377144.0)	(40.0, 18649.0)												
022024_BEL_CBC_T4_872_PSTR_S89_R2_16S	(15.0, 9.0)	(16.0, 111.0)	(17.0, 314.0)	(18.0, 356.0)	(19.0, 353.0)	(20.0, 323.0)	(21.0, 367.0)	(22.0, 527.0)	(23.0, 448.0)	(24.0, 728.0)	(25.0, 786.0)	(26.0, 635.0)	(27.0, 692.0)	(28.0, 842.0)	(29.0, 842.0)	(30.0, 985.0)	(31.0, 1087.0)	(32.0, 1387.0)	(33.0, 1738.0)	(34.0, 2095.0)	(35.0, 2878.0)	(36.0, 4086.0)	(37.0, 6303.0)	(38.0, 15165.0)	(39.0, 272140.0)	(40.0, 97637.0)													
042024_BEL_CBC_T1_1146_OANN_S52_R2_16S	(13.0, 1.0)	(14.0, 0.0)	(15.0, 17.0)	(16.0, 164.0)	(17.0, 578.0)	(18.0, 742.0)	(19.0, 1025.0)	(20.0, 858.0)	(21.0, 889.0)	(22.0, 1121.0)	(23.0, 960.0)	(24.0, 1850.0)	(25.0, 1970.0)	(26.0, 1622.0)	(27.0, 1542.0)	(28.0, 1656.0)	(29.0, 1781.0)	(30.0, 1987.0)	(31.0, 2188.0)	(32.0, 2532.0)	(33.0, 3173.0)	(34.0, 3870.0)	(35.0, 5043.0)	(36.0, 7312.0)	(37.0, 11587.0)	(38.0, 28352.0)	(39.0, 499890.0)	(40.0, 74542.0)											
