Sample	Unique Reads	Duplicate Reads
012024_BEL_CBC_T1_565_PAST_S53_R2_16S	31941.0	1182959.0
012024_BEL_CBC_T2_585_OFAV_S43_R2_16S	8991.0	618010.0
012024_BEL_CBC_T2_593_MCAV_S6_R2_16S	7115.0	411426.0
012024_BEL_CBC_T3_625_SSID_S54_R2_16S	56786.0	2494229.0
012024_BEL_CBC_T3_642_PSTR_S40_R2_16S	14483.0	834859.0
012024_BEL_CBC_T3_644_PSTR_S16_R2_16S	19982.0	1007760.0
022024_BEL_CBC_T1_771_PAST_S10_R2_16S	29972.0	1418601.0
022024_BEL_CBC_T2_808_PAST_S15_R2_16S	11019.0	438677.0
022024_BEL_CBC_T4_872_PSTR_S89_R2_16S	9348.0	403486.0
042024_BEL_CBC_T1_1146_OANN_S52_R2_16S	11674.0	645578.0
042024_BEL_CBC_T1_929_PAST_S8_R2_16S	23031.0	1001218.0
042024_BEL_CBC_T1_933_SSID_S82_R2_16S	31193.0	676382.0
042024_BEL_CBC_T2_1017_MCAV_S94_R2_16S	8946.0	486320.0
042024_BEL_CBC_T2_1028_PAST_S61_R2_16S	12725.0	588447.0
042024_BEL_CBC_T2_1040_SSID_S34_R2_16S	17830.0	794346.0
042024_BEL_CBC_T3_947_MCAV_S70_R2_16S	10907.0	709780.0
042024_BEL_CBC_T3_949_PSTR_S26_R2_16S	33140.0	959168.0
042024_BEL_CBC_T3_962_SSID_S51_R2_16S	11400.0	272483.0
052022_BEL_CBC_T1_11_PSTR_S85_R2_16S	16552.0	772330.0
052022_BEL_CBC_T1_12_MCAV_S24_R2_16S	18645.0	331677.0
052022_BEL_CBC_T1_13_MCAV_S75_R2_16S	12002.0	482421.0
052022_BEL_CBC_T1_39_MCAV_S77_R2_16S	13908.0	1102652.0
052022_BEL_CBC_T1_40_MCAV_S46_R2_16S	12243.0	409622.0
052022_BEL_CBC_T1_41_OANN_S4_R2_16S	17033.0	521472.0
