Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
012024_BEL_CBC_T1_565_PAST_S53_R2_16S	(1.0, 1.910774549345625)	(2.0, 0.4536998929953083)	(3.0, 0.3007654951024776)	(4.0, 0.24594616840892253)	(5.0, 0.2288254177298543)	(6.0, 0.2049551403407688)	(7.0, 0.174582270145691)	(8.0, 0.17186599720141577)	(9.0, 0.1385299201580377)	('>10', 2.7149559634537823)	('>50', 1.7761132603506462)	('>100', 4.917524076055643)	('>500', 2.817351222322825)	('>1k', 8.91307926578319)	('>5k', 6.114495020166269)	('>10k+', 68.91653634043954)
012024_BEL_CBC_T2_585_OFAV_S43_R2_16S	(1.0, 1.0899504147521297)	(2.0, 0.2704939864529722)	(3.0, 0.15980835756242812)	(4.0, 0.10781482007205731)	(5.0, 0.09250383970679472)	(6.0, 0.07464102928065505)	(7.0, 0.09043047778233208)	(8.0, 0.06634758158280449)	(9.0, 0.06602860282519486)	('>10', 1.0079728740464529)	('>50', 0.4872400522487205)	('>100', 1.3692163170393667)	('>500', 1.5031873952354142)	('>1k', 3.667777244374411)	('>5k', 1.0033476820611131)	('>10k+', 88.94323932497716)
012024_BEL_CBC_T2_593_MCAV_S6_R2_16S	(1.0, 1.3802709889831581)	(2.0, 0.2728525998647683)	(3.0, 0.13905447733913762)	(4.0, 0.10130429276940611)	(5.0, 0.08601307876647687)	(6.0, 0.06450980907485766)	(7.0, 0.053519249010252276)	(8.0, 0.059253454261350744)	(9.0, 0.036555558475752675)	('>10', 1.0264227399466241)	('>50', 0.45778071921269364)	('>100', 1.129877359685192)	('>500', 1.5766675188332806)	('>1k', 2.073870899147276)	('>5k', 2.702961000236536)	('>10k+', 88.83908625439324)
012024_BEL_CBC_T3_625_SSID_S54_R2_16S	(1.0, 1.7439724972216943)	(2.0, 0.3488023394609597)	(3.0, 0.20779964053523792)	(4.0, 0.1425315021667846)	(5.0, 0.10858423019856803)	(6.0, 0.09760820692939869)	(7.0, 0.0883569873168131)	(8.0, 0.07840016620835236)	(9.0, 0.06491533762051575)	('>10', 1.5004615809785518)	('>50', 1.8563199353982631)	('>100', 6.608193209369603)	('>500', 2.8171923724478294)	('>1k', 7.597720907168323)	('>5k', 2.3004176768854747)	('>10k+', 74.43872341009363)
012024_BEL_CBC_T3_642_PSTR_S40_R2_16S	(1.0, 1.3618777830367508)	(2.0, 0.32048338596230963)	(3.0, 0.18119909294489145)	(4.0, 0.12433154135789823)	(5.0, 0.09124710658368478)	(6.0, 0.06993649201381776)	(7.0, 0.04532920778673373)	(8.0, 0.037676224653908554)	(9.0, 0.03496824600690888)	('>10', 0.6349621236204026)	('>50', 0.5961085169460595)	('>100', 1.0033649578144022)	('>500', 0.617301393313883)	('>1k', 2.5751699550946494)	('>5k', 1.068238707140351)	('>10k+', 91.23780526572335)
012024_BEL_CBC_T3_644_PSTR_S16_R2_16S	(1.0, 1.60760190787182)	(2.0, 0.3545636940010236)	(3.0, 0.15791901080232199)	(4.0, 0.09535467072475387)	(5.0, 0.06519145855671948)	(6.0, 0.060715627073720836)	(7.0, 0.04427181140792144)	(8.0, 0.04748273399355091)	(9.0, 0.03765536486783648)	('>10', 0.5608411449566136)	('>50', 0.4234525785654376)	('>100', 1.1316069597233547)	('>500', 0.6722504286095148)	('>1k', 2.9232044618201845)	('>5k', 3.3199966528564566)	('>10k+', 88.49789149416877)
022024_BEL_CBC_T1_771_PAST_S10_R2_16S	(1.0, 1.6236668776789296)	(2.0, 0.42496995318841374)	(3.0, 0.22283999494675105)	(4.0, 0.13696237607631787)	(5.0, 0.09146932878080705)	(6.0, 0.08573955195906592)	(7.0, 0.0913312618694398)	(8.0, 0.06571984981081382)	(9.0, 0.0577810024071966)	('>10', 0.9637070413434463)	('>50', 0.44643935790602196)	('>100', 1.3206100072278026)	('>500', 0.5487469392291586)	('>1k', 1.5119707463828194)	('>5k', 1.9321083576733793)	('>10k+', 90.47593735351963)
022024_BEL_CBC_T2_808_PAST_S15_R2_16S	(1.0, 1.8828275101401837)	(2.0, 0.5697182096349533)	(3.0, 0.25884152849925285)	(4.0, 0.1627766313242724)	(5.0, 0.1089624991105102)	(6.0, 0.12274959083469722)	(7.0, 0.09962285632960934)	(8.0, 0.08716999928840817)	(9.0, 0.08405678502810789)	('>10', 1.2023678218174054)	('>50', 0.4841048174766954)	('>100', 1.3646997082473493)	('>500', 1.1156425674233261)	('>1k', 3.14412403045613)	('>5k', 3.6026560165089303)	('>10k+', 85.70967942788018)
022024_BEL_CBC_T4_872_PSTR_S89_R2_16S	(1.0, 1.5890164085322431)	(2.0, 0.5091634894412767)	(3.0, 0.2812268369368802)	(4.0, 0.2180052999510699)	(5.0, 0.1719819588502885)	(6.0, 0.1366166546360038)	(7.0, 0.13395214541437964)	(8.0, 0.15308816618786245)	(9.0, 0.12208296797259915)	('>10', 2.919333194455883)	('>50', 1.0088800825513402)	('>100', 1.8058105679280294)	('>500', 1.0217181724373476)	('>1k', 4.478555545328146)	('>5k', 0.0)	('>10k+', 85.45056850937665)
042024_BEL_CBC_T1_1146_OANN_S52_R2_16S	(1.0, 1.3786188554770469)	(2.0, 0.3630266625282236)	(3.0, 0.19992331708385824)	(4.0, 0.13206502224413164)	(5.0, 0.08672472658888827)	(6.0, 0.06755399755344982)	(7.0, 0.048991863090564955)	(8.0, 0.06572821383578901)	(9.0, 0.057512187106315386)	('>10', 1.054998691521669)	('>50', 0.3056666240650466)	('>100', 0.8412298479122162)	('>500', 0.7246839872682016)	('>1k', 3.3093851369033493)	('>5k', 1.3617303560886844)	('>10k+', 90.00216051073257)
