Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
012024_BEL_CBC_T1_565_PAST_S53_R2_16S	(200, 1.0)	(202, 0.0)	(204, 0.0)	(206, 1.0)	(208, 0.0)	(210, 0.0)	(212, 0.0)	(214, 1.0)	(216, 4.0)	(218, 5.0)	(220, 7.0)	(222, 6.0)	(224, 2.0)	(226, 9.0)	(228, 3326.0)	(230, 1165147.0)	(232, 5360.0)	(234, 32.0)	(236, 39.0)	(238, 10.0)	(240, 4.0)	(242, 0.0)	(244, 0.0)	(246, 3.0)	(248, 4215.0)	(250, 36728.0)																							
012024_BEL_CBC_T2_585_OFAV_S43_R2_16S	(210, 1.0)	(211, 1.0)	(212, 3.0)	(213, 0.0)	(214, 2.0)	(215, 1.0)	(216, 1.0)	(217, 0.0)	(218, 0.0)	(219, 1.0)	(220, 1.0)	(221, 3.0)	(222, 2.0)	(223, 2.0)	(224, 3.0)	(225, 1.0)	(226, 0.0)	(227, 11.0)	(228, 738.0)	(229, 957.0)	(230, 1534.0)	(231, 608713.0)	(232, 2864.0)	(233, 40.0)	(234, 19.0)	(235, 4.0)	(236, 8.0)	(237, 14.0)	(238, 9.0)	(239, 0.0)	(240, 3.0)	(241, 0.0)	(242, 1.0)	(243, 0.0)	(244, 0.0)	(245, 0.0)	(246, 0.0)	(247, 0.0)	(248, 4626.0)	(249, 0.0)	(250, 0.0)	(251, 7438.0)							
012024_BEL_CBC_T2_593_MCAV_S6_R2_16S	(200, 1.0)	(202, 1.0)	(204, 0.0)	(206, 0.0)	(208, 0.0)	(210, 0.0)	(212, 1.0)	(214, 2.0)	(216, 1.0)	(218, 1.0)	(220, 3.0)	(222, 1.0)	(224, 10.0)	(226, 1164.0)	(228, 412580.0)	(230, 1269.0)	(232, 46.0)	(234, 23.0)	(236, 30.0)	(238, 7.0)	(240, 2.0)	(242, 0.0)	(244, 0.0)	(246, 0.0)	(248, 58.0)	(250, 3341.0)																							
012024_BEL_CBC_T3_625_SSID_S54_R2_16S	(196, 1.0)	(198, 0.0)	(200, 0.0)	(202, 1.0)	(204, 0.0)	(206, 5.0)	(208, 2.0)	(210, 4.0)	(212, 9.0)	(214, 16.0)	(216, 6.0)	(218, 5.0)	(220, 6.0)	(222, 18.0)	(224, 14.0)	(226, 19.0)	(228, 3622.0)	(230, 2295985.0)	(232, 10476.0)	(234, 54.0)	(236, 48.0)	(238, 26.0)	(240, 18.0)	(242, 5.0)	(244, 0.0)	(246, 4.0)	(248, 3506.0)	(250, 237165.0)																					
012024_BEL_CBC_T3_642_PSTR_S40_R2_16S	(200, 1.0)	(202, 0.0)	(204, 2.0)	(206, 1.0)	(208, 2.0)	(210, 0.0)	(212, 1.0)	(214, 2.0)	(216, 1.0)	(218, 1.0)	(220, 5.0)	(222, 6.0)	(224, 3.0)	(226, 40.0)	(228, 10067.0)	(230, 747979.0)	(232, 3435.0)	(234, 25.0)	(236, 16.0)	(238, 7.0)	(240, 5.0)	(242, 0.0)	(244, 0.0)	(246, 1.0)	(248, 3467.0)	(250, 84275.0)																							
012024_BEL_CBC_T3_644_PSTR_S16_R2_16S	(192, 1.0)	(194, 0.0)	(196, 0.0)	(198, 0.0)	(200, 1.0)	(202, 6.0)	(204, 5.0)	(206, 0.0)	(208, 4.0)	(210, 3.0)	(212, 6.0)	(214, 5.0)	(216, 7.0)	(218, 5.0)	(220, 0.0)	(222, 14.0)	(224, 14.0)	(226, 2681.0)	(228, 1007283.0)	(230, 4758.0)	(232, 114.0)	(234, 45.0)	(236, 39.0)	(238, 24.0)	(240, 11.0)	(242, 2.0)	(244, 0.0)	(246, 0.0)	(248, 505.0)	(250, 12209.0)																			
022024_BEL_CBC_T1_771_PAST_S10_R2_16S	(198, 1.0)	(200, 0.0)	(202, 2.0)	(204, 1.0)	(206, 3.0)	(208, 3.0)	(210, 3.0)	(212, 6.0)	(214, 5.0)	(216, 12.0)	(218, 12.0)	(220, 13.0)	(222, 13.0)	(224, 12.0)	(226, 7269.0)	(228, 1417376.0)	(230, 3797.0)	(232, 178.0)	(234, 74.0)	(236, 53.0)	(238, 24.0)	(240, 13.0)	(242, 0.0)	(244, 0.0)	(246, 3.0)	(248, 774.0)	(250, 18926.0)																						
022024_BEL_CBC_T2_808_PAST_S15_R2_16S	(200, 1.0)	(202, 0.0)	(204, 3.0)	(206, 0.0)	(208, 1.0)	(210, 3.0)	(212, 2.0)	(214, 2.0)	(216, 1.0)	(218, 1.0)	(220, 6.0)	(222, 1.0)	(224, 2.0)	(226, 1372.0)	(228, 440565.0)	(230, 1112.0)	(232, 50.0)	(234, 24.0)	(236, 21.0)	(238, 10.0)	(240, 1.0)	(242, 1.0)	(244, 0.0)	(246, 0.0)	(248, 273.0)	(250, 6244.0)																							
022024_BEL_CBC_T4_872_PSTR_S89_R2_16S	(211, 1.0)	(212, 2.0)	(213, 0.0)	(214, 0.0)	(215, 1.0)	(216, 1.0)	(217, 0.0)	(218, 1.0)	(219, 0.0)	(220, 0.0)	(221, 2.0)	(222, 3.0)	(223, 0.0)	(224, 4.0)	(225, 3.0)	(226, 1.0)	(227, 7.0)	(228, 1587.0)	(229, 395621.0)	(230, 2922.0)	(231, 1189.0)	(232, 24.0)	(233, 20.0)	(234, 10.0)	(235, 5.0)	(236, 7.0)	(237, 4.0)	(238, 7.0)	(239, 4.0)	(240, 3.0)	(241, 3.0)	(242, 0.0)	(243, 0.0)	(244, 0.0)	(245, 0.0)	(246, 1.0)	(247, 0.0)	(248, 26.0)	(249, 0.0)	(250, 0.0)	(251, 11375.0)								
042024_BEL_CBC_T1_1146_OANN_S52_R2_16S	(209, 1.0)	(210, 0.0)	(211, 4.0)	(212, 0.0)	(213, 0.0)	(214, 1.0)	(215, 0.0)	(216, 1.0)	(217, 2.0)	(218, 0.0)	(219, 0.0)	(220, 1.0)	(221, 0.0)	(222, 1.0)	(223, 0.0)	(224, 3.0)	(225, 1.0)	(226, 1.0)	(227, 4.0)	(228, 1386.0)	(229, 1473.0)	(230, 1466.0)	(231, 597938.0)	(232, 2535.0)	(233, 23.0)	(234, 11.0)	(235, 6.0)	(236, 3.0)	(237, 5.0)	(238, 2.0)	(239, 2.0)	(240, 3.0)	(241, 0.0)	(242, 1.0)	(243, 1.0)	(244, 0.0)	(245, 0.0)	(246, 1.0)	(247, 5.0)	(248, 8640.0)	(249, 0.0)	(250, 0.0)	(251, 43731.0)						
