Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
012024_BEL_CBC_T1_565_PAST_S53_R2_16S	012024_BEL_CBC_T1_565_PAST_S53_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1214900.0	281.4 Mbp	0.0	200-251	46.0	2.629105276154416	231.1705704173183	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
012024_BEL_CBC_T2_585_OFAV_S43_R2_16S	012024_BEL_CBC_T2_585_OFAV_S43_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	627001.0	145 Mbp	0.0	210-251	35.0	1.4339690048341232	231.3583104333167	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
012024_BEL_CBC_T2_593_MCAV_S6_R2_16S	012024_BEL_CBC_T2_593_MCAV_S6_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	418541.0	95.5 Mbp	0.0	201-251	34.0	1.6997140065131016	228.68000148133635	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
012024_BEL_CBC_T3_625_SSID_S54_R2_16S	012024_BEL_CBC_T3_625_SSID_S54_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2551015.0	594 Mbp	0.0	197-251	48.0	2.2260159191537485	232.3894048055382	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
012024_BEL_CBC_T3_642_PSTR_S40_R2_16S	012024_BEL_CBC_T3_642_PSTR_S40_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	849342.0	197.9 Mbp	0.0	200-251	40.0	1.7052023801954925	232.54211966439902	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
012024_BEL_CBC_T3_644_PSTR_S16_R2_16S	012024_BEL_CBC_T3_644_PSTR_S16_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1027742.0	234.6 Mbp	0.0	193-251	36.0	1.944164975256436	228.77572678746222	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
022024_BEL_CBC_T1_771_PAST_S10_R2_16S	022024_BEL_CBC_T1_771_PAST_S10_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1448573.0	330.7 Mbp	0.0	198-251	43.0	2.069070733749697	228.79407699853581	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
022024_BEL_CBC_T2_808_PAST_S15_R2_16S	022024_BEL_CBC_T2_808_PAST_S15_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	449696.0	102.6 Mbp	0.0	201-251	43.0	2.450321995303494	228.81716537394152	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
022024_BEL_CBC_T4_872_PSTR_S89_R2_16S	022024_BEL_CBC_T4_872_PSTR_S89_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	412834.0	94.7 Mbp	0.0	211-251	37.0	2.2643483821584462	229.6171560481937	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
042024_BEL_CBC_T1_1146_OANN_S52_R2_16S	042024_BEL_CBC_T1_1146_OANN_S52_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	657252.0	152.8 Mbp	0.0	209-251	38.0	1.776031111354549	232.54515771728347	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
