Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
012024-BEL-CBC-T1-559-MCAV_S19_R1_16S	(1, 39.44346222806164)	(2, 38.974737407539145)	(3, 39.25030886825734)	(4, 39.67567308599676)	(5, 39.44643839693382)	(6, 39.14952417592787)	(7, 38.6690485696242)	(8, 39.32485972082084)	(9, 39.36884314138254)	(10, 38.79840999992741)	(15, 39.685922721234604)	(20, 39.551035198641124)	(25, 39.552501506231806)	(30, 39.67883508394974)	(35, 39.69357597578416)	(40, 39.618161889068745)	(45, 39.72106590399314)	(50, 39.70095629387127)	(55, 39.71399046174171)	(60, 39.41279520328685)	(65, 39.44827055552733)	(70, 39.67996922205849)	(75, 39.50179862225158)	(80, 39.62799079565334)	(85, 39.5735141295432)	(90, 39.80248807717714)	(95, 39.52692416576535)	(100, 39.31553690812349)	(105, 39.574020513788376)	(110, 39.53974317840318)	(115, 39.63146725125399)	(120, 39.71599625438259)	(125, 39.569995572041435)	(130, 39.72917153621127)	(135, 39.44702898498123)	(140, 39.471095593092386)	(145, 39.53138783835774)	(150, 39.41295606158492)	(155, 39.76352726823992)	(160, 39.41760527290016)	(165, 38.501518717198635)	(170, 39.5673434426289)	(175, 39.63401949753559)	(180, 39.52586464964685)	(185, 39.556594391736404)	(190, 39.41795892886957)	(195, 39.45084719187578)	(200, 39.17787182148794)	(205, 39.36035830169642)	(210, 38.89827251544341)	(215, 38.38095251921807)	(220, 38.93807100703392)	(225, 39.175970557705014)	(230, 37.23648028106648)	(235, 39.172859372391315)	(240, 35.94232068582545)	(245, 38.75518673644935)	(250, 38.347662981540495)
012024-BEL-CBC-T2-591-PAST_S16_R1_16S	(1, 39.393658739578655)	(2, 38.75497774798543)	(3, 39.23436055438368)	(4, 39.66096580508014)	(5, 39.39346194608268)	(6, 39.325039307450886)	(7, 38.21883436752415)	(8, 39.346670192550135)	(9, 39.4530411769891)	(10, 39.12962664583936)	(15, 39.70504754817853)	(20, 39.44422728828812)	(25, 39.61346149509759)	(30, 39.4970925810902)	(35, 39.55855200985608)	(40, 39.463704924552246)	(45, 39.602438599404294)	(50, 39.57555004807091)	(55, 39.50594910838197)	(60, 39.37772338624208)	(65, 39.4176691860334)	(70, 39.39357756226157)	(75, 39.38079008488769)	(80, 39.24460693574078)	(85, 39.416075158716)	(90, 39.553751068527184)	(95, 39.474148919378216)	(100, 39.387220312368676)	(105, 39.329308086367746)	(110, 39.15231939584397)	(115, 39.572490319194955)	(120, 39.43340569594175)	(125, 39.54449521443316)	(130, 39.39983805535227)	(135, 39.43014999354271)	(140, 39.48328751734755)	(145, 39.379674921743835)	(150, 39.27238925753504)	(155, 39.4090094522376)	(160, 39.2063178911937)	(165, 38.39432906742432)	(170, 39.10771533000834)	(175, 39.26141269031059)	(180, 39.42143081171167)	(185, 39.24561427244829)	(190, 39.05892366257295)	(195, 39.327315552221)	(200, 39.22711404388085)	(205, 39.018429300911606)	(210, 39.23193261462709)	(215, 39.29059962568237)	(220, 38.7182200028289)	(225, 38.77882911969759)	(230, 38.24220400515763)	(235, 37.966440559139514)	(240, 38.84754448865465)	(245, 39.09060003566882)	(250, 37.84960877043014)
012024-BEL-CBC-T2-595-PAST_S86_R1_16S	(1, 39.385157742880075)	(2, 38.607072385458395)	(3, 38.91111809177477)	(4, 39.25531178441764)	(5, 39.50679758498981)	(6, 39.248328500674155)	(7, 39.547895540450746)	(8, 39.06850136473846)	(9, 39.4977829842674)	(10, 38.97423882459847)	(15, 39.72963474192084)	(20, 39.637710742820275)	(25, 39.76982786862466)	(30, 39.58655591553696)	(35, 39.57090096319122)	(40, 39.62211440559135)	(45, 39.67789915336527)	(50, 39.648631682312796)	(55, 39.644856397174685)	(60, 39.569789970919835)	(65, 39.11519639011729)	(70, 39.5555363914816)	(75, 39.41034944210368)	(80, 39.22116308898297)	(85, 39.35118186097943)	(90, 39.470340329811094)	(95, 39.45794828563416)	(100, 39.49281215286755)	(105, 39.23892582745428)	(110, 39.47786058192347)	(115, 39.500766291591674)	(120, 39.408199210548695)	(125, 39.53424192378856)	(130, 39.417467136373624)	(135, 39.43371295604625)	(140, 39.36980192975113)	(145, 39.45069348588984)	(150, 39.23302153347589)	(155, 39.29580472407523)	(160, 39.29598932800632)	(165, 38.4843818505365)	(170, 39.21000971023415)	(175, 39.24001458640551)	(180, 39.49197570841338)	(185, 39.244783970449895)	(190, 39.20396696330745)	(195, 39.306965850799266)	(200, 39.2728033437566)	(205, 39.09253491010243)	(210, 38.92555795948651)	(215, 39.18840902908607)	(220, 38.2897240794437)	(225, 39.04139557876954)	(230, 38.508313998485775)	(235, 38.782510125003476)	(240, 36.95059739415382)	(245, 38.97398886818083)	(250, 38.65220265671333)
012024-BEL-CBC-T2-599-MCAV_S81_R1_16S	(1, 39.45215924578504)	(2, 39.09168375518394)	(3, 39.550155111156734)	(4, 39.35883716291387)	(5, 39.63807563682373)	(6, 39.391693853892555)	(7, 39.19615280931885)	(8, 39.446814441654084)	(9, 38.355910206622916)	(10, 39.547155878157824)	(15, 39.76877262298517)	(20, 39.703196116086744)	(25, 39.67023726957626)	(30, 39.71841061349237)	(35, 39.71965050122144)	(40, 39.64810891248593)	(45, 39.769889657002786)	(50, 39.67749765684922)	(55, 39.76882870837516)	(60, 39.57804357133736)	(65, 39.590467820590185)	(70, 39.74242918176257)	(75, 39.45135068141245)	(80, 39.65776094103272)	(85, 39.65807408446026)	(90, 39.77397120449218)	(95, 39.50272690170785)	(100, 39.580774395684095)	(105, 39.62652805563137)	(110, 39.58126247211379)	(115, 39.65995828649118)	(120, 39.6962755795699)	(125, 39.57883677899603)	(130, 39.72892261801927)	(135, 39.41461274790869)	(140, 39.46622065427947)	(145, 39.550587102196424)	(150, 39.368745581814984)	(155, 39.69334645330849)	(160, 39.404104081797875)	(165, 38.578271418234266)	(170, 39.601732304099656)	(175, 39.60520091839826)	(180, 39.50776123314413)	(185, 39.51056884106052)	(190, 39.31340065249342)	(195, 39.459400937928)	(200, 39.067440177670505)	(205, 39.316485348943765)	(210, 39.073431966836175)	(215, 39.063341938100756)	(220, 39.00684926133372)	(225, 39.2016925769484)	(230, 36.1394222704067)	(235, 39.04065806857607)	(240, 38.79968552120604)	(245, 39.088441485495004)	(250, 37.146358664399884)
012024-BEL-CBC-T4-665-MCAV_S24_R1_16S	(1, 39.43154033598961)	(2, 38.96495300335742)	(3, 39.30701548871451)	(4, 39.70156022454353)	(5, 39.426433508549394)	(6, 39.12554352930491)	(7, 38.80196800698525)	(8, 39.363037839857405)	(9, 39.389798111051824)	(10, 38.786757340032345)	(15, 39.68818545586279)	(20, 39.53073416320999)	(25, 39.563339419278996)	(30, 39.673667533974125)	(35, 39.66855657813663)	(40, 39.579843925940686)	(45, 39.71152163434992)	(50, 39.68396623383861)	(55, 39.71497627719711)	(60, 39.39908783062012)	(65, 39.45711328012517)	(70, 39.67675062106577)	(75, 39.50481278234368)	(80, 39.61098277529443)	(85, 39.579283289589526)	(90, 39.78538113879775)	(95, 39.52706154098621)	(100, 39.31682786337895)	(105, 39.57518957084278)	(110, 39.51695192171733)	(115, 39.62891983581365)	(120, 39.707153377183786)	(125, 39.56218759643677)	(130, 39.70644370569069)	(135, 39.4522979175332)	(140, 39.47428245874957)	(145, 39.518797315303246)	(150, 39.39401898443491)	(155, 39.73946427852645)	(160, 39.411005687899355)	(165, 38.51032150925948)	(170, 39.5150437764927)	(175, 39.62269503838893)	(180, 39.52457583298157)	(185, 39.55500913923949)	(190, 39.417655710244304)	(195, 39.45078031869163)	(200, 39.19371327661604)	(205, 39.34650608577365)	(210, 38.925605248844306)	(215, 38.44840876087188)	(220, 38.95053498868303)	(225, 39.15618201690785)	(230, 37.37978427059993)	(235, 39.15511565188941)	(240, 36.238022745404834)	(245, 38.80480256456039)	(250, 38.37704239554381)
012024-BEL-CBC-T4-669-MCAV_S23_R1_16S	(1, 39.43391607700908)	(2, 38.92564664793985)	(3, 39.2200131956873)	(4, 39.70743501914165)	(5, 39.38753995251133)	(6, 39.235307550382636)	(7, 38.604351416165905)	(8, 39.261594623745125)	(9, 39.39234729152592)	(10, 38.88535729101231)	(15, 39.7031472899456)	(20, 39.5501165092271)	(25, 39.572148724087654)	(30, 39.676700288013656)	(35, 39.683965975670944)	(40, 39.584848822462696)	(45, 39.71665840948509)	(50, 39.683644222145844)	(55, 39.72295314740847)	(60, 39.41192874328857)	(65, 39.467596528032935)	(70, 39.67750562001952)	(75, 39.51805936478964)	(80, 39.61987886833153)	(85, 39.580793084511654)	(90, 39.785287993899956)	(95, 39.53418939367002)	(100, 39.32710275647635)	(105, 39.582307032827245)	(110, 39.50975192898033)	(115, 39.63498706111499)	(120, 39.707550382635425)	(125, 39.57424233445141)	(130, 39.70622322836046)	(135, 39.45784088529629)	(140, 39.47861516397814)	(145, 39.51684188484985)	(150, 39.396434319849234)	(155, 39.73174036892613)	(160, 39.41113226108497)	(165, 38.519720441067825)	(170, 39.49615610419062)	(175, 39.60479058760317)	(180, 39.516980953171114)	(185, 39.53669388771023)	(190, 39.39661858537491)	(195, 39.42698604970902)	(200, 39.17977188054347)	(205, 39.317232698439035)	(210, 38.918717568832896)	(215, 38.43362103092295)	(220, 38.92454358330074)	(225, 39.12906188145216)	(230, 37.39625037038793)	(235, 39.1380946849826)	(240, 36.19568998826611)	(245, 38.80587405625155)	(250, 38.35279894750566)
022024-BEL-CBC-T2-805-SSID_S12_R1_16S	(1, 39.3478485362942)	(2, 39.492686634364766)	(3, 39.312841039113394)	(4, 39.66218488089189)	(5, 37.45310647649025)	(6, 39.02112841865249)	(7, 39.403901838564835)	(8, 37.81113713438335)	(9, 38.88545216468187)	(10, 39.2496441420788)	(15, 39.60944603475552)	(20, 39.48120334915383)	(25, 39.58440421163942)	(30, 39.61567509738074)	(35, 39.32431193228992)	(40, 39.087524938969224)	(45, 39.65166652209293)	(50, 39.35502930716136)	(55, 39.484441800810444)	(60, 39.4818741712827)	(65, 38.721490679124784)	(70, 38.74801128501266)	(75, 37.49990871201326)	(80, 37.16545926944826)	(85, 37.94559566444023)	(90, 38.49193567708011)	(95, 38.9630362136552)	(100, 39.068158667608465)	(105, 39.185283219946214)	(110, 39.32778996327827)	(115, 39.52233498973526)	(120, 39.51666274252244)	(125, 39.5378365986344)	(130, 39.518339797844604)	(135, 39.47750887063129)	(140, 39.57449554093296)	(145, 39.44238654059837)	(150, 39.307226621394435)	(155, 38.84208995790839)	(160, 39.41122470475978)	(165, 38.34095360835388)	(170, 39.446958375156456)	(175, 39.56829456691905)	(180, 39.469299560908915)	(185, 39.35518296838792)	(190, 39.40270724644864)	(195, 39.35221879375937)	(200, 39.21619225828304)	(205, 39.28806110099095)	(210, 39.354854166408494)	(215, 39.25310895489712)	(220, 38.96882081531325)	(225, 38.27364586044091)	(230, 38.93978214803524)	(235, 38.89493620167623)	(240, 39.03168643196153)	(245, 37.59249868850969)	(250, 38.42158114097592)
022024-BEL-CBC-T2-806-SSID_S55_R1_16S	(1, 39.38530403364852)	(2, 39.02569542823883)	(3, 39.49026894650721)	(4, 39.35104492691551)	(5, 39.615317541374274)	(6, 39.18002174414391)	(7, 39.26420452673541)	(8, 39.46424186516435)	(9, 39.09245653916691)	(10, 39.56543340032287)	(15, 39.74452080519224)	(20, 39.654931418091564)	(25, 39.658394667193804)	(30, 39.582830472550754)	(35, 39.486449884141045)	(40, 39.44441296302397)	(45, 39.62263235923961)	(50, 39.58457439681964)	(55, 39.66755092851887)	(60, 39.410857575857406)	(65, 39.40929024039359)	(70, 39.09332454782064)	(75, 38.68285485234848)	(80, 38.592243710122005)	(85, 38.745049253780515)	(90, 38.94436442306636)	(95, 39.04740530864605)	(100, 39.04935129970678)	(105, 39.33023292590518)	(110, 39.18677077499204)	(115, 39.46740113552751)	(120, 39.433921303770084)	(125, 39.49990226117133)	(130, 39.434799855039046)	(135, 39.44941367684688)	(140, 39.48925597689411)	(145, 39.37517082331236)	(150, 39.28591440714261)	(155, 38.7068709298367)	(160, 39.3412728011509)	(165, 38.560176588805064)	(170, 39.48065847417608)	(175, 39.52327699623321)	(180, 39.36471957741684)	(185, 39.24813758112872)	(190, 39.17810474527504)	(195, 39.245289317914754)	(200, 39.15564546063541)	(205, 39.152552960168684)	(210, 39.161934130618604)	(215, 39.21667314598228)	(220, 38.99224722432709)	(225, 39.057809991324305)	(230, 38.92953008489001)	(235, 38.583956336001926)	(240, 39.04023720884262)	(245, 39.17195488639234)	(250, 32.79505375635577)
022024-BEL-CBC-T2-809-MCAV_S69_R1_16S	(1, 39.36832881065813)	(2, 39.11302793348308)	(3, 39.51597930766557)	(4, 39.3566068544088)	(5, 39.555009653891204)	(6, 39.25012195157573)	(7, 39.18590677933921)	(8, 39.38406713616806)	(9, 38.202261434968406)	(10, 39.455240120461866)	(15, 39.71375175624874)	(20, 39.637978787728315)	(25, 39.62048435952785)	(30, 39.66820875772969)	(35, 39.650294874528626)	(40, 39.60511641628864)	(45, 39.73226035419995)	(50, 39.62878115607173)	(55, 39.73920765067227)	(60, 39.52517577092382)	(65, 39.53993030503959)	(70, 39.72258017403293)	(75, 39.379655264072625)	(80, 39.625182489214225)	(85, 39.626349719146255)	(90, 39.75043712702534)	(95, 39.45638982441894)	(100, 39.53107150889882)	(105, 39.581158408524644)	(110, 39.51857665715396)	(115, 39.60286666530353)	(120, 39.653660445919215)	(125, 39.515506106341775)	(130, 39.692055767652306)	(135, 39.31019865692612)	(140, 39.37428413694797)	(145, 39.47289461923359)	(150, 39.27784103356517)	(155, 39.64733765835449)	(160, 39.32367028967515)	(165, 38.45156550771289)	(170, 39.55148225933185)	(175, 39.55428875212137)	(180, 39.432105249321594)	(185, 39.45393969312018)	(190, 39.34937622134138)	(195, 39.376638459583646)	(200, 38.94037371220597)	(205, 39.19872527742158)	(210, 38.97436475643276)	(215, 38.95999696216434)	(220, 38.89702379735299)	(225, 39.070067095274126)	(230, 37.23192882117372)	(235, 38.92113194430245)	(240, 38.94486211439203)	(245, 38.657166809308634)	(250, 38.834619058329366)
022024-BEL-CBC-T2-810-SSID_S57_R1_16S	(1, 39.38604312619416)	(2, 39.06843128060488)	(3, 39.41336151489914)	(4, 39.28413223873146)	(5, 39.579852046779536)	(6, 39.12830311047034)	(7, 39.09209633056417)	(8, 39.440399954274945)	(9, 38.867875581186475)	(10, 39.51332302186638)	(15, 39.71807422856463)	(20, 39.62579733068315)	(25, 39.627855891416985)	(30, 39.63039223233928)	(35, 39.47648542280514)	(40, 39.50115269136286)	(45, 39.600364867292356)	(50, 39.49391133538163)	(55, 39.65632113920714)	(60, 39.38139410100105)	(65, 39.4641676523216)	(70, 39.46762409337243)	(75, 39.275903594782676)	(80, 39.28945127598571)	(85, 39.23716420661194)	(90, 39.37852741987034)	(95, 39.34341244234793)	(100, 39.234739845421316)	(105, 39.34574162076664)	(110, 39.185799103695565)	(115, 39.40966338426078)	(120, 39.476709382268474)	(125, 39.489719560759504)	(130, 39.411300154672006)	(135, 39.41437399830631)	(140, 39.50042668943588)	(145, 39.378394910521195)	(150, 39.26225606498557)	(155, 38.741131321897406)	(160, 39.28946247395888)	(165, 38.53940823377635)	(170, 39.4269007976223)	(175, 39.52538883795366)	(180, 39.424913157385184)	(185, 39.32585028776458)	(190, 39.24693257187116)	(195, 39.3331886928466)	(200, 39.19238164558881)	(205, 39.082607914634124)	(210, 39.239572704007244)	(215, 39.22055014709004)	(220, 38.95690879950729)	(225, 38.891400656481174)	(230, 38.66514747497369)	(235, 38.372701207748065)	(240, 38.85191940258813)	(245, 39.02269875819143)	(250, 36.502191769956305)
