Sample	Unique Reads	Duplicate Reads
012024-BEL-CBC-T1-559-MCAV_S19_R1_16S	18248.0	1359362.0
012024-BEL-CBC-T2-591-PAST_S16_R1_16S	53635.0	922007.0
012024-BEL-CBC-T2-595-PAST_S86_R1_16S	30269.0	1157138.0
012024-BEL-CBC-T2-599-MCAV_S81_R1_16S	13571.0	1184602.0
012024-BEL-CBC-T4-665-MCAV_S24_R1_16S	19321.0	949578.0
012024-BEL-CBC-T4-669-MCAV_S23_R1_16S	26804.0	1238761.0
022024-BEL-CBC-T2-805-SSID_S12_R1_16S	10157.0	474025.0
022024-BEL-CBC-T2-806-SSID_S55_R1_16S	18585.0	436710.0
022024-BEL-CBC-T2-809-MCAV_S69_R1_16S	8223.0	676475.0
022024-BEL-CBC-T2-810-SSID_S57_R1_16S	19017.0	409632.0
022024-BEL-CBC-T2-811-PAST_S76_R1_16S	16485.0	1100368.0
022024-BEL-CBC-T2-812-PAST_S1_R1_16S	5711.0	461923.0
022024-BEL-CBC-T2-813-MCAV_S79_R1_16S	11924.0	972863.0
022024-BEL-CBC-T2-815-OFAV_S66_R1_16S	10099.0	967888.0
022024-BEL-CBC-T3-844-OFAV_S48_R1_16S	22171.0	1525712.0
022024-BEL-CBC-T3-847-PAST_S17_R1_16S	29906.0	556454.0
022024-BEL-CBC-T3-848-MCAV_S7_R1_16S	5269.0	933591.0
022024-BEL-CBC-T3-854-PAST_S62_R1_16S	18849.0	498482.0
022024-BEL-CBC-T4-870-MCAV_S5_R1_16S	4899.0	779612.0
022024-BEL-CBC-T4-873-MCAV_S51_R1_16S	7948.0	557351.0
042024-BEL-CBC-T1-928-OANN_S21_R1_16S	20021.0	782052.0
042024-BEL-CBC-T2-1027-PAST_S73_R1_16S	15837.0	1116458.0
042024-BEL-CBC-T2-1034-SSID_S44_R1_16S	39851.0	391703.0
042024-BEL-CBC-T3-944-SSID_S70_R1_16S	32224.0	933514.0
042024-BEL-CBC-T3-946-OFAV_S13_R1_16S	6232.0	635752.0
042024-BEL-CBC-T3-955-OFAV_S30_R1_16S	16159.0	762655.0
042024-BEL-CBC-T4-1041-MCAV_S39_R1_16S	22886.0	811918.0
042024-BEL-CBC-T4-1042-OFAV_S34_R1_16S	26699.0	800169.0
042024-BEL-CBC-T4-1044-PSTR_S6_R1_16S	6334.0	702400.0
042024-BEL-CBC-T4-1045-MCAV_S54_R1_16S	9044.0	819173.0
052022-BEL-CBC-T1-1-PAST_S74_R1_16S	12499.0	1261216.0
052022-BEL-CBC-T2-12-MCAV_S18_R1_16S	35076.0	1100408.0
052022-BEL-CBC-T2-3-SSID_S25_R1_16S	38777.0	563912.0
052022-BEL-CBC-T2-5-PAST_S40_R1_16S	118585.0	1459844.0
052022-BEL-CBC-T3-1-MCAV_S83_R1_16S	44583.0	2480749.0
052022-BEL-CBC-T3-15-PSTR_S94_R1_16S	55646.0	870722.0
062019-BEL-CBC-T1-5-SSID_S91_R1_16S	50639.0	1175307.0
062019-BEL-CBC-T2-17-SSID_S4_R1_16S	9088.0	733442.0
062019-BEL-CBC-T2-21-PAST_S29_R1_16S	25206.0	1084608.0
062019-BEL-CBC-T2-23-MCAV_S64_R1_16S	14411.0	870259.0
062019-BEL-CBC-T3-5-SSID_S37_R1_16S	114391.0	949616.0
062024-BEL-CBC-T1-1350-PSTR_S41_R1_16S	31510.0	796975.0
062024-BEL-CBC-T3-1424-PAST_S67_R1_16S	27483.0	729026.0
062024-BEL-CBC-T3-1427-MCAV_S84_R1_16S	32430.0	1424074.0
062024-BEL-CBC-T3-1436-MCAV_S47_R1_16S	9464.0	593037.0
062024-BEL-CBC-T4-1473-PSTR_S90_R1_16S	44472.0	1236778.0
082024-BEL-CBC-T1-1481-PSTR_S15_R1_16S	23053.0	524539.0
082024-BEL-CBC-T2-1508-SSID_S14_R1_16S	19146.0	747235.0
082024-BEL-CBC-T2-1511-SSID_S80_R1_16S	24487.0	624405.0
082024-BEL-CBC-T2-1512-PAST_S63_R1_16S	23668.0	1477935.0
082024-BEL-CBC-T3-1553-MCAV_S42_R1_16S	27835.0	1484663.0
082024-BEL-CBC-T3-1556-OFAV_S77_R1_16S	12275.0	1034905.0
082024-BEL-CBC-T3-1557-PAST_S27_R1_16S	43300.0	1016300.0
092023-BEL-CBC-T1-173-SSID_S75_R1_16S	51548.0	1403156.0
092023-BEL-CBC-T1-174-MCAV_S95_R1_16S	34228.0	1230008.0
092023-BEL-CBC-T2-175-PAST_S56_R1_16S	17018.0	714913.0
092023-BEL-CBC-T2-179-SSID_S33_R1_16S	76260.0	292569.0
092023-BEL-CBC-T2-183-MCAV_S11_R1_16S	21437.0	514260.0
092023-BEL-CBC-T3-174-OFAV_S3_R1_16S	11429.0	812691.0
092023-BEL-CBC-T3-175-MCAV_S78_R1_16S	40695.0	897536.0
092023-BEL-CBC-T3-177-SSID_S89_R1_16S	76261.0	707212.0
092023-BEL-CBC-T3-182-MCAV_S87_R1_16S	124537.0	1411678.0
092023-BEL-CBC-T4-95-OFAV_S58_R1_16S	12675.0	999261.0
092023-BEL-CBC-T4-96-MCAV_S36_R1_16S	50566.0	474515.0
112023-BEL-CBC-T1-274-PAST_S2_R1_16S	12223.0	604077.0
112023-BEL-CBC-T1-275-SSID_S85_R1_16S	97699.0	796183.0
112023-BEL-CBC-T2-305-PAST_S68_R1_16S	13294.0	544761.0
112023-BEL-CBC-T2-306-MCAV_S53_R1_16S	8057.0	574728.0
112023-BEL-CBC-T2-313-SSID_S32_R1_16S	64202.0	660274.0
112023-BEL-CBC-T2-314-SSID_S93_R1_16S	66626.0	1266876.0
112023-BEL-CBC-T3-353-MCAV_S35_R1_16S	64334.0	2601676.0
112023-BEL-CBC-T3-354-PSTR_S26_R1_16S	22613.0	1473503.0
112023-BEL-CBC-T3-357-OFAV_S10_R1_16S	7389.0	656510.0
112023-BEL-CBC-T3-359-PAST_S38_R1_16S	81408.0	553283.0
112023-BEL-CBC-T4-397-PSTR_S20_R1_16S	22346.0	1668711.0
112023-BEL-CBC-T4-398-PSTR_S59_R1_16S	18349.0	1624890.0
122022-BEL-CBC-T1-150-PAST_S31_R1_16S	67370.0	563698.0
