Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
012024-BEL-CBC-T1-559-MCAV_S19_R1_16S	012024-BEL-CBC-T1-559-MCAV_S19_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1377610.0	345.7 Mbp	0.0	251.0	35.0	1.3246129165729053	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
012024-BEL-CBC-T2-591-PAST_S16_R1_16S	012024-BEL-CBC-T2-591-PAST_S16_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	975642.0	244.8 Mbp	0.0	251.0	47.0	5.497405810737955	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
012024-BEL-CBC-T2-595-PAST_S86_R1_16S	012024-BEL-CBC-T2-595-PAST_S86_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1187407.0	298 Mbp	0.0	251.0	42.0	2.5491680611618426	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
012024-BEL-CBC-T2-599-MCAV_S81_R1_16S	012024-BEL-CBC-T2-599-MCAV_S81_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1198173.0	300.7 Mbp	0.0	251.0	35.0	1.1326411127608451	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
012024-BEL-CBC-T4-665-MCAV_S24_R1_16S	012024-BEL-CBC-T4-665-MCAV_S24_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	968899.0	243.1 Mbp	0.0	251.0	36.0	1.9941190980690453	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
012024-BEL-CBC-T4-669-MCAV_S23_R1_16S	012024-BEL-CBC-T4-669-MCAV_S23_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1265565.0	317.6 Mbp	0.0	251.0	36.0	2.1179473199717123	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T2-805-SSID_S12_R1_16S	022024-BEL-CBC-T2-805-SSID_S12_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	484182.0	121.5 Mbp	0.0	251.0	51.0	2.0977648900620016	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T2-806-SSID_S55_R1_16S	022024-BEL-CBC-T2-806-SSID_S55_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	455295.0	114.2 Mbp	0.0	251.0	46.0	4.081968833393733	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T2-809-MCAV_S69_R1_16S	022024-BEL-CBC-T2-809-MCAV_S69_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	684698.0	171.8 Mbp	0.0	251.0	35.0	1.2009674338175371	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T2-810-SSID_S57_R1_16S	022024-BEL-CBC-T2-810-SSID_S57_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	428649.0	107.5 Mbp	0.0	251.0	46.0	4.436496994044078	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
