Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
012024-BEL-CBC-T1-559-MCAV_S19_R1_16S	98.6753870834271	35.0	251.0	251	45.45454545454545	1.37761
012024-BEL-CBC-T2-591-PAST_S16_R1_16S	94.50259418926204	47.0	251.0	251	45.45454545454545	0.975642
012024-BEL-CBC-T2-595-PAST_S86_R1_16S	97.45083193883816	42.0	251.0	251	45.45454545454545	1.1874069999999999
012024-BEL-CBC-T2-599-MCAV_S81_R1_16S	98.86735888723915	35.0	251.0	251	45.45454545454545	1.198173
012024-BEL-CBC-T4-665-MCAV_S24_R1_16S	98.00588090193095	36.0	251.0	251	45.45454545454545	0.968899
012024-BEL-CBC-T4-669-MCAV_S23_R1_16S	97.8820526800283	36.0	251.0	251	45.45454545454545	1.265565
022024-BEL-CBC-T2-805-SSID_S12_R1_16S	97.902235109938	51.0	251.0	251	45.45454545454545	0.484182
022024-BEL-CBC-T2-806-SSID_S55_R1_16S	95.91803116660627	46.0	251.0	251	45.45454545454545	0.455295
022024-BEL-CBC-T2-809-MCAV_S69_R1_16S	98.79903256618246	35.0	251.0	251	45.45454545454545	0.6846979999999999
022024-BEL-CBC-T2-810-SSID_S57_R1_16S	95.56350300595592	46.0	251.0	251	45.45454545454545	0.428649
022024-BEL-CBC-T2-811-PAST_S76_R1_16S	98.52397764074591	44.0	251.0	251	45.45454545454545	1.1168529999999999
022024-BEL-CBC-T2-812-PAST_S1_R1_16S	98.77874577126556	45.0	251.0	251	45.45454545454545	0.467634
022024-BEL-CBC-T2-813-MCAV_S79_R1_16S	98.78917979217842	38.0	251.0	251	45.45454545454545	0.984787
022024-BEL-CBC-T2-815-OFAV_S66_R1_16S	98.96736868690483	36.0	251.0	251	45.45454545454545	0.9779869999999999
022024-BEL-CBC-T3-844-OFAV_S48_R1_16S	98.56765659936829	37.0	251.0	251	45.45454545454545	1.547883
022024-BEL-CBC-T3-847-PAST_S17_R1_16S	94.89972030834299	45.0	251.0	251	45.45454545454545	0.58636
022024-BEL-CBC-T3-848-MCAV_S7_R1_16S	99.43878746564982	35.0	251.0	251	45.45454545454545	0.9388599999999999
022024-BEL-CBC-T3-854-PAST_S62_R1_16S	96.35649129860766	47.0	251.0	251	45.45454545454545	0.517331
022024-BEL-CBC-T4-870-MCAV_S5_R1_16S	99.37553456866762	35.0	251.0	251	45.45454545454545	0.784511
022024-BEL-CBC-T4-873-MCAV_S51_R1_16S	98.59401838672986	35.0	251.0	251	45.45454545454545	0.565299
042024-BEL-CBC-T1-928-OANN_S21_R1_16S	97.50384316639509	37.0	251.0	251	45.45454545454545	0.8020729999999999
042024-BEL-CBC-T2-1027-PAST_S73_R1_16S	98.60133622421719	46.0	251.0	251	45.45454545454545	1.132295
042024-BEL-CBC-T2-1034-SSID_S44_R1_16S	90.76569791961145	44.0	251.0	251	36.36363636363637	0.431554
042024-BEL-CBC-T3-944-SSID_S70_R1_16S	96.66327720354796	46.0	251.0	251	45.45454545454545	0.965738
042024-BEL-CBC-T3-946-OFAV_S13_R1_16S	99.02925929618183	38.0	251.0	251	45.45454545454545	0.641984
