Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
012024-BEL-CBC-T1-559-MCAV_S19_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 8.710738162469784e-05)	(25, 0.007404127438099317)	(30, 0.01088842270308723)	(35, 0.012587016644768838)	(40, 0.027467861005654726)	(45, 0.053309717554315086)	(50, 0.10544348545669675)	(55, 0.12074534882876867)	(60, 0.12796074360668114)	(65, 0.13355013392759923)	(70, 0.13651178490283894)	(75, 0.1366134101814011)	(80, 0.13774580614252221)	(85, 0.1380361640812712)	(90, 0.1382103788445206)	(95, 0.1382103788445206)	(100, 0.13842814729858233)	(105, 0.1394444000842038)	(110, 0.14089618977794877)	(115, 0.14095426136569858)	(120, 0.14107040454119818)	(125, 0.14146238775850928)	(130, 0.14147690565544674)	(135, 0.14249315844106822)	(140, 0.14372717968075144)	(145, 0.1437707333715638)	(150, 0.14394494813481318)	(155, 0.14394494813481318)	(160, 0.14398850182562553)	(165, 0.1444675924245614)	(170, 0.14703726018248997)	(175, 0.1481551382466736)	(180, 0.1481551382466736)	(185, 0.1481551382466736)	(190, 0.1481551382466736)	(195, 0.14831483511298554)	(200, 0.14973758901285558)	(205, 0.1679575496693549)	(210, 36.44471221898796)	(215, 90.71258193538084)	(220, 90.71853427312519)	(225, 90.7229186780003)	(230, 90.95983623812255)	(235, 91.29874202423038)	(240, 91.29942436538643)
012024-BEL-CBC-T1-559-MCAV_S19_R2_16S - polyg	(1, 0.18677274410028963)	(2, 0.19301543978339297)	(3, 0.19374133463026547)	(4, 0.19388651359963996)	(5, 0.1939591030843272)	(6, 0.1941042820537017)	(7, 0.1941042820537017)	(8, 0.1942494610230762)	(9, 0.1946849979311997)	(10, 0.19639810976981875)	(15, 0.19686268247181712)	(20, 0.19692075405956694)	(25, 0.19700786144119162)	(30, 0.19705141513200397)	(35, 0.19708045092587886)	(40, 0.19708045092587886)	(45, 0.19708045092587886)	(50, 0.19708045092587886)	(55, 0.19708045092587886)	(60, 0.19708045092587886)	(65, 0.19708045092587886)	(70, 0.19708045092587886)	(75, 0.19708045092587886)	(80, 0.19708045092587886)	(85, 0.19708045092587886)	(90, 0.19708045092587886)	(95, 0.19755954152481472)	(100, 0.2044555425701033)	(105, 0.2082011599799653)	(110, 0.21069823825320663)	(115, 0.22803260719652152)	(120, 0.2518709939678138)	(125, 0.30571787370881454)	(130, 0.3196695726657036)	(135, 0.32743664752723917)	(140, 0.3331276631267195)	(145, 0.33585702775096005)	(150, 0.33597317092645956)	(155, 0.3372217100630802)	(160, 0.33754110379570423)	(165, 0.3377588722497659)	(170, 0.3377588722497659)	(175, 0.33802019439464004)	(180, 0.3391961440465734)	(185, 0.3406334158433809)	(190, 0.3407350411219431)	(195, 0.3408802200913176)	(200, 0.34128672120556625)	(205, 0.3413302748963785)	(210, 0.3427385108993111)	(215, 0.3437837994788075)	(220, 0.34381283527268236)	(225, 0.34400156793286923)	(230, 0.34400156793286923)	(235, 0.3440741574175565)	(240, 0.344219336386931)
012024-BEL-CBC-T2-591-PAST_S16_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.013181064365822708)	(25, 0.04048616193234814)	(30, 0.04509850949426122)	(35, 0.0463079695216073)	(40, 0.05284725339827519)	(45, 0.06041150339981264)	(50, 0.06498285231673093)	(55, 0.06801675204634487)	(60, 0.07373606302311708)	(65, 0.08078782996221975)	(70, 0.08486719513920066)	(75, 0.08816758606128068)	(80, 0.09079149934094677)	(85, 0.092164953948272)	(90, 0.09829425137499205)	(95, 0.10235311722947557)	(100, 0.1053870169590895)	(105, 0.1072934539513469)	(110, 0.11024535639097129)	(115, 0.5436010339858267)	(120, 0.6537438937643111)	(125, 0.6571672806213755)	(130, 0.6587047298086798)	(135, 0.6688518944448887)	(140, 0.6734437426843043)	(145, 0.6777076017637615)	(150, 0.6834679113855286)	(155, 0.6851283565078174)	(160, 0.6877932684324783)	(165, 0.6914831464820088)	(170, 0.6949885306290626)	(175, 0.7007898388958245)	(180, 0.7047667074603183)	(185, 0.7098300401171741)	(190, 0.7342447332115674)	(195, 0.7421574716955603)	(200, 0.74648282874251)	(205, 0.7760223524612512)	(210, 1.2198736831747712)	(215, 1.3851392211487412)	(220, 1.3956963722348976)	(225, 1.5407085795814448)	(230, 18.06154306600167)	(235, 43.69186648381272)	(240, 43.7343820786723)
012024-BEL-CBC-T2-591-PAST_S16_R2_16S - polyg	(1, 0.2539866057426802)	(2, 0.2609563753917933)	(3, 0.261673851679202)	(4, 0.261673851679202)	(5, 0.261673851679202)	(6, 0.2618788449041759)	(7, 0.2631088042540194)	(8, 0.2631088042540194)	(9, 0.26341629409148026)	(10, 0.2655892222762038)	(15, 0.2659787094036542)	(20, 0.26606070669364373)	(25, 0.26608120601614116)	(30, 0.26608120601614116)	(35, 0.2661427039836333)	(40, 0.2661837026286281)	(45, 0.2661837026286281)	(50, 0.2661837026286281)	(55, 0.2661837026286281)	(60, 0.2661837026286281)	(65, 0.2661837026286281)	(70, 0.2661837026286281)	(75, 0.2661837026286281)	(80, 0.2661837026286281)	(85, 0.2661837026286281)	(90, 0.26626569991861765)	(95, 0.2834441321714317)	(100, 0.30833030968326497)	(105, 0.3131066518251572)	(110, 0.3149720901724198)	(115, 0.3220238571115225)	(120, 0.3282761504732269)	(125, 0.3335034777100617)	(130, 0.3366808726971574)	(135, 0.3434251497987991)	(140, 0.35033342148042007)	(145, 0.35455628191488275)	(150, 0.35773367690197844)	(155, 0.3602550935691576)	(160, 0.3622025292064098)	(165, 0.36810633408565846)	(170, 0.3728621769050533)	(175, 0.37603957189214904)	(180, 0.37802800617439597)	(185, 0.41310234696743275)	(190, 0.8690687772769111)	(195, 0.9366960421958055)	(200, 0.9411443951777393)	(205, 0.9429893342025046)	(210, 0.9535464852886613)	(215, 0.957892341658108)	(220, 0.9637141492473674)	(225, 0.9697204507391032)	(230, 0.9717908823113397)	(235, 0.9747632840734614)	(240, 0.9775101932881118)
012024-BEL-CBC-T2-595-PAST_S86_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.6843424369234812e-05)	(20, 0.0016674990125542465)	(25, 0.02674735789834488)	(30, 0.10449660478673277)	(35, 0.10505243779091752)	(40, 0.10837059239165678)	(45, 0.11364258421922727)	(50, 0.11785344031153597)	(55, 0.12068313560556743)	(60, 0.1216937410677215)	(65, 0.12425394157184519)	(70, 0.12489399169787614)	(75, 0.12582038003818405)	(80, 0.13099131131953912)	(85, 0.13250721951277025)	(90, 0.13402312770600142)	(95, 0.13452843043707846)	(100, 0.1357748438404018)	(105, 0.13676860587818668)	(110, 0.1376613073697561)	(115, 0.13855400886132557)	(120, 0.13946355377726424)	(125, 0.14320279398723437)	(130, 0.14562824709640415)	(135, 0.1474304935039123)	(140, 0.14955276497443587)	(145, 0.1501422848273591)	(150, 0.15335937888188295)	(155, 0.15640803869271444)	(160, 0.16110735409173096)	(165, 0.1628927570748699)	(170, 0.16525083648656272)	(175, 0.16791209753690184)	(180, 0.17050598488976398)	(185, 0.17212295362921054)	(190, 0.1739420434610879)	(195, 0.17623274917530382)	(200, 0.19991460383844797)	(205, 0.23776177839611856)	(210, 0.481536659292054)	(215, 1.043281705430404)	(220, 1.058828186123208)	(225, 1.0779960030553972)	(230, 1.6803168584992343)	(235, 81.39455132065079)	(240, 81.47214897671986)
012024-BEL-CBC-T2-595-PAST_S86_R2_16S - polyg	(1, 0.2668840591305256)	(2, 0.2746320343403736)	(3, 0.2748846857059121)	(4, 0.2752215541932968)	(5, 0.2752215541932968)	(6, 0.2752215541932968)	(7, 0.27555842268068154)	(8, 0.2756426398025277)	(9, 0.2759795082899124)	(10, 0.27756279018062047)	(15, 0.27808493633606673)	(20, 0.2782196837310206)	(25, 0.27830390085286677)	(30, 0.27833758770160527)	(35, 0.27833758770160527)	(40, 0.27833758770160527)	(45, 0.2784386482478207)	(50, 0.2785060219452976)	(55, 0.2785060219452976)	(60, 0.2785060219452976)	(65, 0.2785060219452976)	(70, 0.2785060219452976)	(75, 0.2785060219452976)	(80, 0.27852286536966686)	(85, 0.2785902390671438)	(90, 0.2786239259158823)	(95, 0.2810662224494213)	(100, 0.310239033456936)	(105, 0.38461959547147695)	(110, 0.38578179175295413)	(115, 0.38980737017720124)	(120, 0.3942877210594177)	(125, 0.3990375667315419)	(130, 0.40166514093314254)	(135, 0.4029789280339429)	(140, 0.4056907193573897)	(145, 0.40692028933634383)	(150, 0.4081667027396672)	(155, 0.41325341689917605)	(160, 0.4148535422142534)	(165, 0.41625154643689993)	(170, 0.41692528341166935)	(175, 0.4181885402393619)	(180, 0.4192665193989929)	(185, 0.4201255340418239)	(190, 0.42101823553339346)	(195, 0.421927780449332)	(200, 0.4260207325710561)	(205, 0.4285135593777028)	(210, 0.43033264920958014)	(215, 0.4323370167095192)	(220, 0.4333813090204117)	(225, 0.43696895841105865)	(230, 0.4405397643773365)	(235, 0.4450369586839222)	(240, 0.4459296601754916)
012024-BEL-CBC-T2-599-MCAV_S81_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.008379424340224659)	(25, 0.09107199043877637)	(30, 0.09297488759970388)	(35, 0.09359249457298738)	(40, 0.09604623038576232)	(45, 0.1104848798963088)	(50, 0.13046530008604768)	(55, 0.13106621497897217)	(60, 0.13166712987189663)	(65, 0.13178397443440973)	(70, 0.13183405067548676)	(75, 0.13328626166672092)	(80, 0.13483862514010916)	(85, 0.13495546970262223)	(90, 0.13543954003303363)	(95, 0.137175516390371)	(100, 0.1385776511405281)	(105, 0.1405807007836097)	(110, 0.14063077702468676)	(115, 0.14063077702468676)	(120, 0.14336827820356493)	(125, 0.14764145077547233)	(130, 0.14840928647198692)	(135, 0.16980853349224195)	(140, 0.17523345960892125)	(145, 0.17585106658220473)	(150, 0.1760513715465129)	(155, 0.1770528963680537)	(160, 0.17778734790385026)	(165, 0.1784383390378518)	(170, 0.1817433709489364)	(175, 0.18204382839539865)	(180, 0.18224413335970685)	(185, 0.182511206645451)	(190, 0.18302866113658045)	(195, 0.18394672555632616)	(200, 0.18681776337807646)	(205, 0.3151798613388885)	(210, 72.1372790072886)	(215, 90.38212344961872)	(220, 90.38906735504807)	(225, 90.40021766472788)	(230, 90.67450192918719)	(235, 90.98133575034657)	(240, 91.01131472667136)
012024-BEL-CBC-T2-599-MCAV_S81_R2_16S - polyg	(1, 0.13270203885415546)	(2, 0.1467233863557266)	(3, 0.14689030715931672)	(4, 0.14714068836470193)	(5, 0.14714068836470193)	(6, 0.14730760916829205)	(7, 0.14755799037367726)	(8, 0.14789183198085754)	(9, 0.1483925943916279)	(10, 0.1500284182668112)	(15, 0.15031218363291446)	(20, 0.15031218363291446)	(25, 0.15031218363291446)	(30, 0.15031218363291446)	(35, 0.15031218363291446)	(40, 0.15031218363291446)	(45, 0.15031218363291446)	(50, 0.15031218363291446)	(55, 0.15031218363291446)	(60, 0.15031218363291446)	(65, 0.15031218363291446)	(70, 0.15031218363291446)	(75, 0.15031218363291446)	(80, 0.15031218363291446)	(85, 0.15031218363291446)	(90, 0.1503622598739915)	(95, 0.16944130772434365)	(100, 0.24291984546472004)	(105, 0.2473933230009356)	(110, 0.2482613111796043)	(115, 0.2509654281977644)	(120, 0.2639017904759997)	(125, 0.28560149494271697)	(130, 0.28641940688030865)	(135, 0.286953553451797)	(140, 0.2871872425768232)	(145, 0.28723731881790027)	(150, 0.2889399110145196)	(155, 0.29027527744324066)	(160, 0.29040881408611274)	(165, 0.2910931893808323)	(170, 0.2926288607738615)	(175, 0.29441491337227593)	(180, 0.2964012709349985)	(185, 0.2964513471760756)	(190, 0.2964513471760756)	(195, 0.2997563790871602)	(200, 0.30344532884650216)	(205, 0.3053482260074296)	(210, 0.32851683354574)	(215, 0.33265646947477534)	(220, 0.3331739239659048)	(225, 0.33339092101057194)	(230, 0.3344425220731898)	(235, 0.33521035776970437)	(240, 0.33576119642155183)
012024-BEL-CBC-T4-665-MCAV_S24_R2_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0021261246012226247)	(30, 0.004438027080221984)	(35, 0.00468573091725763)	(40, 0.007720102920944288)	(45, 0.013169587335728494)	(50, 0.0700382599218288)	(55, 0.07290749603415836)	(60, 0.07955421566128151)	(65, 0.08229959985509325)	(70, 0.08322848924397692)	(75, 0.08366197095878931)	(80, 0.0848798481575479)	(85, 0.0854371817908781)	(90, 0.0859945154242083)	(95, 0.08667570097605633)	(100, 0.08679955289457415)	(105, 0.08828577591678802)	(110, 0.08834770187604693)	(115, 0.08867797365876114)	(120, 0.0888843935229575)	(125, 0.08917338133283241)	(130, 0.08927659126493061)	(135, 0.08960686304764483)	(140, 0.08968943099332335)	(145, 0.08968943099332335)	(150, 0.08968943099332335)	(155, 0.08987520887110009)	(160, 0.08989585085751972)	(165, 0.08993713483035899)	(170, 0.09022612264023391)	(175, 0.0904325425044303)	(180, 0.0905563944229481)	(185, 0.09080409825998377)	(190, 0.09090730819208194)	(195, 0.09156785175751034)	(200, 0.09311600073898312)	(205, 0.11964095328821682)	(210, 34.05077309399638)	(215, 84.4421348355195)	(220, 84.44832743144539)	(225, 84.45187785310956)	(230, 84.61338075485679)	(235, 84.85439658829249)	(240, 84.88118988666517)
012024-BEL-CBC-T4-665-MCAV_S24_R2_16S - polyg	(1, 0.2876460807576435)	(2, 0.29414830647982915)	(3, 0.29497398593661467)	(4, 0.29497398593661467)	(5, 0.295180405800811)	(6, 0.295180405800811)	(7, 0.2953868256650074)	(8, 0.2953868256650074)	(9, 0.29559324552920374)	(10, 0.29771937013042643)	(15, 0.298483123627953)	(20, 0.298483123627953)	(25, 0.298483123627953)	(30, 0.29858633356005115)	(35, 0.29866890150572967)	(40, 0.2987514694514083)	(45, 0.29879275342424755)	(50, 0.29879275342424755)	(55, 0.29879275342424755)	(60, 0.29879275342424755)	(65, 0.29879275342424755)	(70, 0.29879275342424755)	(75, 0.29879275342424755)	(80, 0.29879275342424755)	(85, 0.29879275342424755)	(90, 0.29879275342424755)	(95, 0.2988546793835064)	(100, 0.30096016199830944)	(105, 0.3034372003686659)	(110, 0.30376747215138006)	(115, 0.3074004617612362)	(120, 0.31408846536119867)	(125, 0.3684181736176836)	(130, 0.37314518850778045)	(135, 0.38003961197193925)	(140, 0.38259921828797433)	(145, 0.3835074656904383)	(150, 0.3840235153509292)	(155, 0.3852207505632682)	(160, 0.3856955162509198)	(165, 0.38643862776202675)	(170, 0.3872436652323926)	(175, 0.38749136906942827)	(180, 0.3890188760644814)	(185, 0.3891633699694189)	(190, 0.3894729997657135)	(195, 0.38963813565707056)	(200, 0.3899271234669454)	(205, 0.39003033339904364)	(210, 0.3903812471681775)	(215, 0.3904431731274364)	(220, 0.3905463830595346)	(225, 0.3905463830595346)	(230, 0.39073216093731133)	(235, 0.39075280292373094)	(240, 0.39075280292373094)
