Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
012024-BEL-CBC-T1-559-MCAV_S19_R2_16S	(1, 0.009654401463404011)	(2, 0.0)	(3, 7.258948468724821e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0004790905989358382)	(35, 2.903579387489928e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0009436633009342266)	(65, 0.0)	(70, 7.258948468724821e-05)	(75, 0.00013066107243704677)	(80, 0.00023228635099919423)	(85, 0.00026132214487409355)	(90, 0.0013646823121202661)	(95, 0.0013211286213079172)	(100, 5.807158774979856e-05)	(105, 0.0022793098191795937)	(110, 0.0024535245824289895)	(115, 0.0020905771589927484)	(120, 0.00444247646285959)	(125, 0.002105095055930198)	(130, 0.0028600256966775793)	(135, 0.005211925000544421)	(140, 0.005589390320918112)	(145, 0.009422115112404818)	(150, 0.007317020056474619)	(155, 0.004471512256734489)	(160, 0.006300767270853144)	(165, 0.008681702368594885)	(170, 0.009915723608278105)	(175, 0.013341947285516218)	(180, 0.010336742619464144)	(185, 0.005778122981104957)	(190, 0.006794375766726432)	(195, 0.009451150906279716)	(200, 0.010728725836775284)	(205, 0.008972060307343878)	(210, 0.010902940600024679)	(215, 0.005995891435166702)	(220, 0.009044649792031127)	(225, 0.009001096101218777)	(230, 0.009480186700154616)	(235, 0.009001096101218777)	(240, 0.010583546867400788)	(245, 0.0020034697773680505)	(250, 0.0032302320685825454)
012024-BEL-CBC-T2-591-PAST_S16_R2_16S	(1, 0.004509850949426121)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00034848848245565484)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00047148441744000367)	(65, 0.0)	(70, 2.0499322497391464e-05)	(75, 6.149796749217439e-05)	(80, 0.00014349525748174021)	(85, 0.00014349525748174021)	(90, 0.0005534817074295694)	(95, 0.00045098509494261214)	(100, 0.0)	(105, 0.0006354789974191353)	(110, 0.0007174762874087012)	(115, 0.0005124830624347865)	(120, 0.001250458672340879)	(125, 0.0006149796749217438)	(130, 0.0006764776424139182)	(135, 0.0017219430897808827)	(140, 0.0011684613823513133)	(145, 0.003607880759540897)	(150, 0.0027059105696556726)	(155, 0.0012709579948382706)	(160, 0.0015579485098017511)	(165, 0.0034233868570643744)	(170, 0.004120363821975684)	(175, 0.006395788619186136)	(180, 0.004837840109384385)	(185, 0.0018859376697600147)	(190, 0.0020909308947339293)	(195, 0.004591848239415687)	(200, 0.004571348916918296)	(205, 0.0026239132796661074)	(210, 0.00463284688441047)	(215, 0.0017219430897808827)	(220, 0.003341389567074808)	(225, 0.0027674085371478473)	(230, 0.0033003909220800254)	(235, 0.0038128739845148117)	(240, 0.00463284688441047)	(245, 0.00028699051496348043)	(250, 0.0007687245936521799)
012024-BEL-CBC-T2-595-PAST_S86_R2_16S	(1, 0.010864008718156452)	(2, 0.0)	(3, 0.00016843424369234811)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 1.6843424369234812e-05)	(25, 0.0)	(30, 0.0004884593067078095)	(35, 8.421712184617406e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 3.3686848738469624e-05)	(60, 0.0008253277940925059)	(65, 0.0)	(70, 8.421712184617406e-05)	(75, 0.00010106054621540887)	(80, 0.0001515908193231133)	(85, 0.00021896451680005258)	(90, 0.001347473949538785)	(95, 0.0013811607982772546)	(100, 0.00032002506301546143)	(105, 0.0027623215965545092)	(110, 0.0026612610503391003)	(115, 0.0030991900839392058)	(120, 0.004261386365416408)	(125, 0.002155958319262056)	(130, 0.0035371191175393108)	(135, 0.0064005012603092284)	(140, 0.007444793571201786)	(145, 0.010880852142525689)	(150, 0.009499691344248435)	(155, 0.005305678676308966)	(160, 0.008371181911509701)	(165, 0.011874614180310543)	(170, 0.012868376218095397)	(175, 0.01581597548271149)	(180, 0.012986280188680041)	(185, 0.007764818634217249)	(190, 0.009668125587940783)	(195, 0.013289461827326265)	(200, 0.013457896071018615)	(205, 0.013070497310526213)	(210, 0.01389582510461872)	(215, 0.00889332806695598)	(220, 0.011958831302156716)	(225, 0.012430447184495291)	(230, 0.013727390860926371)	(235, 0.013323148676064737)	(240, 0.01263256827692611)	(245, 0.003553962541908545)	(250, 0.006568935504001576)
012024-BEL-CBC-T2-599-MCAV_S81_R2_16S	(1, 0.0031714952682125198)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0002837653661032255)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00041730200897533164)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 1.6692080359013262e-05)	(85, 1.6692080359013262e-05)	(90, 0.0003839178482573051)	(95, 0.00020030496430815917)	(100, 8.346040179506631e-05)	(105, 0.0006342990536425041)	(110, 0.0005341465714884244)	(115, 0.0010349089822588224)	(120, 0.0013019822680030346)	(125, 0.0005341465714884244)	(130, 0.0010182169018998091)	(135, 0.002637348696724096)	(140, 0.0032716477503666)	(145, 0.005241313232730165)	(150, 0.005141160750576085)	(155, 0.001836128839491459)	(160, 0.003188187348571533)	(165, 0.006209453893552935)	(170, 0.006910521268631491)	(175, 0.009698098688586707)	(180, 0.007745125286582154)	(185, 0.003805794321855024)	(190, 0.00403948344688121)	(195, 0.00822919561699354)	(200, 0.007277747036529783)	(205, 0.006760292545400372)	(210, 0.008429500581301699)	(215, 0.003922638884368117)	(220, 0.005808843964936616)	(225, 0.006226145973911947)	(230, 0.0067436004650413585)	(235, 0.00797881441160834)	(240, 0.006943905429349518)	(245, 0.0007010673750785571)	(250, 0.0032549556700075867)
012024-BEL-CBC-T4-665-MCAV_S24_R2_16S	(1, 0.005986176061694769)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00043348171481237985)	(35, 2.0641986419637136e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0006605435654283883)	(65, 0.0)	(70, 2.0641986419637136e-05)	(75, 2.0641986419637136e-05)	(80, 8.256794567854854e-05)	(85, 0.00010320993209818568)	(90, 0.0006605435654283883)	(95, 0.0005986176061694769)	(100, 0.0)	(105, 0.0008256794567854855)	(110, 0.0009701733617229454)	(115, 0.0005986176061694769)	(120, 0.001981630696285165)	(125, 0.0009701733617229454)	(130, 0.0009495313753033083)	(135, 0.0024770383703564564)	(140, 0.0017339268592495194)	(145, 0.005057286672811098)	(150, 0.0038187674876328697)	(155, 0.0018990627506066165)	(160, 0.002621532275293916)	(165, 0.004603162971579081)	(170, 0.005222422564168195)	(175, 0.008153584635756668)	(180, 0.006151311953051867)	(185, 0.002559606316035005)	(190, 0.0030343720036866586)	(195, 0.0055320523604627525)	(200, 0.006440299762926786)	(205, 0.004665088930837992)	(210, 0.006130669966632229)	(215, 0.002683458234552828)	(220, 0.004871508795034364)	(225, 0.004438027080221984)	(230, 0.004809582835775452)	(235, 0.004850866808614727)	(240, 0.006543509695024972)	(245, 0.00026834582345528277)	(250, 0.000928889388883671)
012024-BEL-CBC-T4-669-MCAV_S23_R2_16S	(1, 0.008928818353857764)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0005531126413894189)	(35, 3.160643665082394e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0008059641345960105)	(65, 0.0)	(70, 3.160643665082394e-05)	(75, 0.00011062252827788378)	(80, 0.0002054418382303556)	(85, 0.00023704827488117957)	(90, 0.000995602754500954)	(95, 0.0011378317194296618)	(100, 7.901609162705985e-05)	(105, 0.0018331733257477886)	(110, 0.002038615163978144)	(115, 0.0018331733257477886)	(120, 0.0033502822849873375)	(125, 0.0017541572341207286)	(130, 0.0025443181503913273)	(135, 0.0050254234274810065)	(140, 0.0050254234274810065)	(145, 0.009023637663810235)	(150, 0.006589942041696791)	(155, 0.004140443201257936)	(160, 0.005768174688775369)	(165, 0.00834409927581752)	(170, 0.009734782488453773)	(175, 0.013211490520044408)	(180, 0.010145666164914486)	(185, 0.005278274920687598)	(190, 0.006763777443276323)	(195, 0.010335304784819428)	(200, 0.01137831719429662)	(205, 0.009071047318786472)	(210, 0.010872614207883435)	(215, 0.00586299399872784)	(220, 0.008549541114047876)	(225, 0.008454721804095405)	(230, 0.009023637663810235)	(235, 0.009371308466969298)	(240, 0.010319501566494017)	(245, 0.0015171089592395492)	(250, 0.003042119527641804)
022024-BEL-CBC-T2-805-SSID_S12_R2_16S	(1, 0.004130678133429165)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00028914746934004156)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0006196017200143747)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 4.130678133429165e-05)	(85, 8.26135626685833e-05)	(90, 0.00045437459467720815)	(95, 0.0003717610320086249)	(100, 0.0)	(105, 0.0006609085013486664)	(110, 0.0007848288453515414)	(115, 0.0004956813760114998)	(120, 0.0014457373467002077)	(125, 0.0004956813760114998)	(130, 0.000702215282682958)	(135, 0.0018588051600431242)	(140, 0.0013631237840316245)	(145, 0.0035523831947490824)	(150, 0.002974088256068999)	(155, 0.0016109644720373746)	(160, 0.0017348848160402494)	(165, 0.003428462850746207)	(170, 0.004295905258766331)	(175, 0.007228686733501039)	(180, 0.005617722261463664)	(185, 0.0022305661920517493)	(190, 0.0020653390667145824)	(195, 0.005163347666786456)	(200, 0.004915506978780707)	(205, 0.0031393153814061655)	(210, 0.005782949386800831)	(215, 0.001900111941377416)	(220, 0.0038415306640891237)	(225, 0.00326323572540904)	(230, 0.003882837445423415)	(235, 0.00450243916543779)	(240, 0.005535108698795081)	(245, 0.0004130678133429165)	(250, 0.001549004300035937)
022024-BEL-CBC-T2-806-SSID_S55_R2_16S	(1, 0.00878551268957489)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0006149858882702424)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0007028410151659912)	(65, 0.0)	(70, 0.0)	(75, 0.00021963781723937227)	(80, 0.0003074929441351212)	(85, 0.0002635653806872467)	(90, 0.0013178269034362336)	(95, 0.0012299717765404848)	(100, 0.0)	(105, 0.0020645954820500993)	(110, 0.002328160862737346)	(115, 0.0020645954820500993)	(120, 0.0038656255834129518)	(125, 0.0019767403551543506)	(130, 0.0026795813703203416)	(135, 0.00562272812132793)	(140, 0.0060180761923588)	(145, 0.009576208831636632)	(150, 0.007643396039930156)	(155, 0.004348828781339571)	(160, 0.006940555024764164)	(165, 0.009883701775771752)	(170, 0.010322977410250497)	(175, 0.013134341470914463)	(180, 0.010630470354385618)	(185, 0.005930221065463051)	(190, 0.007819106293721652)	(195, 0.011465094059895233)	(200, 0.0120361523847176)	(205, 0.011157601115760111)	(210, 0.01124545624265586)	(215, 0.006105931319254549)	(220, 0.009224788324053636)	(225, 0.009751919085428128)	(230, 0.010498687664041995)	(235, 0.010191194719906874)	(240, 0.010015484466115375)	(245, 0.001844957664810727)	(250, 0.003624023984449643)
022024-BEL-CBC-T2-809-MCAV_S69_R2_16S	(1, 0.005257792486614537)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0005549892069204233)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00081787883125115)	(65, 0.0)	(70, 0.0)	(75, 2.920995825896965e-05)	(80, 0.00014604979129484823)	(85, 0.0002044697078127875)	(90, 0.0006426190816973323)	(95, 0.0005841991651793929)	(100, 0.0)	(105, 0.0007302489564742412)	(110, 0.0010223485390639375)	(115, 0.0007594589147332109)	(120, 0.001577337745984361)	(125, 0.0007886688729921805)	(130, 0.0007010389982152715)	(135, 0.0021615369111637537)	(140, 0.0008762987477690896)	(145, 0.005024112820542779)	(150, 0.003563614907594297)	(155, 0.0019278572450919967)	(160, 0.002015487119868906)	(165, 0.00417702403103266)	(170, 0.00496569290402484)	(175, 0.007828268813403864)	(180, 0.005549892069204233)	(185, 0.002278376744199633)	(190, 0.0016941775790202396)	(195, 0.00499490286228381)	(200, 0.006396980858714353)	(205, 0.003213095408486661)	(210, 0.005725151818758051)	(215, 0.002073907036386845)	(220, 0.004235443947550599)	(225, 0.0031838854502276915)	(230, 0.003592824865853267)	(235, 0.00408939415625575)	(240, 0.006250931067419505)	(245, 0.00026288962433072686)	(250, 0.0006572240608268171)
022024-BEL-CBC-T2-810-SSID_S57_R2_16S	(1, 0.004665822152857)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00037326577222855997)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00065321510139998)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 4.6658221528569997e-05)	(85, 4.6658221528569997e-05)	(90, 0.00051324043681427)	(95, 0.00037326577222855997)	(100, 0.0)	(105, 0.00065321510139998)	(110, 0.0008398479875142599)	(115, 0.00065321510139998)	(120, 0.0014930630889142399)	(125, 0.00060655687987141)	(130, 0.0007931897659856898)	(135, 0.00275283507018563)	(140, 0.00256620218407135)	(145, 0.005552328361899829)	(150, 0.005272379032728409)	(155, 0.00223959463337136)	(160, 0.00289280973477134)	(165, 0.005832277691071249)	(170, 0.007418657223042629)	(175, 0.00970491007794256)	(180, 0.007371999001514059)	(185, 0.0029394679562999098)	(190, 0.00391929060839988)	(195, 0.00783858121679976)	(200, 0.007511973666099769)	(205, 0.007465315444571199)	(210, 0.008491796318199738)	(215, 0.00331273372852847)	(220, 0.006485492792471229)	(225, 0.0070920496723426395)	(230, 0.007605290109156909)	(235, 0.00783858121679976)	(240, 0.007371999001514059)	(245, 0.00055989865834284)	(250, 0.0031494299531784745)
