Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
012024-BEL-CBC-T1-559-MCAV_S19_R2_16S	(1.0, 1.8462409535354707)	(2.0, 0.7179100035568847)	(3.0, 0.5032628973366918)	(4.0, 0.37949782594493364)	(5.0, 0.29435036040679147)	(6.0, 0.23257670893794324)	(7.0, 0.18140112223343327)	(8.0, 0.17595691088188964)	(9.0, 0.13066107243704675)	('>10', 3.110023881940462)	('>50', 0.7050616647672419)	('>100', 0.0603944512597905)	('>500', 0.1352342099723434)	('>1k', 72.81959335370678)	('>5k', 18.707834583082295)	('>10k+', 0.0)
012024-BEL-CBC-T2-591-PAST_S16_R2_16S	(1.0, 5.671008380876747)	(2.0, 2.91004766739441)	(3.0, 2.2956710252323105)	(4.0, 1.9130355935181351)	(5.0, 1.5851059690156852)	(6.0, 1.3702966035097648)	(7.0, 1.2078270977656984)	(8.0, 1.052966923303316)	(9.0, 0.9365647204537699)	('>10', 14.013817500834556)	('>50', 8.836078878852925)	('>100', 16.251475041655205)	('>500', 14.43870610699562)	('>1k', 27.517398490591855)	('>5k', 0.0)	('>10k+', 0.0)
012024-BEL-CBC-T2-595-PAST_S86_R2_16S	(1.0, 3.7864860153258317)	(2.0, 1.5282038930206745)	(3.0, 1.0075736457676265)	(4.0, 0.7667126772875686)	(5.0, 0.5726764285539836)	(6.0, 0.4502247333896465)	(7.0, 0.3448691139600828)	(8.0, 0.28027458150406726)	(9.0, 0.20767942247266521)	('>10', 4.3025685379991865)	('>50', 3.013204402534262)	('>100', 16.117641213164482)	('>500', 51.89501156722168)	('>1k', 15.726873767798235)	('>5k', 0.0)	('>10k+', 0.0)
012024-BEL-CBC-T2-599-MCAV_S81_R2_16S	(1.0, 1.6673719070618351)	(2.0, 0.6835406907015932)	(3.0, 0.5333119674704738)	(4.0, 0.4116267016532671)	(5.0, 0.33634541923411726)	(6.0, 0.2438712940451838)	(7.0, 0.2161624406492218)	(8.0, 0.18428056716350644)	(9.0, 0.1637493083219201)	('>10', 3.099719322668763)	('>50', 0.9173132761295739)	('>100', 0.5545109095264207)	('>500', 0.0)	('>1k', 1.2880443809032587)	('>5k', 25.785174594987538)	('>10k+', 63.914977219483326)
012024-BEL-CBC-T4-665-MCAV_S24_R2_16S	(1.0, 2.5166709842821593)	(2.0, 1.0209526483152527)	(3.0, 0.6672522110147704)	(4.0, 0.508618545379859)	(5.0, 0.41180762907176083)	(6.0, 0.36845945759052284)	(7.0, 0.34172808517709274)	(8.0, 0.30880411683777154)	(9.0, 0.3056046089427278)	('>10', 4.593461237961852)	('>50', 2.009394168019577)	('>100', 1.2155033703203326)	('>500', 1.2361453567399698)	('>1k', 82.75052404843024)	('>5k', 1.7450735319161235)	('>10k+', 0.0)
012024-BEL-CBC-T4-669-MCAV_S23_R2_16S	(1.0, 2.5556964675856237)	(2.0, 1.1669096411484199)	(3.0, 0.785577982956229)	(4.0, 0.5828226918411935)	(5.0, 0.4334032625744233)	(6.0, 0.40108568109895576)	(7.0, 0.35067341464089163)	(8.0, 0.28003302872630015)	(9.0, 0.303658840122791)	('>10', 4.002876185735225)	('>50', 2.0669029247806314)	('>100', 2.5050471528526788)	('>500', 0.1355916132320347)	('>1k', 75.68058535120677)	('>5k', 8.74913576149783)	('>10k+', 0.0)
022024-BEL-CBC-T2-805-SSID_S12_R2_16S	(1.0, 3.7122404385127905)	(2.0, 1.2040926758946016)	(3.0, 0.9145321387412172)	(4.0, 0.7988731510052005)	(5.0, 0.7559140984175372)	(6.0, 0.6666914507354672)	(7.0, 0.5855236254135842)	(8.0, 0.5435972423592781)	(9.0, 0.5279006654522472)	('>10', 8.899546038473135)	('>50', 4.307884225353276)	('>100', 14.077764146539936)	('>500', 7.371608196917688)	('>1k', 13.602942695102255)	('>5k', 25.633129690901356)	('>10k+', 16.397759520180426)
022024-BEL-CBC-T2-806-SSID_S55_R2_16S	(1.0, 5.224305120855709)	(2.0, 2.562294775914517)	(3.0, 1.8317793957763648)	(4.0, 1.3828396973390877)	(5.0, 1.0125303374735062)	(6.0, 0.9158896978881824)	(7.0, 0.7502827836896957)	(8.0, 0.639585323801052)	(9.0, 0.6463940961354726)	('>10', 10.78004370792563)	('>50', 5.938567302518147)	('>100', 16.56398598710726)	('>500', 1.4900229521519015)	('>1k', 49.10684281619609)	('>5k', 1.15463600522738)	('>10k+', 0.0)
022024-BEL-CBC-T2-809-MCAV_S69_R2_16S	(1.0, 1.6462732474755295)	(2.0, 0.6575161604094067)	(3.0, 0.44034012075396745)	(4.0, 0.3324093249870746)	(5.0, 0.23221916815880872)	(6.0, 0.19541462075250696)	(7.0, 0.17175455456274152)	(8.0, 0.13787100298233673)	(9.0, 0.10647029785394438)	('>10', 3.376233025363007)	('>50', 1.8390589719847292)	('>100', 0.3833807021489766)	('>500', 0.4702803279694113)	('>1k', 15.81310300307581)	('>5k', 63.83763352602168)	('>10k+', 10.36004194550006)
022024-BEL-CBC-T2-810-SSID_S57_R2_16S	(1.0, 5.797983898247751)	(2.0, 2.5666687662866354)	(3.0, 1.7923755800200163)	(4.0, 1.2131137597428199)	(5.0, 1.0614745397749674)	(6.0, 0.9112350664529719)	(7.0, 0.7528304043634769)	(8.0, 0.6214875107605523)	(9.0, 0.5647977716033398)	('>10', 8.815837666715657)	('>50', 8.399879621788456)	('>100', 18.330382200821653)	('>500', 1.611108389381522)	('>1k', 47.56082482404018)	('>5k', 0.0)	('>10k+', 0.0)
