Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
012024-BEL-CBC-T1-561-OANN_S95_R1_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.05635787249031349)	(25, 0.2641775272983445)	(30, 0.49313138429024306)	(35, 0.49313138429024306)	(40, 0.5494892567805565)	(45, 0.6305036984853822)	(50, 0.926382529059528)	(55, 1.032053539978866)	(60, 1.0496653751320886)	(65, 1.056710109193378)	(70, 1.056710109193378)	(75, 1.056710109193378)	(80, 1.056710109193378)	(85, 1.056710109193378)	(90, 1.056710109193378)	(95, 1.056710109193378)	(100, 1.056710109193378)	(105, 1.056710109193378)	(110, 1.056710109193378)	(115, 1.056710109193378)	(120, 1.056710109193378)	(125, 1.056710109193378)	(130, 1.056710109193378)	(135, 1.056710109193378)	(140, 1.056710109193378)	(145, 1.056710109193378)	(150, 1.056710109193378)	(155, 1.056710109193378)	(160, 1.056710109193378)	(165, 1.0707995773159564)	(170, 1.074321944346601)	(175, 1.074321944346601)	(180, 1.074321944346601)	(185, 1.074321944346601)	(190, 1.074321944346601)	(195, 1.0848890454385347)	(200, 1.0919337794998238)	(205, 1.1025008805917575)	(210, 4.660091581542797)	(215, 61.43360338147236)	(220, 68.14019020781966)	(225, 68.36914406481155)	(230, 69.61958436069038)	(235, 70.16202888340965)	(240, 70.1655512504403)
012024-BEL-CBC-T1-561-OANN_S95_R1_16S - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.010567101091933779)	(115, 0.19373018668545264)	(120, 0.19373018668545264)	(125, 0.19373018668545264)	(130, 0.19373018668545264)	(135, 0.19373018668545264)	(140, 0.19373018668545264)	(145, 0.19373018668545264)	(150, 0.19373018668545264)	(155, 0.19373018668545264)	(160, 0.19373018668545264)	(165, 0.19373018668545264)	(170, 0.19373018668545264)	(175, 0.19373018668545264)	(180, 0.19373018668545264)	(185, 0.19373018668545264)	(190, 0.19373018668545264)	(195, 0.19373018668545264)	(200, 0.19373018668545264)	(205, 0.19373018668545264)	(210, 0.19373018668545264)	(215, 0.19373018668545264)	(220, 0.19373018668545264)	(225, 0.19373018668545264)	(230, 0.19373018668545264)	(235, 0.19373018668545264)	(240, 0.19373018668545264)
012024-BEL-CBC-T1-561-OANN_S95_R1_16S - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.09862627685804862)	(45, 0.1620288834096513)	(50, 0.17611835153222966)	(55, 0.18668545262416342)	(60, 0.22190912293060938)	(65, 0.2712222613596337)	(70, 0.41916167664670656)	(75, 0.6692497358224727)	(80, 0.6868615709756957)	(85, 0.7643536456498767)	(90, 0.8665022895385699)	(95, 1.134202183867559)	(100, 1.2539626629094751)	(105, 1.306798168369144)	(110, 1.3702007749207468)	(115, 1.3913349771046144)	(120, 1.3913349771046144)	(125, 1.3913349771046144)	(130, 1.3913349771046144)	(135, 1.3913349771046144)	(140, 1.3913349771046144)	(145, 1.3913349771046144)	(150, 1.3913349771046144)	(155, 1.3913349771046144)	(160, 1.3913349771046144)	(165, 1.3913349771046144)	(170, 1.3913349771046144)	(175, 1.3913349771046144)	(180, 1.3913349771046144)	(185, 1.3913349771046144)	(190, 1.3913349771046144)	(195, 1.3913349771046144)	(200, 1.3913349771046144)	(205, 1.3913349771046144)	(210, 1.401902078196548)	(215, 1.4089468122578372)	(220, 1.4089468122578372)	(225, 1.4089468122578372)	(230, 1.4089468122578372)	(235, 1.4089468122578372)	(240, 1.4089468122578372)
012024-BEL-CBC-T2-587-SSID_S63_R1_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0009183685183271917)	(25, 0.269566670365651)	(30, 0.448469959783112)	(35, 0.4523985362226227)	(40, 0.47099549871874835)	(45, 0.5131128993786982)	(50, 0.5350261926354498)	(55, 0.5473986573962467)	(60, 0.5593374481345001)	(65, 0.5693629711262387)	(70, 0.5703068498811861)	(75, 0.5712252183995133)	(80, 0.5726537916502444)	(85, 0.5738272625347737)	(90, 0.5753323664953655)	(95, 0.5757660405179088)	(100, 0.5762252247770725)	(105, 0.577067062585539)	(110, 0.5773986956616015)	(115, 0.5777813492109046)	(120, 0.5786231870193712)	(125, 0.5807915571320882)	(130, 0.5808680878419488)	(135, 0.5967609652563333)	(140, 0.6252048790878559)	(145, 0.6323222351048917)	(150, 0.6333426445696997)	(155, 0.6341844823781663)	(160, 0.6345671359274693)	(165, 0.635536524919037)	(170, 0.6466844983220643)	(175, 0.6522967503785082)	(180, 0.6556130811391341)	(185, 0.663648805674497)	(190, 0.6988274219737525)	(195, 0.7129600930613431)	(200, 0.7164549954783105)	(205, 0.7185468348811669)	(210, 0.9469399833418155)	(215, 1.615614305630492)	(220, 1.6272724837659234)	(225, 1.6463031202845921)	(230, 31.298228696720276)	(235, 75.70183125233578)	(240, 75.7257343440489)
012024-BEL-CBC-T2-587-SSID_S63_R1_16S - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0003826535493029966)	(5, 0.0006377559155049942)	(6, 0.002423472478918978)	(7, 0.002423472478918978)	(8, 0.002423472478918978)	(9, 0.002423472478918978)	(10, 0.002423472478918978)	(15, 0.002423472478918978)	(20, 0.002525513425399777)	(25, 0.002576533898640177)	(30, 0.0026785748451209758)	(35, 0.0026785748451209758)	(40, 0.0026785748451209758)	(45, 0.0026785748451209758)	(50, 0.0026785748451209758)	(55, 0.0028061260282219746)	(60, 0.0028061260282219746)	(65, 0.002882656738082574)	(70, 0.03553575961193828)	(75, 0.10433686777661706)	(80, 0.13438792651521242)	(85, 0.2835717902701406)	(90, 0.42400564286434034)	(95, 0.4805873476879435)	(100, 0.509898609564553)	(105, 0.5463272274581983)	(110, 0.5685211333177721)	(115, 0.5780619618137268)	(120, 0.5854344201969646)	(125, 0.5934446344957072)	(130, 0.5988528046591897)	(135, 0.6005875007493632)	(140, 0.6014293385578299)	(145, 0.6025517889691185)	(150, 0.6049242409747972)	(155, 0.6056895480734031)	(160, 0.6063528142255283)	(165, 0.6068375087213121)	(170, 0.6076028158199182)	(175, 0.6082915922086635)	(180, 0.6098222064058756)	(185, 0.6141589466313094)	(190, 0.6166334395834688)	(195, 0.624567123172351)	(200, 0.641556940761404)	(205, 0.6602304339673903)	(210, 0.6659447269703149)	(215, 0.6686233018154359)	(220, 0.6710212640577348)	(225, 0.6752049428634475)	(230, 0.6813529098889157)	(235, 0.6932661903905489)	(240, 0.6998733416751807)
012024-BEL-CBC-T2-589-SSID_S52_R1_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.001044023446568666)	(25, 0.4553041199088403)	(30, 0.7579884965100769)	(35, 0.7661208896728222)	(40, 0.8061784208595885)	(45, 0.8833262587007678)	(50, 0.932780000906652)	(55, 0.9781950208323889)	(60, 1.0175382201872925)	(65, 1.037759305889254)	(70, 1.0497381012235678)	(75, 1.0570462653495485)	(80, 1.0626235484983233)	(85, 1.0645467495841079)	(90, 1.0688876891777355)	(95, 1.0710032103720981)	(100, 1.0724043997345982)	(105, 1.0921858966169522)	(110, 1.0972961166448931)	(115, 1.0983401400914619)	(120, 1.1017469534434228)	(125, 1.1141928118985702)	(130, 1.1168028705149922)	(135, 1.1499918263953854)	(140, 1.2017259356029855)	(145, 1.2186226308566623)	(150, 1.2193919112909763)	(155, 1.2212601637743095)	(160, 1.2246669771262704)	(165, 1.2293650826358296)	(170, 1.2585702648385266)	(175, 1.2701918942569093)	(180, 1.2731041701868115)	(185, 1.2753021142848509)	(190, 1.2762911891289683)	(195, 1.2832696616402433)	(200, 1.286951218004459)	(205, 1.2993421278571557)	(210, 1.7465413289044758)	(215, 2.7417154678942186)	(220, 2.7557548358204444)	(225, 2.7768276248603962)	(230, 17.411453761437894)	(235, 39.25492442506591)	(240, 39.30088893101615)
012024-BEL-CBC-T2-589-SSID_S52_R1_16S - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002747430122549121)	(4, 0.0012363435551471043)	(5, 0.0015110865674020162)	(6, 0.0027474301225491205)	(7, 0.0028848016286765767)	(8, 0.0028848016286765767)	(9, 0.0028848016286765767)	(10, 0.0028848016286765767)	(15, 0.0028848016286765767)	(20, 0.0028848016286765767)	(25, 0.0028848016286765767)	(30, 0.0028848016286765767)	(35, 0.0028848016286765767)	(40, 0.0028848016286765767)	(45, 0.002912275929902068)	(50, 0.003104596038480506)	(55, 0.0032144932433824714)	(60, 0.0032969161470589444)	(65, 0.003681556364215822)	(70, 0.27952354066814755)	(75, 0.6904291897965941)	(80, 0.7035619057823788)	(85, 0.7603238121142437)	(90, 0.8518956580988057)	(95, 0.9254443624794458)	(100, 0.9806127593402321)	(105, 1.0324018171502831)	(110, 1.0599035926769997)	(115, 1.0752342527608238)	(120, 1.0893010949882753)	(125, 1.0992742663331285)	(130, 1.1038899489390113)	(135, 1.1084506829424428)	(140, 1.111775073390727)	(145, 1.1134510057654823)	(150, 1.12900146025911)	(155, 1.1378481852537186)	(160, 1.140128552255434)	(165, 1.1432331482939146)	(170, 1.1561460698698955)	(175, 1.1592781402096013)	(180, 1.1724383304966117)	(185, 1.2192820140860743)	(190, 1.2346950970735748)	(195, 1.2493388996267616)	(200, 1.262279295503968)	(205, 1.273076695885586)	(210, 1.2787913505404882)	(215, 1.3027764155103418)	(220, 1.3171729493524995)	(225, 1.3243437419723527)	(230, 1.3302507167358333)	(235, 1.3331629926657353)	(240, 1.335663154077255)
012024-BEL-CBC-T2-603-MCAV_S39_R1_16S - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0003026313798477764)	(160, 0.10848326196276625)	(165, 0.10914905099843138)	(170, 0.10914905099843138)	(175, 0.10914905099843138)	(180, 0.10914905099843138)	(185, 0.10914905099843138)	(190, 0.10914905099843138)	(195, 0.10914905099843138)	(200, 0.10914905099843138)	(205, 0.10914905099843138)	(210, 0.10914905099843138)	(215, 0.10914905099843138)	(220, 0.10914905099843138)	(225, 0.10914905099843138)	(230, 0.10914905099843138)	(235, 0.10914905099843138)	(240, 0.10914905099843136)
012024-BEL-CBC-T2-603-MCAV_S39_R1_16S - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.000645613610341923)	(25, 0.06912100715723213)	(30, 0.11409203020261169)	(35, 0.11546395912458829)	(40, 0.12286834021819723)	(45, 0.13592184040229796)	(50, 0.1574086683714901)	(55, 0.16348147139376884)	(60, 0.16781918783825361)	(65, 0.1691911167602302)	(70, 0.1695744498413707)	(75, 0.1696148006920171)	(80, 0.1703007651530054)	(85, 0.17062357195817632)	(90, 0.17112795759125596)	(95, 0.17211655343209203)	(100, 0.17258058821452532)	(105, 0.1742147976657033)	(110, 0.17479988500007568)	(115, 0.17482006042539885)	(120, 0.17482006042539885)	(125, 0.17486041127604524)	(130, 0.1769183046590101)	(135, 0.18468584340843636)	(140, 0.2035498660856144)	(145, 0.21617968233792828)	(150, 0.22005336399997982)	(155, 0.22227266078553018)	(160, 0.2228375726945794)	(165, 0.2230595023731344)	(170, 0.22661037723001498)	(175, 0.23201739121662857)	(180, 0.2380498433882609)	(185, 0.24454633034232653)	(190, 0.2494489586958605)	(195, 0.2505787825139589)	(200, 0.25443228875068724)	(205, 0.26567000065570134)	(210, 21.194445705408526)	(215, 52.4396225177922)	(220, 52.44726900398969)	(225, 52.45426987657684)	(230, 52.557204896575726)	(235, 52.679932008816664)	(240, 52.68963638839711)
012024-BEL-CBC-T2-603-MCAV_S39_R1_16S - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0006052627596955529)	(4, 0.0018157882790866586)	(5, 0.0023201739121662857)	(6, 0.004035085064637019)	(7, 0.004438593571100721)	(8, 0.004539470697716646)	(9, 0.004539470697716646)	(10, 0.004539470697716646)	(15, 0.004539470697716646)	(20, 0.004539470697716646)	(25, 0.004842102077564423)	(30, 0.005649119090491826)	(35, 0.005649119090491826)	(40, 0.005649119090491826)	(45, 0.005649119090491826)	(50, 0.005709645366461381)	(55, 0.005749996217107752)	(60, 0.005749996217107752)	(65, 0.0058105224930773075)	(70, 0.013174552736039865)	(75, 0.028971910764093795)	(80, 0.03435874932538422)	(85, 0.0698473224688668)	(90, 0.11086396215090208)	(95, 0.1289814940911223)	(100, 0.1395735923857945)	(105, 0.15450340712495145)	(110, 0.16868673112715057)	(115, 0.1762323401980218)	(120, 0.18006567100942697)	(125, 0.1825674237495019)	(130, 0.18357619501566116)	(135, 0.18391917724615534)	(140, 0.1842016332006799)	(145, 0.18464549255778995)	(150, 0.18561391297330287)	(155, 0.1867033859407549)	(160, 0.18738935040174315)	(165, 0.18823671826531693)	(170, 0.18910426155421386)	(175, 0.18930601580744572)	(180, 0.19079899728136143)	(185, 0.19122268121314834)	(190, 0.19269548726174085)	(195, 0.1988288165599891)	(200, 0.20903758177352075)	(205, 0.2270340611618019)	(210, 0.23782791370970585)	(215, 0.24111650803738507)	(220, 0.2437594887547223)	(225, 0.24682615340384642)	(230, 0.2506796596405748)	(235, 0.2561673753284811)	(240, 0.25834632126338514)
