Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
012024-BEL-CBC-T1-561-OANN_S95_R1_16S	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.6128918633321592)	(150, 0.3240577668193026)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.9439943642127511)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.6128918633321592)	(210, 0.0)	(215, 0.0)	(220, 0.6762944698837619)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
012024-BEL-CBC-T2-587-SSID_S63_R1_16S	(1, 0.0)	(2, 0.007525519802958932)	(3, 0.002423472478918978)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0008928582817069919)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0005357149690241952)	(65, 0.0)	(70, 0.0)	(75, 7.653070986059931e-05)	(80, 5.102047324039955e-05)	(85, 0.0)	(90, 2.5510236620199774e-05)	(95, 0.0)	(100, 2.5510236620199774e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 2.5510236620199774e-05)	(125, 7.653070986059931e-05)	(130, 0.0)	(135, 0.0)	(140, 5.102047324039955e-05)	(145, 0.6788784169367563)	(150, 0.38765355568055576)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 1.0182921151685143)	(180, 2.5510236620199774e-05)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.6811743382325742)	(210, 0.0)	(215, 0.0)	(220, 0.6733171853535528)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0001785716563413984)	(245, 0.0)	(250, 0.0)
012024-BEL-CBC-T2-589-SSID_S52_R1_16S	(1, 0.0)	(2, 0.007143318318627714)	(3, 0.0010989720490196483)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 2.7474301225491207e-05)	(25, 0.0)	(30, 0.0)	(35, 0.0005769603257353153)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0004395888196078593)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 2.7474301225491207e-05)	(130, 0.0)	(135, 0.0)	(140, 2.7474301225491207e-05)	(145, 0.6611141103889949)	(150, 0.38609635512182794)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.9982512607269974)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.6682299544063971)	(210, 0.0)	(215, 0.0)	(220, 0.667213405261054)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 2.7474301225491207e-05)	(245, 0.0)	(250, 0.0)
012024-BEL-CBC-T2-603-MCAV_S39_R1_16S	(1, 0.0)	(2, 0.0077675387494262615)	(3, 0.001916665405702584)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 2.0175425323185094e-05)	(25, 0.0)	(30, 0.0)	(35, 0.0005447364837259975)	(40, 0.00010087712661592546)	(45, 8.070170129274038e-05)	(50, 4.035085064637019e-05)	(55, 4.035085064637019e-05)	(60, 0.0006859644609882932)	(65, 2.0175425323185094e-05)	(70, 2.0175425323185094e-05)	(75, 6.052627596955528e-05)	(80, 6.052627596955528e-05)	(85, 0.0)	(90, 2.0175425323185094e-05)	(95, 0.0)	(100, 4.035085064637019e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 4.035085064637019e-05)	(125, 8.070170129274038e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.6601600919999394)	(150, 0.3925532505132123)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 1.011636176555147)	(180, 2.0175425323185094e-05)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.6637916685581128)	(210, 0.0)	(215, 0.0)	(220, 0.67460569653134)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 6.052627596955528e-05)	(245, 0.0)	(250, 0.0)
012024-BEL-CBC-T3-629-OFAV_S35_R1_16S	(1, 0.0)	(2, 0.00827852642229683)	(3, 0.002299590672860231)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.00018396725382881847)	(25, 0.0)	(30, 9.198362691440924e-05)	(35, 0.0008278526422296831)	(40, 0.0004599181345720462)	(45, 0.0002759508807432277)	(50, 0.00018396725382881847)	(55, 0.00018396725382881847)	(60, 0.0004599181345720462)	(65, 0.00018396725382881847)	(70, 9.198362691440924e-05)	(75, 9.198362691440924e-05)	(80, 9.198362691440924e-05)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 9.198362691440924e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 9.198362691440924e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.6720323782366738)	(150, 0.3672906222692361)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.9736466908890218)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.6670652623832958)	(210, 0.0)	(215, 0.0)	(220, 0.6888653819620107)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 9.198362691440924e-05)	(245, 0.0)	(250, 0.0)
012024-BEL-CBC-T3-635-OFAV_S82_R1_16S	(1, 0.0)	(2, 0.008783598319292246)	(3, 0.0020269842275289795)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0004898545216528368)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0005067460568822449)	(65, 0.0)	(70, 0.0)	(75, 1.6891535229408165e-05)	(80, 5.067460568822449e-05)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 3.378307045881633e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 1.6891535229408165e-05)	(125, 0.00010134921137644899)	(130, 0.0)	(135, 0.0)	(140, 6.756614091763266e-05)	(145, 0.6666244378285932)	(150, 0.3843162095394945)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 1.024674310086358)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.6531112096450666)	(210, 0.0)	(215, 0.0)	(220, 0.6612191465551825)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 6.756614091763266e-05)	(245, 0.0)	(250, 0.0)
012024-BEL-CBC-T3-639-OFAV_S1_R1_16S	(1, 0.0)	(2, 0.007002421087090861)	(3, 0.002013196062538623)	(4, 0.0)	(5, 8.753026358863577e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 3.501210543545431e-05)	(35, 0.000455157370660906)	(40, 3.501210543545431e-05)	(45, 3.501210543545431e-05)	(50, 1.7506052717727154e-05)	(55, 1.7506052717727154e-05)	(60, 0.0005426876342495418)	(65, 0.0)	(70, 0.0)	(75, 5.2518158153181456e-05)	(80, 5.2518158153181456e-05)	(85, 0.0)	(90, 1.7506052717727154e-05)	(95, 0.0)	(100, 1.7506052717727154e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 5.2518158153181456e-05)	(125, 3.501210543545431e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.661046056674095)	(150, 0.38338255451822467)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 1.0271676432126409)	(180, 1.7506052717727154e-05)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.661956371415417)	(210, 0.0)	(215, 0.0)	(220, 0.663496904054577)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 8.753026358863577e-05)	(245, 0.0)	(250, 0.0)
012024-BEL-CBC-T4-667-OFAV_S24_R1_16S	(1, 0.0)	(2, 0.008585412023869539)	(3, 0.001151701612958109)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 1.0470014663255536e-05)	(25, 0.0)	(30, 2.094002932651107e-05)	(35, 0.0004397406158567325)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0005130307184995212)	(65, 0.0)	(70, 0.0)	(75, 6.282008797953322e-05)	(80, 6.282008797953322e-05)	(85, 0.0)	(90, 4.188005865302214e-05)	(95, 0.0)	(100, 4.188005865302214e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 4.188005865302214e-05)	(125, 5.235007331627768e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.6604171149141694)	(150, 0.38475209884531447)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 1.0456927144926467)	(180, 2.094002932651107e-05)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.6619980871283211)	(210, 0.0)	(215, 0.0)	(220, 0.6623540676268717)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.00010470014663255537)	(245, 0.0)	(250, 0.0)
022024-BEL-CBC-T1-774-MCAV_S80_R1_16S	(1, 0.0)	(2, 0.006865230863750766)	(3, 0.0018617575223730894)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 4.654393805932723e-05)	(35, 0.0006516151328305812)	(40, 6.981590708899086e-05)	(45, 4.654393805932723e-05)	(50, 6.981590708899086e-05)	(55, 6.981590708899086e-05)	(60, 0.0006748871018602448)	(65, 0.0)	(70, 0.0)	(75, 4.654393805932723e-05)	(80, 4.654393805932723e-05)	(85, 0.0)	(90, 2.3271969029663614e-05)	(95, 0.0)	(100, 2.3271969029663614e-05)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 2.3271969029663614e-05)	(125, 4.654393805932723e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.6474727223433011)	(150, 0.38019415803761447)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 1.0271083531242038)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.6603421212167051)	(210, 0.0)	(215, 0.0)	(220, 0.6569676857074038)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 9.308787611865446e-05)	(245, 0.0)	(250, 0.0)
022024-BEL-CBC-T2-807-SSID_S31_R1_16S	(1, 0.0)	(2, 0.008256265167980111)	(3, 0.001511710523714668)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0006046842094858673)	(40, 4.651416996045133e-05)	(45, 4.651416996045133e-05)	(50, 4.651416996045133e-05)	(55, 4.651416996045133e-05)	(60, 0.0005349129545451902)	(65, 0.0)	(70, 0.0)	(75, 2.3257084980225664e-05)	(80, 2.3257084980225664e-05)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 2.3257084980225664e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.6534543166894005)	(150, 0.37939282728242124)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 1.0258467613927738)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.6564544806518495)	(210, 0.0)	(215, 0.0)	(220, 0.6551055697229965)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 6.977125494067699e-05)	(245, 0.0)	(250, 0.0)
