Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
012024-BEL-CBC-T1-561-OANN_S95_R1_16S	(1, 38.42972877773864)	(2, 36.828460725607606)	(3, 37.6273335681578)	(4, 37.94364212750968)	(5, 38.36139485734414)	(6, 37.890806622050015)	(7, 37.92884818598098)	(8, 37.320887636491726)	(9, 38.48679112363508)	(10, 37.94786896794646)	(15, 38.85368087354703)	(20, 38.74899612539627)	(25, 38.792250792532585)	(30, 38.93046847481507)	(35, 38.708418457203244)	(40, 38.67305389221557)	(45, 38.898626276858046)	(50, 38.69841493483621)	(55, 38.846213455442054)	(60, 38.3857696371962)	(65, 38.5344135258894)	(70, 38.48157802042973)	(75, 38.47411060232476)	(80, 38.42226135963367)	(85, 38.27826699542092)	(90, 38.74124691792885)	(95, 38.468756604438184)	(100, 38.33406128918633)	(105, 38.61444170482564)	(110, 38.38421979570271)	(115, 38.747587178584006)	(120, 38.869038393800636)	(125, 38.74829165199013)	(130, 38.78055653399084)	(135, 38.249383585769635)	(140, 38.34843254667136)	(145, 37.73145473758366)	(150, 37.76245156745333)	(155, 38.955688622754494)	(160, 38.479464600211344)	(165, 37.65086297992251)	(170, 38.38112011271575)	(175, 38.17837266643185)	(180, 38.379570271222256)	(185, 38.23346248679112)	(190, 38.14822120464952)	(195, 38.08214159915463)	(200, 37.55167312433956)	(205, 37.64466361394857)	(210, 37.38823529411765)	(215, 37.25255371609721)	(220, 36.255301162381116)	(225, 36.913420218386754)	(230, 35.956322648820006)	(235, 35.70862979922508)	(240, 36.90059880239521)	(245, 36.48693201831632)	(250, 35.97005988023952)
012024-BEL-CBC-T2-587-SSID_S63_R1_16S	(1, 39.33589201006634)	(2, 38.354214737518795)	(3, 39.04990950243559)	(4, 39.53213205629089)	(5, 39.16784077530711)	(6, 39.46709115700403)	(7, 39.000146683860564)	(8, 38.79714132288434)	(9, 39.429254374048945)	(10, 38.943180284668735)	(15, 39.63436790097946)	(20, 39.476641169185164)	(25, 39.538174921141476)	(30, 39.529110623865584)	(35, 39.530158074181216)	(40, 39.403677810813534)	(45, 39.5919117243772)	(50, 39.56758108109832)	(55, 39.49352180296149)	(60, 39.44508143505285)	(65, 39.49420139566505)	(70, 39.48258097267981)	(75, 39.28274245247762)	(80, 39.2235877851885)	(85, 39.278527651183225)	(90, 39.25818629870702)	(95, 39.21807757407854)	(100, 39.338313951931056)	(105, 39.20288367714754)	(110, 39.263793958920864)	(115, 39.46085645517405)	(120, 39.37577012215577)	(125, 39.481285562864244)	(130, 39.36974511447081)	(135, 39.43451356443056)	(140, 39.44479929183583)	(145, 39.06751003508933)	(150, 39.08406923988424)	(155, 39.362169594604076)	(160, 38.53572976496143)	(165, 39.42500845026588)	(170, 39.353718563416535)	(175, 39.07249830675805)	(180, 39.42756814740835)	(185, 39.298875636320965)	(190, 39.32050321492757)	(195, 39.35183794877289)	(200, 39.10487232764327)	(205, 38.93277108771822)	(210, 39.17035914586626)	(215, 39.26820518903723)	(220, 38.43732453740375)	(225, 39.006185467073294)	(230, 38.600113520552966)	(235, 38.27892127413428)	(240, 38.89916951424683)	(245, 38.95084355974943)	(250, 38.4239546223911)
012024-BEL-CBC-T2-589-SSID_S52_R1_16S	(1, 39.32072537650095)	(2, 38.41740881622852)	(3, 38.9707632223509)	(4, 39.48528545112116)	(5, 39.209355549053306)	(6, 39.48428538655655)	(7, 38.7315884404625)	(8, 38.91562229979133)	(9, 39.41963286091272)	(10, 39.03238807999968)	(15, 39.61098477511598)	(20, 39.33517850740364)	(25, 39.522084530182575)	(30, 39.345252234690975)	(35, 39.47060703094842)	(40, 39.342970768717215)	(45, 39.47342314682404)	(50, 39.47611892526028)	(55, 39.53631511924534)	(60, 39.3330657336394)	(65, 39.45081069794341)	(70, 39.40843763264936)	(75, 39.28490438256316)	(80, 39.19137856427544)	(85, 39.189493827211365)	(90, 39.32585647699783)	(95, 39.162061286923745)	(100, 39.23174490660798)	(105, 39.219669401733356)	(110, 39.114561517021016)	(115, 39.42273855592325)	(120, 39.368584510263716)	(125, 39.46932233262312)	(130, 39.25583986878273)	(135, 39.32580152839538)	(140, 39.43977976600138)	(145, 39.023423215509794)	(150, 39.02799384026166)	(155, 39.34533245965056)	(160, 38.91390680442281)	(165, 39.35441436466365)	(170, 39.34307956695007)	(175, 39.01975429732414)	(180, 39.37669712192958)	(185, 39.27738741374786)	(190, 39.22518624141943)	(195, 39.307405835266835)	(200, 39.14527558784702)	(205, 38.727539827433915)	(210, 39.22189591910467)	(215, 39.25688718914545)	(220, 38.53668519808284)	(225, 38.799903839945706)	(230, 38.798093832980975)	(235, 38.48448237729634)	(240, 38.86562291796311)	(245, 39.03182101042238)	(250, 38.5722319984944)
012024-BEL-CBC-T2-603-MCAV_S39_R1_16S	(1, 39.335328682897796)	(2, 38.35918713211373)	(3, 39.03580633609232)	(4, 39.54928099828005)	(5, 39.170886861258644)	(6, 39.4725740312013)	(7, 38.941347012271706)	(8, 38.81619481390692)	(9, 39.445458259566934)	(10, 39.004906058175834)	(15, 39.645713075188766)	(20, 39.340689293406164)	(25, 39.54110026682)	(30, 39.56538340873899)	(35, 39.45719349746042)	(40, 39.44926697635945)	(45, 39.57661143643985)	(50, 39.57615143674248)	(55, 39.6625329237722)	(60, 39.32449205844821)	(65, 39.46981120845754)	(70, 39.514843564795896)	(75, 39.408926616934245)	(80, 39.446090557396566)	(85, 39.434032512697904)	(90, 39.65858701408749)	(95, 39.34940144556922)	(100, 39.035612248500705)	(105, 39.52158982351547)	(110, 39.31041041858964)	(115, 39.53220371126949)	(120, 39.566468846621376)	(125, 39.48359062044477)	(130, 39.544446966372604)	(135, 39.320770903001595)	(140, 39.37440928876582)	(145, 39.10666807894644)	(150, 39.04759685465119)	(155, 39.60169836730371)	(160, 39.32580507512824)	(165, 39.20395276932932)	(170, 39.44231815636964)	(175, 39.06866766535022)	(180, 39.43231396996888)	(185, 39.377791497066994)	(190, 39.23799436096863)	(195, 39.29006148460867)	(200, 38.60491775992253)	(205, 38.763548655560086)	(210, 39.02457709786594)	(215, 38.57142736090306)	(220, 38.513082048410936)	(225, 38.92936603769779)	(230, 37.39339799557149)	(235, 38.92220941082714)	(240, 38.87190763690287)	(245, 38.80580850495054)	(250, 38.69921971542563)
012024-BEL-CBC-T3-629-OFAV_S35_R1_16S	(1, 38.70558800533505)	(2, 37.46767235432093)	(3, 38.63901945453709)	(4, 38.93913443407074)	(5, 38.83576323414432)	(6, 39.082665685507976)	(7, 37.494623557006854)	(8, 37.44473163776848)	(9, 38.76386883134802)	(10, 38.06385871314906)	(15, 39.20165938462954)	(20, 38.77331738950467)	(25, 39.019498689233316)	(30, 39.29257048245412)	(35, 39.2861978567815)	(40, 39.238506185898906)	(45, 39.33475785310215)	(50, 39.31226049763142)	(55, 39.39846755277561)	(60, 38.85625534654831)	(65, 39.05990525686427)	(70, 39.22651152094927)	(75, 39.042043876190036)	(80, 39.21444694844318)	(85, 39.064758313020285)	(90, 39.51508439497769)	(95, 39.156870717012374)	(100, 38.83630961688819)	(105, 39.30504530193626)	(110, 38.97485719541921)	(115, 39.26514648392586)	(120, 39.386965920066224)	(125, 39.14933725796808)	(130, 39.398059145472104)	(135, 38.9824624016925)	(140, 39.08685645955019)	(145, 38.58212390194546)	(150, 38.70754725658833)	(155, 39.51589017154946)	(160, 39.25582302350182)	(165, 38.34909258152049)	(170, 38.93868555397139)	(175, 38.84148277606586)	(180, 39.10687209676677)	(185, 38.958833647610724)	(190, 38.87594168238054)	(195, 38.77976360207883)	(200, 37.929301384353586)	(205, 38.437047325576046)	(210, 38.39921629949869)	(215, 38.68538104217449)	(220, 36.80396081497493)	(225, 37.9179726808628)	(230, 35.81861564641493)	(235, 37.736772294531576)	(240, 37.536801729292186)	(245, 37.35511382973831)	(250, 36.9306811387573)
012024-BEL-CBC-T3-635-OFAV_S82_R1_16S	(1, 39.26889719389371)	(2, 38.355632693566434)	(3, 38.848794577817195)	(4, 38.939704820421866)	(5, 39.3993707903127)	(6, 39.05514157217964)	(7, 39.203064124490616)	(8, 38.141076413082494)	(9, 39.140845843626614)	(10, 38.86134296150841)	(15, 39.61839994932539)	(20, 39.4506318701041)	(25, 39.62227689449126)	(30, 39.619365469479106)	(35, 39.552150334663544)	(40, 39.5964146027322)	(45, 39.626793015350174)	(50, 39.57653259010578)	(55, 39.66496045269315)	(60, 39.482140664259624)	(65, 39.555733029285705)	(70, 39.51050628153966)	(75, 39.50624657418551)	(80, 39.525929942357635)	(85, 39.505036126770975)	(90, 39.67753113321087)	(95, 39.52407491395874)	(100, 39.49055535144951)	(105, 39.58193923270201)	(110, 39.585096598467096)	(115, 39.55561951816896)	(120, 39.61694761512637)	(125, 39.553314161440845)	(130, 39.620802601296425)	(135, 39.45096834948586)	(140, 39.452643314119214)	(145, 38.87253563058213)	(150, 39.03986959734803)	(155, 39.673127847807265)	(160, 39.51202584404889)	(165, 38.99235776271616)	(170, 39.298122928147635)	(175, 39.04959641899453)	(180, 39.36103646460167)	(185, 39.323566985494395)	(190, 39.25053204113089)	(195, 39.27173497181225)	(200, 39.04445598699352)	(205, 38.778507886235516)	(210, 38.83012875572729)	(215, 38.78104465699626)	(220, 37.674606870631955)	(225, 38.644423217415174)	(230, 38.79309507822892)	(235, 37.12897210785245)	(240, 38.79329304702181)	(245, 38.00056789341441)	(250, 38.51620193830367)
012024-BEL-CBC-T3-639-OFAV_S1_R1_16S	(1, 39.33686722184195)	(2, 38.34469417801205)	(3, 38.91884193960062)	(4, 39.020011168861636)	(5, 39.35646874906999)	(6, 39.11878031829505)	(7, 39.149230346392265)	(8, 38.05881683592102)	(9, 39.11139276404817)	(10, 38.50254905633623)	(15, 39.59683070421598)	(20, 39.45682289651647)	(25, 39.629521507061064)	(30, 39.620525496690476)	(35, 39.55587074230915)	(40, 39.606593479695604)	(45, 39.64165040062601)	(50, 39.6115102296619)	(55, 39.68763144857335)	(60, 39.51439085063661)	(65, 39.58821912676308)	(70, 39.53553921268279)	(75, 39.54149722266474)	(80, 39.562326624430405)	(85, 39.53630807851815)	(90, 39.705172513396505)	(95, 39.55980120126534)	(100, 39.532366065567174)	(105, 39.6108460500218)	(110, 39.62902853661653)	(115, 39.59490433817492)	(120, 39.65581874933258)	(125, 39.57013887551621)	(130, 39.6605436329611)	(135, 39.493536590276086)	(140, 39.49488735730379)	(145, 38.92200703393198)	(150, 39.07381147031587)	(155, 39.70663706976687)	(160, 39.55133457392894)	(165, 39.01305496375372)	(170, 39.34202380473048)	(175, 39.1101613883)	(180, 39.400404039696724)	(185, 39.36709877440125)	(190, 39.288726977352425)	(195, 39.323468089091804)	(200, 38.777697989079726)	(205, 38.65449144041552)	(210, 39.102808496037504)	(215, 39.05607573818647)	(220, 37.83221393796905)	(225, 38.79725435069175)	(230, 38.931884999238484)	(235, 36.57077574571408)	(240, 38.45703156866487)	(245, 38.30944118929119)	(250, 38.055770782748134)
012024-BEL-CBC-T4-667-OFAV_S24_R1_16S	(1, 38.842818381367145)	(2, 39.398746843944956)	(3, 39.256455156665446)	(4, 39.45247895919678)	(5, 39.1537568768365)	(6, 39.13182847812578)	(7, 39.25571387962729)	(8, 36.33956770356457)	(9, 39.44417414356589)	(10, 39.5564524868117)	(15, 39.60288407023914)	(20, 39.55909281510949)	(25, 39.60172064220976)	(30, 39.70971884346124)	(35, 39.623841689190286)	(40, 39.56926527195601)	(45, 39.709630895338066)	(50, 39.6185836478264)	(55, 39.740589053494965)	(60, 39.476476023404665)	(65, 39.55308700529836)	(70, 39.66093904514513)	(75, 39.344174195915954)	(80, 39.54878676087585)	(85, 39.58648718967531)	(90, 39.69800122185071)	(95, 39.32565022717314)	(100, 39.53773084419204)	(105, 39.6381776520678)	(110, 39.51890240742282)	(115, 39.66687344945627)	(120, 39.63510658736677)	(125, 39.533670363105344)	(130, 39.712217826561066)	(135, 39.391748267343445)	(140, 39.379412077266615)	(145, 39.20826398257371)	(150, 39.09659855398628)	(155, 39.630449943645154)	(160, 39.24598262919867)	(165, 39.22413087099528)	(170, 39.48637667867054)	(175, 39.06341719291578)	(180, 39.31156345064461)	(185, 39.32115900968319)	(190, 39.15179479608861)	(195, 39.26040947180347)	(200, 38.86091224190759)	(205, 38.86703929448853)	(210, 38.626483587990265)	(215, 38.573728953307395)	(220, 38.48316583927376)	(225, 36.03633095088149)	(230, 38.17391636656987)	(235, 38.625872139133925)	(240, 38.51633568332813)	(245, 38.44973885165926)	(250, 36.99878809580272)
022024-BEL-CBC-T1-774-MCAV_S80_R1_16S	(1, 39.30029101597272)	(2, 38.24004570614717)	(3, 38.94167928201321)	(4, 38.98683155632457)	(5, 39.43321584867635)	(6, 39.12359160952428)	(7, 39.180365905169054)	(8, 38.20455828057384)	(9, 39.2730535034204)	(10, 38.66425693184688)	(15, 39.65419715779442)	(20, 39.50170804616693)	(25, 39.67004164518858)	(30, 39.649480395111496)	(35, 39.58342058382389)	(40, 39.61168159757413)	(45, 39.66377776200456)	(50, 39.6120613961087)	(55, 39.69239902583537)	(60, 39.525253228113)	(65, 39.59208892684806)	(70, 39.53917126191088)	(75, 39.55000296717605)	(80, 39.565641730363986)	(85, 39.55910696146046)	(90, 39.6873499394347)	(95, 39.54062994892966)	(100, 39.50490794190851)	(105, 39.574434811142154)	(110, 39.59721899970096)	(115, 39.5927666065862)	(120, 39.64133939490553)	(125, 39.57601078888484)	(130, 39.642226987804335)	(135, 39.43117536243183)	(140, 39.49862869922493)	(145, 39.05877172874658)	(150, 39.15770412716735)	(155, 39.711126910192306)	(160, 39.570160215870786)	(165, 39.116745927114515)	(170, 39.42523635593545)	(175, 39.12783129684211)	(180, 39.49016701128574)	(185, 39.41231017345762)	(190, 39.429097641036854)	(195, 39.308356149559636)	(200, 39.00347380681706)	(205, 39.004984157607076)	(210, 38.72918572543964)	(215, 39.06915475044886)	(220, 37.51569682675066)	(225, 38.93878052555088)	(230, 37.543300174656125)	(235, 38.773743168222595)	(240, 38.67397158259862)	(245, 38.690053444076874)	(250, 37.6162079955504)
022024-BEL-CBC-T2-807-SSID_S31_R1_16S	(1, 39.09009911006764)	(2, 39.36640025675822)	(3, 39.15438867007848)	(4, 39.50166578871171)	(5, 38.85597003557171)	(6, 38.98223274992936)	(7, 39.27019732473752)	(8, 37.20033071574842)	(9, 39.50172625713266)	(10, 39.40460467025524)	(15, 39.55488451113026)	(20, 39.501875102476525)	(25, 39.604089060681225)	(30, 39.606932006749204)	(35, 39.186492285043485)	(40, 39.400101168319665)	(45, 39.553041619716424)	(50, 39.37140285573746)	(55, 39.59573418547292)	(60, 39.368498045823436)	(65, 39.30391172540824)	(70, 39.185565722777866)	(75, 38.875312953149766)	(80, 38.88024345516557)	(85, 39.063139497158566)	(90, 39.06854537399137)	(95, 39.112854772295705)	(100, 39.12169153430479)	(105, 39.14592820770438)	(110, 39.30486898702604)	(115, 39.46833280423465)	(120, 39.44625903973822)	(125, 39.429006468958185)	(130, 39.457779669354025)	(135, 39.420342274519655)	(140, 39.51188216100182)	(145, 39.07539272495124)	(150, 39.07523736762358)	(155, 38.588627052873825)	(160, 39.279376431037505)	(165, 39.05654750899178)	(170, 39.31673382149955)	(175, 39.0413387708398)	(180, 39.24416892551104)	(185, 39.07899617769808)	(190, 39.020680432535265)	(195, 39.1818873822174)	(200, 38.90954877766576)	(205, 38.75520918003658)	(210, 39.026824954387045)	(215, 39.02614398693883)	(220, 38.39188885904229)	(225, 38.26945612143919)	(230, 38.68818412169037)	(235, 38.576081250952086)	(240, 38.514011347131756)	(245, 37.111057929910125)	(250, 38.27704537340994)
