Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
012024-BEL-CBC-T1-561-OANN_S95_R1_16S	(1.0, 17.04825642831983)	(2.0, 1.620288834096513)	(3.0, 1.1623811201127159)	(4.0, 0.8453680873547023)	(5.0, 1.8492426910884114)	(6.0, 1.585065163790067)	(7.0, 2.095808383233533)	(8.0, 3.6632617118703767)	(9.0, 3.170130327580134)	('>10', 61.394857344135254)	('>50', 1.3737231419513913)	('>100', 4.191616766467066)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
012024-BEL-CBC-T2-587-SSID_S63_R1_16S	(1.0, 1.8730891238381682)	(2.0, 0.9385216052571496)	(3.0, 0.7052304913654227)	(4.0, 0.5561231583203551)	(5.0, 0.44260260536046603)	(6.0, 0.35204126535875685)	(7.0, 0.2785717838925815)	(8.0, 0.2581635945964217)	(9.0, 0.23992377541297882)	('>10', 3.5038309997844386)	('>50', 2.3637785252277106)	('>100', 8.439806683426893)	('>500', 3.2765347914984586)	('>1k', 10.942488447051591)	('>5k', 18.01035460504414)	('>10k+', 47.818938544564475)
012024-BEL-CBC-T2-589-SSID_S52_R1_16S	(1.0, 3.5184963864425316)	(2.0, 2.0102946206691916)	(3.0, 1.4910303275074077)	(4.0, 1.190186729088279)	(5.0, 0.9320656690747892)	(6.0, 0.7755995235956168)	(7.0, 0.6942755919681628)	(8.0, 0.637403788431396)	(9.0, 0.6082810291323754)	('>10', 9.684416438973395)	('>50', 4.947434793180329)	('>100', 14.622235226724802)	('>500', 4.35234142863619)	('>1k', 30.217060716831995)	('>5k', 18.159002023482284)	('>10k+', 6.159875706261256)
012024-BEL-CBC-T2-603-MCAV_S39_R1_16S	(1.0, 1.6329989256586015)	(2.0, 0.7355960072833285)	(3.0, 0.49268388639217997)	(4.0, 0.3671927408819687)	(5.0, 0.2824559545245913)	(6.0, 0.20942091485466127)	(7.0, 0.16947357271475477)	(8.0, 0.1331578071330216)	(9.0, 0.14163148576875936)	('>10', 2.1787441806507584)	('>50', 1.1819772925587988)	('>100', 8.868915217818936)	('>500', 8.872950302883572)	('>1k', 25.476619203978597)	('>5k', 18.331996711405672)	('>10k+', 30.9241857954918)
012024-BEL-CBC-T3-629-OFAV_S35_R1_16S	(1.0, 3.037299360713793)	(2.0, 1.2951294669548818)	(3.0, 0.855447730304006)	(4.0, 0.6015729200202364)	(5.0, 0.44612059053488484)	(6.0, 0.2980269512026859)	(7.0, 0.2833095708963805)	(8.0, 0.26123350043692223)	(9.0, 0.1614312652347882)	('>10', 2.9733707400082783)	('>50', 1.6069539621947293)	('>100', 10.599273329347376)	('>500', 2.245320332980729)	('>1k', 55.8966104033482)	('>5k', 19.438899875822106)	('>10k+', 0.0)
012024-BEL-CBC-T3-635-OFAV_S82_R1_16S	(1.0, 1.7244568315702793)	(2.0, 0.8439011000612319)	(3.0, 0.6073351491733705)	(4.0, 0.45235531344355057)	(5.0, 0.33487468592301683)	(6.0, 0.2700956483182365)	(7.0, 0.22997825214839213)	(8.0, 0.19999577711619265)	(9.0, 0.18014822322163807)	('>10', 1.7228521357234856)	('>50', 0.9760773632313507)	('>100', 0.7484639260150757)	('>500', 0.0)	('>1k', 50.710077912206245)	('>5k', 37.16838749181816)	('>10k+', 3.8310001900297714)
012024-BEL-CBC-T3-639-OFAV_S1_R1_16S	(1.0, 1.4898526165421695)	(2.0, 0.851669464717426)	(3.0, 0.5868904173618028)	(4.0, 0.42399659682335167)	(5.0, 0.34049272535979314)	(6.0, 0.27256924081501177)	(7.0, 0.19422965490318278)	(8.0, 0.17506052717727152)	(9.0, 0.15204006785346033)	('>10', 2.1115800788122496)	('>50', 0.30819405809558653)	('>100', 0.15011440205451035)	('>500', 0.29576476066600027)	('>1k', 47.57637453149427)	('>5k', 40.92705052771996)	('>10k+', 4.14412032960396)
012024-BEL-CBC-T4-667-OFAV_S24_R1_16S	(1.0, 0.3514783922454883)	(2.0, 0.12794357918498267)	(3.0, 0.08559236987211401)	(4.0, 0.0682644956044261)	(5.0, 0.05444407624892878)	(6.0, 0.04742916642454758)	(7.0, 0.04910436877066846)	(8.0, 0.043974061585673255)	(9.0, 0.03486514882864094)	('>10', 0.7990715190996626)	('>50', 0.5885195242215937)	('>100', 1.5070539106290017)	('>500', 0.2549972071235886)	('>1k', 1.540034456818257)	('>5k', 0.3748788750178645)	('>10k+', 94.07234884832457)
022024-BEL-CBC-T1-774-MCAV_S80_R1_16S	(1.0, 1.9281989939527788)	(2.0, 0.9173810191493397)	(3.0, 0.5721413585942801)	(4.0, 0.37328238323580437)	(5.0, 0.24144667868276)	(6.0, 0.1808231993604863)	(7.0, 0.15720215079537772)	(8.0, 0.10984369382001226)	(9.0, 0.09529871317647251)	('>10', 1.0727214124223443)	('>50', 1.1518461071232007)	('>100', 6.205354181914655)	('>500', 0.8784004710246531)	('>1k', 68.91400192924624)	('>5k', 17.202057707501602)	('>10k+', 0.0)
022024-BEL-CBC-T2-807-SSID_S31_R1_16S	(1.0, 1.1226194919954928)	(2.0, 0.43188406808279056)	(3.0, 0.30908665938719904)	(4.0, 0.2493159509880191)	(5.0, 0.22094230731214382)	(6.0, 0.20442977697618359)	(7.0, 0.19291751991097186)	(8.0, 0.19349894703547751)	(9.0, 0.16117159891296384)	('>10', 4.063012746045423)	('>50', 2.2586118078546153)	('>100', 5.111907278653601)	('>500', 3.299947787844219)	('>1k', 11.568422925438949)	('>5k', 9.598896683888539)	('>10k+', 61.013334449673415)
