Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
012024-BEL-CBC-T1-561-OANN_S95_R1_16S	012024-BEL-CBC-T1-561-OANN_S95_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5678.0	1.4 Mbp	0.0	251.0	38.0	23.86403663261712	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
012024-BEL-CBC-T2-587-SSID_S63_R1_16S	012024-BEL-CBC-T2-587-SSID_S63_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	783999.0	196.7 Mbp	0.0	251.0	42.0	3.227682688370776	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
012024-BEL-CBC-T2-589-SSID_S52_R1_16S	012024-BEL-CBC-T2-589-SSID_S52_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	727953.0	182.7 Mbp	0.0	251.0	46.0	6.521162767376465	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
012024-BEL-CBC-T2-603-MCAV_S39_R1_16S	012024-BEL-CBC-T2-603-MCAV_S39_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	991305.0	248.8 Mbp	0.0	251.0	42.0	2.5965772390939215	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
012024-BEL-CBC-T3-629-OFAV_S35_R1_16S	012024-BEL-CBC-T3-629-OFAV_S35_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	217430.0	54.5 Mbp	0.0	251.0	38.0	4.597801591316745	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
012024-BEL-CBC-T3-635-OFAV_S82_R1_16S	012024-BEL-CBC-T3-635-OFAV_S82_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1184025.0	297.1 Mbp	0.0	251.0	36.0	2.7923396887734637	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
012024-BEL-CBC-T3-639-OFAV_S1_R1_16S	012024-BEL-CBC-T3-639-OFAV_S1_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1142462.0	286.7 Mbp	0.0	251.0	35.0	2.5407409611873306	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
012024-BEL-CBC-T4-667-OFAV_S24_R1_16S	012024-BEL-CBC-T4-667-OFAV_S24_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1910217.0	479.4 Mbp	0.0	251.0	37.0	0.5505657210672923	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T1-774-MCAV_S80_R1_16S	022024-BEL-CBC-T1-774-MCAV_S80_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	859403.0	215.7 Mbp	0.0	251.0	36.0	2.9241229085772336	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T2-807-SSID_S31_R1_16S	022024-BEL-CBC-T2-807-SSID_S31_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	859953.0	215.8 Mbp	0.0	251.0	47.0	1.9135929521729675	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T3-842-MCAV_S22_R1_16S	022024-BEL-CBC-T3-842-MCAV_S22_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1270917.0	319 Mbp	0.0	251.0	38.0	1.0527831479160321	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T3-843-MCAV_S73_R1_16S	022024-BEL-CBC-T3-843-MCAV_S73_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	284285.0	71.3 Mbp	0.0	251.0	35.0	4.839861406686952	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
022024-BEL-CBC-T3-852-OFAV_S18_R1_16S	022024-BEL-CBC-T3-852-OFAV_S18_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	493950.0	123.9 Mbp	0.0	251.0	36.0	1.0980868508958397	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T1-924-MCAV_S38_R1_16S	042024-BEL-CBC-T1-924-MCAV_S38_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	871955.0	218.8 Mbp	0.0	251.0	51.0	8.858025930237226	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
042024-BEL-CBC-T1-931-SSID_S45_R1_16S	042024-BEL-CBC-T1-931-SSID_S45_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	548181.0	137.5 Mbp	0.0	251.0	46.0	7.56684379794265	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T2-1016-MCAV_S68_R1_16S	042024-BEL-CBC-T2-1016-MCAV_S68_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1344818.0	337.5 Mbp	0.0	251.0	36.0	3.474819641022057	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T2-1025-SSID_S59_R1_16S	042024-BEL-CBC-T2-1025-SSID_S59_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	963565.0	241.8 Mbp	0.0	251.0	44.0	5.794731024891938	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T2-1035-SSID_S4_R1_16S	042024-BEL-CBC-T2-1035-SSID_S4_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	225428.0	56.5 Mbp	0.0	251.0	50.0	5.239810493816208	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T3-950-PSTR_S84_R1_16S	042024-BEL-CBC-T3-950-PSTR_S84_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3527591.0	885.4 Mbp	0.0	251.0	39.0	3.672893664266956	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T3-956-MCAV_S94_R1_16S	042024-BEL-CBC-T3-956-MCAV_S94_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	331323.0	83.1 Mbp	0.0	251.0	34.0	3.071021329639053	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
042024-BEL-CBC-T3-959-SSID_S7_R1_16S	042024-BEL-CBC-T3-959-SSID_S7_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	126389.0	31.7 Mbp	0.0	251.0	51.0	6.345488927042702	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T1-53-PAST_S53_R1_16S	052022-BEL-CBC-T1-53-PAST_S53_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1003356.0	251.8 Mbp	0.0	251.0	48.0	4.949888175283747	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T1-54-MCAV_S19_R1_16S	052022-BEL-CBC-T1-54-MCAV_S19_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46828.0	11.7 Mbp	0.0	251.0	46.0	6.959511403433844	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T1-55-PSTR_S67_R1_16S	052022-BEL-CBC-T1-55-PSTR_S67_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	216634.0	54.3 Mbp	0.0	251.0	40.0	11.138602435444113	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T1-62-MCAV_S92_R1_16S	052022-BEL-CBC-T1-62-MCAV_S92_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	359925.0	90.3 Mbp	0.0	251.0	35.0	4.574008473987636	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
052022-BEL-CBC-T1-63-OFAV_S60_R1_16S	052022-BEL-CBC-T1-63-OFAV_S60_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1334436.0	334.9 Mbp	0.0	251.0	37.0	1.7883210584846332	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
