Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
012024-BEL-CBC-T1-561-OANN_S95_R1_16S	76.13596336738289	38.0	251.0	251	45.45454545454545	0.005678
012024-BEL-CBC-T2-587-SSID_S63_R1_16S	96.77231731162922	42.0	251.0	251	45.45454545454545	0.783999
012024-BEL-CBC-T2-589-SSID_S52_R1_16S	93.47883723262353	46.0	251.0	251	45.45454545454545	0.727953
012024-BEL-CBC-T2-603-MCAV_S39_R1_16S	97.40342276090608	42.0	251.0	251	45.45454545454545	0.991305
012024-BEL-CBC-T3-629-OFAV_S35_R1_16S	95.40219840868326	38.0	251.0	251	45.45454545454545	0.21742999999999998
012024-BEL-CBC-T3-635-OFAV_S82_R1_16S	97.20766031122653	36.0	251.0	251	45.45454545454545	1.1840249999999999
012024-BEL-CBC-T3-639-OFAV_S1_R1_16S	97.45925903881268	35.0	251.0	251	45.45454545454545	1.1424619999999999
012024-BEL-CBC-T4-667-OFAV_S24_R1_16S	99.44943427893271	37.0	251.0	251	45.45454545454545	1.9102169999999998
022024-BEL-CBC-T1-774-MCAV_S80_R1_16S	97.07587709142277	36.0	251.0	251	45.45454545454545	0.8594029999999999
022024-BEL-CBC-T2-807-SSID_S31_R1_16S	98.08640704782704	47.0	251.0	251	45.45454545454545	0.859953
022024-BEL-CBC-T3-842-MCAV_S22_R1_16S	98.94721685208397	38.0	251.0	251	45.45454545454545	1.2709169999999999
022024-BEL-CBC-T3-843-MCAV_S73_R1_16S	95.16013859331305	35.0	251.0	251	45.45454545454545	0.284285
022024-BEL-CBC-T3-852-OFAV_S18_R1_16S	98.90191314910416	36.0	251.0	251	45.45454545454545	0.49395
042024-BEL-CBC-T1-924-MCAV_S38_R1_16S	91.14197406976277	51.0	251.0	251	36.36363636363637	0.8719549999999999
042024-BEL-CBC-T1-931-SSID_S45_R1_16S	92.43315620205735	46.0	251.0	251	45.45454545454545	0.548181
042024-BEL-CBC-T2-1016-MCAV_S68_R1_16S	96.52518035897795	36.0	251.0	251	45.45454545454545	1.3448179999999998
042024-BEL-CBC-T2-1025-SSID_S59_R1_16S	94.20526897510805	44.0	251.0	251	45.45454545454545	0.963565
042024-BEL-CBC-T2-1035-SSID_S4_R1_16S	94.76018950618379	50.0	251.0	251	45.45454545454545	0.225428
042024-BEL-CBC-T3-950-PSTR_S84_R1_16S	96.32710633573305	39.0	251.0	251	45.45454545454545	3.5275909999999997
042024-BEL-CBC-T3-956-MCAV_S94_R1_16S	96.92897867036095	34.0	251.0	251	45.45454545454545	0.331323
042024-BEL-CBC-T3-959-SSID_S7_R1_16S	93.65451107295729	51.0	251.0	251	45.45454545454545	0.126389
052022-BEL-CBC-T1-53-PAST_S53_R1_16S	95.05011182471625	48.0	251.0	251	45.45454545454545	1.003356
052022-BEL-CBC-T1-54-MCAV_S19_R1_16S	93.04048859656615	46.0	251.0	251	45.45454545454545	0.046827999999999995
052022-BEL-CBC-T1-55-PSTR_S67_R1_16S	88.86139756455589	40.0	251.0	251	45.45454545454545	0.216634
052022-BEL-CBC-T1-62-MCAV_S92_R1_16S	95.42599152601237	35.0	251.0	251	45.45454545454545	0.359925
052022-BEL-CBC-T1-63-OFAV_S60_R1_16S	98.21167894151537	37.0	251.0	251	45.45454545454545	1.334436
052022-BEL-CBC-T2-10-MCAV_S3_R1_16S	96.59623912259126	54.0	251.0	251	45.45454545454545	0.515518
052022-BEL-CBC-T2-11-PAST_S86_R1_16S	96.72579553148273	44.0	251.0	251	36.36363636363637	1.25545
052022-BEL-CBC-T2-59-OFAV_S61_R1_16S	95.51493355554581	43.0	251.0	251	45.45454545454545	1.14005
052022-BEL-CBC-T3-16-SSID_S12_R1_16S	97.54327170768438	50.0	251.0	251	45.45454545454545	0.807456
052022-BEL-CBC-T3-25-PAST_S69_R1_16S	91.74922783108953	52.0	251.0	251	36.36363636363637	0.84826
052022-BEL-CBC-T3-6-SSID_S77_R1_16S	87.61133577230811	50.0	251.0	251	36.36363636363637	0.6226659999999999
052022-BEL-CBC-T3-65-OFAV_S5_R1_16S	98.29982226692447	41.0	251.0	251	45.45454545454545	0.640286
062019-BEL-CBC-T1-12-PAST_S36_R1_16S	95.70520929368296	47.0	251.0	251	45.45454545454545	0.699615
062019-BEL-CBC-T2-16-MCAV_S33_R1_16S	94.76351986523377	38.0	251.0	251	45.45454545454545	0.265942
062019-BEL-CBC-T2-2-PAST_S76_R1_16S	91.63466227749329	56.0	251.0	251	27.27272727272727	0.787392
062019-BEL-CBC-T3-16-MCAV_S47_R1_16S	98.39080902937262	36.0	251.0	251	45.45454545454545	1.193084
062019-BEL-CBC-T3-27-SSID_S17_R1_16S	95.9569026956777	45.0	251.0	251	45.45454545454545	0.119265
062024-BEL-CBC-T1-1341-SSID_S56_R1_16S	96.3319466008699	49.0	251.0	251	45.45454545454545	1.426615
062024-BEL-CBC-T2-1369-SSID_S10_R1_16S	98.50590332573499	54.0	251.0	251	36.36363636363637	0.821232
062024-BEL-CBC-T2-1378-PAST_S54_R1_16S	96.7316638387174	45.0	251.0	251	45.45454545454545	1.095022
062024-BEL-CBC-T2-1387-OFAV_S44_R1_16S	94.12317960023626	39.0	251.0	251	45.45454545454545	0.265807
