Sample	Unique Reads	Duplicate Reads
012024-BEL-CBC-T1-561-OANN_S95_R2_16S	3656.0	2022.0
012024-BEL-CBC-T2-587-SSID_S63_R2_16S	55459.0	728540.0
012024-BEL-CBC-T2-589-SSID_S52_R2_16S	91880.0	636073.0
012024-BEL-CBC-T2-603-MCAV_S39_R2_16S	57529.0	933776.0
012024-BEL-CBC-T3-629-OFAV_S35_R2_16S	16637.0	200793.0
012024-BEL-CBC-T3-635-OFAV_S82_R2_16S	61799.0	1122226.0
012024-BEL-CBC-T3-639-OFAV_S1_R2_16S	55139.0	1087323.0
012024-BEL-CBC-T4-667-OFAV_S24_R2_16S	34372.0	1875845.0
022024-BEL-CBC-T1-774-MCAV_S80_R2_16S	50317.0	809086.0
022024-BEL-CBC-T2-807-SSID_S31_R2_16S	51538.0	808415.0
022024-BEL-CBC-T3-842-MCAV_S22_R2_16S	37868.0	1233049.0
022024-BEL-CBC-T3-843-MCAV_S73_R2_16S	19872.0	264413.0
022024-BEL-CBC-T3-852-OFAV_S18_R2_16S	13687.0	480263.0
042024-BEL-CBC-T1-924-MCAV_S38_R2_16S	129427.0	742528.0
042024-BEL-CBC-T1-931-SSID_S45_R2_16S	79531.0	468650.0
042024-BEL-CBC-T2-1016-MCAV_S68_R2_16S	90234.0	1254584.0
042024-BEL-CBC-T2-1025-SSID_S59_R2_16S	100139.0	863426.0
042024-BEL-CBC-T2-1035-SSID_S4_R2_16S	24379.0	201049.0
042024-BEL-CBC-T3-950-PSTR_S84_R2_16S	234113.0	3293478.0
042024-BEL-CBC-T3-956-MCAV_S94_R2_16S	17709.0	313614.0
042024-BEL-CBC-T3-959-SSID_S7_R2_16S	19170.0	107219.0
052022-BEL-CBC-T1-53-PAST_S53_R2_16S	108843.0	894513.0
052022-BEL-CBC-T1-54-MCAV_S19_R2_16S	5822.0	41006.0
052022-BEL-CBC-T1-55-PSTR_S67_R2_16S	30341.0	186293.0
052022-BEL-CBC-T1-62-MCAV_S92_R2_16S	28042.0	331883.0
052022-BEL-CBC-T1-63-OFAV_S60_R2_16S	51996.0	1282440.0
052022-BEL-CBC-T2-10-MCAV_S3_R2_16S	39962.0	475556.0
052022-BEL-CBC-T2-11-PAST_S86_R2_16S	96255.0	1159195.0
052022-BEL-CBC-T2-59-OFAV_S61_R2_16S	113630.0	1026420.0
052022-BEL-CBC-T3-16-SSID_S12_R2_16S	63558.0	743898.0
052022-BEL-CBC-T3-25-PAST_S69_R2_16S	153097.0	695163.0
052022-BEL-CBC-T3-6-SSID_S77_R2_16S	135629.0	487037.0
052022-BEL-CBC-T3-65-OFAV_S5_R2_16S	27664.0	612622.0
062019-BEL-CBC-T1-12-PAST_S36_R2_16S	68934.0	630681.0
062019-BEL-CBC-T2-16-MCAV_S33_R2_16S	20006.0	245936.0
062019-BEL-CBC-T2-2-PAST_S76_R2_16S	146936.0	640456.0
062019-BEL-CBC-T3-16-MCAV_S47_R2_16S	39360.0	1153724.0
062019-BEL-CBC-T3-27-SSID_S17_R2_16S	12982.0	106283.0
062024-BEL-CBC-T1-1341-SSID_S56_R2_16S	115078.0	1311537.0
062024-BEL-CBC-T2-1369-SSID_S10_R2_16S	37565.0	783667.0
062024-BEL-CBC-T2-1378-PAST_S54_R2_16S	74864.0	1020158.0
062024-BEL-CBC-T2-1387-OFAV_S44_R2_16S	28603.0	237204.0
062024-BEL-CBC-T3-1412-MCAV_S13_R2_16S	15237.0	385562.0
062024-BEL-CBC-T3-1421-OFAV_S55_R2_16S	62434.0	1695022.0
062024-BEL-CBC-T3-1445-SSID_S58_R2_16S	115443.0	1061232.0
062024-BEL-CBC-T3-1448-PAST_S40_R2_16S	44928.0	487782.0
062024-BEL-CBC-T4-1464-MCAV_S43_R2_16S	19060.0	306807.0
062024-BEL-CBC-T4-1467-MCAV_S57_R2_16S	30930.0	762015.0
062024-BEL-CBC-T4-1470-PSTR_S11_R2_16S	15934.0	353449.0
082024-BEL-CBC-T1-1480-SSID_S70_R2_16S	83159.0	248091.0
082024-BEL-CBC-T1-1483-MCAV_S91_R2_16S	23835.0	231701.0
082024-BEL-CBC-T2-1507-OFAV_S28_R2_16S	27691.0	1154616.0
082024-BEL-CBC-T2-1509-SSID_S48_R2_16S	89030.0	612544.0
082024-BEL-CBC-T2-1516-OFAV_S41_R2_16S	15683.0	365260.0
082024-BEL-CBC-T3-1555-SSID_S65_R2_16S	55590.0	190648.0
082024-BEL-CBC-T3-1563-SSID_S8_R2_16S	59481.0	822301.0
082024-BEL-CBC-T4-1605-MCAV_S42_R2_16S	21208.0	383205.0
082024-BEL-CBC-T4-1610-MCAV_S72_R2_16S	73401.0	1337256.0
092023-BEL-CBC-T1-172-PAST_S83_R2_16S	174856.0	1274656.0
092023-BEL-CBC-T1-178-OANN_S87_R2_16S	207135.0	970982.0
092023-BEL-CBC-T2-171-OFAV_S66_R2_16S	110332.0	673640.0
092023-BEL-CBC-T2-172-OFAV_S71_R2_16S	183252.0	685422.0
092023-BEL-CBC-T2-176-MCAV_S51_R2_16S	55833.0	736386.0
092023-BEL-CBC-T2-182-PAST_S32_R2_16S	41924.0	694396.0
092023-BEL-CBC-T3-176-MCAV_S34_R2_16S	49248.0	502817.0
092023-BEL-CBC-T3-181-PAST_S37_R2_16S	75738.0	720188.0
092023-BEL-CBC-T4-93-PSTR_S6_R2_16S	9657.0	21390.0
102019-BEL-CBC-T3-35-PSTR_S21_R2_16S	23426.0	1182829.0
112023-BEL-CBC-T1-273-PAST_S29_R2_16S	35365.0	950632.0
112023-BEL-CBC-T1-277-OFAV-OANN_S23_R2_16S	13423.0	266665.0
112023-BEL-CBC-T1-278-PSTR_S14_R2_16S	10284.0	166632.0
112023-BEL-CBC-T2-311-MCAV_S79_R2_16S	29284.0	284619.0
112023-BEL-CBC-T2-312-OFAV_S74_R2_16S	77759.0	581187.0
112023-BEL-CBC-T3-348-SSID_S85_R2_16S	192236.0	1068933.0
112023-BEL-CBC-T3-350-OFAV_S93_R2_16S	88884.0	1294191.0
112023-BEL-CBC-T3-356-MCAV_S49_R2_16S	44074.0	838545.0
112023-BEL-CBC-T3-358-SSID_S46_R2_16S	118491.0	769570.0
112023-BEL-CBC-T4-400-OFAV_S88_R2_16S	65513.0	897369.0
122022-BEL-CBC-T1-123-OANN_S30_R2_16S	30809.0	1230460.0
122022-BEL-CBC-T1-151-MCAV_S62_R2_16S	26791.0	132263.0
122022-BEL-CBC-T2-100-PAST_S15_R2_16S	37750.0	628342.0
122022-BEL-CBC-T2-83-PAST_S75_R2_16S	85490.0	393718.0
122022-BEL-CBC-T2-88-MCAV_S89_R2_16S	71118.0	454062.0
122022-BEL-CBC-T2-90-SSID_S64_R2_16S	138423.0	829433.0
122022-BEL-CBC-T2-93-OFAV_S9_R2_16S	11934.0	349993.0
122022-BEL-CBC-T2-94-PAST_S16_R2_16S	42934.0	733291.0
122022-BEL-CBC-T4-34-PSTR_S25_R2_16S	5191.0	37450.0
122023-BEL-CBC-T1-509-MCAV_S26_R2_16S	8113.0	177097.0
122023-BEL-CBC-T2-514-SSID_S81_R2_16S	90130.0	589559.0
122023-BEL-CBC-T2-516-MCAV_S20_R2_16S	19916.0	844337.0
122023-BEL-CBC-T2-520-PAST_S2_R2_16S	53441.0	1009804.0
122023-BEL-CBC-T2-521-OFAV_S90_R2_16S	38080.0	778876.0
122023-BEL-CBC-T3-527-OFAV_S78_R2_16S	90413.0	923134.0
122023-BEL-CBC-T3-534-SSID_S27_R2_16S	17447.0	92490.0
122023-BEL-CBC-T4-536-PSTR_S50_R2_16S	85113.0	1084582.0
Negative_S96_R2_16S	6087.0	13956.0
Undetermined_S0_R2_16S	636990.0	2507607.0
