"","Tubelabel_species","double","reads.in","reads.out"
"1","012024_BEL_CBC_T1_557_SSID",1,189570,175359
"2","012024_BEL_CBC_T1_563_PSTR",0,98511,89002
"3","012024_BEL_CBC_T2_601_OFAV",0,280308,263276
"4","012024_BEL_CBC_T2_605_SSID",1,1116,924
"5","012024_BEL_CBC_T3_627_PAST",1,6549,5112
"6","012024_BEL_CBC_T3_631_MCAV",0,536790,494756
"7","012024_BEL_CBC_T3_633_MCAV",0,163169,154646
"8","012024_BEL_CBC_T3_637_SSID",0,22749,21087
"9","012024_BEL_CBC_T4_661_PSTR",1,464328,425153
"10","012024_BEL_CBC_T4_663_PSTR",0,1295,1039
"11","022024_BEL_CBC_T1_775_OANN",0,2146,1732
"12","022024_BEL_CBC_T1_776_PSTR",0,115016,104031
"13","022024_BEL_CBC_T2_804_OFAV",0,5900,4830
"14","022024_BEL_CBC_T2_814_MCAV",0,3376,2794
"15","022024_BEL_CBC_T3_851_PSTR",0,647444,550445
"16","022024_BEL_CBC_T4_874_OFAV",0,2133,1766
"17","022024_BEL_CBC_T4_875_MCAV",0,198640,188376
"18","042024_BEL_CBC_T1_927_PSTR",0,61333,57598
"19","042024_BEL_CBC_T2_1014_OFAV",0,2258,1900
"20","042024_BEL_CBC_T2_1018_PAST",1,2381999,2239539
"21","042024_BEL_CBC_T2_1026_OFAV",1,680,592
"22","042024_BEL_CBC_T2_1144_MCAV",0,751,622
"23","042024_BEL_CBC_T3_960_OFAV",0,487,397
"24","042024_BEL_CBC_T4_1046_PSTR",0,205803,158090
"25","042024_BEL_CBC_T4_1047_MCAV",0,478,392
"26","052022_BEL_CBC_T1_2_SSID",0,1016,796
"27","052022_BEL_CBC_T2_1_SSID",0,580209,537638
"28","052022_BEL_CBC_T2_71_OFAV",1,2606,2114
"29","052022_BEL_CBC_T2_9_PAST",0,2943,2459
"30","052022_BEL_CBC_T3_11_PAST",0,540,426
"31","052022_BEL_CBC_T3_13_MCAV",0,3730,2996
"32","052022_BEL_CBC_T3_19_MCAV",0,1347,1083
"33","052022_BEL_CBC_T3_66_OFAV",0,107989,96814
"34","052022_BEL_CBC_T3_8_PAST",0,2442,1902
"35","062019_BEL_CBC_T1_21_PAST",0,46776,40162
"36","062019_BEL_CBC_T1_22_MCAV",0,705,587
"37","062019_BEL_CBC_T2_18_MCAV",0,63110,58377
"38","062019_BEL_CBC_T2_18_MCAV",0,63110,58377
"39","062019_BEL_CBC_T3_1_MCAV",0,88225,82910
"40","062024_BEL_CBC_T1_1347_OANN",0,123368,116352
"41","062024_BEL_CBC_T1_1353_MCAV",0,3135,2488
"42","062024_BEL_CBC_T2_1375_SSID",1,9815885,9239604
