,Tubelabel_species,X,Date_Extracted,Raw_ng_ul,Date_Enriched,Microbe_Location,Month_year,colony,CollectionDate,Species,Health_status,Sample_physical_location,Extraction_physical_location,immune_y.n,Condition,Date_16S,Date_ITS2,Seq_run,Transect
118,052022_BEL_CBC_T1_2_SSID,104,12_2_2024,7.73,,,052022,1_3,5/21/22,SSID,Diseased_Tissue,UML_NARWHAL_R1_B3,"UML_NARWHAL_R2_B14, UML_NARWHAL_R2_B33",y,Diseased,1_22_2025,6_26_2025,1,CBC30N
286,092023_BEL_CBC_T1_175_PAST,232,1_15_2025,2.3,,,092023,1_13,9/25/23,PAST,Healthy,UML_NARWHAL_R1_B10,UML_NARWHAL_R2_B12,y,Healthy,1_22_2025,6_26_2025,1,CBC30N
59,022024_BEL_CBC_T3_851_PSTR,59,11_26_2024,64.2,,,022024,3_70,2/24/24,PSTR,Healthy,UML_NARWHAL_R5_B23,UML_NARWHAL_R2_B13,y,Healthy,1_23_2025,6_26_2025,1,Lagoon
280,082024_BEL_CBC_T4_1609_OFAV,225,1_15_2025,61.2,,,082024,4_78,8/22/24,OFAV,Healthy,UML_NARWHAL_R5_B27,UML_NARWHAL_R2_B15,y,Healthy,1_23_2025,6_26_2025,1,Curlew
469,122023_BEL_CBC_T3_526_SSID,360,11_19_2024,16.4,,,122023,3_5,12/16/23,SSID,Healthy,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B13,y,Healthy,1_23_2025,6_26_2025,1,Lagoon
376,112023_BEL_CBC_T4_399_MCAV,300,11_15_2024,13.9,,,112023,4_76,11/13/23,MCAV,Bleached_Tissue,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B12,y,CLP,1_23_2025,6_26_2025,1,Curlew
368,112023_BEL_CBC_T3_355_PSTR,292,11_15_2024,1.27,,,112023,3_70,11/13/23,PSTR,Bleached_Tissue,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B12,y,"CLP,CLB",1_23_2025,6_26_2025,1,Lagoon
265,082024_BEL_CBC_T3_1554_OANN,210,1_15_2025,199.6,,,082024,3_38,8/24/24,OANN,Healthy,UML_NARWHAL_R5_B27,UML_NARWHAL_R2_B15,y,Healthy,1_23_2025,6_27_2025,1,Lagoon
81,042024_BEL_CBC_T2_1018_PAST,77,12_2_2024,25.9,,,042024,2_57,4/26/24,PAST,Healthy,UML_NARWHAL_R5_B24,UML_NARWHAL_R2_B14,y,Healthy,1_23_2025,6_27_2025,1,SR30N
151,052022_BEL_CBC_T3_11_PAST,122,8_19_2024,8.57,9_28_2024,UML_NARWHAL_R6_B30,052022,3_6,5/20/22,PAST,Healthy,UML_NARWHAL_R1_B3,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",y,Healthy,2_24_2025,6_27_2025,1,Lagoon
175,062019_BEL_CBC_T1_22_MCAV,135,11_26_2024; 2022,34.2; 6.67,11_5_2024 (from 2022 extract),UML_NARWHAL_R6_B27,062019,1_24,6/24/19,MCAV,Healthy,UML_NARWHAL_R1_B1,UML_NARWHAL_R2_B33,y,Healthy,2_24_2025,6_27_2025,1,CBC30N
147,052022_BEL_CBC_T2_71_OFAV,119,10_3_2023,98.8,10_16_2023,UML_NARWHAL_R6_B1,052022,2_79,5/24/22,OFAV,Healthy,UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B3,y,Healthy,2_24_2025,6_27_2025,1,SR30N
168,052022_BEL_CBC_T3_8_PAST,131,2022,4.032,11_6_2024,UML_NARWHAL_R6_B27,052022,3_10,5/20/22,PAST,Healthy,Depleted_UML_NARWHAL_R1_B3,UML_NARWHAL_R2_B32,y,Healthy,2_24_2025,6_27_2025,1,Lagoon
419,122022_BEL_CBC_T3_123_PAST,324,9_11_2024,2.67,10_16_2024,UML_NARWHAL_R6_B27,122022,3_10,12/3/22,PAST,Healthy,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B29,y,Healthy,2_24_2025,6_27_2025,1,Lagoon
337,102019_BEL_CBC_T1_29_PSTR,265,5_30_2023,3.2,10_17_2023,UML_NARWHAL_R2_B1,102019,1_12,10/15/19,PSTR,Healthy,Depleted__UML_NARWHAL_R1_B2," UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B3",y,Healthy,2_24_2025,6_30_2025,1,CBC30N
149,052022_BEL_CBC_T2_9_PAST,120,9_11_2024,4.32,9_28_2024,UML_NARWHAL_R6_B30,052022,2_63,5/22/22,PAST,Healthy,UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B29,y,Healthy,2_24_2025,6_30_2025,1,SR30N
346,112023_BEL_CBC_T1_276_MCAV,270,11_13_2024,11.1,,,112023,1_24,11/14/23,MCAV,Bleached_Tissue,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B12,y,CLP,2_25_2025,6_30_2025,1,CBC30N
474,122023_BEL_CBC_T3_531_PSTR,365,11_19_2024,16.8,,,122023,3_70,12/16/23,PSTR,Bleached_Tissue,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B13,y,"CLP,CLB",2_25_2025,6_30_2025,1,Lagoon
460,122023_BEL_CBC_T2_518_MCAV,351,11_18_2024,18.8,,,122023,2_55,12/15/23,MCAV,Bleached_Tissue,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B13,y,"CLP,CLB",2_25_2025,6_30_2025,1,SR30N
277,082024_BEL_CBC_T4_1606_PSTR,222,1_15_2025,32.4,,,082024,4_98,8/22/24,PSTR,Bleached_Tissue,UML_NARWHAL_R5_B27,UML_NARWHAL_R2_B15,y,CLP,2_25_2025,6_30_2025,1,Curlew
468,122023_BEL_CBC_T3_525_PAST,359,11_19_2024,2.54,,,122023,3_6,12/16/23,PAST,Bleached_Tissue,UML_NARWHAL_R5_B19,UML_NARWHAL_R2_B13,y,CLB,2_25_2025,6_30_2025,1,Lagoon
273,082024_BEL_CBC_T3_1562_OFAV,218,1_15_2025,76,,,082024,3_39,8/24/24,OFAV,Healthy,UML_NARWHAL_R5_B27,UML_NARWHAL_R2_B15,y,Healthy,2_25_2025,7_2_2025,1,Lagoon
